B R2 U L B'
B L' R2 U L2 B'
B R2 L' U L2 B'
B R2 U L D B'
B R2 U L D' B'
B R2 U L D2 B'
B R2 U L B' D
B R2 U L B' D'
B R2 U L B' D2
B R2 F U L B'
B R2 F' U L B'
B R2 F2 U L B'
B2 R2 B' U L B'
B U L D' F2 B'
B U L D' B' F2
B U L B' D' F2
L B R2 U L B2
F' B R2 U L B'
F2 B R2 U L B'
B F R2 U L B'
F B R2 U L B'
L B' D' R2 F2 L'
B F' R2 U L B'
B F2 R2 U L B'
F' B R2 F U L B'
F' B R2 F' U L B'
F' B R2 F2 U L B'
F2 B R2 F U L B'
F2 B R2 F' U L B'
F' B U L D' F2 B'
F' B U L D' B' F2
F' B U L B' D' F2
F2 B R2 F2 U L B'
B2 F R2 B' U L B'
B F R2 L' U L2 B'
B F R2 U L D B'
B F R2 U L D' B'
B F R2 U L D2 B'
B F R2 U L B' D
B F R2 U L B' D'
B F R2 U L B' D2
F2 B U L D' F2 B'
F2 B U L D' B' F2
F2 B U L B' D' F2
L' B F2 R2 U L B
F B R2 L' U L2 B'
B F R2 F U L B'
L B F R2 U L B2
B F R2 F' U L B'
F B R2 U L D B'
F B R2 U L D' B'
F B R2 U L D2 B'
F B R2 U L B' D
F B R2 U L B' D'
F B R2 U L B' D2
B F R2 F2 U L B'
B F U L D' F2 B'
B F U L D' B' F2
B F U L B' D' F2
F B R2 F U L B'
F B R2 F' U L B'
F B R2 F2 U L B'
L B F' R2 U L B2
F B U L D' F2 B'
F B U L D' B' F2
F B U L B' D' F2
D' B' L B2 U L F2
D' B' L B2 U F2 L
L B F2 R2 U L B2
L B' L D' R2 F2 L'
L B' L' D' R2 F2 L'
L B' L2 D' R2 F2 L'
B F' L' R2 U L2 B'
L B' U' B2 R2 U L
L2 B' D' R2 F2 L' B'
B2 F' R2 B' U L B'
B F' R2 L' U L2 B'
B F' R2 U L D B'
B F' R2 U L D' B'
B F' R2 U L D2 B'
B F' R2 U L B' D
B F' R2 U L B' D'
B F' R2 U L B' D2
B F' R2 F U L B'
B F' R2 F' U L B'
B F' R2 F2 U L B'
L B' D' L R2 F2 L'
L B' D' L' R2 F2 L'
L B' D' L2 R2 F2 L'
B F' U L D' F2 B'
B F' U L D' B' F2
B F' U L B' D' F2
L B' D' R2 L F2 L'
L B' D' R2 L' F2 L'
L B' D' R2 L2 F2 L'
L B' D' R2 F2 L' D
L B' D' R2 F2 L' D'
L B' D' R2 F2 L' D2
L B' D' R2 F2 D L'
L B' D' R2 F2 D' L'
L B' D' R2 F2 D2 L'
R' B2 L U' B' L R'
R' B2 L U' B' R' L
L B' F D' R2 F2 L'
L B' F' D' R2 F2 L'
L B' F2 D' R2 F2 L'
B F2 L' R2 U L2 B'
F' B2 R2 B' U L B'
B2 F2 R2 B' U L B'
F2 B2 R2 B' U L B'
B F2 R2 L' U L2 B'
B F2 R2 U L D B'
B F2 R2 U L D' B'
B F2 R2 U L D2 B'
B F2 R2 U L B' D
B F2 R2 U L B' D'
B F2 R2 U L B' D2
B F2 R2 F U L B'
B F2 R2 F' U L B'
B F2 R2 F2 U L B'
B F2 U L D' F2 B'
B F2 U L D' B' F2
B F2 U L B' D' F2
F B2 R2 B' U L B'
