R2 U2 B' U F L'
B2 R2 F' U' F2 L'
B' U F L' D B2
B' U F D L' B2
B' U F D B2 L'
B' U2 R2 U' F L'
L2 F B2 R2 U' L' F'
F D U' B' U B' L'
R2 F' L2 F U' F L'
F D B L' D' B R2
F D B D' L' B R2
F D B D' B L' R2
F D B D' B R2 L'
B' D B2 D' R2 F L'
B' D B2 D' F L' R2
B' D B2 D' F R2 L'
F D B2 L' U' B U
F D B2 U' B U L'
R2 F' U2 B' U F2 L'
D2 F' B' L2 U L' F2
R F' B' U F2 L' B'
R2 F2 L2 F U' F2 L'
B' D2 L2 U' B' U2 L
D2 F2 B' L2 U L' F'
F D2 U' B' L2 U L
F D2 B D' L' R2 B2
F D2 B D' L' B2 R2
F D2 B D' R2 L' B2
F D2 B D' R2 B2 L'
F D2 B D' B2 L' R2
F D2 B D' B2 R2 L'
B' F L' U R2 U' R2
B' F L' D B2 D' R2
R2 B U' F L' D' R2
R2 B U' F D' L' R2
R2 B U' F D' R2 L'
B2 F L' U R2 F' U'
R2 B U2 B2 U F L'
B F L' D B2 D2 R2
B F L' D' R2 D2 B2
D2 B D' F B2 L R2
D2 B D' F B2 R2 L
F B L' D B2 D2 R2
F B L' D' R2 D2 B2
D2 B D' B2 R2 F L
D2 B D' B2 F L R2
D2 B D' B2 F R2 L
B F L2 D L B2 R'
F B L2 D L B2 R'
D B D' F L' B R2
D B D' F B L' R2
D B D' F B R2 L'
D B D' B R2 F L'
D B D' B F L' R2
D B D' B F R2 L'
D2 B F D' B2 L R2
D2 B F D' B2 R2 L
B2 F R2 F' U' F L'
B' F U R2 U' L' R2
B' F U R2 U' R2 L'
B' F D L' B2 D' R2
D2 B' L2 U L2 F L
D2 B' L2 U' B' U2 L'
B' F D B2 L' D' R2
B' F D B2 D' L' R2
B' F D B2 D' R2 L'
B F D L B2 L2 R'
B F D L B2 R' L2
F B D L B2 L2 R'
F B D L B2 R' L2
F2 B D' F' L' R2 B
F2 B D' F' R2 L' B
F2 B D' F' R2 B L'
B F D B2 D2 L' R2
B F D B2 D2 R2 L'
B F D' L' R2 D2 B2
B F D' R2 L' D2 B2
B F D' R2 D2 L' B2
B F D' R2 D2 B2 L'
F B D B2 D2 L' R2
F B D B2 D2 R2 L'
F B D' L' R2 D2 B2
D B' R F' U F2 B'
D B' R F' U B' F2
F B D' R2 L' D2 B2
F B D' R2 D2 L' B2
F B D' R2 D2 B2 L'
U' B' U F L' D B2
U' B' U F D L' B2
U' B' U F D B2 L'
D2 B' U D' F L B2
D2 B' U F D' L B2
U2 B' U F L' D B2
U2 B' U F D L' B2
U2 B' U F D B2 L'
D B' U D F B' L
U' B' U2 R2 U' F L'
D B' U D B' F L
D B' U D' F B' L'
D B' U D' B' F L'
D B' U F D B' L
F B' L' U R2 U' R2
L2 B' U' R2 F U' L'
L2 B' U' F R2 U' L'
D B' U B' D' F L'
F B' L' D B2 D' R2
U B' U F L' D B2
U B' U F D L' B2
U B' U F D B2 L'
U2 B' U2 R2 U' F L'
D2 B' D' U F L B2
U B' U2 R2 U' F L'
R B' U2 R U' F L'
D B' D U F B' L
D B' D U B' F L
B' F' U F2 L' D B2
B' F' U F2 D L' B2
B' F' U F2 D B2 L'
D B' D' U F B' L'
D B' D' U B' F L'
F' B' U F2 L' D B2
F' B' U F2 D L' B2
F' B' U F2 D B2 L'
D2 B' F' L2 U L' F2
F B' U R2 U' L' R2
F B' U R2 U' R2 L'
D2 B' F2 L2 U L' F'
B' F' D R2 U B2 L
F' B' D R2 U B2 L
R B' F' U F2 L' B'
F B' D L' B2 D' R2
F B' D B2 L' D' R2
F B' D B2 D' L' R2
F B' D B2 D' R2 L'
U' B2 R2 F' U' F2 L'
F B2 L' U R2 F' U'
L2 B2 R2 F U' L' F2
U2 B2 R2 F' U' F2 L'
U B2 R2 F' U' F2 L'
R2 B2 U2 B U F L'
F B2 R2 F' U' F L'
L2 B2 F R2 U' L' F'
B F2 D' F' L' R2 B
B F2 D' F' R2 L' B
B F2 D' F' R2 B L'
