F L2 U R' B' L
U R' B D2 B2 L
U R' B' L D2 B2
U R' B' D2 L B2
F U L2 R' B' L
F U R' L2 B' L
D2 F U L' R' B2
D2 F U R' L' B2
D2 F U R' B2 L'
L2 D2 F U L' R' B2
L2 D2 F U R' L' B2
U2 D2 F U' L' R' B2
L2 D2 F U R' B2 L'
U2 D2 F U' R' L' B2
U2 D2 F U' R' B2 L'
U D2 F L' F' R' B2
L D2 F U L' R' B2
L D2 F U R' L' B2
L D2 F U R' B2 L'
R' D2 B2 F D' L' F
D2 F L U L2 R' B2
D2 F L U R' L2 B2
D2 F L U R' B2 L2
U' F L2 U2 R' B' L
D2 F L2 U L R' B2
D2 F L2 U R' L B2
L' F L2 U R' B' L
L2 F L2 U R' B' L
L F L2 U R' B' L
U F L2 F' R' B' L
D2 F U L R' B2 L2
D2 F U L' R B2 R2
D2 F U L' R' B2 D
D2 F U L' R' B2 D'
D2 F U L' R' B2 D2
D2 F U L' R2 B2 R
D2 F U R L' B2 R2
D2 F U R B2 L' R2
D2 F U R B2 R2 L'
D2 F U R' L B2 L2
D2 F U R' L' B2 D
D2 F U R' L' B2 D'
D2 F U R' L' B2 D2
L' F U L2 R' B' L
D2 F U R' B L' B
D2 F U R' B2 L' D
D2 F U R' B2 L' D'
D2 F U R' B2 L' D2
D2 F U R' B2 D L'
D2 F U R' B2 D' L'
D2 F U R' B2 D2 L'
D2 F U R2 L' B2 R
D2 F U R2 B2 L' R
D2 F U R2 B2 R L'
L' F U R' L2 B' L
F2 U2 B' U' L B R'
L2 F U L2 R' B' L
D2 F U B2 L' D2 R2
L2 F U R' L2 B' L
U2 F U' L2 R' B' L
U' F U2 L2 R' B' L
L F U L2 R' B' L
U2 F U' R' L2 B' L
U' F U2 R' L2 B' L
L F U R' L2 B' L
D2 F D L2 U L R'
D2 F D L2 U R' L
U' F D2 F U2 L' R'
U' F D2 F U2 R' L'
D2 F' U R' B2 D2 L2
D2 F' U R2 B2 L R
D2 F' U R2 B2 R L
D2 F' U' R U2 R2 B2
D2 F' U' R U2 B2 R2
U' F' D2 F' R U2 R2
U' F2 U2 R' B' L B
U' F2 U2 B' L B R'
U' F2 B R' B' U2 R'
F' D2 U' F' R U2 R2
F D2 U' F U2 L' R'
F D2 U' F U2 R' L'
B' D2 F' U L R B2
B' D2 F' U L B2 R
B' D2 F' U R L B2
U' B R' F2 B' U2 R'
U' B R' B' F2 U2 R'
B2 D2 B U L B R'
B D2 B' U R' B' L
F2 B R' U R B U
U' B F2 R' B' U2 R'
U B D2 B' R' B' L
U B' L B R' D2 B2
U B' L B D2 R' B2
U B' L B' D2 B2 R'
B' F' U L R2 B R'
B' F' U R2 L B R'
F' B' U L R2 B R'
F' B' U R2 L B R'
B F2 R' U R B U
U B2 D2 B L B R'
