U2 F B R U' F2
B' F R' B2 U' F2
U2 B F R U' F2
B F U2 L U F2
F B U2 L U F2
F B' R' B2 U' F2
F B' L2 R' B2 U' F2
B F' L2 F2 R U' F2
B' F' R' F2 B2 U' F2
B' F' R' B2 F2 U' F2
F' B' R' F2 B2 U' F2
F' B' R' B2 F2 U' F2
F B' R B2 R2 U' F2
F B' R' L B2 U' F2
F B' R' L' B2 U' F2
B' F' U R' F2 B2 U'
B' F' U R' B2 F2 U'
F B' R' L2 B2 U' F2
F B' R' U' F2 D L2
B' F' U F2 R' B2 U'
F' B' U R' F2 B2 U'
F' B' U R' B2 F2 U'
F B' R' B2 L U' F2
F B' R' B2 L' U' F2
F B' R' B2 L2 U' F2
F B' R' B2 U' F2 D
F B' R' B2 U' F2 D'
F B' R' B2 U' F2 D2
F B' R' B2 D' L2 U'
F' B' U F2 R' B2 U'
D2 B' F R' B2 U' F2
D' B' F R' B2 U' F2
F B' R2 B2 R U' F2
U2 B' F R B2 U' F2
D B' F R' B2 U' F2
R B' F R' B U' F'
U2 B2 F R B' U' F2
