U2 L' R2 B R' U
F2 R D2 F L' U'
R2 U2 L' B R' U
U2 R2 L' B R' U
R2 U2 B L' R' U
R2 U2 B R' L' U
U2 R2 B L' R' U
U2 R2 B R' L' U
F2 D' R F U' F2
D' F2 R F U' F2
F2 D2 R F L' U'
U2 R2 B R' L' D U
U2 R2 B R' L' D' U
U2 R2 B R' L' D2 U
U2 R2 B R' D L' U
U2 R2 B R' D' L' U
U2 R2 B R' D2 L' U
U2 R2 B D L' R' U
U2 R2 B D R' L' U
U2 R2 B D' L' R' U
U2 R2 B D' R' L' U
U2 R2 B D2 L' R' U
U2 R2 B D2 R' L' U
R2 D U2 L' B U F
U2 D L' R U F R
R2 D U2 B L' U F
U2 D L' R2 B U F
R D U2 L' B' U F
U2 D L' U F D R2
U2 D L' U2 F' U' F2
U2 D R L' U F R
U2 D R2 L' B U F
U2 D R2 B L' U F
L D' F' R U' F' B2
L D' F' R U' B2 F'
D U2 L' R U F R
D U2 L' R2 B U F
D U2 L' U F D R2
D U2 L' U2 F' U' F2
D U2 R L' U F R
R' D2 F L' F R U'
D U2 R2 L' B U F
D U2 R2 B L' U F
L D2 F L' R2 F2 U'
L D2 F L' F2 R2 U'
L D2 F R2 L' F2 U'
L2 D2 F' U2 L R U
L2 D2 F' U2 R L U
L D2 F' R2 U2 R' U
D2 F L' F R F U'
F' D L' R' U' F B
F' D L' R' U' B F
F2 D L' R U' F R
R2 F U2 B L R' U
R2 F U2 B R' L U
F2 D R L' U' F R
F2 D R D F L' U'
F2 D R F L' U' F
F' D R' L' U' F B
F' D R' L' U' B F
F' D' L R U' F' B'
F' D' L R U' B' F'
F' D' R L U' F' B'
F' D' R L U' B' F'
F2 D' R U' F' D R2
F2 D' R D F U' F2
F2 D' R D' F U' F2
F2 D' R D2 F U' F2
F2 D' R F L U' F2
F2 D' R F L' U' F2
F2 D' R F L2 U' F2
F2 D' R F U' F2 D
F2 D' R F U' F2 D'
F2 D' R F U' F2 D2
F2 D' R F D' L2 U'
L F' D' R U' F' B2
L F' D' R U' B2 F'
F2 D' R' F R2 U' F'
F2 D' R2 F R' U' F'
D F2 L' R U' F R
D' F2 R U' F' D R2
D' F2 R D F U' F2
D' F2 R D' F U' F2
D' F2 R D2 F U' F2
D' F2 R F L U' F2
D' F2 R F L' U' F2
D' F2 R F L2 U' F2
D2 F2 R F U2 R U
D' F2 R F U' F2 D
D' F2 R F U' F2 D'
D' F2 R F U' F2 D2
D' F2 R F D' L2 U'
D2 F2 R F' L' F2 U'
D F2 R L' U' F R
D' F2 R' F R2 U' F'
D F2 R D F L' U'
D F2 R F L' U' F
D' F2 R2 F R' U' F'
R F2 R U2 B R' U
R' F2 D' R U' F' R
D' F2 D' R F L' U'
D F2 D R F L' U'
F2 D2 R F L' U' D
F2 D2 R F L' U' D'
F2 D2 R F L' U' D2
F2 D2 R F L' D U'
F2 D2 R F L' D' U'
F2 D2 R F L' D2 U'
F2 D2 R F D L' U'
F2 D2 R F D' L' U'
F2 D2 R F D2 L' U'
F2 D2 R' F L' R2 U'
F2 D2 R' F R2 L' U'
D F2 D2 R F U' F2
L F2 D2 R2 F L' U'
L F2 D2 F L' R2 U'
L F2 D2 F R2 L' U'
F2 D2 R2 F L' R' U'
F2 D2 R2 F R' L' U'
U2 B L' R2 B R U
R2 B L2 R' F L U
R2 B L2 F L R' U
R2 B L2 F R' L U
R2 B R' L2 F L U
U2 B R2 L' B R U
U2 B R2 B L' R U
U2 B R2 B R L' U
U2 B' L' U2 L2 F' U'
U2 B' L' U2 F' L2 U'
U2 B' L' D2 R2 B U
B' F' L D2 B R' U'
F' B' L D2 B R' U'
L' B' U2 L F' B U'
L' B' U2 L B F' U'
L' B' U2 F' L B U'
B' F' D' L B U' B2
F' B' D' L B U' B2
B' F' D2 L B R' U'
F' B' D2 L B R' U'
U2 B2 L' U2 F' L' U'
L' B2 U2 F' L' B2 U'
L' B2 U2 F' B2 L' U'
L' B2 U2 B2 F' L' U'
