R2 L' U' L' B R
R2 L' U' B L' R
R2 L' U' B R L'
L' R2 U' L' B R
L' R2 U' B L' R
L' R2 U' B R L'
F2 L2 R' D' F2 B'
F2 L2 R' D' B' F2
F2 L2 R' D' B' F2
F2 L2 R' B' D' F2
L2 R2 B D' R F'
R2 L2 B D' R F'
F2 R U L2 R2 B'
F2 R U L2 B' R2
F2 R U R2 L2 B'
L' U' L' R2 B R
L' U' R2 L' B R
L' U' R2 B L' R
L' U' R2 B R L'
F2 R' L2 D' F2 B'
F2 R' L2 D' B' F2
F2 R' L2 B' D' F2
L R' D2 L B' D' F2
D2 L' U R2 U2 B R
B2 L' U L2 F' U2 L
L2 R' D2 U L U' B'
R2 L' D2 U' L' B R
D2 L' U F' R2 U2 R
R2 L' D2 U' B L' R
R2 L' D2 U' B R L'
B' L' U' L' R2 B R'
U' L' U' L' R2 B R
U2 L' U' L' R2 B R
B' L' U' R2 L' B R'
U' L' U' R2 L' B R
B' L' U' R2 B L' R'
B' L' U' R2 B R' L'
U' L' U' R2 B L' R
U' L' U' R2 B R L'
U2 L' U' R2 L' B R
U L' U' L' R2 B R
U2 L' U' R2 B L' R
U2 L' U' R2 B R L'
B2 L' U' D2 L' R2 B
B2 L' U' D2 R2 L' B
B2 L' U' D2 R2 B L'
U L' U' R2 L' B R
U L' U' R2 B L' R
U L' U' R2 B R L'
F' L' U2 R' D' L' F
F' L' U2 D' L' R' F
F' L' U2 D' L' F R'
F' L' U2 D' R' L' F
F' L' D' U2 L' R' F
F' L' D' U2 L' F R'
F' L' D' U2 R' L' F
R2 L' B' U' L' R B2
R2 L' B' U' L' B2 R
R2 L' B' U' R L' B2
R2 L' B' U' R B2 L'
B2 L' D2 U' L' R2 B
B2 L' D2 U' R2 L' B
R2 L' B' U' B2 L' R
R2 L' B' U' B2 R L'
B2 L' D2 U' R2 B L'
R2 L' B2 U' R B' L'
L2 R' B2 U' R' U B
R2 L' B2 U' B' L' R
R2 L' B2 U' B' R L'
R' L2 U L R' U' B
R' L2 U R' L U' B
R2 L2 U L U' B R
L2 R2 U L U' B R
R' L2 U D2 L U' B'
L' R2 U' L B L2 R
L' R2 U' L B R L2
L' R2 U' L' D B R
L' R2 U' L' D' B R
L' R2 U' L' D2 B R
L' R2 U' L' B R D
L' R2 U' L' B R D'
L' R2 U' L' B R D2
L' R2 U' L' B D R
L' R2 U' L' B D' R
L' R2 U' L' B D2 R
L' R2 U' L' B' R B2
L' R2 U' L' B2 R B'
L' R2 U' D L' B R
L' R2 U' D B L' R
L' R2 U' D B R L'
L' R2 U' D' L' B R
L' R2 U' D' B L' R
L' R2 U' D' B R L'
L' R2 U' D2 L' B R
L' R2 U' D2 B L' R
L' R2 U' D2 B R L'
L' R2 U' B L' R D
L' R2 U' B L' R D'
L' R2 U' B L' R D2
L' R2 U' B L' D R
L' R2 U' B L' D' R
L' R2 U' B L' D2 R
L' R2 U' B R L' D
L' R2 U' B R L' D'
L' R2 U' B R L' D2
L' R2 U' B R D L'
L' R2 U' B R D' L'
L' R2 U' B R D2 L'
L' R2 U' B D L' R
L' R2 U' B D R L'
L' R2 U' B D' L' R
L' R2 U' B D' R L'
L' R2 U' B D2 L' R
L' R2 U' B D2 R L'
L' R2 U' B' L' R B2
L' R2 U' B' L' B2 R
L' R2 U' B' R L' B2
L' R2 U' B' R B2 L'
L' R2 U' B2 R B' L'
L R2 D L B R F2
L' R2 D U' L' B R
L' R2 D U' B L' R
L' R2 D U' B R L'
L2 R2 D B D' R F'
R2 L2 D B D' R F'
L' R2 D' U' L' B R
D' L' B2 U L F' U2
L' R2 D' U' B L' R
L' R2 D' U' B R L'
D' L' B2 U F' L U2
L2 R2 D' B D' R F'
R2 L2 D' B D' R F'
R' L2 D2 U L U' B'
L' R2 D2 U' L' B R
L' R2 D2 U' B L' R
L' R2 D2 U' B R L'
F2 L2 R B' R2 D' F2
L2 R2 D2 B D' R F'
F2 L2 R' U' R2 U B'
R2 L2 D2 B D' R F'
F2 L2 R' D' F2 D B'
F2 L2 R' D' F2 D' B'
F2 L2 R' D' F2 D2 B'
F2 L2 R' D' F2 B' D
F2 L2 R' D' F2 B' D'
F2 L2 R' D' F2 B' D2
F2 L2 R' D' B' F2 D
F2 L2 R' D' B' F2 D'
F2 L2 R' D' B' F2 D2
F2 L2 R' D2 B' D F2
F2 L2 R' F D' F2 B'
F2 L2 R' F D' B' F2
F2 L2 R' F B' D' F2
F2 L2 R' F' D' F2 B'
F2 L2 R' F' D' B' F2
F2 L2 R' F' B' D' F2
F2 L2 R' F2 D' F2 B'
F2 L2 R' F2 D' B' F2
F2 L2 R' F2 B' D' F2
F2 L2 R' B' U' R2 U
F2 L2 R' B' D' F2 D
F2 L2 R' B' D' F2 D'
F2 L2 R' B' D' F2 D2
F2 L2 R' B' F D' F2
F2 L2 R' B' F' D' F2
F2 L2 R' B' F2 D' F2
F2 L2 R' B2 D' F2 B
F2 L2 R' B2 D' B F2
U' L2 R2 B D' R F'
F2 L2 R2 B' D' R F'
U2 L2 R2 B D' R F'
U L2 R2 B D' R F'
F2 L2 U' R U R2 B'
F2 L2 U' R U B' R2
L2 R2 B D' R D F'
L2 R2 B D' R D' F'
L2 R2 B D' R D2 F'
L2 R2 B D' R F' D
L2 R2 B D' R F' D'
L2 R2 B D' R F' D2
R2 L2 B D' R D F'
R2 L2 B D' R D' F'
R2 L2 B D' R D2 F'
R2 L2 B D' R F' D
R2 L2 B D' R F' D'
R2 L2 B D' R F' D2
L' R2 B' U' L' R B2
L' R2 B' U' L' B2 R
L' R2 B' U' R L' B2
L' R2 B' U' R B2 L'
L' R2 B' U' B2 L' R
L' R2 B' U' B2 R L'
F2 L2 D R' D' F2 B'
F2 L2 D R' D' B' F2
F2 L2 D R' B' D' F2
R' L2 B2 U' R' U B
L' R2 B2 U' R B' L'
L' R2 B2 U' B' L' R
L' R2 B2 U' B' R L'
L2 R2 B2 R D' F2 B'
L2 R2 B2 R D' B' F2
L2 R2 B2 R B' D' F2
R2 L2 B2 R D' F2 B'
R2 L2 B2 R D' B' F2
R2 L2 B2 R B' D' F2
F2 L2 D' R' D' F2 B'
F2 L2 D' R' D' B' F2
F2 L2 D' R' B' D' F2
L2 U L R2 U' B R
L2 U L U F' U2 R'
L2 U L U' R2 B R
L' U L F' U2 L2 R'
L' U L F' U2 R' L2
R' U L' R' U' L' B
R' U L' R' U' B L'
F2 L2 D2 R' D' F2 B'
F2 L2 D2 R' D' B' F2
F2 L2 D2 R' B' D' F2
R2 U L' U' L' B R
R2 U L' U' B L' R
R2 U L' U' B R L'
L' U L2 F' U2 L R'
L' U L2 F' U2 R' L
L' U R U2 L' R2 B'
L' U R U2 L' B' R2
L' U R U2 R2 L' B'
R2 U L2 B D' R F'
R' U R' L' U' L' B
R' U R' L' U' B L'
L' U R2 U2 L' B R
L' U R2 U2 B L' R
L' U R2 U2 B R L'
L2 U R2 L U' B R
F2 R L U L R2 B'
F2 R L U L B' R2
F2 R L U R2 L B'
F2 R L2 B' R2 D' F2
F2 R U L2 R B' R
F2 R U L2 R2 D B'
F2 R U L2 R2 D' B'
F2 R U L2 R2 D2 B'
F2 R U L2 R2 B' D
F2 R U L2 R2 B' D'
F2 R U L2 R2 B' D2
F2 R U L2 B R2 B2
F2 R U L2 B' R2 D
F2 R U L2 B' R2 D'
F2 R U L2 B' R2 D2
F2 R U R L2 B' R
F2 R U R2 L2 D B'
F2 R U R2 L2 D' B'
F2 R U R2 L2 D2 B'
F2 R U R2 L2 B' D
F2 R U R2 L2 B' D'
F2 R U R2 L2 B' D2
F2 R U R2 B L2 B'
F2 R U R2 B' L2 B'
F2 R U R2 B2 L2 B'
L' U F2 R F U2 R2
F2 R U B L2 R2 B'
F2 R U B L2 B' R2
F2 R U B R2 L2 B'
F2 R U B' L2 R2 B'
F2 R U B' L2 B' R2
F2 R U B' R2 L2 B'
F2 R U B2 L2 R2 B'
F2 R U B2 L2 B' R2
F2 R U B2 R2 L2 B'
F2 R U' L2 B' R2 F'
F2 R U' F U2 L2 R2
F2 R U' F U2 R2 L2
L' U' L R2 B L2 R
L' U' L R2 B R L2
L' U' L' R2 D B R
L' U' L' R2 D' B R
L' U' L' R2 D2 B R
L' U' L' R2 B R D
L' U' L' R2 B R D'
L' U' L' R2 B R D2
L' U' L' R2 B D R
L' U' L' R2 B D' R
L' U' L' R2 B D2 R
L' U' L' R2 B' R B2
L' U' L' R2 B2 R B'
L' U' L' U2 F' U2 R'
L' U' L' D R2 B R
L' U' L' D' R2 B R
L' U' L' D2 R2 B R
R2 U' L' U' L' B R
R2 U' L' U' B L' R
R2 U' L' U' B R L'
L' U' L' B' R2 B R'
L' U' L2 R' D2 L B'
R U' L' U' L' R2 B'
R U' L' U' L' B' R2
R U' L' U' R2 L' B'
R2 U' L2 B D' R F'
L' U' R' L2 D2 L B'
D R F2 R U B R
F2 R F2 U L2 R2 B
F2 R F2 U R2 L2 B
F2 R F2 U R2 B L2
L' U' R' D2 L B' L2
L' U' R2 L B L2 R
L' U' R2 L B R L2
L' U' R2 L' D B R
L' U' R2 L' D' B R
L' U' R2 L' D2 B R
L' U' R2 L' B R D
L' U' R2 L' B R D'
L' U' R2 L' B R D2
L' U' R2 L' B D R
L' U' R2 L' B D' R
L' U' R2 L' B D2 R
L' U' R2 L' B' R B2
L' U' R2 L' B2 R B'
F2 R B U L2 R2 B'
F2 R B U L2 B' R2
F2 R B U R2 L2 B'
L' U' R2 D L' B R
L' U' R2 D B L' R
L' U' R2 D B R L'
L' U' R2 D' L' B R
L' U' R2 D' B L' R
L' U' R2 D' B R L'
L' U' R2 D2 L' B R
L' U' R2 D2 B L' R
L' U' R2 D2 B R L'
L' U' R2 B L' R D
L' U' R2 B L' R D'
L' U' R2 B L' R D2
L' U' R2 B L' D R
L' U' R2 B L' D' R
L' U' R2 B L' D2 R
L' U' R2 B R L' D
L' U' R2 B R L' D'
L' U' R2 B R L' D2
L' U' R2 B R D L'
L' U' R2 B R D' L'
L' U' R2 B R D2 L'
L' U' R2 B D L' R
L' U' R2 B D R L'
L' U' R2 B D' L' R
L' U' R2 B D' R L'
L' U' R2 B D2 L' R
L' U' R2 B D2 R L'
L' U' R2 B' L' R B2
L' U' R2 B' L' B2 R
L' U' R2 B' R L' B2
L' U' R2 B' R B2 L'
L' U' R2 B2 R B' L'
L' U' D L' R2 B R
F2 R B' U L2 R2 B'
F2 R B' U L2 B' R2
F2 R B' U R2 L2 B'
L' U' D R2 L' B R
L' U' D R2 B L' R
L' U' D R2 B R L'
L' U' D' L' R2 B R
L' U' D' R2 L' B R
L' U' D' R2 B L' R
L' U' D' R2 B R L'
F2 R B2 U L2 R2 B'
F2 R B2 U L2 B' R2
F2 R B2 U R2 L2 B'
L' U' D2 L' R2 B R
L' U' D2 R2 L' B R
L' U' D2 R2 B L' R
L' U' D2 R2 B R L'
F2 R' L' D' L' F2 B'
F2 R' L' D' L' B' F2
F2 R' L2 U' R2 U B'
F2 R' L2 D' F2 D B'
F2 R' L2 D' F2 D' B'
F2 R' L2 D' F2 D2 B'
F2 R' L2 D' F2 B' D
F2 R' L2 D' F2 B' D'
F2 R' L2 D' F2 B' D2
F2 R' L2 D' B' F2 D
F2 R' L2 D' B' F2 D'
F2 R' L2 D' B' F2 D2
F2 R' L2 D2 B' D F2
F2 R' L2 F D' F2 B'
F2 R' L2 F D' B' F2
F2 R' L2 F B' D' F2
L' U' F' U2 R' F L'
F2 R' L2 F' D' F2 B'
F2 R' L2 F' D' B' F2
F2 R' L2 F' B' D' F2
L' U' F' U2 F L' R'
L' U' F' U2 F R' L'
F2 R' L2 F2 D' F2 B'
F2 R' L2 F2 D' B' F2
F2 R' L2 F2 B' D' F2
F2 R' L2 B' U' R2 U
F2 R' L2 B' D' F2 D
F2 R' L2 B' D' F2 D'
F2 R' L2 B' D' F2 D2
F2 R' L2 B' F D' F2
F2 R' L2 B' F' D' F2
F2 R' L2 B' F2 D' F2
F2 R' L2 B2 D' F2 B
F2 R' L2 B2 D' B F2
F2 R' U' R2 U L2 B'
L' U' B' L' R2 B R'
L' U' B' R2 L' B R'
L' U' B' R2 B L' R'
L' U' B' R2 B R' L'
L' U' B2 L' D2 R2 B
R2 U2 L' U' L' B R
R2 U2 L' U' B L' R
R2 U2 L' U' B R L'
R U2 L' U' R2 B' L'
R U2 L' U' B' L' R2
R U2 L' U' B' R2 L'
R2 U2 L2 B D' R F'
F2 R' B L2 D' F2 B'
F2 R' B L2 D' B' F2
F2 R' B L2 B' D' F2
F2 R' B' L2 D' F2 B'
F2 R' B' L2 D' B' F2
F2 R' B' L2 B' D' F2
F2 R' B2 L2 D' F2 B'
F2 R' B2 L2 D' B' F2
F2 R' B2 L2 B' D' F2
B' R2 L' U' L' B R'
U' R2 L' U' L' B R
B' R2 L' U' B L' R'
B' R2 L' U' B R' L'
U' R2 L' U' B L' R
U' R2 L' U' B R L'
U2 R2 L' U' L' B R
U2 R2 L' U' B L' R
U2 R2 L' U' B R L'
D' R2 L' B2 U' R B'
D' R2 L' B2 U' B' R
U R2 L' U' L' B R
U R2 L' U' B L' R
U R2 L' U' B R L'
U' R2 L2 B D' R F'
F2 R2 L2 B' D' R F'
U2 R2 L2 B D' R F'
L2 U2 F' U' L U' R'
U R2 L2 B D' R F'
D2 R2 U' L' U' B R
F' R2 U2 L2 D R F'
L D L R2 B R F2
L D L' F2 L2 R' B'
L D L' F2 R' L2 B'
L' D R2 U' L' B R
L' D R2 U' B L' R
L' D R2 U' B R L'
L D R' F2 D2 L B'
L D R2 L B R F2
L2 D R2 B D' R F'
L' D U' L' R2 B R
L' D U' R2 L' B R
L' D U' R2 B L' R
L' D U' R2 B R L'
F2 U L2 R' D' F2 B'
F2 U L2 R' D' B' F2
F2 U L2 R' B' D' F2
F2 U R U L2 R2 B'
F2 U R U L2 B' R2
F2 U R U R2 L2 B'
L D F' U2 L F' R'
L D F' U2 F' L R'
L D F' U2 F' R' L
L D F2 L D2 R' B
L D F2 L2 R' B' L'
F2 U R' L2 D' F2 B'
F2 U R' L2 D' B' F2
F2 U R' L2 B' D' F2
L D F2 R' L2 B' L'
R D F2 R B2 U B'
R D F2 B2 R U B
R D B2 F2 R U B
F U D2 R' B2 L F
R2 D' L' B2 U' R B'
R2 D' L' B2 U' B' R
F' U F' R U L2 R2
F' U F' R U R2 L2
L' D' R2 U' L' B R
L' D' R2 U' B L' R
L' D' R2 U' B R L'
F U F2 U2 L2 R' F'
F U F2 U2 R' L2 F'
F U F2 U2 R' F' L2
L D' R' D2 L F2 B'
L D' R' D2 L B' F2
L D' R' D2 F2 L B'
L2 D' R2 B D' R F'
L' D' U' L' R2 B R
L' D' U' R2 L' B R
L' D' U' R2 B L' R
L' D' U' R2 B R L'
F2 U' L2 R' D' F2 B'
F2 U' L2 R' D' B' F2
F2 U' L2 R' B' D' F2
F U' L2 R' D2 F' B2
F U' L2 R' D2 B2 F'
F2 U' R U L2 R2 B'
F2 U' R U L2 B' R2
F2 U' R U R2 L2 B'
F U' L2 D2 R' F' B2
F U' L2 D2 R' B2 F'
L D' F' B2 L R' U2
L D' F' B2 R' L U2
F2 U' R' L2 D' F2 B'
F2 U' R' L2 D' B' F2
F2 U' R' L2 B' D' F2
F U' R' L2 D2 F' B2
F U' R' L2 D2 B2 F'
F U' R' F L2 F2 B'
F U' R' F L2 B' F2
L D' B2 L F' R' U2
L D' B2 F' L R' U2
L D' B2 F' R' L U2
F' U' F L' U' L' R'
F' U' F L' U' R' L'
F U' D2 R' F' B2 L
F U' D2 R' B2 L F'
F U' D2 R' B2 F' L
F U' F L2 R' F' B'
F U' F L2 R' B' F'
F U' F R' L2 F' B'
F U' F R' L2 B' F'
F' U' F2 U' L2 R' F'
F' U' F2 U' R' L2 F'
F' U' F2 U' R' F' L2
L' D2 R2 U' L' B R
F U' F2 R' F' L2 B'
L' D2 R2 U' B L' R
L' D2 R2 U' B R L'
L2 D2 R2 B D' R F'
L D2 R2 U L B R
L' D2 U' L' R2 B R
L' D2 U' R2 L' B R
L' D2 U' R2 B L' R
L' D2 U' R2 B R L'
F' U2 L' R' D' L' F
F' U2 L' D' L' R' F
F' U2 L' D' L' F R'
F' U2 L' D' R' L' F
F' U2 L2 R2 D R F'
F2 U2 L2 R' D' F2 B'
F2 U2 L2 R' D' B' F2
F2 U2 L2 R' B' D' F2
F' U2 L2 D R F' R2
F' U2 L2 F' R' D' F2
F2 U2 R U L2 R2 B'
F2 U2 R U L2 B' R2
F2 U2 R U R2 L2 B'
F' U2 R' L' D' L' F
F2 U2 R' L2 D' F2 B'
F2 U2 R' L2 D' B' F2
F2 U2 R' L2 B' D' F2
F' U2 R2 L2 D R F'
F' U2 F' L2 R' D' F2
F' U2 F' R' L2 D' F2
F2 D R F2 U R2 B
F2 D R' D' L2 F2 B'
F2 D R' D' L2 B' F2
D2 F' R2 U2 D R F'
D2 F' R2 D U2 R F'
D F' U F' R U R2
L F' U' L2 U' L' R'
L F' U' L2 U' R' L'
L F' U2 R' D L F2
L F' U2 R' D F2 L
L F' U2 D L R' F2
L F' U2 D L F2 R'
L F' U2 D R' L F2
L F' U2 D R' F2 L
L F' U2 D F2 L R'
L F' U2 D F2 R' L
L F' D U2 L R' F2
L F' D U2 L F2 R'
L F' D U2 R' L F2
L F' D U2 R' F2 L
L F' D U2 F2 L R'
L F' D U2 F2 R' L
L F' D' B2 L R' U2
L F' D' B2 R' L U2
U' F2 L2 R' D' F2 B'
U' F2 L2 R' D' B' F2
U' F2 L2 R' B' D' F2
U2 F2 L2 R' D' F2 B'
U2 F2 L2 R' D' B' F2
U2 F2 L2 R' B' D' F2
U' F2 R U L2 R2 B'
U' F2 R U L2 B' R2
U' F2 R U R2 L2 B'
D F2 L2 R U R2 B'
D F2 L2 R U B' R2
U' F2 R' L2 D' F2 B'
U' F2 R' L2 D' B' F2
U' F2 R' L2 B' D' F2
U2 F2 R U L2 R2 B'
U2 F2 R U L2 B' R2
U2 F2 R U R2 L2 B'
U F2 L2 R' D' F2 B'
U F2 L2 R' D' B' F2
U F2 L2 R' B' D' F2
L F2 L2 U' R' B' L'
D F2 R L2 U R2 B'
D F2 R L2 U B' R2
D F2 R U' F U2 R2
U2 F2 R' L2 D' F2 B'
U2 F2 R' L2 D' B' F2
U2 F2 R' L2 B' D' F2
U F2 R U L2 R2 B'
U F2 R U L2 B' R2
U F2 R U R2 L2 B'
R F2 R U L2 B R
R F2 R U B L2 R
R F2 R U B R L2
U F2 R' L2 D' F2 B'
U F2 R' L2 D' B' F2
U F2 R' L2 B' D' F2
L' F2 U R F U2 R2
L' F2 U' R' D2 L2 B'
F' D2 R2 U2 D' R F'
F' D2 R2 D' U2 R F'
F D2 U R' B2 L F
R2 B L R D L F2
R2 B L R D F2 L
R2 B L D L R F2
R2 B L D R L F2
R2 B L D R F2 L
F D2 U' R' F' B2 L
F D2 U' R' B2 L F'
F D2 U' R' B2 F' L
R2 B L2 R U L U'
R2 B L2 U L U' R
R2 B R L D L F2
R2 B R L D F2 L
R2 B R L2 U L U'
R2 B R U L' U' L'
R2 B U L' U' L' R
R2 B U L' U' R L'
F2 B L2 B' R' D' F2
R2 B' L' U' L' R B2
R2 B' L' U' L' B2 R
R2 B' L' U' R L' B2
R2 B' L' U' R B2 L'
R2 B' L' U' B2 L' R
R2 B' L' U' B2 R L'
R2 B' L2 B2 R D' F2
L' B' R2 U' L' B R'
L' B' R2 U' B L' R'
L' B' R2 U' B R' L'
L' B' U' L' R2 B R'
L' B' U' R2 L' B R'
L' B' U' R2 B L' R'
L' B' U' R2 B R' L'
D' B2 L' U L2 F' U2
D' B2 L' U F' L2 U2
D' B2 L' U' D2 R2 B
D' B2 L' D2 U' R2 B
L' B2 U L F' U2 L2
B F2 L2 B' R' D' F2
L' B2 U' L' D2 R2 B
