R2 L D B' U2 L
R' L B' U F' U
L R B' U' B2 U'
L R B' U2 D L2
L R B' D U2 L2
L R B' D' R2 U2
R L B' U' B2 U'
R L B' U2 D L2
R L B' D U2 L2
R L B' D' R2 U2
L R' B' U F' U
L R2 D B' U2 L
L U2 L2 D F L'
L B' R U' B U'
L B' R' U F' U
L B' U F' U L'
L B' U' B U' L
L R B' R D' R2 U2
R' L B' U D F' U
R' L B' U D' F' U
R' L B' U D2 F' U
R' L B' U F' U D
R' L B' U F' U D'
R' L B' U F' U D2
R' L B' U F' D U
R' L B' U F' D' U
R' L B' U F' D2 U
R2 L B' R' U' B U'
L R B' R' U' B2 U'
L R B' R' U2 D L2
R L B' R U' B2 U'
R L B' R U2 D L2
L R B' R' D U2 L2
R L B' R D U2 L2
L R B' R' D' R2 U2
R L B' R D' R2 U2
L R B' R2 U' B2 U'
L R B' R2 U2 D L2
R L B' R' U' B2 U'
R L B' R' U2 D L2
L R B' R2 D U2 L2
R L B' R' D U2 L2
L R B' R2 D' R2 U2
R L B' R' D' R2 U2
R L B' R2 U' B2 U'
R L B' R2 U2 D L2
R L B' R2 D U2 L2
R' L B' D U F' U
L R B' U D2 F2 U
R L B' R2 D' R2 U2
R' L B' D' U F' U
R L B' U D2 F2 U
L R B' U' B2 U' D
L R B' U' B2 U' D'
L R B' U' B2 U' D2
L R B' U' B2 D U'
L R B' U' B2 D' U'
L R B' U' B2 D2 U'
L R B' U2 L D L2
L R B' U2 L' D L2
L R B' U2 L2 D L2
L R B' U2 D L2 D
L R B' U2 D L2 D'
L R B' U2 D L2 D2
R' L B' D2 U F' U
R L B' U' B2 U' D
R L B' U' B2 U' D'
R L B' U' B2 U' D2
R L B' U' B2 D U'
R L B' U' B2 D' U'
R L B' U' B2 D2 U'
L R B' D R U2 L2
R L B' U2 L D L2
R L B' U2 L' D L2
L R B' D R' U2 L2
L R B' D R2 U2 L2
R L B' U2 L2 D L2
L R B' D U2 L2 D
L R B' D U2 L2 D'
L R B' D U2 L2 D2
R L B' U2 D L2 D
R L B' U2 D L2 D'
R L B' U2 D L2 D2
R L B' D R U2 L2
L R B' D' R2 U2 D
L R B' D' R2 U2 D'
L R B' D' R2 U2 D2
L R B' D' R2 D U2
L R B' D' R2 D' U2
L R B' D' R2 D2 U2
R L B' D R' U2 L2
R L B' D R2 U2 L2
R L B' D U2 L2 D
R L B' D U2 L2 D'
R L B' D U2 L2 D2
L R B' D2 U F2 U
R L B' D' R2 U2 D
R L B' D' R2 U2 D'
R L B' D' R2 U2 D2
R L B' D' R2 D U2
R L B' D' R2 D' U2
R L B' D' R2 D2 U2
R L B' D2 U F2 U
R2 L B2 D B R' U2
L R' U F' U' B' U2
U' L B' R' U' R U'
U2 L B' U F U B
L R' U2 L2 F D' L2
L R' U2 F D' L2 F
L R' D B' U F' U
L R' D' B' U F' U
L R' D2 B' U F' U
L R' B' R2 U' B U'
L R' B' U D F' U
L R' B' U D' F' U
L R' B' U D2 F' U
L R' B' U F' U D
L R' B' U F' U D'
L R' B' U F' U D2
L R' B' U F' D U
L R' B' U F' D' U
L R' B' U F' D2 U
L R' B' D U F' U
L R' B' D' U F' U
L R' B' D2 U F' U
L R2 U2 L2 D' F L'
L R2 U2 D' L2 F L'
L2 R2 D L' B' U2 L
R2 L2 D L' B' U2 L
L R2 D R B' U2 L
L R2 D R' B' U2 L
L R2 D R2 B' U2 L
L R2 D B R' B2 U2
L R2 D B' R U2 L
L R2 D B' R' U2 L
L R2 D B' R2 U2 L
L R2 D B' U2 L D
L R2 D B' U2 L D'
L R2 D B' U2 L D2
L R2 D B' U2 D L
L R2 D B' U2 D' L
L R2 D B' U2 D2 L
L R2 D B' D U2 L
L R2 D B' D' U2 L
L R2 D B' D2 U2 L
L R2 D' U2 L2 F L'
L R2 B' R U F' U
L R2 B' R' U' B U'
L R2 B2 D B R' U2
D2 R L U' B U' F'
L U F U' R B' U2
L U F U' B' R U2
L' U F' U L' F2 R
R' U F' U' L B' U2
L U F' U L2 F L
L U F' U' B' U2 L'
L U F2 U L2 F L'
L U' L2 B U' F L
D R' L U F' R U
D2 R' L B U F' U
L U' B U B2 R' U2
L U' B U' L D2 F2
L U' B U' D2 L F2
L U' B U' D2 F2 L
L U' B D L2 U' L'
L U' B D2 U' L F2
L U' B D2 U' F2 L
L U' B2 U B R' U2
L U2 L U' F R U
L U2 L2 D F L' D
L U2 L2 D F L' D'
L U2 L2 D F L' D2
L U2 L2 D F D L'
L U2 L2 D F D' L'
L U2 L2 D F D2 L'
L U2 D L2 D F L'
L U2 D' L2 D F L'
L U2 D2 L2 D F L'
L U2 F L2 D F L'
L U2 F' L2 D F L'
L U2 F2 L2 D F L'
D' R2 D L B' U2 L
R' D L U F' R U
L D R B' U' B2 U'
L D R B' U2 D L2
L D R B' D U2 L2
L D R B' D' R2 U2
L D R' B' U F' U
L D R2 D B' U2 L
L D U2 L2 D F L'
F U L F' B' U2 L'
F U L B' F' U2 L'
L D B' R U' B U'
L D B' R' U F' U
L D B' U F' U L'
L D B' U' B U' L
F' U F L R B' U2
F' U F L B' R U2
F' U F R L B' U2
B' U F' U L' F R
B2 U F' U L' R' F
B2 U F' U L' F R'
B2 U F' U R' L' F
F U F' L U2 L2 F
F U F' L B' U2 L2
L D' R B' U' B2 U'
L D' R B' U2 D L2
L D' R B' D U2 L2
L D' R B' D' R2 U2
L D' R' B' U F' U
L D' R2 D B' U2 L
F2 U' L F2 B' R' U2
F2 U' L B' R' F2 U2
F2 U' L B' F2 R' U2
L D' U2 L2 D F L'
F U' L F' B' R' U2
F U' L B' F' R' U2
L D' B' R U' B U'
L D' B' R' U F' U
L D' B' U F' U L'
L D' B' U' B U' L
F' U' F L B' R' U2
F2 U' F2 L B' R' U2
F U' F' L B' R' U2
L D2 R B' U' B2 U'
L D2 R B' U2 D L2
L D2 R B' D U2 L2
L D2 R B' D' R2 U2
L D2 R' B' U F' U
L D2 R2 D B' U2 L
L D2 U2 L2 D F L'
L D2 B' R U' B U'
L D2 B' R' U F' U
L D2 B' U F' U L'
L D2 B' U' B U' L
U F U' L R B' U2
U F U' L B' R U2
U F U' R L B' U2
R' F' U' F L B' U2
U F' U L' D2 R2 F
U F' U L' D2 F R2
U F' U L' F D2 R2
U F' U' L U2 L2 F
U F' U' L B' U2 L2
U F' B2 U L' R' F
U F' B2 U L' F R'
U F' B2 U R' L' F
L B R B2 U' B' U'
L B R' B2 U F' U
L B' R U' D B U'
L B' R U' D' B U'
L B' R U' D2 B U'
L B' R U' B U' D
L B' R U' B U' D'
L B' R U' B U' D2
L B' R U' B D U'
L B' R U' B D' U'
L B' R U' B D2 U'
L B' R D U' B U'
L B' R D' U' B U'
L B' R D2 U' B U'
L B' R' U D F' U
L B' R' U D' F' U
L B' R' U D2 F' U
L B' R' U F' U D
L B' R' U F' U D'
L B' R' U F' U D2
L B' R' U F' D U
L B' R' U F' D' U
L B' R' U F' D2 U
L B' R' D U F' U
L B' R' D' U F' U
L B' R' D2 U F' U
L B' U D F' U L'
L B' U D' F' U L'
L B' U D2 F' U L'
L B' U F U' R U2
L B' U F' U L' D
L B' U F' U L' D'
L B' U F' U L' D2
L B' U F' U D L'
L B' U F' U D' L'
L B' U F' U D2 L'
L B' U F' D U L'
L B' U F' D' U L'
L B' U F' D2 U L'
L B' U' D B U' L
L B' U' D' B U' L
L B' U' D2 B U' L
L B' U' B U' L D
L B' U' B U' L D'
L B' U' B U' L D2
L B' U' B U' D L
L B' U' B U' D' L
L B' U' B U' D2 L
L B' U' B D U' L
L B' U' B D' U' L
L B' U' B D2 U' L
L B' U' B' U R' U2
L B' U2 L U' F U
L B' U2 L' U B' U'
L B' D R U' B U'
L B' D R' U F' U
L B' D U F' U L'
L B' D U' B U' L
L B' D' R U' B U'
L B' D' R' U F' U
L B' D' U F' U L'
L B' D' U' B U' L
L B' D2 R U' B U'
L B' D2 R' U F' U
L B' D2 U F' U L'
L B' D2 U' B U' L
U B2 F' U L' R' F
U B2 F' U L' F R'
U B2 F' U R' L' F
