L2 B U' L' R'
L2 B U' R' L'
D L' F U' F L2
F' L2 B U' L' R'
F' L2 B U' R' L'
F2 L2 B U' L' R'
F2 L2 B U' R' L'
F L2 B U' L' R'
F L2 B U' R' L'
L2 U' L' B R' B'
L2 U' B R' B' L'
L2 U2 B U L' R'
L2 U2 B U R' L'
L' B L' U' L' R'
L' B L' U' R' L'
L2 B U' L' R' D
L2 B U' L' R' D'
L2 B U' L' R' D2
L2 B U' L' D R'
L2 B U' L' D' R'
L2 B U' L' D2 R'
L2 B U' R' L' D
L2 B U' R' L' D'
L2 B U' R' L' D2
L2 B U' R' D L'
L2 B U' R' D' L'
L2 B U' R' D2 L'
L2 B U' D L' R'
L2 B U' D R' L'
L2 B U' D' L' R'
L2 B U' D' R' L'
L2 B U' D2 L' R'
L2 B U' D2 R' L'
L2 B D U' L' R'
L2 B D U' R' L'
L2 B D' U' L' R'
L2 B D' U' R' L'
L2 B D2 U' L' R'
L2 B D2 U' R' L'
L2 B' U L U2 L2
L2 B' U' L' D2 R2
L' D L' D' F U' L2
L' D L' D2 F B2 U'
L' D L' D2 B2 F U'
L' D L' F U2 F U
L2 D L' F L U' L'
L D L' F L2 U' L'
L2 D U' L' U F U'
U' D L U' B' U F2
U' D L F2 U' B' U
B2 U R' U' L2 F' U'
B2 U R' U' F' L2 U'
U' D F' D L F' R
U' D F' D F' L R
U' D F' D F' R L
U' D F2 L U' B' U
D' U B2 R' U B U
D2 U' L F D' F2 R
D2 U' L F' D' R F2
D U' L U' B' U F2
D U' L F2 U' B' U
D2 U' F D' F2 L R
D2 U' F D' F2 R L
D2 U' F' L D' R F2
D2 U' F' D' L R F2
D2 U' F' D' R L F2
D2 U' F' D' R F2 L
D U' F' D L F' R
D U' F' D F' L R
D U' F' D F' R L
D U' F2 L U' B' U
L' D' B2 D2 L' F U'
U' D2 L F D' F2 R
U' D2 L F' D' R F2
U D' B2 R' U B U
L2 D2 U' L' F' R F
L2 D2 U' F' R F L'
D2 U2 R2 F' U L R
D2 U2 R2 F' U R L
U2 D2 R2 F' U L R
U2 D2 R2 F' U R L
U' D2 F D' F2 L R
U' D2 F D' F2 R L
U' D2 F' L D' R F2
D2 U2 F' R2 U L R'
D2 U2 F' R2 U R' L
U' D2 F' D' L R F2
U' D2 F' D' R L F2
U' D2 F' D' R F2 L
U2 D2 F' R2 U L R'
U2 D2 F' R2 U R' L
L D2 F' L U' L' R
L D2 F' L U' R L'
L F L B U' L' R'
L F L B U' R' L'
D2 F U' D' F2 L R
D2 F U' D' F2 R L
F' D L' F U' F L2
L2 F U2 B U L R'
L2 F U2 B U R' L
F2 D L' F U' F L2
D2 F D' U' F2 L R
D2 F D' U' F2 R L
F D L' F U' F L2
L2 F D2 F' U' L' R
L2 F D2 F' U' R L'
L' F B U' L2 R' F'
L' F B U' R' L2 F'
L' F B U' R' F' L2
L F' L B U' L' R'
L F' L B U' R' L'
D F' L' F U' L2 F2
D F' L' F U' F2 L2
D2 F' U' L D' R F2
D2 F' U' D' L R F2
D2 F' U' D' R L F2
D2 F' U' D' R F2 L
D2 F' U2 R2 U L R'
D2 F' U2 R2 U R' L
D F' U' D L F' R
D F' U' D F' L R
D F' U' D F' R L
D2 F' D' U' L R F2
D2 F' D' U' R L F2
D2 F' D' U' R F2 L
D F' D U' L F' R
D F' D U' F' L R
D F' D U' F' R L
D2 F' D2 L2 U' L' R
D2 F' D2 L2 U' R L'
D F2 L U' B' U B
L F2 L B U' L' R'
L F2 L B U' R' L'
D F2 L' F U' L2 F'
D F2 L' F U' F' L2
L2 F2 B U R U2 R2
L2 F2 B U' R' D2 L2
L2 F2 B' U L R U2
L2 F2 B' U R L U2
L' B L' U' L' R' D
L' B L' U' L' R' D'
L' B L' U' L' R' D2
L' B L' U' L' D R'
L' B L' U' L' D' R'
L' B L' U' L' D2 R'
L' B L' U' R' L' D
L' B L' U' R' L' D'
L' B L' U' R' L' D2
L' B L' U' R' D L'
L' B L' U' R' D' L'
L' B L' U' R' D2 L'
L' B L' U' D L' R'
L' B L' U' D R' L'
L' B L' U' D' L' R'
L' B L' U' D' R' L'
L' B L' U' D2 L' R'
L' B L' U' D2 R' L'
L' B L' D U' L' R'
L' B L' D U' R' L'
L' B L' D' U' L' R'
L' B L' D' U' R' L'
L' B L' D2 U' L' R'
L' B L' D2 U' R' L'
U' B R' B' D L F2
U' B R' B' D F2 L
L2 B U L U2 L2 R'
L2 B U L U2 R' L2
L2 B U L2 U2 L R'
L2 B U L2 U2 R' L
L2 B U R U2 L' R2
L2 B U R U2 R2 L'
L2 B U R2 U2 L' R
L2 B U R2 U2 R L'
L2 B U' L' R2 D R
L2 B U' L' R2 D' R
L2 B U' L' R2 D2 R
L2 B U' L' D R' D
L2 B U' L' D R' D'
L2 B U' L' D R' D2
L2 B U' L' D' R' D
L2 B U' L' D' R' D'
L2 B U' L' D' R' D2
L2 B U' L' D2 R' D
L2 B U' L' D2 R' D'
L2 B U' L' D2 R' D2
L2 B U' L' F' R' F
L2 B U' L' F2 R' F2
L2 B U' L2 R' D L
L2 B U' L2 R' D' L
L2 B U' L2 R' D2 L
L2 B U' L2 D L R'
L2 B U' L2 D R' L
L2 B U' L2 D' L R'
L2 B U' L2 D' R' L
L2 B U' L2 D2 L R'
L2 B U' L2 D2 R' L
L2 B U' R' L2 D L
L2 B U' R' L2 D' L
L2 B U' R' L2 D2 L
L2 B U' R' D L' D
L2 B U' R' D L' D'
L2 B U' R' D L' D2
L2 B U' R' D' L' D
L2 B U' R' D' L' D'
L2 B U' R' D' L' D2
L2 B U' R' D2 L' D
L2 B U' R' D2 L' D'
L2 B U' R' D2 L' D2
L2 B U' R' B' L' B
L2 B U' R' B2 L' B2
L2 B U' R2 L' D R
L2 B U' R2 L' D' R
L2 B U' R2 L' D2 R
L2 B U' R2 D L' R
L2 B U' R2 D R L'
L2 B U' R2 D' L' R
L2 B U' R2 D' R L'
L2 B U' R2 D2 L' R
L2 B U' R2 D2 R L'
L2 B U' D L' R' D
L2 B U' D L' R' D'
L2 B U' D L' R' D2
L2 B U' D L' D R'
L2 B U' D L' D' R'
L2 B U' D L' D2 R'
L2 B U' D R' L' D
L2 B U' D R' L' D'
L2 B U' D R' L' D2
L2 B U' D R' D L'
L2 B U' D R' D' L'
L2 B U' D R' D2 L'
L2 B U' D' L' R' D
L2 B U' D' L' R' D'
L2 B U' D' L' R' D2
L2 B U' D' L' D R'
L2 B U' D' L' D' R'
L2 B U' D' L' D2 R'
L2 B U' D' R' L' D
L2 B U' D' R' L' D'
L2 B U' D' R' L' D2
L2 B U' D' R' D L'
L2 B U' D' R' D' L'
L2 B U' D' R' D2 L'
L2 B U' D2 L' R' D
L2 B U' D2 L' R' D'
L2 B U' D2 L' R' D2
L2 B U' D2 L' D R'
L2 B U' D2 L' D' R'
L2 B U' D2 L' D2 R'
L2 B U' D2 R' L' D
L2 B U' D2 R' L' D'
L2 B U' D2 R' L' D2
L2 B U' D2 R' D L'
L2 B U' D2 R' D' L'
L2 B U' D2 R' D2 L'
L2 B U' F' R' F L'
L2 B U' B' L' B R'
L2 B D U' L' R' D
L2 B D U' L' R' D'
L2 B D U' L' R' D2
L2 B D U' L' D R'
L2 B D U' L' D' R'
L2 B D U' L' D2 R'
L2 B D U' R' L' D
L2 B D U' R' L' D'
L2 B D U' R' L' D2
L2 B D U' R' D L'
L2 B D U' R' D' L'
L2 B D U' R' D2 L'
L2 B D' U' L' R' D
L2 B D' U' L' R' D'
L2 B D' U' L' R' D2
L2 B D' U' L' D R'
L2 B D' U' L' D' R'
L2 B D' U' L' D2 R'
L2 B D' U' R' L' D
L2 B D' U' R' L' D'
L2 B D' U' R' L' D2
L2 B D' U' R' D L'
L2 B D' U' R' D' L'
L2 B D' U' R' D2 L'
L2 B D2 U' L' R' D
L2 B D2 U' L' R' D'
L2 B D2 U' L' R' D2
L2 B D2 U' L' D R'
L2 B D2 U' L' D' R'
L2 B D2 U' L' D2 R'
L2 B D2 U' R' L' D
L2 B D2 U' R' L' D'
L2 B D2 U' R' L' D2
L2 B D2 U' R' D L'
L2 B D2 U' R' D' L'
L2 B D2 U' R' D2 L'
L' B F U' L2 R' F'
L' B F U' R' L2 F'
L' B F U' R' F' L2
L2 B F2 U R U2 R2
L2 B F2 U' R' D2 L2
L' B' L' U L2 U2 L
L' B' L' U' D2 L' R2
L' B' L' U' D2 R2 L'
L' B' L' D2 U' L' R2
L' B' L' D2 U' R2 L'
L2 B' U L R U2 L2
L2 B' U L R' U2 L2
L2 B' U L R2 U2 L2
L2 B' U L U2 L2 D
L2 B' U L U2 L2 D'
L2 B' U L U2 L2 D2
L2 B' U L D2 R2 U2
L2 B' U R L U2 L2
L2 B' U R' L U2 L2
L2 B' U R2 L U2 L2
L2 B' U D L U2 L2
L2 B' U D' L U2 L2
L2 B' U D2 L U2 L2
L2 B' U' L' R D2 R2
L2 B' U' L' R' D2 R2
L2 B' U' L' R2 D2 R2
L2 B' U' L' U2 L2 U2
L2 B' U' L' D2 R2 D
L2 B' U' L' D2 R2 D'
L2 B' U' L' D2 R2 D2
L2 B' U' R L' D2 R2
L2 B' U' R' L' D2 R2
L2 B' U' R2 L' D2 R2
L2 B' U' D L' D2 R2
L2 B' U' D' L' D2 R2
L2 B' U' D2 L' D2 R2
L2 B' U' B2 L' R' B2
L2 B' U' B2 R' L' B2
L2 B' U' B2 R' B2 L'
L2 B' U2 B2 U L' R'
L2 B' U2 B2 U R' L'
L2 B' D U L U2 L2
L2 B' D U' L' D2 R2
L2 B' D B2 U' L' R'
L2 B' D B2 U' R' L'
L' B' D' B2 L' U' R'
L2 B' D' U L U2 L2
L2 B' D' U' L' D2 R2
L2 B' D' B2 U' L' R'
L2 B' D' B2 U' R' L'
L2 B' D2 U L U2 L2
L2 B' D2 U' L' D2 R2
L2 B' D2 B2 U' L' R'
L2 B' D2 B2 U' R' L'
L2 B' F2 U L R U2
L2 B' F2 U R L U2
L' B2 L' B' U' L' R'
L' B2 L' B' U' R' L'
L2 B2 U' L' U' B' U
L2 B2 D B' U' L' R'
L2 B2 D B' U' R' L'
L2 B2 D' B' U' L' R'
L2 B2 D' B' U' R' L'
L2 B2 D2 B' U' L' R'
L2 B2 D2 B' U' R' L'
