F2 D R2 U2 R2
F2 L D R2 U2 R2
F2 L' D R2 U2 R2
F2 L2 D R2 U2 R2
F2 R U F2 U R'
F2 R U2 R' D' L2
F2 R U2 D' L2 R'
F2 R U2 D' R' L2
F2 R D R2 U2 R
F2 R D' U2 L2 R'
F2 R D' U2 R' L2
F2 R' U2 R D' L2
F2 R' U2 D' L2 R
F2 R' U2 D' R L2
F2 R' D R2 U2 R'
F2 R' D' U2 L2 R
F2 R' D' U2 R L2
B' R2 U F' R2 B
F2 R2 U F2 U R2
F2 R2 U2 R2 D' L2
F2 U F2 U D R2
F2 U F2 U2 F2 U'
F2 U F2 D U R2
F2 U F2 D2 B2 U
F2 U2 D' L2 D2 R2
F2 D L R2 U2 R2
F2 D L' R2 U2 R2
F2 D L2 R2 U2 R2
F2 D R2 L U2 R2
F2 D R2 L' U2 R2
F2 D R2 L2 U2 R2
F2 D R2 U2 R2 D
F2 D R2 U2 R2 D'
F2 D R2 U2 R2 D2
F2 D R2 D2 L2 U2
B2 D' L2 R2 U R2
F2 D' R U2 L2 R'
F2 D' R U2 R' L2
F2 D' R' U2 L2 R
F2 D' R' U2 R L2
B2 D' R2 L2 U R2
F2 D' R2 U2 L2 R2
F2 D' R2 U2 R2 L2
R' F2 L' U F2 U
R' F2 L' U2 D' L2
R' F2 L' D R2 U2
R' F2 L' D' U2 L2
F2 D' U2 L2 D2 R2
R' F2 U F2 U R
L' F2 D R2 U2 R2
R2 F2 U F2 U R2
R' F2 D L' R2 U2
R' F2 D R2 L' U2
R' F2 D' L' U2 L'
R2 F2 U2 R2 D' L2
U2 F2 U2 F2 D' L2
L2 F2 D R2 U2 R2
R F2 U F2 U R'
L F2 D R2 U2 R2
R F2 U2 R' D' L2
R F2 U2 D' L2 R'
R F2 U2 D' R' L2
R F2 D R2 U2 R
R F2 D' U2 L2 R'
R F2 D' U2 R' L2
B2 D2 F2 B2 D' L2
B2 D2 B2 F2 D' L2
D2 B2 D2 F2 D' L2
U2 D2 B2 D L2 D2 R2
F2 U2 D' L2 R D2 R2
F2 U2 D' L2 R' D2 R2
F2 U2 D' L2 R2 D2 R2
F2 U2 D' L2 U2 L2 U2
L2 D2 B2 D2 F2 D' L2
F2 U2 D' L2 D2 R2 D
F2 U2 D' L2 D2 R2 D'
F2 U2 D' L2 D2 R2 D2
F2 U2 D' R L2 D2 R2
F2 U2 D' R' L2 D2 R2
F2 U2 D' R2 L2 D2 R2
L D2 B2 D2 F2 D' L2
F' U2 F' U F2 U F'
F' U2 F' U2 D' F L2
F' U2 F' D R2 U2 F
F' U2 F' D' U2 F L2
F U2 F U F2 U F
F U2 F U2 D' L2 F'
F U2 F U2 D' F' L2
F U2 F D R2 B U2
F U2 F D' U2 L2 F'
F U2 F D' U2 F' L2
B' U2 F2 B U' B' U'
B2 U2 F2 B2 U' B2 U'
B2 U2 F2 B2 U2 D L2
B2 U2 F2 B2 D U2 L2
B2 U2 F2 B2 D' R2 U2
B' U2 B F2 U' B' U'
B U2 F2 B' U' B U'
D' F U F' L2 B' U
B U2 B' F2 U' B U'
B2 U2 B2 F2 U' B2 U'
B2 U2 B2 F2 U2 D L2
B2 U2 B2 F2 D U2 L2
B2 U2 B2 F2 D' R2 U2
F2 D L R2 U2 R2 D
F2 D L R2 U2 R2 D'
F2 D L R2 U2 R2 D2
F2 D L R2 D2 L2 U2
F2 D L' R2 U2 R2 D
F2 D L' R2 U2 R2 D'
F2 D L' R2 U2 R2 D2
F2 D L' R2 D2 L2 U2
F2 D L2 R2 U2 R2 D
F2 D L2 R2 U2 R2 D'
F2 D L2 R2 U2 R2 D2
F2 D L2 R2 D2 L2 U2
F2 D R U2 R' D2 L2
F2 D R D R U2 R2
F2 D R D' R U2 R2
F2 D R D2 R U2 R2
F2 D R' U2 R D2 L2
F2 D R' D R' U2 R2
F2 D R' D' R' U2 R2
F2 D R' D2 R' U2 R2
F2 D R2 L U2 R2 D
F2 D R2 L U2 R2 D'
F2 D R2 L U2 R2 D2
F2 D R2 L D2 L2 U2
F2 D R2 L' U2 R2 D
F2 D R2 L' U2 R2 D'
F2 D R2 L' U2 R2 D2
F2 D R2 L' D2 L2 U2
F2 D R2 L2 U2 R2 D
F2 D R2 L2 U2 R2 D'
F2 D R2 L2 U2 R2 D2
F2 D R2 L2 D2 L2 U2
F2 D R2 U D B2 U
F2 D R2 U B U R2
F2 D R2 U B' U R2
F2 D R2 U B2 U R2
F2 D R2 U' D' F2 U'
F2 D R2 U' F U' R2
F2 D R2 U' F' U' R2
F2 D R2 U' F2 U' R2
F2 D R2 U2 R D R
F2 D R2 U2 R D' R
F2 D R2 U2 R D2 R
F2 D R2 U2 R' D R'
F2 D R2 U2 R' D' R'
F2 D R2 U2 R' D2 R'
F2 D R2 U2 F' R2 F
F2 D R2 U2 F2 R2 F2
F2 D R2 U2 B R2 B'
F2 D R2 U2 B2 R2 B2
F2 D R2 D U B2 U
F2 D R2 D' U' F2 U'
F2 D R2 D2 L2 U2 D
F2 D R2 D2 L2 U2 D'
F2 D R2 D2 L2 U2 D2
F2 D R2 D2 L2 D U2
F2 D R2 D2 L2 D' U2
F2 D R2 D2 L2 D2 U2
F2 D R2 F U2 R2 B
F2 D R2 B' U2 R2 F'
B2 D U L2 R2 U' L2
B2 D U R2 L2 U' L2
F2 D U2 L2 D2 L2 R2
F2 D U2 L2 D2 R2 L2
F2 D F R2 U2 B R2
F' D F' D R2 U2 R2
F2 D F' R2 F U2 R2
F D F D R2 U2 R2
F2 D F2 R2 F2 U2 R2
F2 D B R2 B' U2 R2
F2 D B' R2 U2 F' R2
F2 D B2 R2 B2 U2 R2
F2 D' L R U2 L R'
F2 D' L R U2 R' L
F2 D' L R' U2 L R
F2 D' L R' U2 R L
F2 D' L R2 U2 L R2
F2 D' L R2 U2 R2 L
F2 D' L' R U2 L' R'
F2 D' L' R U2 R' L'
F2 D' L' R' U2 L' R
F2 D' L' R' U2 R L'
F2 D' L' R2 U2 L' R2
F2 D' L' R2 U2 R2 L'
B' D' L2 R2 U F' R2
B2 D' L2 R2 U R2 D
B2 D' L2 R2 U R2 D'
B2 D' L2 R2 U R2 D2
B2 D' L2 R2 D B2 U
B2 D' L2 R2 B U R2
B2 D' L2 R2 B' U R2
B2 D' L2 R2 B2 U R2
B2 D' L2 B R2 U R2
B2 D' L2 B' R2 U R2
B2 D' L2 B2 R2 U R2
B D' L2 R U R' F
B D' L2 R U F R'
B D' L2 R' U R F
B D' L2 R2 U R2 F
B D' L2 R2 U F R2
F2 D' R L U2 L R'
F2 D' R L U2 R' L
F2 D' R L' U2 L' R'
F2 D' R L' U2 R' L'
F2 D' R U2 L2 R' D
F2 D' R U2 L2 R' D'
F2 D' R U2 L2 R' D2
F2 D' R U2 L2 D R'
F2 D' R U2 L2 D' R'
F2 D' R U2 L2 D2 R'
F2 D' R U2 R' L2 D
F2 D' R U2 R' L2 D'
F2 D' R U2 R' L2 D2
F2 D' R D2 R2 U2 R
B D' R L2 U R' F
B D' R L2 U F R'
F2 D' R' L U2 L R
F2 D' R' L U2 R L
F2 D' R' L' U2 L' R
F2 D' R' L' U2 R L'
F2 D' R' U2 L2 R D
F2 D' R' U2 L2 R D'
F2 D' R' U2 L2 R D2
F2 D' R' U2 L2 D R
F2 D' R' U2 L2 D' R
F2 D' R' U2 L2 D2 R
F2 D' R' U2 R L2 D
F2 D' R' U2 R L2 D'
F2 D' R' U2 R L2 D2
B' D' R2 L2 U F' R2
F2 D' R' D2 R2 U2 R'
B D' R' L2 U R F
B2 D' R2 L2 U R2 D
B2 D' R2 L2 U R2 D'
B2 D' R2 L2 U R2 D2
B2 D' R2 L2 D B2 U
F2 D' R2 L U2 L R2
F2 D' R2 L U2 R2 L
B2 D' R2 L2 B U R2
B2 D' R2 L2 B' U R2
B2 D' R2 L2 B2 U R2
B2 D' R2 U R2 D' B2
F2 D' R2 L' U2 L' R2
F2 D' R2 L' U2 R2 L'
F2 D' R2 U2 L2 R2 D
F2 D' R2 U2 L2 R2 D'
F2 D' R2 U2 L2 R2 D2
F2 D' R2 U2 R2 L2 D
F2 D' R2 U2 R2 L2 D'
F2 D' R2 U2 R2 L2 D2
F2 D' R2 D2 L2 R2 U2
F2 D' R2 D2 R2 L2 U2
B2 D' R2 B L2 U R2
B2 D' R2 B' L2 U R2
B2 D' R2 B2 L2 U R2
B D' R2 L2 U R2 F
B D' R2 L2 U F R2
L' F2 L D R2 U2 R2
R' F2 L' R U F2 U
R' F2 L' R U2 D' L2
R' F2 L' R D R2 U2
R' F2 L' R D' U2 L2
R' F2 L' R' U F2 U
R' F2 L' R' U2 D' L2
R' F2 L' R' D R2 U2
R' F2 L' R' D' U2 L2
R' F2 L' R2 U F2 U
R' F2 L' R2 U2 D' L2
R' F2 L' R2 D R2 U2
R' F2 L' R2 D' U2 L2
R' F2 L' U F2 U D
R' F2 L' U F2 U D'
R' F2 L' U F2 U D2
R' F2 L' U F2 D U
R' F2 L' U F2 D' U
R' F2 L' U F2 D2 U
L2 F2 L D R2 U2 R2
R' F2 L' U' D2 B2 U'
R' F2 L' U2 L D' L2
R' F2 L' U2 L' D' L2
R' F2 L' U2 L2 D' L2
R' F2 L' U2 D' L2 D
R' F2 L' U2 D' L2 D'
R' F2 L' U2 D' L2 D2
R' F2 L' D R2 U2 D
R' F2 L' D R2 U2 D'
R' F2 L' D R2 U2 D2
R' F2 L' D R2 D U2
R' F2 L' D R2 D' U2
R' F2 L' D R2 D2 U2
F2 D' U2 L2 R D2 R2
R' F2 L' D' R U2 L2
F2 D' U2 L2 R' D2 R2
F2 D' U2 L2 R2 D2 R2
R' F2 L' D' R' U2 L2
R' F2 L' D' R2 U2 L2
F2 D' U2 L2 U2 L2 U2
R2 F2 L U F2 U R2
R' F2 L' D' U2 L2 D
R' F2 L' D' U2 L2 D'
R' F2 L' D' U2 L2 D2
F2 D' U2 L2 D2 R2 D
F2 D' U2 L2 D2 R2 D'
F2 D' U2 L2 D2 R2 D2
F2 D' U2 R L2 D2 R2
R' F2 L' D2 U' B2 U'
R2 F2 L U2 R2 D' L2
F2 D' U2 R' L2 D2 R2
L' F2 L' D R2 U2 R2
F2 D' U2 R2 L2 D2 R2
L2 F2 L' D R2 U2 R2
R' F2 L2 D L R2 U2
R' F2 L2 D R2 L U2
R' F2 L2 D' L U2 L
L F2 L D R2 U2 R2
R2 F2 L' U F2 U R2
R F2 L U F2 U R'
R2 F2 L' U2 R2 D' L2
L' F2 L2 D R2 U2 R2
R F2 L U2 R' D' L2
R F2 L U2 D' L2 R'
R F2 L U2 D' R' L2
R F2 L D R2 U2 R
R F2 L D' U2 L2 R'
R F2 L D' U2 R' L2
R' F2 R L' U F2 U
R' F2 R L' U2 D' L2
R' F2 R L' D R2 U2
R' F2 R L' D' U2 L2
R' F2 R U F2 U R
L2 F2 L2 D R2 U2 R2
R' F2 R D L' R2 U2
R' F2 R D R2 L' U2
L' F2 R U F2 U R'
F' D' F' D R2 U2 R2
R' F2 R D' L' U2 L'
L F2 L' D R2 U2 R2
R2 F2 L2 U F2 U R2
L' F2 R U2 R' D' L2
L' F2 R U2 D' L2 R'
L' F2 R U2 D' R' L2
R F2 L' U F2 U R'
R2 F2 L2 U2 R2 D' L2
L' F2 R D R2 U2 R
L' F2 R D' U2 L2 R'
L' F2 R D' U2 R' L2
R F2 L' U2 R' D' L2
R F2 L' U2 D' L2 R'
R F2 L' U2 D' R' L2
R F2 L' D R2 U2 R
R F2 L' D' U2 L2 R'
R F2 L' D' U2 R' L2
F2 D' F' B L2 F B'
F2 D' F' B L2 B' F
R' F2 R' L' U F2 U
R' F2 R' L' U2 D' L2
R' F2 R' L' D R2 U2
F D' F D R2 U2 R2
R' F2 R' L' D' U2 L2
L2 F2 R U F2 U R'
L2 F2 R U2 R' D' L2
L2 F2 R U2 D' L2 R'
L2 F2 R U2 D' R' L2
U2 F2 R U2 F2 D' L2
R' F2 R' U F2 U R
L2 F2 R D R2 U2 R
B' D' F2 D' B2 L2 F
L2 F2 R D' U2 L2 R'
L2 F2 R D' U2 R' L2
R' F2 R' D L' R2 U2
R' F2 R' D R2 L' U2
R' F2 R' D' L' U2 L'
L F2 L2 D R2 U2 R2
L' F2 R' U2 R D' L2
L' F2 R' U2 D' L2 R
L' F2 R' U2 D' R L2
R2 F2 R U2 R D' L2
R F2 L2 U F2 U R'
R2 F2 R U2 D' L2 R
R2 F2 R U2 D' R L2
L' F2 R' D R2 U2 R'
R2 F2 R D R2 U2 R'
L' F2 R' D' U2 L2 R
L' F2 R' D' U2 R L2
B2 D' F2 D' L2 F2 B2
B2 D' F2 D' L2 B2 F2
R F2 L2 U2 R' D' L2
R F2 L2 U2 D' L2 R'
R F2 L2 U2 D' R' L2
B2 D' F2 D' F2 L2 B2
B2 D' F2 D' F2 B2 L2
R2 F2 R D' U2 L2 R
R2 F2 R D' U2 R L2
B2 D' F2 D' B2 L2 F2
B2 D' F2 D' B2 F2 L2
R F2 L2 D R2 U2 R
R F2 L2 D' U2 L2 R'
R F2 L2 D' U2 R' L2
R' F2 R2 L' U F2 U
R' F2 R2 L' U2 D' L2
R' F2 R2 L' D R2 U2
R' F2 R2 L' D' U2 L2
B2 D' B L2 R2 U R2
L2 F2 R' U2 R D' L2
L2 F2 R' U2 D' L2 R
L2 F2 R' U2 D' R L2
R' F2 R2 U F2 U R
U2 F2 R' U2 F2 D' L2
L2 F2 R' D R2 U2 R'
L F2 R U F2 U R'
L2 F2 R' D' U2 L2 R
L2 F2 R' D' U2 R L2
R' F2 R2 D L' R2 U2
B2 D' B R2 L2 U R2
R' F2 R2 D R2 L' U2
L F2 R U2 R' D' L2
R' F2 R2 D' L' U2 L'
L F2 R U2 D' L2 R'
L F2 R U2 D' R' L2
L' F2 R2 U F2 U R2
L F2 R D R2 U2 R
R2 F2 R' U F2 U R'
L' F2 R2 U2 R2 D' L2
L F2 R D' U2 L2 R'
L F2 R D' U2 R' L2
R2 F2 R' U2 R' D' L2
R2 F2 R' U2 D' L2 R'
R2 F2 R' U2 D' R' L2
R F2 R U F2 U R2
B D' F2 D' L2 F B2
B D' F2 D' L2 B2 F
R2 F2 R' D R2 U2 R
R F2 R U2 R2 D' L2
R2 F2 R' D' U2 L2 R'
R2 F2 R' D' U2 R' L2
F2 D' B F' L2 F B'
F2 D' B F' L2 B' F
L2 F2 R2 U F2 U R2
B2 D' B' L2 R2 U R2
L2 F2 R2 U2 R2 D' L2
U2 F2 R2 U2 F2 D' L2
B2 D' B' R2 L2 U R2
L F2 R' U2 R D' L2
L F2 R' U2 D' L2 R
L F2 R' U2 D' R L2
L F2 R' D R2 U2 R'
L F2 R' D' U2 L2 R
L F2 R' D' U2 R L2
R2 F2 R2 D R2 U2 R2
R' F2 U F2 U R D
R' F2 U F2 U R D'
R' F2 U F2 U R D2
R' F2 U F2 U D R
R' F2 U F2 U D' R
R' F2 U F2 U D2 R
R' F2 U F2 D U R
R' F2 U F2 D' U R
R' F2 U F2 D2 U R
R' F2 U F2 B U R
R' F2 U F2 B' U R
R' F2 U F2 B2 U R
R F2 R' D R2 U2 R2
R' F2 U B F2 U R
R' F2 U B' F2 U R
L' F2 U F2 U D R2
R' F2 U B2 F2 U R
L' F2 U F2 U2 F2 U'
L' F2 U F2 D U R2
L' F2 U F2 D2 B2 U
U2 F2 U R' U F2 L'
B2 D' B2 L2 R2 U R2
L F2 R2 U F2 U R2
B2 D' B2 R2 L2 U R2
L F2 R2 U2 R2 D' L2
L2 F2 U F2 U D R2
L2 F2 U F2 U2 F2 U'
L2 F2 U F2 D U R2
L2 F2 U F2 D2 B2 U
R F2 R2 U2 R D' L2
R F2 R2 U2 D' L2 R
R F2 R2 U2 D' R L2
R F2 R2 D R2 U2 R'
U2 F2 U' L U' L' F2
R F2 R2 D' U2 L2 R
R F2 R2 D' U2 R L2
U2 F2 U' L' U' L F2
U2 F2 U' L' U' F2 L
U2 F2 U' L2 U' L2 F2
U2 F2 U' L2 U' F2 L2
R2 F2 U F2 U R2 D
R2 F2 U F2 U R2 D'
R2 F2 U F2 U R2 D2
R2 F2 U F2 D B2 U
R2 F2 U F2 B U R2
R2 F2 U F2 B' U R2
R2 F2 U F2 B2 U R2
R2 F2 U B F2 U R2
R2 F2 U B' F2 U R2
R2 F2 U B2 F2 U R2
U2 F2 U' D' L2 U' L2
F2 D2 L D' R2 U2 R2
L' F2 U2 D' L2 D2 R2
B2 D2 L F2 B2 D' L2
R2 F2 U' D' F2 U' L2
L F2 U F2 U D R2
L F2 U F2 U2 F2 U'
L F2 U F2 D U R2
L F2 U F2 D2 B2 U
U2 F2 U2 L F2 D' L2
U2 F2 U2 L' F2 D' L2
B2 D2 L B2 F2 D' L2
U2 F2 U2 L2 F2 D' L2
R' F2 D L' R2 U2 D
R' F2 D L' R2 U2 D'
R' F2 D L' R2 U2 D2
R' F2 D L' R2 D U2
R' F2 D L' R2 D' U2
R' F2 D L' R2 D2 U2
R' F2 D L' U2 D2 L2
R' F2 D L' D2 U2 L2
R F2 U F2 U R' D
R F2 U F2 U R' D'
R F2 U F2 U R' D2
R F2 U F2 U D R'
R F2 U F2 U D' R'
R F2 U F2 U D2 R'
R F2 U F2 D U R'
R F2 U F2 D' U R'
R F2 U F2 D2 U R'
L' F2 D L R2 U2 R2
R2 F2 U2 L R2 D' L2
L' F2 D L' R2 U2 R2
R' F2 D R2 L' U2 D
R' F2 D R2 L' U2 D'
R' F2 D R2 L' U2 D2
R' F2 D R2 L' D U2
R' F2 D R2 L' D' U2
R' F2 D R2 L' D2 U2
L2 F2 U2 D' L2 D2 R2
R' F2 D R2 D L' U2
R' F2 D R2 D' L' U2
R' F2 D R2 D2 L' U2
R2 F2 U2 L' R2 D' L2
L' F2 D L2 R2 U2 R2
R2 F2 U2 L2 R2 D' L2
D' F2 D R2 F2 U2 R2
R2 F2 U2 R D' L2 R
R2 F2 U2 R D' R L2
L' F2 D R2 L U2 R2
L' F2 D R2 L' U2 R2
L' F2 D R2 L2 U2 R2
U2 F2 U2 F2 L D' L2
U2 F2 U2 F2 L' D' L2
L' F2 D R2 U2 R2 D
L' F2 D R2 U2 R2 D'
L' F2 D R2 U2 R2 D2
U2 F2 U2 F2 L2 D' L2
R2 F2 U2 R' D' L2 R'
R2 F2 U2 R' D' R' L2
L' F2 D R2 D2 L2 U2
F2 D2 L' D' R2 U2 R2
U2 F2 U2 F2 U' F2 U
U2 F2 U2 F2 D' L2 D
U2 F2 U2 F2 D' L2 D'
U2 F2 U2 F2 D' L2 D2
R2 F2 U2 R2 L D' L2
R2 F2 U2 R2 L' D' L2
R2 F2 U2 R2 L2 D' L2
R2 F2 U2 R2 U' F2 U
R2 F2 U2 R2 D' L2 D
R2 F2 U2 R2 D' L2 D'
R2 F2 U2 R2 D' L2 D2
R2 F2 U2 D' L2 D R2
B2 D2 L' F2 B2 D' L2
D' F2 D F2 R2 U2 R2
L2 F2 D L R2 U2 R2
L2 F2 D L' R2 U2 R2
B2 D2 L' B2 F2 D' L2
L2 F2 D L2 R2 U2 R2
R' F2 D' L' R U2 L'
R' F2 D' L' R' U2 L'
R' F2 D' L' R2 U2 L'
R' F2 D' L' U2 L' D
R' F2 D' L' U2 L' D'
R' F2 D' L' U2 L' D2
R' F2 D' L' U2 D L'
R' F2 D' L' U2 D' L'
R' F2 D' L' U2 D2 L'
R' F2 D' L' D U2 L'
R' F2 D' L' D' U2 L'
R' F2 D' L' D2 U2 L'
R' F2 D' R L' U2 L'
L2 F2 D R2 L U2 R2
L2 F2 D R2 L' U2 R2
L2 F2 D R2 L2 U2 R2
L2 F2 D R2 U2 R2 D
L2 F2 D R2 U2 R2 D'
L2 F2 D R2 U2 R2 D2
L2 F2 D R2 D2 L2 U2
R' F2 D' R' L' U2 L'
D' F2 D' L2 B2 D2 F2
R' F2 D' R2 L' U2 L'
L' F2 D' R U2 L2 R'
L' F2 D' R U2 R' L2
R F2 U2 L R' D' L2
R F2 U2 L D' L2 R'
R F2 U2 L D' R' L2
L' F2 D' R' U2 L2 R
L' F2 D' R' U2 R L2
R F2 U2 L' R' D' L2
R F2 U2 L' D' L2 R'
R F2 U2 L' D' R' L2
L F2 U2 D' L2 D2 R2
L' F2 D' R2 U2 L2 R2
L' F2 D' R2 U2 R2 L2
F2 D2 L2 D' R2 U2 R2
R F2 U2 L2 R' D' L2
R F2 U2 L2 D' L2 R'
R F2 U2 L2 D' R' L2
R2 F2 D R2 U B2 U
R2 F2 D R2 U2 D' R2
R2 F2 D R2 D L2 U2
R2 F2 D R2 D' U2 R2
R F2 U2 R' L D' L2
R F2 U2 R' L' D' L2
R F2 U2 R' L2 D' L2
L' F2 D' U2 L2 D2 R2
R F2 U2 R' U' F2 U
B2 D2 L2 F2 B2 D' L2
R F2 U2 R' D' L2 D
R F2 U2 R' D' L2 D'
R F2 U2 R' D' L2 D2
R F2 U2 R2 D' L2 R
R F2 U2 R2 D' R L2
D' F2 D' B L2 F B
D' F2 D' B L2 B F
D F2 D R2 U2 R2 B2
D F2 D R2 U2 B2 R2
R F2 U2 D' L2 R' D
R F2 U2 D' L2 R' D'
R F2 U2 D' L2 R' D2
R F2 U2 D' L2 D R'
R F2 U2 D' L2 D' R'
R F2 U2 D' L2 D2 R'
R F2 U2 D' R' L2 D
R F2 U2 D' R' L2 D'
R F2 U2 D' R' L2 D2
B2 D2 L2 B2 F2 D' L2
D' F2 D' B2 L2 D2 F2
R F2 U2 D2 R' D L2
R' F2 D2 L' U' B2 U'
R' F2 D2 L' U2 D L2
R' F2 D2 L' D U2 L2
R' F2 D2 L' D' R2 U2
L2 F2 D' R U2 L2 R'
L2 F2 D' R U2 R' L2
L F2 D L R2 U2 R2
L2 F2 D' R' U2 L2 R
L2 F2 D' R' U2 R L2
L F2 D L' R2 U2 R2
B2 D2 R U R' F2 B2
B2 D2 R U R' B2 F2
B2 D2 R U F2 R' B2
L2 F2 D' R2 U2 L2 R2
L2 F2 D' R2 U2 R2 L2
L F2 D L2 R2 U2 R2
U2 F2 D' U' L2 U' L2
L2 F2 D' U2 L2 D2 R2
L F2 D R2 L U2 R2
L F2 D R2 L' U2 R2
L F2 D R2 L2 U2 R2
L F2 D R2 U2 R2 D
L F2 D R2 U2 R2 D'
L F2 D R2 U2 R2 D2
F2 D2 R U2 R' D L2
F2 D2 R U2 D L2 R'
F2 D2 R U2 D R' L2
L F2 D R2 D2 L2 U2
R F2 D L R2 U2 R
D F2 D B2 D2 L2 F2
D F2 D B2 D2 F2 L2
F2 D2 R D U2 L2 R'
F2 D2 R D U2 R' L2
R F2 D L' R2 U2 R
F2 D2 R D' R2 U2 R
R F2 D L2 R2 U2 R
R2 F2 D' U' F2 U' L2
R2 F2 D' U2 L2 D R2
R F2 D R2 L U2 R
R F2 D R2 L' U2 R
R F2 D R2 L2 U2 R
R F2 D R2 U2 R D
R F2 D R2 U2 R D'
R F2 D R2 U2 R D2
R F2 D R2 U2 D R
R F2 D R2 U2 D' R
R F2 D R2 U2 D2 R
R F2 D R2 D U2 R
R F2 D R2 D' U2 R
R F2 D R2 D2 U2 R
B2 D2 R' U R F2 B2
B2 D2 R' U R B2 F2
B2 D2 R' U B2 R F2
L F2 D' R U2 L2 R'
L F2 D' R U2 R' L2
L F2 D' R' U2 L2 R
L F2 D' R' U2 R L2
R2 F2 D2 L2 U' B2 U'
R2 F2 D2 L2 U2 D L2
R2 F2 D2 L2 D U2 L2
F2 D2 R' U' B2 U' R
R2 F2 D2 L2 D' R2 U2
L F2 D' R2 U2 L2 R2
L F2 D' R2 U2 R2 L2
F2 D2 R' U2 R D L2
F2 D2 R' U2 D L2 R
F2 D2 R' U2 D R L2
R F2 D' L U2 L R'
R F2 D' L U2 R' L
F2 D2 R' D U2 L2 R
F2 D2 R' D U2 R L2
R F2 D' L' U2 L' R'
R F2 D' L' U2 R' L'
F2 D2 R' D' R2 U2 R'
L F2 D' U2 L2 D2 R2
B' D2 R2 U F' R2 B2
B' D2 R2 U F' B2 R2
B' D2 R2 U B2 F' R2
R F2 D' R U2 L2 R2
R F2 D' R U2 R2 L2
D2 F2 B D' L2 F B
D2 F2 B D' L2 B F
D' F2 B D' L2 F B2
D' F2 B D' L2 B2 F
U2 F2 D2 B2 U' B2 U'
U2 F2 D2 B2 U2 D L2
U2 F2 D2 B2 D U2 L2
U2 F2 D2 B2 D' R2 U2
R F2 D' R2 U2 L2 R
R F2 D' R2 U2 R L2
R F2 D' U2 L2 R' D
R F2 D' U2 L2 R' D'
R F2 D' U2 L2 R' D2
R F2 D' U2 L2 D R'
R F2 D' U2 L2 D' R'
R F2 D' U2 L2 D2 R'
R F2 D' U2 R' L2 D
R F2 D' U2 R' L2 D'
R F2 D' U2 R' L2 D2
B2 D2 R2 U R2 F2 B2
B2 D2 R2 U R2 B2 F2
B2 D2 R2 U F2 R2 B2
B2 D2 R2 U F2 B2 R2
B2 D2 R2 U B2 R2 F2
B2 D2 R2 U B2 F2 R2
U2 F2 B U' B' U' F2
F2 D2 R2 U' B2 U' R2
F2 D2 R2 U2 R2 D L2
D' F2 B' D' B2 L2 F
R F2 D2 U2 R' D L2
B D2 R2 U B2 R2 F'
U2 F2 B' U' B U' F2
D2 F2 B2 D' L2 D' F2
D2 F2 B2 D2 F2 D L2
B2 D2 U F2 B2 D R2
B2 D2 U B2 F2 D R2
U2 F2 B2 U' B2 U' F2
U2 F2 B2 U2 F2 D L2
F2 D2 U' B2 U' D' R2
F2 D2 U' B2 U2 B2 U
F2 D2 U' B2 D' U' R2
F2 D2 U' B2 D2 F2 U'
D' B L2 R U R' F
D' B L2 R U F R'
D' B L2 R' U R F
D' B L2 R2 U R2 F
D' B L2 R2 U F R2
D' B R L2 U R' F
D' B R L2 U F R'
F' D2 F' D R2 U2 R2
B2 D2 F2 L B2 D' L2
F D2 F D R2 U2 R2
B2 D2 F2 L' B2 D' L2
B2 D2 F2 L2 B2 D' L2
D' B R' L2 U R F
B' D2 F2 B2 D' L2 F
B2 D2 F2 U' F2 U B2
B2 D2 F2 D' L2 D B2
B2 D2 F2 B D' L2 B
B2 D2 F2 B D' B L2
B2 D2 F2 B' D' B' L2
B2 D2 F2 B2 L D' L2
B2 D2 F2 B2 L' D' L2
B2 D2 F2 B2 L2 D' L2
B2 D2 F2 B2 U' F2 U
B2 D2 F2 B2 D' L2 D
B2 D2 F2 B2 D' L2 D'
B2 D2 F2 B2 D' L2 D2
D' B R2 L2 U R2 F
D' B R2 L2 U F R2
B2 D2 B F2 D' L2 B
B2 D2 B F2 D' B L2
B2 D2 B' F2 D' B' L2
B2 D2 B2 L F2 D' L2
B2 D2 B2 L' F2 D' L2
B2 D2 B2 L2 F2 D' L2
B' D2 B2 F2 D' L2 F
R' B U' F2 B' L' U2
B2 D2 B2 F2 L D' L2
R' B U' B' F2 L' U2
B2 D2 B2 F2 L' D' L2
B2 D2 B2 F2 L2 D' L2
B2 D2 B2 F2 U' F2 U
B2 D2 B2 F2 D' L2 D
B2 D2 B2 F2 D' L2 D'
B2 D2 B2 F2 D' L2 D2
R2 B U' F2 B' U2 R2
R2 B U' B' F2 U2 R2
R' B D' L2 U R F
B F L2 F D' B' L2
B F L2 F B' D' L2
B F L2 B' F D' L2
F B L2 F D' B' L2
F B L2 F B' D' L2
F B L2 B' F D' L2
D2 B F2 D' L2 F B
D2 B F2 D' L2 B F
D' B F2 D' L2 F B2
D' B F2 D' L2 B2 F
U2 B F2 U' B' U' F2
D' B' L2 R2 U F' R2
F2 B D R2 B' U2 R2
F2 B D B' R2 U2 R2
F2 B D' F' L2 F B'
F2 B D' F' L2 B' F
D2 B' R2 U F' R2 B'
D2 B' R2 U F' B' R2
D2 B' R2 U B' F' R2
D' B' R2 L2 U F' R2
L' B' R2 U F' R2 B
