F2 L R F B U
F2 L R B F U
F L F R B U
B2 L' R' F' B' U'
B2 L' R' B' F' U'
B' L' B' R' F' U'
F2 R L F B U
F2 R L B F U
B2 R' L' F' B' U'
B2 R' L' B' F' U'
L D F U F R
L' D' B' U' B' R'
L R' F U D R2 F2
L R' F U D F2 R2
L R' F U2 L2 F2 U'
L R' F U2 F2 L2 U'
L R' F D U R2 F2
L R' F D U F2 R2
L R' F D2 R2 B2 U
L R' F D2 B2 R2 U
R' L' F' U2 L2 F U
L' R' F' U2 L2 F U
R' L' F' D' B' U' B'
R' L' F' D2 R2 B' U'
L' R' F' D' B' U' B'
R' L' F' D2 B' R2 U'
L' R' F' D2 R2 B' U'
L' R' F' D2 B' R2 U'
R' L' F' B' U' D' B2
R' L' F' B' U2 L2 U
R' L' F' B' D' U' B2
R' L' F' B' D2 R2 U'
L' R' F' B' U' D' B2
L' R' F' B' U2 L2 U
L' R' F' B' D' U' B2
L' R' F' B' D2 R2 U'
B2 L' D R' F' B' U'
B2 L' D R' B' F' U'
B' L' D B' R' F' U'
B2 L' D' R' F' B' U'
B2 L' D' R' B' F' U'
D2 L' D' B' U' B' R'
D' L' D' B' U' B' R'
B' L' D' B' R' F' U'
D L' D' B' U' B' R'
B2 L' D2 R' F' B' U'
B2 L' D2 R' B' F' U'
R' L' B' D' F' U' B2
L' R' B' D' F' U' B2
R' L' B' D2 F' R2 U'
L' R' B' D2 F' R2 U'
R' L' B' F' U' D' B2
R' L' B' F' U2 L2 U
R' L' B' F' D' U' B2
R' L' B' F' D2 R2 U'
L' R' B' F' U' D' B2
L' R' B' F' U2 L2 U
L' R' B' F' D' U' B2
L' R' B' F' D2 R2 U'
R L' B' U' D' R2 B2
R L' B' U' D' B2 R2
R L' B' U2 L2 B2 U
B' L' D2 B' R' F' U'
R L' B' U2 B2 L2 U
R L' B' D' U' R2 B2
R L' B' D' U' B2 R2
R L' B' D2 R2 F2 U'
R L' B' D2 F2 R2 U'
B2 L' F R' F' B' U'
B2 L' F R' B' F' U'
B' L' F B' R' F' U'
B2 L' F' R' F' B' U'
B2 L' F' R' B' F' U'
B' L' F' B' R' F' U'
B2 L' F2 R' F' B' U'
B2 L' F2 R' B' F' U'
B' L' F2 B' R' F' U'
B L' B R' F' B2 U'
B L' B R' B2 F' U'
B' L' B' R' D F' U'
B' L' B' R' D' F' U'
B' L' B' R' D2 F' U'
B' L' B' R' F' U' D
B' L' B' R' F' U' D'
B' L' B' R' F' U' D2
B' L' B' R' F' D U'
B' L' B' R' F' D' U'
B' L' B' R' F' D2 U'
B' L' B' D R' F' U'
B' L' B' D' R' F' U'
B' L' B' D2 R' F' U'
B' L' B' F R' F' U'
B' L' B' F' R' F' U'
B' L' B' F2 R' F' U'
F2 L2 R B L' F U
B2 L2 R' F' L B' U'
F2 R L D F B U
F2 R L D B F U
F2 R L D' F B U
F2 R L D' B F U
F2 R L D2 F B U
F2 R L D2 B F U
F2 R L F D B U
F2 R L F D' B U
F2 R L F D2 B U
F2 R L F B U D
F2 R L F B U D'
F2 R L F B U D2
F2 R L F B D U
F2 R L F B D' U
F2 R L F B D2 U
F2 R L B D F U
F2 R L B D' F U
F2 R L B D2 F U
F2 R L B F U D
F2 R L B F U D'
F2 R L B F U D2
F2 R L B F D U
F2 R L B F D' U
F2 R L B F D2 U
F R L F B R U
F R L B F R U
F2 R L2 B L' F U
F2 R D L F B U
F2 R D L B F U
F2 R D' L F B U
F2 R D' L B F U
F2 R D2 L F B U
F2 R D2 L B F U
F2 R F L F B U
F2 R F L B F U
F2 R F' L F B U
F2 R F' L B F U
F2 R F2 L F B U
F2 R F2 L B F U
B2 R' L' D F' B' U'
B2 R' L' D B' F' U'
B2 R' L' D' F' B' U'
B2 R' L' D' B' F' U'
B' R' L' F' B' R' U'
B2 R' L' D2 F' B' U'
B2 R' L' D2 B' F' U'
B2 R' L' F' D B' U'
B2 R' L' F' D' B' U'
B2 R' L' F' D2 B' U'
B2 R' L' F' B' U' D
B2 R' L' F' B' U' D'
B2 R' L' F' B' U' D2
B2 R' L' F' B' D U'
B2 R' L' F' B' D' U'
B2 R' L' F' B' D2 U'
B' R' L' B' F' R' U'
B2 R' L' B' D F' U'
B2 R' L' B' D' F' U'
B2 R' L' B' D2 F' U'
B2 R' L' B' F' U' D
B2 R' L' B' F' U' D'
B2 R' L' B' F' U' D2
B2 R' L' B' F' D U'
B2 R' L' B' F' D' U'
B2 R' L' B' F' D2 U'
B2 R' L2 F' L B' U'
B2 R' D L' F' B' U'
B2 R' D L' B' F' U'
B2 R' D' L' F' B' U'
B2 R' D' L' B' F' U'
B2 R' D2 L' F' B' U'
B2 R' D2 L' B' F' U'
L U2 L F L B' U'
L' U2 L' B' L' F U
B2 R' B L' F' B' U'
B2 R' B L' B' F' U'
B2 R' B' L' F' B' U'
B2 R' B' L' B' F' U'
B2 R' B2 L' F' B' U'
B2 R' B2 L' B' F' U'
F2 R2 L F R' B U
B2 R2 L' B' R F' U'
L D R F B U F
L D R B F U F
L D F R B U F
L D F U R F R
L D F U R' F R
L D F U R2 F R
L D F U D F R
L D F U D' F R
L D F U D2 F R
L D F U F R D
L D F U F R D'
L D F U F R D2
L D F U F D R
L D F U F D' R
L D F U F D2 R
L D F D U F R
L D F D' U F R
L D F D2 U F R
L D F B U F R
L D F B' U F R
L D F B2 U F R
L D B F U F R
L D B' F U F R
L D B2 F U F R
L' D' R' F' B' U' B'
L' D' R' B' F' U' B'
L' D' F B' U' B' R'
L' D' F' B' U' B' R'
L' D' F2 B' U' B' R'
L' D' B' R' F' U' B'
L' D' B' U' R B' R'
L' D' B' U' R' B' R'
L' D' B' U' R2 B' R'
L' D' B' U' D B' R'
L' D' B' U' D' B' R'
L' D' B' U' D2 B' R'
L' D' B' U' B' R' D
L' D' B' U' B' R' D'
L' D' B' U' B' R' D2
L' D' B' U' B' D R'
L' D' B' U' B' D' R'
L' D' B' U' B' D2 R'
L' D' B' D U' B' R'
L' D' B' D' U' B' R'
L' D' B' D2 U' B' R'
L' D' B' F U' B' R'
L' D' B' F' U' B' R'
L' D' B' F2 U' B' R'
L' D2 R' F' R' B' U'
L D2 R B R F U
L D2 F R B R U
L' D2 B' R' F' R' U'
D' F L F R B U
D2 F L F R B U
D F L F R B U
R F L F B R U
R F L B F R U
L F R D B U F2
L F R D2 B R2 U
L F R B U D F2
L F R B U2 L2 U'
L F R B D U F2
L F R B D2 R2 U
L F R' U2 L2 F' U'
L F R' U2 F' L2 U'
L F R' D2 R2 B U
F2 D L R F B U
F2 D L R B F U
L F U D F R F
L F U F R D F2
L F U F D R F2
L F U F' D F2 R
B2 D L' R' F' B' U'
B2 D L' R' B' F' U'
B' D L' B' R' F' U'
F D L F R B U
L F U2 L F L U'
F2 D R L F B U
F2 D R L B F U
L' F D' B' U' B' R'
L F D R B U F2
L F D U F R F
B2 D R' L' F' B' U'
B2 D R' L' B' F' U'
L F D2 R B R U
F2 D' L R F B U
F2 D' L R B F U
B2 D' L' R' F' B' U'
B2 D' L' R' B' F' U'
B' D' L' B' R' F' U'
F D' L F R B U
L' F' D' B' U' B' R'
F2 D' R L F B U
F2 D' R L B F U
B2 D' R' L' F' B' U'
B2 D' R' L' B' F' U'
D2 F2 L R F B U
D2 F2 L R B F U
D' F2 L R F B U
D' F2 L R B F U
D F2 L R F B U
D F2 L R B F U
D2 F2 R L F B U
D2 F2 R L B F U
D' F2 R L F B U
D' F2 R L B F U
R F2 L B R F U
D F2 R L F B U
D F2 R L B F U
F2 D2 L R F B U
F2 D2 L R B F U
B2 D2 L' R' F' B' U'
B2 D2 L' R' B' F' U'
B' D2 L' B' R' F' U'
F D2 L F R B U
L' F2 D' B' U' B' R'
F2 D2 R L F B U
F2 D2 R L B F U
B2 D2 R' L' F' B' U'
B2 D2 R' L' B' F' U'
L B D F U F R
B2 F R' F' L' B' U'
R' B' L' F' B' R' U'
D2 B' L' B' R' F' U'
R' B' L' B' F' R' U'
D' B' L' B' R' F' U'
D B' L' B' R' F' U'
L' B' R U2 L2 B U
L' B' R U2 B L2 U
L' B' R D2 R2 F' U'
L' B' R' D' F' U' B2
L' B' R' D2 F' R2 U'
L' B' R' F' U' D' B2
L' B' R' F' U2 L2 U
L' B' R' F' D' U' B2
L' B' R' F' D2 R2 U'
L' B' U' D' B' R' B'
L' B' U' B D' B2 R'
L' B' U' B' R' D' B2
L' B' U' B' D' R' B2
L' B' U2 L' B' L' U
F2 B' R B L F U
L' B' D' R' F' U' B2
L' B' D' U' B' R' B'
L' B' D2 R' F' R' U'
L B' D F U F R
D2 B2 L' R' F' B' U'
D2 B2 L' R' B' F' U'
D' B2 L' R' F' B' U'
D' B2 L' R' B' F' U'
R' B2 L' F' R' B' U'
D B2 L' R' F' B' U'
D B2 L' R' B' F' U'
D2 B2 R' L' F' B' U'
D2 B2 R' L' B' F' U'
D' B2 R' L' F' B' U'
D' B2 R' L' B' F' U'
D B2 R' L' F' B' U'
D B2 R' L' B' F' U'
B' F2 R B L F U
F B2 R' F' L' B' U'
L B2 D F U F R
