L U2 L' U' L
F L U2 L' U' L
F' L U2 L' U' L
F2 L U2 L' U' L
D L U2 L' U' L
D' L U2 L' U' L
R2 L D' F2 R U
D2 L U2 L' U' L
R' L F2 R U L'
L R' F2 R U L'
L R2 D' F2 R U
B2 R' D2 F2 U' L'
L U2 L' U' L D
L U2 L' U' L D'
L U2 L' U' L D2
L U2 L' U' D L
L U2 L' U' D' L
L U2 L' U' D2 L
L U2 L' D U' L
L U2 L' D' U' L
L U2 L' D2 U' L
L U2 D L' U' L
L U2 D' L' U' L
L U2 D2 L' U' L
L U2 B L' U' L
L U2 B' L' U' L
L U2 B2 L' U' L
L D U2 L' U' L
R2 D' L F2 R U
L D' U2 L' U' L
L D2 U2 L' U' L
B2 U2 B2 L U L'
B U2 B' L U L'
L F2 R U' R' U2
B2 D2 R' F2 U' L'
R' L F2 R D' U L'
D L D2 U2 L' U' L
R' L F2 R D2 U L'
F L D2 U2 L' U' L
L R F2 R U D2 L2
R2 L F2 R U' R U2
L R F2 R U' R2 U2
L R F2 R D' F2 U
L R F2 R D2 U L2
R2 L F2 R F2 U L'
R L F2 R U D2 L2
R L F2 R U' R2 U2
R L F2 R D' F2 U
R L F2 R D2 U L2
R' L F2 D R U L'
R' L F2 D' R U L'
R' L F2 D2 R U L'
R2 L F2 D' R F2 U
R2 L F2 D2 R U L2
U2 L F' U2 F U' L'
D2 L F2 R U' R' U2
D' L F2 R U' R' U2
F' L F2 R U' R' U2
F2 L F2 R U' R' U2
D L F2 R U' R' U2
F L F2 R U' R' U2
U2 L F2 U2 F2 U' L'
L R' U L D F2 L'
U L B' R2 U F' R2
L R' U' R U' L' U'
L R' U2 L' U R U2
U L B2 D' R2 U R2
L2 R' D L' U F2 L'
L R' D F2 R U L'
L R' D' F2 R U L'
L R' D2 F2 R U L'
B2 L' U B2 L R' U
B2 L' U B2 R' L U
L R' F U L F L'
L R' F2 R U L' D
L R' F2 R U L' D'
L R' F2 R U L' D2
L R' F2 R U D L'
L R' F2 R U D' L'
L R' F2 R U D2 L'
L R' F2 R D U L'
L R' F2 R D' U L'
L R' F2 R D2 U L'
L R' F2 D R U L'
L R' F2 D' R U L'
L R' F2 D2 R U L'
U' L' D' B2 R' D L2
U' L' D' B2 D L2 R'
U' L' D' B2 D R' L2
U2 L' F' L2 B' U L'
L R2 U' R2 U' L' U'
L R2 U2 L' U R2 U2
L R2 U2 L' U' D2 L2
L R2 U2 L' D B2 U'
L R2 U2 L' D2 U' L2
L R2 U2 D L' B2 U'
L R2 U2 D B2 L' U'
L R2 U2 D2 L' U' L'
R' L2 D L' U F2 L'
L R2 D U2 L' B2 U'
L R2 D U2 B2 L' U'
L R2 D' R F2 R U
L R2 D' R' F2 R U
L R2 D' R2 F2 R U
U' L' B2 D' R' B2 L
L R2 D' F2 R U D
L R2 D' F2 R U D'
L R2 D' F2 R U D2
L R2 D' F2 R D U
L R2 D' F2 R D' U
L R2 D' F2 R D2 U
L R2 D' F2 D R U
L R2 D' F2 D' R U
L R2 D' F2 D2 R U
L2 R2 D2 L' R2 U L'
R2 L2 D2 L' R2 U L'
L2 R2 D2 R2 L' U L'
R2 L2 D2 R2 L' U L'
L R2 D2 U2 L' U' L'
L R2 D2 F2 R U L2
L R2 F2 R U' R U2
L R2 F2 R F2 U L'
L R2 F2 D' R F2 U
L R2 F2 D2 R U L2
U' L2 D F2 R U' F2
L U L U L2 U' L2
L U L D F2 D' L2
L U L2 U L U' L'
R' U R U L U R'
R U R' U L U R
R2 U R2 U L U R2
L2 U D2 L' R2 U R2
L2 U D2 R2 L' U R2
U R U L U L' R'
U R U L U R' L'
U2 R U' L R' U R
U2 R U' R' L U R
L U F2 U' R F2 U
L' U B2 L2 R' U R
L' U B2 R' L2 U R
R U' L' D' B2 L R'
R U' L' D' B2 R' L
L U' R U' L' U' L
L U' R' U' L' U' L
L U' R2 U' L' U' L
U2 R B2 L R' U' L'
U2 R B2 R' L U' L'
D2 R' L F2 R U L'
D' R' L F2 R U L'
F' R' L F2 R U L'
F2 R' L F2 R U L'
D R' L F2 R U L'
F R' L F2 R U L'
B2 R' U R U B2 U
B2 R' U R U2 D' R2
B2 R' U R D L2 U2
B2 R' U R D' U2 R2
B2 R' U D L2 R U2
B2 R' U D R L2 U2
B2 R' U D' R U2 R
U R' U L U L' R
U R' U L U R L'
U2 R' U' L R U R'
U2 R' U' R L U R'
L U' B U' B' L' U'
B2 R' U2 F2 B2 U L'
B2 R' U2 B2 U' R U2
B2 R' U2 B2 F2 U L'
B2 R' D U L2 R U2
B2 R' D U R L2 U2
L U' B' U' L' B U'
L U' B' U' B L' U'
R' U2 L U' R U2 R'
L' U2 L U' L' D' B2
B2 R' D' U R U2 R
L' U2 L U2 L U L2
L U' B2 U' L' B2 U'
L U' B2 U' B2 L' U'
B2 R' D' F2 U' L' R2
B2 R' D' F2 U' R2 L'
R2 U2 L U' R2 U2 R2
L' U2 L B' U' L' B'
L' U2 L B2 R' U' L'
L U2 L U' D L' F2
R U2 L U' R' U2 R
L U2 L D U' L' F2
B2 R' D2 F2 U' L' D
B2 R' D2 F2 U' L' D'
B2 R' D2 F2 U' L' D2
B2 R' D2 F2 U' D L'
B2 R' D2 F2 U' D' L'
B2 R' D2 F2 U' D2 L'
B2 R' D2 F2 D U' L'
B2 R' D2 F2 D' U' L'
B2 R' D2 F2 D2 U' L'
B2 R' D2 F2 B U' L'
B2 R' D2 F2 B' U' L'
B2 R' D2 F2 B2 U' L'
B2 R' D2 B F2 U' L'
L U2 L B L2 U' L
B2 R' D2 B' F2 U' L'
L U2 L B' L2 U' L
B2 R' D2 B2 F2 U' L'
L U2 L B2 L2 U' L
L U2 L' U R U2 L
L U2 L' U R' U2 L
L U2 L' U R2 U2 L
L U2 L' U' L2 D L'
L U2 L' U' L2 D' L'
L U2 L' U' L2 D2 L'
L U2 L' U' D L D
L U2 L' U' D L D'
L U2 L' U' D L D2
L U2 L' U' D' L D
L U2 L' U' D' L D'
L U2 L' U' D' L D2
L U2 L' U' D2 L D
L U2 L' U' D2 L D'
L U2 L' U' D2 L D2
L U2 L' U' F L F'
L U2 L' U' F2 L F2
L U2 L' U2 F U L
L U2 L' U2 F' U L
L U2 L' U2 F2 U L
L U2 L' D U' L D
L U2 L' D U' L D'
L U2 L' D U' L D2
L U2 L' D' U' L D
L U2 L' D' U' L D'
L U2 L' D' U' L D2
L U2 L' D2 U' L D
L U2 L' D2 U' L D'
L U2 L' D2 U' L D2
L2 U2 L2 U2 L U L
L U2 L' B2 U R' U2
L2 U2 L2 D' B2 R' U'
L2 U2 L2 B2 R' U' L2
L U2 L2 D' L B2 U'
B' R' F2 U' L' B' R'
B2 R' F2 U' L' D' R2
B2 R' F2 U' D' L' R2
B2 R' F2 U' D' R2 L'
B2 R' F2 U2 B2 U L'
B2 R' F2 D' U' L' R2
B2 R' F2 D' U' R2 L'
L' U2 D' L U' L' B2
L' U2 D' L U' B2 L'
L U2 D L' U' L D
L U2 D L' U' L D'
L U2 D L' U' L D2
L U2 D L' U' D L
L U2 D L' U' D' L
L U2 D L' U' D2 L
L U2 D L' D U' L
L U2 D L' D' U' L
L U2 D L' D2 U' L
B2 R' B2 U R U2 R'
L U2 D B L' U' L
L U2 D B' L' U' L
L' U2 D2 L R2 U' L'
L U2 D B2 L' U' L
D2 R2 L D' F2 R U
D' R2 L D' F2 R U
F' R2 L D' F2 R U
L U2 D' L' U' L D
L U2 D' L' U' L D'
L U2 D' L' U' L D2
L U2 D' L' U' D L
L U2 D' L' U' D' L
L U2 D' L' U' D2 L
L U2 D' L' D U' L
L U2 D' L' D' U' L
L U2 D' L' D2 U' L
L' U2 D2 R2 L U' L'
F2 R2 L D' F2 R U
L U2 D' B L' U' L
D R2 L D' F2 R U
L U2 D' B' L' U' L
L U2 D' B2 L' U' L
U R2 L U R2 D' F2
L U2 D2 L' U' L D
L U2 D2 L' U' L D'
L U2 D2 L' U' L D2
L U2 D2 L' U' D L
L U2 D2 L' U' D' L
L U2 D2 L' U' D2 L
L U2 D2 L' D U' L
L U2 D2 L' D' U' L
L U2 D2 L' D2 U' L
F R2 L D' F2 R U
L U2 D2 B L' U' L
U R2 L B' U R2 F'
L U2 D2 B' L' U' L
L U2 D2 B2 L' U' L
U R2 U L U L' R2
U R2 U L U R2 L'
U2 R2 U' L R2 U R2
U2 R2 U' R2 L U R2
L U2 B L' U' L D
L U2 B L' U' L D'
L U2 B L' U' L D2
L U2 B L' U' D L
L U2 B L' U' D' L
L U2 B L' U' D2 L
L U2 B L' D U' L
L U2 B L' D' U' L
L U2 B L' D2 U' L
L U2 B D L' U' L
L U2 B D' L' U' L
L U2 B D2 L' U' L
L U2 B' L' U' L D
L U2 B' L' U' L D'
L U2 B' L' U' L D2
L U2 B' L' U' D L
L U2 B' L' U' D' L
L U2 B' L' U' D2 L
L U2 B' L' D U' L
L U2 B' L' D' U' L
L U2 B' L' D2 U' L
D2 R2 D' L F2 R U
D' R2 D' L F2 R U
F' R2 D' L F2 R U
L U2 B' D L' U' L
L U2 B' D' L' U' L
L U2 B' D2 L' U' L
F2 R2 D' L F2 R U
L U2 B2 L' U' L D
L U2 B2 L' U' L D'
L U2 B2 L' U' L D2
L U2 B2 L' U' D L
L U2 B2 L' U' D' L
L U2 B2 L' U' D2 L
L U2 B2 L' D U' L
L U2 B2 L' D' U' L
L U2 B2 L' D2 U' L
D R2 D' L F2 R U
R' D L F2 R U L'
F R2 D' L F2 R U
L U2 B2 D L' U' L
L U2 B2 D' L' U' L
L U2 B2 D2 L' U' L
R2 D L U2 L' B2 U'
B2 R2 D2 R F2 U' L2
R2 D L U2 B2 L' U'
R2 D L D2 F2 R U
L2 D L' R' U F2 L'
L2 D L' U F2 D' L2
L2 D R' L' U F2 L'
L D R' F2 R U L'
L D R2 D' F2 R U
L D U2 L' U' L D
L D U2 L' U' L D'
L D U2 L' U' L D2
L D U2 L' U' D L
L D U2 L' U' D' L
L D U2 L' U' D2 L
L D U2 L' D U' L
L D U2 L' D' U' L
L D U2 L' D2 U' L
L D U2 B L' U' L
L D U2 B' L' U' L
L D U2 B2 L' U' L
L D F2 R U' R' U2
R2 D B2 R' U' D' R2
R2 D B2 R' U2 B2 U
R2 D B2 R' D' U' R2
R2 D B2 R' D2 F2 U'
R2 D B2 U2 B2 L U
R2 D B2 D' R' U' R'
R' D' L F2 R U L'
R2 D B2 D2 R' F2 U'
R2 D B2 D2 F2 R' U'
R2 D' L R F2 R U
R2 D' L R' F2 R U
R2 D' L R2 F2 R U
R2 D' L F2 R U D
R2 D' L F2 R U D'
R2 D' L F2 R U D2
R2 D' L F2 R D U
R2 D' L F2 R D' U
R2 D' L F2 R D2 U
R2 D' L F2 D R U
R2 D' L F2 D' R U
R2 D' L F2 D2 R U
R2 D' R L F2 R U
R2 D' R' L F2 R U
R2 D' R2 L F2 R U
L D' R' F2 R U L'
B U B' L R2 U F'
B U B' L U' B U2
B2 U B2 L U D2 F2
B2 U B2 L U' B2 U2
B2 U B2 L D' R2 U
B2 U B2 L D2 U F2
B U B' R2 L U F'
L D' R2 D' F2 R U
B2 U B2 D' L R2 U
B2 U B2 D' R2 L U
B2 U B2 D2 L U F2
L' D' U2 L U' L' B2
L' D' U2 L U' B2 L'
L D' U2 L' U' L D
L D' U2 L' U' L D'
L D' U2 L' U' L D2
L D' U2 L' U' D L
L D' U2 L' U' D' L
L D' U2 L' U' D2 L
L D' U2 L' D U' L
L D' U2 L' D' U' L
L D' U2 L' D2 U' L
L D' U2 B L' U' L
L D' U2 B' L' U' L
L D' U2 B2 L' U' L
R2 D' F2 L U2 L' U'
L D' F2 R U' R' U2
B2 U' R' D2 F2 U' F2
L2 D' B2 U L' B2 U
L2 D' B2 U B2 L' U
R' D2 L F2 R U L'
R2 D2 L U L D F2
R2 D2 L U2 L' U' L2
B2 U' D2 R' F2 U' F2
R2 D2 L F U L F
B2 U' D2 F2 R' U' F2
R2 D2 L F2 R U L
L2 D2 L' R2 U D2 L2
L2 D2 L' R2 U' R2 U2
L2 D2 L' R2 D' F2 U
L2 D2 L' R2 D2 U L2
L2 D2 R2 L' U D2 L2
L2 D2 R2 L' U' R2 U2
L2 D2 R2 L' D' F2 U
L2 D2 R2 L' D2 U L2
L2 D2 R2 D' L' F2 U
L2 D2 R2 D2 L' U L'
L D2 R' F2 R U L'
L2 D2 U L' R2 U R2
L2 D2 U R2 L' U R2
L D2 R2 D' F2 R U
L' D2 U2 L R2 U' L'
L' D2 U2 R2 L U' L'
B' U2 L B U L' B'
B2 U2 L B2 L U L2
L D2 U2 L' U' L D
L D2 U2 L' U' L D'
L D2 U2 L' U' L D2
L D2 U2 L' U' D L
L D2 U2 L' U' D' L
L D2 U2 L' U' D2 L
L D2 U2 L' D U' L
L D2 U2 L' D' U' L
L D2 U2 L' D2 U' L
L D2 U2 B L' U' L
L D2 U2 B' L' U' L
L D2 U2 B2 L' U' L
B2 U2 L2 B2 L U L
L D2 F2 R U' R' U2
D' F L U2 L' U' L
D2 F L U2 L' U' L
R2 F L D' F2 R U
D F L U2 L' U' L
L' F L2 U2 L' U' L
B2 U2 F B2 L U L'
B' U2 F' B L' U L
B U2 F B' L U L'
B2 U2 F' B2 L U L'
B' U2 B L U L' B'
B U2 F' B' L U L'
B2 U2 F2 B2 L U L'
L F R U' R' U2 F'
B' U2 B F' L' U L
B U2 F2 B' L U L'
L F R' U' R B U2
B U2 B' L U L' D
B U2 B' L U L' D'
B U2 B' L U L' D2
B U2 B' L U D L'
B U2 B' L U D' L'
B U2 B' L U D2 L'
B U2 B' L D U L'
B U2 B' L D' U L'
B U2 B' L D2 U L'
B2 U2 B2 L U L' D
B2 U2 B2 L U L' D'
B2 U2 B2 L U L' D2
B2 U2 B2 L U D L'
B2 U2 B2 L U D' L'
B2 U2 B2 L U D2 L'
B2 U2 B2 L D U L'
B2 U2 B2 L D' U L'
B2 U2 B2 L D2 U L'
B U2 B' D L U L'
B2 U2 B2 D L U L'
B U2 B' D' L U L'
B2 U2 B2 D' L U L'
B U2 B' D2 L U L'
B2 U2 B2 D2 L U L'
B U2 B' F L U L'
B U2 B' F' L U L'
B2 U2 B2 F L U L'
B U2 B' F2 L U L'
B2 U2 B2 F' L U L'
B2 U2 B2 F2 L U L'
F' D L U2 L' U' L
F2 D L U2 L' U' L
F D L U2 L' U' L
L F U2 L' U' L F
B2 D L2 U' L2 R' U'
B2 D L2 U' R' L2 U'
L F U2 B L U' L'
R2 F D' L F2 R U
B2 D R' U L2 R U2
B2 D R' U R L2 U2
B2 D R' D F2 U' L'
D' F' L U2 L' U' L
D2 F' L U2 L' U' L
R2 F' L D' F2 R U
D F' L U2 L' U' L
L' F' L2 U2 L' U' L
U2 F' L2 B' L' U L'
F' D' L U2 L' U' L
F2 D' L U2 L' U' L
F D' L U2 L' U' L
R2 F' D' L F2 R U
B2 D' R' U R U2 R2
B2 D' R' U' R' D2 L2
B2 D' R' F2 U' L' R'
B2 D' R' F2 U' R' L'
R' F2 L U2 L' U' L'
D2 F2 L U2 L' U' L
D' F2 L U2 L' U' L
R' F2 L D F2 R U
R' F2 L F2 R U L2
U2 F2 L U L' D R2
U2 F2 L U D L' R2
U2 F2 L U D R2 L'
U2 F2 L D U L' R2
U2 F2 L D U R2 L'
U2 F2 L D2 B2 U L'
R2 F2 L D' F2 R U
D F2 L U2 L' U' L
L' F2 L2 U2 L' U' L
L F2 R U B2 L B2
L F2 R U' R' U2 D
L F2 R U' R' U2 D'
L F2 R U' R' U2 D2
L F2 R U' R' D U2
L F2 R U' R' D' U2
L F2 R U' R' D2 U2
L F2 R U' D R' U2
L F2 R U' D' R' U2
L F2 R U' D2 R' U2
L F2 R U2 B2 U' L
L F2 R D U' R' U2
L F2 R D' U' R' U2
L F2 R D2 U' R' U2
L F2 R F U' R' U2
L F2 R F' U' R' U2
L F2 R F2 U' R' U2
L F2 R' U D' F2 L'
L F2 R' D' U F2 L'
L F2 R' F2 R2 U L'
R' F2 U' L' D' B2 R'
L F2 R2 D' R' F2 U
L F2 R2 D' F2 R' U
L F2 R2 D2 R' U L2
F' D2 L U2 L' U' L
F2 D2 L U2 L' U' L
L2 F2 U2 L2 R U' L2
L2 F2 U2 R L2 U' L2
U F2 U' L F2 R U
F D2 L U2 L' U' L
U2 F2 D L U L' R2
U2 F2 D L U R2 L'
L F2 D R U' R' U2
R2 F2 D' L F2 R U
U2 F2 D2 L B2 U L'
L F2 D' R U' R' U2
B2 D2 R' F2 U' L' D
B2 D2 R' F2 U' L' D'
B2 D2 R' F2 U' L' D2
B2 D2 R' F2 U' D L'
B2 D2 R' F2 U' D' L'
B2 D2 R' F2 U' D2 L'
B2 D2 R' F2 D U' L'
B2 D2 R' F2 D' U' L'
B2 D2 R' F2 D2 U' L'
B2 D2 R' F2 B U' L'
B2 D2 R' F2 B' U' L'
B2 D2 R' F2 B2 U' L'
B2 D2 R' B F2 U' L'
B2 D2 R' B' F2 U' L'
B2 D2 R' B2 F2 U' L'
L F2 D2 R U' R' U2
B2 D2 U' R' F2 U' F2
B2 D2 U' F2 R' U' F2
L F2 B2 R B2 U L
B2 D2 F2 R' U R U2
D2 B U2 B' L U L'
D' B U2 B' L U L'
D B U2 B' L U L'
B2 F R' D2 F2 U' L'
F' B U2 B' L U L'
B2 F U2 B2 L U L'
F2 B U2 B' L U L'
B F U2 B' L U L'
F B U2 B' L U L'
B2 F D2 R' F2 U' L'
B2 F' R' D2 F2 U' L'
B2 F' U2 B2 L U L'
B F' U2 B' L U L'
B2 F' D2 R' F2 U' L'
R' B2 R' D2 F2 U' L2
D2 B2 R' D2 F2 U' L'
D' B2 R' D2 F2 U' L'
R2 B2 R' U2 B2 U L
D B2 R' D2 F2 U' L'
L' B2 U L2 R' B2 U
L' B2 U R' L2 B2 U
L' B2 U R' B2 L2 U
R B2 R' U' L D' R2
R B2 R' U' D' L R2
R B2 R' U' D' R2 L
R B2 R' D' U' L R2
R B2 R' D' U' R2 L
F' B2 R' D2 F2 U' L'
R B2 R' D2 F2 U' L
B2 F2 R' D2 F2 U' L'
F2 B2 R' D2 F2 U' L'
D2 B2 U2 B2 L U L'
D' B2 U2 B2 L U L'
F B2 R' D2 F2 U' L'
D B2 U2 B2 L U L'
D2 B2 D2 R' F2 U' L'
D' B2 D2 R' F2 U' L'
R' B2 D2 F2 R' U' L'
F' B2 U2 B2 L U L'
B2 F2 U2 B2 L U L'
F2 B2 U2 B2 L U L'
R2 B2 D2 R' F2 U' L2
B F2 U2 B' L U L'
D B2 D2 R' F2 U' L'
R B2 D' R' U' L R'
R B2 D' R' U' R' L
R2 B2 D2 F2 R' U' L2
F B2 U2 B2 L U L'
F' B2 D2 R' F2 U' L'
R B2 D2 R' F2 U' L
B2 F2 D2 R' F2 U' L'
F2 B2 D2 R' F2 U' L'
R B2 D2 F2 R' U' L
F B2 D2 R' F2 U' L'
L B2 F2 R B2 U L
