R' L B' U' F
L R' B' U' F
D L R' U' F L'
D2 L R' B U' F
R' L D B' U' F
R' L D' B' U' F
R' L D2 B' U' F
R' L B' U' D F
R' L B' U' D' F
R' L B' U' D2 F
R' L B' U' F D
R' L B' U' F D'
R' L B' U' F D2
R2 L B' R U' F
R' L B' D U' F
R' L B' D' U' F
R' L B' D2 U' F
L R B' R2 U' F
R L B' R2 U' F
B L B' R' U' F
L2 R' U' F' L' F
L R' D B' U' F
L R' D' B' U' F
L R' D2 B' U' F
L R' B' U' D F
L R' B' U' D' F
L R' B' U' D2 F
L R' B' U' F D
L R' B' U' F D'
L R' B' U' F D2
L R' B' D U' F
L R' B' D' U' F
L R' B' D2 U' F
R' L2 U' F' L' F
L R2 B' R U' F
D R' L U' F L'
D2 R' L B U' F
D2 R' B L U' F
R' D L U' F L'
L D R' B' U' F
L D' R' B' U' F
L D2 R' B' U' F
R' B L B' U' F
R' B' L B' U' F
R' B2 L B' U' F
B' D L U' B' F L'
L F U F' R' B' U'
B D L U' F L' B'
L F' R' F B' U' F
L F' R' B' F U' F
R' F2 L F2 B' U' F'
R' F2 L B' F2 U' F'
R' B L D B' U' F
R' B L D' B' U' F
R' B L D2 B' U' F
R' B L B' U' D F
R' B L B' U' D' F
R' B L B' U' D2 F
R' B L B' U' F D
R' B L B' U' F D'
R' B L B' U' F D2
R' B L B' D U' F
R' B L B' D' U' F
R' B L B' D2 U' F
R2 B L R B' U' F
D B L U' F L' B'
R2 B L B' R U' F
R' B L2 U' F' L' F
R B L R2 B' U' F
L2 B L' B' R' U' F
R B L B' R2 U' F
R2 B R L B' U' F
R B R2 L B' U' F
L2 B U' F' L' F B'
L2 B U' F' L' B' F
R' B D L U' F L'
L' B D L2 B' R' U'
R' B' L D B' U' F
R' B' L D' B' U' F
R' B' L D2 B' U' F
R' B' L B' U' D F
R' B' L B' U' D' F
R' B' L B' U' D2 F
R' B' L B' U' F D
R' B' L B' U' F D'
R' B' L B' U' F D2
R' B' L B' D U' F
R' B' L B' D' U' F
R' B' L B' D2 U' F
R2 B' L R B' U' F
R2 B' L B' R U' F
R' B' L2 U' F' L' F
R B' L R2 B' U' F
R B' L B' R2 U' F
R2 B' R L B' U' F
R B' R2 L B' U' F
R' B' D L U' F L'
L B' D' R' U' F B
L B' D' R' U' B F
R' B2 L D B' U' F
R' B2 L D' B' U' F
R' B2 L D2 B' U' F
R' B2 L B' U' D F
R' B2 L B' U' D' F
R' B2 L B' U' D2 F
R' B2 L B' U' F D
R' B2 L B' U' F D'
R' B2 L B' U' F D2
R' B2 L B' D U' F
R' B2 L B' D' U' F
R' B2 L B' D2 U' F
R2 B2 L R B' U' F
R' B2 L2 U' F' L' F
R2 B2 L B' R U' F
R B2 L R2 B' U' F
R B2 L B' R2 U' F
R2 B2 R L B' U' F
R B2 R2 L B' U' F
R' B2 D L U' F L'
