B' U' F2 R B2
B' U' F2 B2 R
B' U' B2 F2 R
F2 B R D L2
F2 B D L2 R
F2 B D R L2
B F2 R D L2
B F2 D L2 R
B F2 D R L2
B' R U L' U2 B2 F2
F2 R U R' B' U' B2
B' R U F2 R B2 L
F2 R U B' R' U' B
B' R U' R F2 R B2
B' R U' R F2 B2 R
B' R U' R B2 F2 R
B' R U' R' F2 R B2
B' R U' R' F2 B2 R
B' R U' R' B2 F2 R
B' R U' R2 F2 R B2
B' R U' R2 F2 B2 R
B R U B2 U' F2 R
B' R U' R2 B2 F2 R
B' R U' F2 R B2 D
B' R U' F2 R B2 D'
B' R U' F2 R B2 D2
B' R U' F2 R' B2 R2
B' R U' F2 B' R B'
B' R U' F2 B2 R D
B' R U' F2 B2 R D'
B' R U' F2 B2 R D2
B' R U' F2 B2 D R
B' R U' F2 B2 D' R
B' R U' F2 B2 D2 R
B' R U' B' F2 R B'
B' R U' B2 R F2 R
B' R U' B2 R' F2 R
L U F2 D2 B L R2
L U F2 D2 B R2 L
B' R U' B2 R2 F2 R
B' R U' B2 F2 R D
B' R U' B2 F2 R D'
B' R U' B2 F2 R D2
B' R U' B2 F2 D R
B' R U' B2 F2 D' R
B' R U' B2 F2 D2 R
L U F2 B D2 L R2
L U F2 B D2 R2 L
L U B L' F2 L2 R
L U B L' F2 R L2
R' U B' U' F2 R B
L U B F2 D2 L R2
L U B F2 D2 R2 L
L' U' L B' U' F2 B2
L' U' L B' U' B2 F2
B R F D F L2 R
B R F D F R L2
B' R F' U' F' R B2
B' R F' U' F' B2 R
B' R F' U' B2 F' R
L U' L2 U2 F2 B L
L U' L2 U2 B L F2
L U' L2 U2 B F2 L
B' R F2 R B2 D L2
B R F2 L R D L2
B R F2 L D L2 R
B R F2 L D R L2
B R F2 L' R D L2
B R F2 L' D L2 R
B R F2 L' D R L2
B R F2 L2 R D L2
B R F2 L2 D L2 R
B R F2 L2 D R L2
B R F2 R L D L2
B R F2 R L' D L2
B R F2 R L2 D L2
B R F2 R U B2 U'
B R F2 R D L2 D
B R F2 R D L2 D'
B R F2 R D L2 D2
B2 R F2 D R B' L
B R F2 R2 D L2 R'
B R F2 R2 D R' L2
B2 R F2 D B' L R
B2 R F2 D B' R L
B' R F2 B2 R D L2
B' R F2 B2 D L2 R
B' R F2 B2 D R L2
B R F2 U B2 U' R
B R F2 D L2 R D
B R F2 D L2 R D'
B R F2 D L2 R D2
B R F2 D L2 D R
B R F2 D L2 D' R
B R F2 D L2 D2 R
B R F2 D R L2 D
B R F2 D R L2 D'
B R F2 D R L2 D2
B R F2 D2 R D' L2
B' R B2 F2 R D L2
B' R B2 F2 D L2 R
B' R B2 F2 D R L2
B R B2 U' F2 R B2
B R B2 U' F2 B2 R
B R B2 U' B2 F2 R
L U' D2 B R2 F' L'
B' R' L2 U' F2 B2 R'
B' R' L2 U' B2 R' F2
B' R' L2 U' B2 F2 R'
B' R' U L' U2 F2 B2
B' R' U L' U2 B2 F2
B' R' U F2 R B2 L
B' R' U' R F2 R B2
B' R' U' R F2 B2 R
B' R' U' R B2 F2 R
B' R' U' R' F2 R B2
B' R' U' R' F2 B2 R
B' R' U' R' B2 F2 R
B' R' U' R2 F2 R B2
B' R' U' R2 F2 B2 R
B' R' U' R2 B2 F2 R
B R' U B2 U' F2 R
B' R' U' F2 R B2 D
B' R' U' F2 R B2 D'
B' R' U' F2 R B2 D2
B' R' U' F2 R' B2 R2
B' R' U' F2 B' R B'
B' R' U' F2 B2 R D
B' R' U' F2 B2 R D'
B' R' U' F2 B2 R D2
B' R' U' F2 B2 D R
B' R' U' F2 B2 D' R
B' R' U' F2 B2 D2 R
B' R' U' B' F2 R B'
B' R' U' B2 R F2 R
B' R' U' B2 R' F2 R
B' R' U' B2 R2 F2 R
B' R' U' B2 F2 R D
B' R' U' B2 F2 R D'
B' R' U' B2 F2 R D2
B' R' U' B2 F2 D R
B' R' U' B2 F2 D' R
B' R' U' B2 F2 D2 R
R' U' B' R' U' F2 R
L' U2 L F2 B D L2
L' U2 L B F2 D L2
F R' F R B D L2
B R' F D F L2 R
B R' F D F R L2
B' R' F' U' F' R B2
B' R' F' U' F' B2 R
B' R' F' U' B2 F' R
B' R' F2 R B2 D L2
U' R' F2 R B D L2
B2 R' F2 R B' D L2
B R' F2 L R D L2
U2 R' F2 R B D L2
B R' F2 L D L2 R
B R' F2 L D R L2
B R' F2 L' R D L2
B R' F2 L' D L2 R
B R' F2 L' D R L2
B R' F2 L2 R D L2
B R' F2 L2 D L2 R
B R' F2 L2 D R L2
B R' F2 R L D L2
B R' F2 R L' D L2
B R' F2 R L2 D L2
B R' F2 R U B2 U'
B R' F2 R D L2 D
B R' F2 R D L2 D'
B R' F2 R D L2 D2
B' R' F2 B2 R D L2
B R' F2 R2 D L2 R'
B R' F2 R2 D R' L2
B' R' F2 B2 D L2 R
B' R' F2 B2 D R L2
B R' F2 U B2 U' R
U R' F2 R B D L2
B R' F2 D L2 R D
B R' F2 D L2 R D'
B R' F2 D L2 R D2
B R' F2 D L2 D R
B R' F2 D L2 D' R
B R' F2 D L2 D2 R
B R' F2 D R L2 D
B R' F2 D R L2 D'
B R' F2 D R L2 D2
B R' F2 D2 R D' L2
B' R' B2 F2 R D L2
B' R' B2 F2 D L2 R
B' R' B2 F2 D R L2
B R' B2 U' F2 R B2
B R' B2 U' F2 B2 R
B R' B2 U' B2 F2 R
L' U2 F D F L' B
L' U2 F D F B L'
L' U2 F D B F L'
B' R2 L2 U' F2 B2 R'
B' R2 L2 U' B2 R' F2
B' R2 L2 U' B2 F2 R'
L' U2 F B D F L'
B' R2 U L' U2 F2 B2
B' R2 U L' U2 B2 F2
L' U2 F2 L B D L2
B' R2 U F2 R B2 L
L' U2 F2 D' B' L B2
B' R2 U' R F2 R B2
B' R2 U' R F2 B2 R
B' R2 U' R B2 F2 R
B' R2 U' R' F2 R B2
B' R2 U' R' F2 B2 R
B' R2 U' R' B2 F2 R
B' R2 U' R2 F2 R B2
B' R2 U' R2 F2 B2 R
B' R2 U' R2 B2 F2 R
L' U2 F2 B2 D' B' L
B R2 U B2 U' F2 R
B' R2 U' F2 R B2 D
B' R2 U' F2 R B2 D'
B' R2 U' F2 R B2 D2
B' R2 U' F2 R' B2 R2
B' R2 U' F2 B' R B'
B' R2 U' F2 B2 R D
B' R2 U' F2 B2 R D'
B' R2 U' F2 B2 R D2
B' R2 U' F2 B2 D R
B' R2 U' F2 B2 D' R
B' R2 U' F2 B2 D2 R
B' R2 U' B' F2 R B'
B' R2 U' B2 R F2 R
B' R2 U' B2 R' F2 R
B' R2 U' B2 R2 F2 R
B' R2 U' B2 F2 R D
B' R2 U' B2 F2 R D'
B' R2 U' B2 F2 R D2
B' R2 U' B2 F2 D R
B' R2 U' B2 F2 D' R
B' R2 U' B2 F2 D2 R
L' U2 B F D F L'
L' U2 B2 F2 D' B' L
B R2 F D F L2 R
B R2 F D F R L2
B' R2 F' U' F' R B2
B' R2 F' U' F' B2 R
B' R2 F' U' B2 F' R
B2 R2 F' U F' R B'
B2 R2 F' U F' B' R
B2 R2 F' U B' F' R
B' R2 F2 R B2 D L2
B R2 F2 L R D L2
B R2 F2 L D L2 R
B R2 F2 L D R L2
B R2 F2 L' R D L2
B R2 F2 L' D L2 R
B R2 F2 L' D R L2
B R2 F2 L2 R D L2
B R2 F2 L2 D L2 R
B R2 F2 L2 D R L2
B R2 F2 R L D L2
B R2 F2 R L' D L2
B R2 F2 R L2 D L2
B R2 F2 R U B2 U'
B' R2 F2 B2 R D L2
B R2 F2 R D L2 D
B R2 F2 R D L2 D'
B R2 F2 R D L2 D2
B' R2 F2 B2 D L2 R
B' R2 F2 B2 D R L2
B R2 F2 R2 D L2 R'
B R2 F2 R2 D R' L2
B R2 F2 U B2 U' R
B R2 F2 D L2 R D
B R2 F2 D L2 R D'
B R2 F2 D L2 R D2
B R2 F2 D L2 D R
B R2 F2 D L2 D' R
B R2 F2 D L2 D2 R
B R2 F2 D R L2 D
B R2 F2 D R L2 D'
B R2 F2 D R L2 D2
B R2 F2 D2 R D' L2
B' R2 B2 F2 R D L2
B' R2 B2 F2 D L2 R
B' R2 B2 F2 D R L2
B R2 B2 U' F2 R B2
B R2 B2 U' F2 B2 R
B R2 B2 U' B2 F2 R
B' U L' U2 F2 B2 D
B' U L' U2 F2 B2 D'
B' U L' U2 F2 B2 D2
B' U L' U2 B2 F2 D
B' U L' U2 B2 F2 D'
B' U L' U2 B2 F2 D2
B' U L' D2 F2 B2 U2
B' U L' D2 B2 F2 U2
B' U L' F U2 F B2
B' U L' F U2 B2 F
B' U L' F' U2 F' B2
B' U L' F' U2 B2 F'
B' U L' B U2 F2 B
B' U L' B U2 B F2
B' U L' B' U2 F2 B'
B' U L' B' U2 B' F2
B' U L2 U2 F2 B2 R'
B' U L2 U2 B2 R' F2
B' U L2 U2 B2 F2 R'
B' U L2 B2 R' F2 L'
B' U R F2 B2 L R
B' U R F2 B2 R L
B U L2 B2 U' R' F2
B U L2 B2 U' F2 R'
B' U R B2 F2 L R
B' U R B2 F2 R L
B' U R' F2 L' R B2
B' U R' F2 L' B2 R
B' U R' F2 R L' B2
B' U R' F2 R B2 L'
B' U R' F2 B2 L' R
B' U R' F2 B2 R L'
B' U R' B2 F2 L' R
B' U R' B2 F2 R L'
F2 U D B' U' R B2
F2 U D B' U' B2 R
B' U D2 L' F2 B2 U2
B' U D2 L' B2 F2 U2
F2 U D' B' U' R B2
F2 U D' B' U' B2 R
B' U D2 F2 B2 U2 R
B' U D2 B2 L' F2 U2
B' U D2 B2 F2 U2 R
F2 U D2 B' U' R B2
F2 U D2 B' U' B2 R
D' U B D F2 L2 R
D' U B D F2 R L2
D' U B' L2 U' B2 R'
B' U F' U2 F' R B2
B' U F' U2 F' B2 R
B' U F' U2 B2 F' R
F' U F' B R D L2
F' U F' B D L2 R
F' U F' B D R L2
B' U F2 L R B2 L
B' U F2 L' R B2 L
B' U F2 L2 R B2 L
B' U F2 R L B2 L
B' U F2 R L' B2 L
B' U F2 R L2 B2 L
B' U F2 R B2 L D
B' U F2 R B2 L D'
B' U F2 R B2 L D2
B' U F2 R B2 D L
B' U F2 R B2 D' L
B' U F2 R B2 D2 L
B2 U F2 R D B' L
B U F' B2 U' F' R
B' U B L' U2 F2 B
B' U B L' U2 B F2
B2 U F2 B' R D L2
B2 U F2 B' D L2 R
B2 U F2 B' D R L2
B' U B U2 F2 B R
B' U B U2 B F2 R
B2 U B U' F2 R B2
B2 U B U' F2 B2 R
B2 U B U' B2 F2 R
F' U B F' R D L2
F' U B F' D L2 R
F' U B F' D R L2
B' U B' U2 F2 R B'
B' U B' U2 F2 B' R
B' U B' U2 B' F2 R
F' U B' U' F' R B2
F' U B' U' F' B2 R
F' U B' U' B2 F' R
F2 U B' R' U' R2 B2
F2 U B' R' U' B2 R2
F2 U B' R2 U' R' B2
F2 U B' U' R B2 D
F2 U B' U' R B2 D'
F2 U B' U' R B2 D2
F2 U B' U' R' B2 R2
F2 U B' U' B' R B'
F2 U B' U' B2 R D
F2 U B' U' B2 R D'
F2 U B' U' B2 R D2
F2 U B' U' B2 D R
F2 U B' U' B2 D' R
F2 U B' U' B2 D2 R
F2 U B' D' R2 U' R'
B2 U B' F2 R D L2
B2 U B' F2 D L2 R
B2 U B' F2 D R L2
B' U B2 R' F2 L' R
B' U B2 R' F2 R L'
F U B' U' F R B2
F U B' U' F B2 R
F U B' U' B2 F R
B U B2 U L' U2 F2
B U B2 U' R F2 R
B U B2 U' R' F2 R
B U B2 U' R2 F2 R
B U B2 U' F2 R D
B U B2 U' F2 R D'
B U B2 U' F2 R D2
B U B2 U' F2 D R
B U B2 U' F2 D' R
B U B2 U' F2 D2 R
F2 U' L U B L R
F2 U' L U B R L
B' U' L B2 L' F2 R
B U B2 F' U' F' R
B' U' L' U2 L F2 B2
B' U' L' U2 L B2 F2
B' U' L' U2 F2 L B2
B' U' L2 F2 B2 L2 R'
B' U' L2 F2 B2 R' L2
B' U' L2 B2 L2 R' F2
B' U' L2 B2 L2 F2 R'
B' U' L2 B2 R' L2 F2
B' U' L2 B2 R' F2 L2
B' U' L2 B2 F2 L2 R'
B' U' L2 B2 F2 R' L2
B' U' R F2 R B2 D
B' U' R F2 R B2 D'
B' U' R F2 R B2 D2
B' U' R F2 R' B2 R2
B' U' R F2 B' R B'
B' U' R F2 B2 R D
B' U' R F2 B2 R D'
B' U' R F2 B2 R D2
B' U' R F2 B2 D R
B' U' R F2 B2 D' R
B' U' R F2 B2 D2 R
B' U' R B' F2 R B'
B' U' R B2 R F2 R
B' U' R B2 R' F2 R
B' U' R B2 R2 F2 R
B' U' R B2 F2 R D
B' U' R B2 F2 R D'
B' U' R B2 F2 R D2
B' U' R B2 F2 D R
B' U' R B2 F2 D' R
B' U' R B2 F2 D2 R
B' U' R' F2 R B2 D
B' U' R' F2 R B2 D'
B' U' R' F2 R B2 D2
B' U' R' F2 R' B2 R2
B' U' R' F2 B' R B'
B' U' R' F2 B2 R D
B' U' R' F2 B2 R D'
B' U' R' F2 B2 R D2
B' U' R' F2 B2 D R
B' U' R' F2 B2 D' R
B' U' R' F2 B2 D2 R
B' U' R' B' F2 R B'
B' U' R' B2 R F2 R
B' U' R' B2 R' F2 R
B' U' R' B2 R2 F2 R
B' U' R' B2 F2 R D
B' U' R' B2 F2 R D'
B' U' R' B2 F2 R D2
B' U' R' B2 F2 D R
B' U' R' B2 F2 D' R
B' U' R' B2 F2 D2 R
B' U' R2 F2 R B2 D
B' U' R2 F2 R B2 D'
B' U' R2 F2 R B2 D2
B' U' R2 F2 R' B2 R2
B' U' R2 F2 B' R B'
B' U' R2 F2 B2 R D
B' U' R2 F2 B2 R D'
B' U' R2 F2 B2 R D2
B' U' R2 F2 B2 D R
B' U' R2 F2 B2 D' R
B' U' R2 F2 B2 D2 R
B' U' R2 B' F2 R B'
B' U' R2 B2 R F2 R
B' U' R2 B2 R' F2 R
B' U' R2 B2 R2 F2 R
B' U' R2 B2 F2 R D
B' U' R2 B2 F2 R D'
B' U' R2 B2 F2 R D2
B' U' R2 B2 F2 D R
B' U' R2 B2 F2 D' R
B' U' R2 B2 F2 D2 R
U' D' B D F2 L2 R
D' U' B D F2 L2 R
U' D' B D F2 R L2
D' U' B D F2 R L2
U' D' B' L2 U' B2 R'
D' U' B' L2 U' B2 R'
U2 D' B D F2 L2 R
U2 D' B D F2 R L2
U2 D' B' L2 U' B2 R'
U D' B D F2 L2 R
U D' B D F2 R L2
B' U' F R F R B2
B' U' F R F B2 R
B' U' F R B2 F R
B' U' F R' F R B2
B' U' F R' F B2 R
B' U' F R' B2 F R
B' U' F R2 F R B2
B' U' F R2 F B2 R
B' U' F R2 B2 F R
U D' B' L2 U' B2 R'
B' U' F B2 R F R
B' U' F B2 R' F R
B' U' F B2 R2 F R
B' U' F B2 D F R
B' U' F B2 D' F R
B' U' F B2 D2 F R
F' U' F' B R D L2
F' U' F' B D L2 R
F' U' F' B D R L2
B' U' F2 L R B2 L'
B' U' F2 L B2 L' R
B' U' F2 L B2 R L'
B' U' F2 L2 R B2 L2
B' U' F2 L2 B2 L2 R
B' U' F2 L2 B2 R L2
B' U' F2 R L B2 L'
B' U' F2 R L2 B2 L2
B' U' F2 R B D B
B' U' F2 R B D' B
B' U' F2 R B D2 B
B' U' F2 R B' D B'
B' U' F2 R B' D' B'
B' U' F2 R B' D2 B'
B' U' F2 R' B' R2 B'
B' U' F2 R' B2 R2 D
B' U' F2 R' B2 R2 D'
B' U' F2 R' B2 R2 D2
B2 U' F2 R D B' L
B' U' F2 D R D' B2
B' U' F2 D2 R D2 B2
B' U' F2 B D B R
B' U' F2 B D' B R
B' U' F2 B D2 B R
B' U' F2 B' R D B'
B' U' F2 B' R D' B'
B' U' F2 B' R D2 B'
B' U' F2 B' R B' D
B' U' F2 B' R B' D'
B' U' F2 B' R B' D2
B' U' F2 B' R' B' R2
B' U' F2 B' D R B'
B' U' F2 B' D B' R
B' U' F2 B' D' R B'
B' U' F2 B' D' B' R
B' U' F2 B' D2 R B'
B' U' F2 B' D2 B' R
B' U' F2 B2 R2 D R'
B' U' F2 B2 R2 D' R'
B' U' F2 B2 R2 D2 R'
B' U' F2 B2 D R D
B' U' F2 B2 D R D'
B' U' F2 B2 D R D2
B' U' F2 B2 D' R D
B' U' F2 B2 D' R D'
B' U' F2 B2 D' R D2
B' U' F2 B2 D2 R D
B' U' F2 B2 D2 R D'
B' U' F2 B2 D2 R D2
B2 U' F2 B' R D L2
B2 U' F2 B' D L2 R
B2 U' F2 B' D R L2
B' U' B R' F2 R B
B2 U' B U' F2 R B2
B2 U' B U' F2 B2 R
B2 U' B U' B2 F2 R
B' U' B F2 D B R
B' U' B F2 D' B R
B' U' B F2 D2 B R
F' U' B F' R D L2
F' U' B F' D L2 R
F' U' B F' D R L2
B' U' B' R F2 R B'
B' U' B' R F2 B' R
B' U' B' R B' F2 R
B' U' B' R' F2 R B'
B' U' B' R' F2 B' R
B' U' B' R' B' F2 R
B' U' B' R2 F2 R B'
B' U' B' R2 F2 B' R
B' U' B' R2 B' F2 R
F' U' B' U' F' R B2
F' U' B' U' F' B2 R
F' U' B' U' B2 F' R
F2 U' B' U R B2 L
B' U' B' F2 R D B'
B' U' B' F2 R D' B'
B' U' B' F2 R D2 B'
B' U' B' F2 R B' D
B' U' B' F2 R B' D'
B' U' B' F2 R B' D2
B' U' B' F2 R' B' R2
B' U' B' F2 D R B'
B' U' B' F2 D B' R
B' U' B' F2 D' R B'
B' U' B' F2 D' B' R
B' U' B' F2 D2 R B'
B' U' B' F2 D2 B' R
B2 U' B' F2 R D L2
B2 U' B' F2 D L2 R
B2 U' B' F2 D R L2
B' U' B2 R F2 R D
B' U' B2 R F2 R D'
B' U' B2 R F2 R D2
B' U' B2 R F2 D R
B' U' B2 R F2 D' R
B' U' B2 R F2 D2 R
B' U' B2 R' F2 R D
B' U' B2 R' F2 R D'
B' U' B2 R' F2 R D2
B' U' B2 R' F2 D R
B' U' B2 R' F2 D' R
B' U' B2 R' F2 D2 R
B' U' B2 R2 F2 R D
B' U' B2 R2 F2 R D'
B' U' B2 R2 F2 R D2
B' U' B2 R2 F2 D R
B' U' B2 R2 F2 D' R
B' U' B2 R2 F2 D2 R
B' U' B2 U2 L' U2 F2
B' U' B2 F R F R
B' U' B2 F R' F R
B' U' B2 F R2 F R
B' U' B2 F D F R
B' U' B2 F D' F R
B' U' B2 F D2 F R
B' U' B2 F2 R2 D R'
B' U' B2 F2 R2 D' R'
B' U' B2 F2 R2 D2 R'
B' U' B2 F2 D R D
B' U' B2 F2 D R D'
B' U' B2 F2 D R D2
B' U' B2 F2 D' R D
B' U' B2 F2 D' R D'
B' U' B2 F2 D' R D2
B' U' B2 F2 D2 R D
B' U' B2 F2 D2 R D'
B' U' B2 F2 D2 R D2
L D2 U B L R2 F'
L D2 U B R2 L F'
L D2 U B R2 F' L
L D2 U' B R2 F' L'
B' U2 L2 U F2 B2 R'
B' U2 L2 U B2 R' F2
B' U2 L2 U B2 F2 R'
B U2 L' U' B2 U' F2
B U2 L' U2 F2 D L2
B' U2 R U F2 R B2
B' U2 R U F2 B2 R
B' U2 R U B2 F2 R
B' U2 R' U F2 R B2
B' U2 R' U F2 B2 R
B' U2 R' U B2 F2 R
D' U2 B D F2 L2 R
D' U2 B D F2 R L2
D' U2 B' L2 U' B2 R'
B' U2 R2 U F2 R B2
B' U2 R2 U F2 B2 R
B' U2 R2 U B2 F2 R
L' D2 B2 U2 D B' L
L' D2 B2 D U2 B' L
F' U2 F' B R D L2
F' U2 F' B D L2 R
F' U2 F' B D R L2
