F2 L' D' B2
U' L U F2 L'
F2 L' U' L2 U
F2 L' D' B2 D
F2 L' D' B2 D'
F2 L' D' B2 D2
F2 L' B D' B2
F2 L' B' D' B2
F2 L' B2 D' B2
F2 U' L U L2
F2 D L' D' B2
F2 D' L' D' B2
L' F2 D' L' B2
L' F2 D' B2 L'
F2 D2 L' D' B2
R2 L U R2 F2 L' D'
R2 L U R2 F2 L' D2
R2 L U R2 F2 D L'
R2 L U R2 F2 D' L'
R2 L U R2 F2 D2 L'
R L U R' F2 D' L2
L R U F2 R' D' L2
L R U F2 D' L2 R'
L R U F2 D' R' L2
U' L R' U F2 D2 L2
U' L R' U' R2 U2 F2
B2 L R' U' R F2 L'
R L U F2 R' D' L2
R L U F2 D' L2 R'
R L U F2 D' R' L2
R' L U' R2 U2 R' F2
R' L U' R2 U2 F2 R'
R2 L U' R' U2 R' F2
R2 L U' R' U2 F2 R'
U' L R2 U' R' U2 F2
D L R2 U' R' U2 R'
D L R2 D B2 U L
L' R U2 R' F2 D' B2
U' L U L F2 L' D
U' L U L F2 L' D'
U' L U L F2 L' D2
U' L U L F2 D L'
U' L U L F2 D' L'
U' L U L F2 D2 L'
L' R U2 F2 R' D' B2
D L R2 B2 U L R2
D L R2 B2 U R2 L
L' R U2 F2 D' R' B2
U' L U L' F2 L' D
U' L U L' F2 L' D'
U' L U L' F2 L' D2
U' L U L' F2 D L'
U' L U L' F2 D' L'
U' L U L' F2 D2 L'
U' L U L2 F2 L' D
U' L U L2 F2 L' D'
U' L U L2 F2 L' D2
U' L U L2 F2 D L'
U' L U L2 F2 D' L'
U' L U L2 F2 D2 L'
U L U L F2 L' R
U L U L F2 R L'
L2 R U2 F2 R' D B2
F2 L U D' B2 U' B2
U' L U F' L F' L'
U' L U F' L' F' L'
U' L U F' L2 F' L'
U' L U F' D F' L'
U' L U F' D' F' L'
U' L U F' D2 F' L'
U' L U F2 L2 D L
U' L U F2 L2 D' L
U' L U F2 L2 D2 L
U2 L U F2 L' R D
U2 L U F2 L' R D'
U2 L U F2 L' R D2
U2 L U F2 L' D R
U2 L U F2 L' D' R
U2 L U F2 L' D2 R
U2 L U F2 R L' D
U2 L U F2 R L' D'
U2 L U F2 R L' D2
U2 L U F2 R D L'
U2 L U F2 R D' L'
U2 L U F2 R D2 L'
U' L U F2 D L' D
U' L U F2 D L' D'
U' L U F2 D L' D2
U' L U F2 D' L' D
U' L U F2 D' L' D'
U' L U F2 D' L' D2
U' L U F2 D2 L' D
U' L U F2 D2 L' D'
U' L U F2 D2 L' D2
U2 L U F2 D L' R
U' L U F2 B' L' B
U2 L U F2 D R L'
U' L U F2 B2 L' B2
U2 L U F2 D' L' R
U2 L U F2 D' R L'
U2 L U F2 D2 L' R
U2 L U F2 D2 R L'
F2 L U B U' B' L2
U' L U B' F2 L' B
F2 L U B' U' L2 B
F2 L U B' U' B L2
U' L U B2 F2 L' B2
F2 L U B2 U' L2 B2
F2 L U B2 U' B2 L2
U2 L U' L' R U2 F2
U2 L U' L' U2 F2 L'
U' L U' R U2 F2 D
U' L U' R U2 F2 D'
U' L U' R U2 F2 D2
U2 L U' R L' U2 F2
U' L U' R D2 B2 U2
U2 L U' R U2 F2 R
U' L U' R B U2 F2
U' L U' R B' U2 F2
U' L U' R B2 U2 F2
U L U' R U2 R' F2
U L U' R U2 F2 R'
R2 L D B2 R2 U L
U' L U' D2 R B2 U2
U' L U' D2 B2 R U2
F2 L U' F' U L2 B'
U' L U' B R U2 F2
U' L U' B U2 F2 L'
U' L U' B' R U2 F2
U' L U' B' U2 F2 L'
U' L U' B2 R U2 F2
U L U' F2 L' D2 B2
U' L U' B2 U2 F2 L'
U L U' F2 D2 L' B2
U L U' F2 D2 B2 L'
U' L U2 L U' F2 L'
U' L U2 L' U' F2 L'
U' L U2 L2 U' F2 L'
U' L U2 B U' F2 L'
U' L U2 B' U' F2 L'
U' L U2 B2 U' F2 L'
F2 L D L2 D' L2 B2
F2 L D L2 D' B2 L2
U' L D R2 U' R' U2
U' L D F2 R2 U L'
F2 L D' U B2 U' B2
U' L D2 U' R B2 U2
U' L D2 U' B2 R U2
F2 L F L2 D' F' B2
F2 L F L2 D' B2 F'
F2 L F L2 F' D' B2
U' L F R U F L'
U' L F R' U F L'
U' L F R2 U F L'
U' L F U F L' D
U' L F U F L' D'
U' L F U F L' D2
U' L F U F D L'
U' L F U F D' L'
U' L F U F D2 L'
R' L B U R F2 L'
F' L F' L' U' L U
F' L F' L2 D' L B2
R' L B' U R F2 L'
B2 L F2 L' U R' U'
F2 L F2 L2 F2 D' B2
B L F2 L2 D L B'
D L F2 R2 U L' R2
D L F2 R2 U R2 L'
B2 L F2 U R' U' L'
R' L B2 U R F2 L'
B L F2 D L B' L2
B' L F2 B L' D' B2
R2 L B2 U L R2 F2
R2 L B2 U L F2 R2
R2 L B2 U R2 L F2
R2 L B2 U R2 F2 L
R2 L B2 U F2 L R2
R2 L B2 U F2 R2 L
B2 L F2 B2 L' D' B2
B L F2 B' L' D' B2
F2 L B L2 U' L2 U
F2 L B L2 D' B2 D
F2 L B L2 D' B2 D'
F2 L B L2 D' B2 D2
F2 L B L2 B D' B2
F2 L B L2 B' D' B2
F2 L B L2 B2 D' B2
U2 L B U F2 L' R
U2 L B U F2 R L'
L R' U L R F2 L'
L R' U L' R F2 L'
L R' U L2 R F2 L'
L R' U R L F2 L'
L R' U R L' F2 L'
L R' U R L2 F2 L'
R L' U L2 U R' F2
R L' U L2 U F2 R'
L R' U R F2 L' D
L R' U R F2 L' D'
L R' U R F2 L' D2
L R' U R F2 D L'
L R' U R F2 D' L'
L R' U R F2 D2 L'
B' L B F2 L' D' B2
F2 L B' L2 U' L2 U
F2 L B' L2 D' B2 D
F2 L B' L2 D' B2 D'
F2 L B' L2 D' B2 D2
F2 L B' L2 B D' B2
F2 L B' L2 B' D' B2
F2 L B' L2 B2 D' B2
U2 L B' U F2 L' R
U2 L B' U F2 R L'
L R' U' R2 U2 R' F2
L R' U' R2 U2 F2 R'
B L B' F2 L' D' B2
F2 L B2 L2 U' L2 U
F2 L B2 L2 D' B2 D
F2 L B2 L2 D' B2 D'
F2 L B2 L2 D' B2 D2
F2 L B2 L2 B D' B2
F2 L B2 L2 B' D' B2
F2 L B2 L2 B2 D' B2
U2 L B2 U F2 L' R
U2 L B2 U F2 R L'
R L' U2 R' F2 D' B2
B2 L B2 F2 L' D' B2
F2 L' R U' L2 U R'
F2 L' R D R' D2 B2
F2 L' R D' R B2 R2
F2 L' R D' R' B2 D
F2 L' R D' R' B2 D'
F2 L' R D' R' B2 D2
F2 L' R D' R2 B2 R
R L' U2 F2 R' D' B2
R L' U2 F2 D' R' B2
F2 L' R B2 D' B2 R'
F2 L' R' U' L2 U R
B2 L' R' U' R F2 L'
F2 L' R' D R D2 B2
F2 L' R' D' R B2 D
F2 L' R' D' R B2 D'
F2 L' R' D' R B2 D2
F2 L' R' D' R' B2 R2
F2 L' R' D' B' R B'
F2 L' R' D' B2 R D
F2 L' R' D' B2 R D'
F2 L' R' D' B2 R D2
F2 L' R' D' B2 D R
F2 L' R' D' B2 D' R
F2 L' R' D' B2 D2 R
F2 L' R' B R D' B2
F2 L' R' B D' R B2
F2 L' R' B D' B2 R
F2 L' R' B' R D' B2
F2 L' R' B' D' R B2
F2 L' R' B' D' B2 R
F2 L' R' B2 R D' B2
F2 L' R' B2 D' R B2
F2 L' R' B2 D' B2 R
F2 L' R2 U' L2 U R2
F2 L' R2 D' B2 D R2
F2 L' R2 B R2 D' B2
F2 L' R2 B' R2 D' B2
F2 L' R2 B2 R2 D' B2
F2 L' U R U' D' B2
F2 L' U R U2 L2 U
F2 L' U R D' U' B2
F2 L' U R D2 R2 U'
F2 L' U R' U' D' B2
F2 L' U R' U2 L2 U
F2 L' U R' D' U' B2
F2 L' U R' D2 R2 U'
F2 L' U R2 U' D' B2
F2 L' U R2 U2 L2 U
F2 L' U R2 D' U' B2
F2 L' U R2 D2 R2 U'
F2 L' U D' R U' B2
F2 L' U D' R' U' B2
F2 L' U D' R2 U' B2
F2 L' U D2 R2 U' D
F2 L' U D2 R2 U' D'
F2 L' U D2 R2 U' D2
F2 L' U D2 R2 D U'
F2 L' U D2 R2 D' U'
F2 L' U D2 R2 D2 U'
U' L' U F2 D' L' B2
U' L' U F2 D' B2 L'
F2 L' U' L D L U
F2 L' U' L D' L U
F' L' U' L2 U F' L'
F2 L' U' L D2 L U
F2 L' U' L' D L' U
F2 L' U' L' D' L' U
F2 L' U' L' D2 L' U
F2 L' U' D' L U B2
F2 L' U' D' L' U B2
F2 L' U' D' L2 U B2
F2 L' U' F L2 F' U
F2 L' U' F2 L2 F2 U
F2 L' U' B' L2 B U
F2 L' U' B2 L2 B2 U
U L' U' F2 D' L' B2
U L' U' F2 D' B2 L'
F2 L' U2 D F2 U2 D
F2 L' U2 D F2 U2 D'
F2 L' U2 D F2 U2 D2
F2 L' U2 D F2 D U2
F2 L' U2 D F2 D' U2
F2 L' U2 D F2 D2 U2
U L' U2 L2 U F2 L'
F2 L' U2 D' F U2 B2
F2 L' U2 D' F' U2 B2
F2 L' U2 D' F2 U2 B2
F2 L' U2 F U L2 U
F2 L' U2 F U2 D' B2
F2 L' U2 F D F2 U2
F2 L' U2 F D' U2 B2
F2 L' U2 F' U L2 U
F2 L' U2 F' U2 D' B2
F2 L' U2 F' D F2 U2
F2 L' U2 F' D' U2 B2
F2 L' U2 F2 U L2 U
F2 L' U2 F2 U2 D' B2
F2 L' U2 F2 D F2 U2
F2 L' U2 F2 D' U2 B2
F2 L' D L D2 L' B2
F2 L' D L D2 B2 L'
F2 L' D L' D2 L B2
F2 L' D R D2 R' B2
F2 L' D R' D2 R B2
F2 L' D R' D2 B2 R
F2 L' D U2 F2 U2 D
F2 L' D U2 F2 U2 D'
F2 L' D U2 F2 U2 D2
F2 L' D U2 F2 D U2
F2 L' D U2 F2 D' U2
F2 L' D U2 F2 D2 U2
F2 L' D B U2 F2 U2
F2 L' D B D2 B2 D
F2 L' D B D2 B2 D'
F2 L' D B D2 B2 D2
F2 L' D B' U2 F2 U2
F2 L' D B' D2 B2 D
F2 L' D B' D2 B2 D'
F2 L' D B' D2 B2 D2
F' L' D' L F' L' B2
F' L' D' L F' B2 L'
F' L' D' L B2 F' L'
F2 L' D B2 U2 F2 U2
F2 L' D B2 D2 B2 D
F2 L' D B2 D2 B2 D'
F2 L' D B2 D2 B2 D2
F' L' D' L' F' L' B2
F' L' D' L' F' B2 L'
F' L' D' L' B2 F' L'
F2 L' D' L B L' B
F' L' D' L2 F' L' B2
F2 L' D' L B2 L' D
F2 L' D' L B2 L' D'
F2 L' D' L B2 L' D2
F' L' D' L2 F' B2 L'
F2 L' D' L B2 D L'
F2 L' D' L B2 D' L'
F2 L' D' L B2 D2 L'
F' L' D' L2 B2 F' L'
D L' D' L F2 L' B2
D L' D' L F2 B2 L'
D L' D' L B2 F2 L'
F2 L' D' L2 B L2 B
F2 L' D' L2 B2 L2 D
F2 L' D' L2 B2 L2 D'
F2 L' D' L2 B2 L2 D2
D L' D' L' F2 L' B2
D L' D' L' F2 B2 L'
D L' D' L' B2 F2 L'
D L' D' L2 F2 L' B2
D L' D' L2 F2 B2 L'
D L' D' L2 B2 F2 L'
F2 L' D' R' B' R B'
F2 L' D' R' B2 R D
F2 L' D' R' B2 R D'
F2 L' D' R' B2 R D2
F2 L' D' R' B2 D R
F2 L' D' R' B2 D' R
F2 L' D' R' B2 D2 R
F2 L' D' R2 B' R2 B'
F2 L' D' R2 B2 R2 D
F2 L' D' R2 B2 R2 D'
F2 L' D' R2 B2 R2 D2
F2 L' D' U R U' B2
F2 L' D' U R' U' B2
F2 L' D' U R2 U' B2
F2 L' D' U' L U B2
F2 L' D' U' L' U B2
F2 L' D' U' L2 U B2
L R' B U R F2 L'
F' L' D' F' L B2 L2
F' L' D' F' L' B2 D
F' L' D' F' L' B2 D'
F' L' D' F' L' B2 D2
F2 L' D' U2 F U2 B2
F2 L' D' U2 F' U2 B2
F2 L' D' U2 F2 U2 B2
F' L' D' F' B L' B
F' L' D' F' B2 L' D
F' L' D' F' B2 L' D'
F' L' D' F' B2 L' D2
F' L' D' F' B2 D L'
F' L' D' F' B2 D' L'
F' L' D' F' B2 D2 L'
F2 L' D' F B2 D F'
F2 L' D' F B2 D' F'
F2 L' D' F B2 D2 F'
F2 L' D' F' B2 D F
F2 L' D' F' B2 D' F
F2 L' D' F' B2 D2 F
F' L' D' B F' L' B
F2 L' D' B L B L'
F2 L' D' B L2 B L2
F' L' D' B2 L F' L'
D2 L' D' B2 D' F2 L'
F' L' D' B2 L' F' L'
F' L' D' B2 L2 F' L'
F2 L' D' B D B D
F2 L' D' B D B D'
F2 L' D' B D B D2
F2 L' D' B D' B D
F2 L' D' B D' B D'
F2 L' D' B D' B D2
F2 L' D' B D2 B D
F2 L' D' B D2 B D'
F2 L' D' B D2 B D2
F' L' D' B2 D F' L'
D L' D' F2 L B2 L2
F' L' D' B2 D' F' L'
D L' D' F2 L' B2 D
D L' D' F2 L' B2 D'
D L' D' F2 L' B2 D2
F' L' D' B2 D2 F' L'
F' L' D' B2 F' L' D
F' L' D' B2 F' L' D'
F' L' D' B2 F' L' D2
F' L' D' B2 F' D L'
F' L' D' B2 F' D' L'
F' L' D' B2 F' D2 L'
F2 L' D' B' R' B' R
F2 L' D' B' R2 B' R2
F2 L' D' B' D B' D
F2 L' D' B' D B' D'
F2 L' D' B' D B' D2
F2 L' D' B' D' B' D
F2 L' D' B' D' B' D'
F2 L' D' B' D' B' D2
F2 L' D' B' D2 B' D
F2 L' D' B' D2 B' D'
F2 L' D' B' D2 B' D2
D L' D' F2 B L' B
F2 L' D' B2 L D L'
F2 L' D' B2 L D' L'
F2 L' D' B2 L D2 L'
D L' D' F2 B2 L' D
D L' D' F2 B2 L' D'
D L' D' F2 B2 L' D2
F2 L' D' B2 L' D L
D L' D' F2 B2 D L'
D L' D' F2 B2 D' L'
D L' D' F2 B2 D2 L'
F2 L' D' B2 L' D' L
F2 L' D' B2 L' D2 L
F2 L' D' B2 R D R'
F2 L' D' B2 R D' R'
F2 L' D' B2 R D2 R'
F2 L' D' B2 R' D R
F2 L' D' B2 R' D' R
F2 L' D' B2 R' D2 R
F2 L' D' B2 F D F'
F2 L' D' B2 F D' F'
F2 L' D' B2 F D2 F'
F2 L' D' B2 F' D F
F2 L' D' B2 F' D' F
F2 L' D' B2 F' D2 F
D L' D' B F2 L' B
F2 L' D2 L D L' B2
F2 L' D2 L D B2 L'
D L' D' B2 L F2 L'
D L' D' B2 L' F2 L'
D L' D' B2 L2 F2 L'
F2 L' D2 L' D L B2
D L' D' B2 F2 L' D
D L' D' B2 F2 L' D'
D L' D' B2 F2 L' D2
D L' D' B2 F2 D L'
D L' D' B2 F2 D' L'
D L' D' B2 F2 D2 L'
F2 L' D2 U R2 U' D
F2 L' D2 U R2 U' D'
F2 L' D2 U R2 U' D2
F2 L' D2 U R2 D U'
F2 L' D2 U R2 D' U'
F2 L' D2 U R2 D2 U'
L R' B' U R F2 L'
F' L' D2 F' L' D B2
D2 L' D2 F2 L' D B2
F' L' D2 F' D L' B2
F' L' D2 F' D B2 L'
D2 L' D2 F2 D L' B2
D2 L' D2 F2 D B2 L'
F2 L' D2 F D F' B2
F2 L' D2 F D B2 F'
F2 L' D2 F' D F B2
F2 L' D2 F' D B2 F
F2 L' D2 B U R2 U'
F2 L' D2 B D B2 D
F2 L' D2 B D B2 D'
F2 L' D2 B D B2 D2
F2 L' D2 B' U R2 U'
F2 L' D2 B' D B2 D
F2 L' D2 B' D B2 D'
F2 L' D2 B' D B2 D2
F2 L' D2 B2 U R2 U'
F2 L' D2 B2 D B2 D
F2 L' D2 B2 D B2 D'
F2 L' D2 B2 D B2 D2
L R' B2 U R F2 L'
F2 L' F U' L2 U F'
F2 L' F D' F' B2 D
F2 L' F D' F' B2 D'
F2 L' F D' F' B2 D2
F2 L' F D' B2 D F'
F2 L' F D' B2 D' F'
F2 L' F D' B2 D2 F'
F2 L' F D' B2 F' D
F2 L' F D' B2 F' D'
F2 L' F D' B2 F' D2
F2 L' F D2 F' D B2
F2 L' F B D' F' B2
F2 L' F B D' B2 F'
F2 L' F B' D' F' B2
F2 L' F B' D' B2 F'
F' L' F' L' U' L' U
F2 L' F B2 D' F' B2
F2 L' F B2 D' B2 F'
L R2 U L R2 F2 L'
L R2 U L' R2 F2 L'
L R2 U L2 R2 F2 L'
R L2 U L' U R' F2
R L2 U L' U F2 R'
F' L' F' U' L2 U L
L R2 U R2 L F2 L'
L R2 U R2 L' F2 L'
L R2 U R2 L2 F2 L'
L R2 U R2 F2 L' D
L R2 U R2 F2 L' D'
L R2 U R2 F2 L' D2
L R2 U R2 F2 D L'
L R2 U R2 F2 D' L'
L R2 U R2 F2 D2 L'
F' L' F' D L' D2 B2
F' L' F' D' L B2 L2
F' L' F' D' L' B2 D
F' L' F' D' L' B2 D'
F' L' F' D' L' B2 D2
F' L' F' D' B L' B
F' L' F' D' B2 L' D
F' L' F' D' B2 L' D'
F' L' F' D' B2 L' D2
F' L' F' D' B2 D L'
F' L' F' D' B2 D' L'
F' L' F' D' B2 D2 L'
F' L' F' D2 L' D B2
F2 L' F' D' F B2 D
F2 L' F' D' F B2 D'
F2 L' F' D' F B2 D2
F2 L' F' D' B2 D F
F2 L' F' D' B2 D' F
F2 L' F' D' B2 D2 F
F2 L' F' D' B2 F D
F2 L' F' D' B2 F D'
F2 L' F' D' B2 F D2
F' L' F' B D' L' B2
F' L' F' B D' B2 L'
F2 L' F' D2 F D B2
F' L' F' B' D' L' B2
F' L' F' B' D' B2 L'
F2 L' F' B D' F B2
F2 L' F' B D' B2 F
F' L' F' B2 D' L' B2
F' L' F' B2 D' B2 L'
F2 L' F' B' D' F B2
F2 L' F' B' D' B2 F
F2 L' F' B2 D' F B2
F2 L' F' B2 D' B2 F
B2 L' F2 L' U R' U'
B L' F2 L2 D L B'
L R2 U' R' U2 R' F2
L R2 U' R' U2 F2 R'
F2 L' F2 U' L2 U F2
B2 L' F2 U R' U' L'
B' L' F2 B L' D' B2
F2 L' F2 D' B2 D F2
B L' F2 D L B' L2
U2 L' F2 D' B2 L' R'
U2 L' F2 D' B2 R' L'
D L' F2 D' L' F2 B2
D L' F2 D' L' B2 F2
D L' F2 D' B2 L' F2
B2 L' F2 B2 L' D' B2
B L' F2 B' L' D' B2
F2 L' B R D' R' B2
F2 L' B R' D' R B2
F2 L' B R' D' B2 R
F2 L' B U D2 R2 U'
F2 L' B U' L2 U D
F2 L' B U' L2 U D'
F2 L' B U' L2 U D2
F2 L' B U' L2 D U
F2 L' B U' L2 D' U
F2 L' B U' L2 D2 U
F2 L' B U2 D F2 U2
F' L' B D' F' L' B2
F' L' B D' F' B2 L'
F' L' B D' B2 F' L'
F2 L' B D U2 F2 U2
F2 L' B D B D2 B2
F2 L' B D B' D2 B2
F2 L' B D B2 D2 B2
F2 L' B D' L B2 L'
F2 L' B D' L2 B2 L2
F2 L' B D' R' B2 R
F2 L' B D' R2 B2 R2
F2 L' B D' B D B
F2 L' B D' B D' B
F2 L' B D' B D2 B
F2 L' B D' B' D B'
F2 L' B D' B' D' B'
F2 L' B D' B' D2 B'
F2 L' B D2 U R2 U'
F' L' B F' D' L' B2
F' L' B F' D' B2 L'
F2 L' B D2 B D B2
F2 L' B D2 B' D B2
F2 L' B D2 B2 D B2
B' L' B F2 L' D' B2
F2 L' B F D' F' B2
F2 L' B F D' B2 F'
D L' B D' F2 L' B2
D L' B D' F2 B2 L'
D L' B D' B2 F2 L'
F2 L' B F' D' F B2
F2 L' B F' D' B2 F
R L2 U2 F2 R' D B2
F2 L' B' R D' R' B2
F2 L' B' R' D' R B2
F2 L' B' R' D' B2 R
F2 L' B' U D2 R2 U'
F2 L' B' U' L2 U D
F2 L' B' U' L2 U D'
F2 L' B' U' L2 U D2
F2 L' B' U' L2 D U
F2 L' B' U' L2 D' U
F2 L' B' U' L2 D2 U
F2 L' B' U2 D F2 U2
F' L' B' D' F' L' B2
F' L' B' D' F' B2 L'
F' L' B' D' B2 F' L'
F2 L' B' D U2 F2 U2
F2 L' B' D B D2 B2
F2 L' B' D B' D2 B2
F2 L' B' D B2 D2 B2
F2 L' B' D' L B2 L'
F2 L' B' D' L2 B2 L2
F2 L' B' D' R' B2 R
F2 L' B' D' R2 B2 R2
F2 L' B' D' B D B
F2 L' B' D' B D' B
F2 L' B' D' B D2 B
F2 L' B' D' B' D B'
F2 L' B' D' B' D' B'
F2 L' B' D' B' D2 B'
F2 L' B' D2 U R2 U'
F' L' B' F' D' L' B2
F' L' B' F' D' B2 L'
F2 L' B' D2 B D B2
F2 L' B' D2 B' D B2
F2 L' B' D2 B2 D B2
F2 L' B' F D' F' B2
F2 L' B' F D' B2 F'
D L' B' D' F2 L' B2
D L' B' D' F2 B2 L'
F2 L' B' F' D' F B2
F2 L' B' F' D' B2 F
D L' B' D' B2 F2 L'
L R2 D B2 R2 U L
B L' B' F2 L' D' B2
F2 L' B2 R D' R' B2
F2 L' B2 R' D' R B2
F2 L' B2 R' D' B2 R
F2 L' B2 U D2 R2 U'
F2 L' B2 U' L2 U D
F2 L' B2 U' L2 U D'
F2 L' B2 U' L2 U D2
F2 L' B2 U' L2 D U
F2 L' B2 U' L2 D' U
F2 L' B2 U' L2 D2 U
F2 L' B2 U2 D F2 U2
F' L' B2 D' F' L' B2
F' L' B2 D' F' B2 L'
F' L' B2 D' B2 F' L'
F2 L' B2 D U2 F2 U2
F2 L' B2 D B D2 B2
F2 L' B2 D B' D2 B2
F2 L' B2 D B2 D2 B2
F2 L' B2 D' L B2 L'
F2 L' B2 D' L2 B2 L2
F2 L' B2 D' R' B2 R
F2 L' B2 D' R2 B2 R2
F2 L' B2 D' B D B
F2 L' B2 D' B D' B
F2 L' B2 D' B D2 B
F2 L' B2 D' B' D B'
F2 L' B2 D' B' D' B'
F2 L' B2 D' B' D2 B'
