F2 L U D2 F B2
F2 L U D2 B2 F
F2 L U' F2 U2 F'
F2 L D2 U F B2
F2 L D2 U B2 F
F2 L' U' F2 B' U2
F2 L' U' B' F2 U2
F2 L' D' L2 U F
U R F2 U R' F'
B U F2 B' R' U
B U B' R' F2 U
B U B' F2 R' U
L' F2 U' F2 B' U2
L' F2 U' B' F2 U2
U F2 R U R' F'
L F2 U D2 F' B2
L F2 U D2 B2 F'
L' F2 D' L2 U F
F2 D2 L U F B2
F2 D2 L U B2 F
L F2 U' F2 U2 F
L F2 D' L2 U F'
L F2 D2 U F' B2
L F2 D2 U B2 F'
U F2 B' R' U R
L' B' U F2 B U
L' B' U B F2 U
U B' F2 R' U R
B U R F2 B' R' U
B U R B' R' F2 U
B U R B' F2 R' U
L' D B' R2 U' F' U'
B U R' F2 B' R' U
B U R' B' R' F2 U
B U R' B' F2 R' U
B U R2 F2 B' R' U
B U R2 B' R' F2 U
B U R2 B' F2 R' U
B U D' B' R' U L2
D' U B' R' U L2 R
D' U B' R' U R L2
B U F B' R' F U
B' U F2 B U2 L U'
B' U F2 B' R' B2 U
B2 U F2 B' R' B' U
B U F2 R B' R' U
B U F2 R' B' R' U
B U F2 R2 B' R' U
B U F2 D B' R' U
B U F2 D' B' R' U
B U F2 D2 B' R' U
B U F2 B' R' U D
B U F2 B' R' U D'
B U F2 B' R' U D2
B U F2 B' R' D U
B U F2 B' R' D' U
B U F2 B' R' D2 U
B U F2 B' D R' U
B U F2 B' D' R' U
B U F2 B' D2 R' U
B' U B F2 U2 L U'
B' U B' R' F2 B2 U
B' U B' R' B2 F2 U
B2 U B' R' F2 B' U
B2 U B' R' B' F2 U
L' D' U L2 D' F B2
L' D' U L2 D' B2 F
L' D' U L2 F D' B2
B' U B' F2 R' B2 U
B2 U B' F2 R' B' U
B U B' R F2 R2 U
B U B' R' U D' L2
B U B' R' D' U L2
B U B' R' F2 U D
B U B' R' F2 U D'
B U B' R' F2 U D2
B U B' R' F2 D U
B U B' R' F2 D' U
B U B' R' F2 D2 U
D2 U' L' B2 U' R' F'
B U B' D' R' U L2
B U B' F R' F U
B U B' F2 R' U D
B U B' F2 R' U D'
B U B' F2 R' U D2
B U B' F2 R' D U
B U B' F2 R' D' U
B U B' F2 R' D2 U
B U B' F2 R' D2 U
B U B' F2 D R' U
B U B' F2 D' R' U
B U B' F2 D2 R' U
L D' U F L2 D' B2
U D' R U L2 R' F'
U D' R U R' L2 F'
U D' R U R' F' L2
L' D' F' U L2 F B'
L' D' F' U L2 B' F
L D' F' U L2 F2 B'
L D' F' U L2 B' F2
D2 U' F' L' B2 U' R'
L' D' B' U B U L2
F' U' F U R F2 U
U D' B' R' U L2 R
U D' B' R' U R L2
U' D2 L' B2 U' R' F'
F U' F' U F2 R U
D2 U2 R' B2 U' F' B2
D2 U2 R' B2 U' B2 F'
U2 D2 R' B2 U' F' B2
U2 D2 R' B2 U' B2 F'
U' D2 F' L' B2 U' R'
L D2 U2 B2 U' F B2
L D2 U2 B2 U' B2 F
F2 U2 R U F2 B U2
F2 U2 R U B F2 U2
B2 U2 R D' L2 R2 F'
B2 U2 R D' R2 L2 F'
B2 U2 R D' R2 F' L2
F2 U2 R D R2 U' F'
F2 U2 R' U F2 U2 F
F2 U2 R' U' D2 F' B2
F2 U2 R' U' D2 B2 F'
B2 U2 R' D' L2 F' R2
B2 U2 R' D' F' L2 R2
B2 U2 R' D' F' R2 L2
F2 U2 R' D2 U' F' B2
F2 U2 R' D2 U' B2 F'
D2 U2 B2 R' U' F' B2
D2 U2 B2 R' U' B2 F'
U2 D2 B2 R' U' F' B2
U2 D2 B2 R' U' B2 F'
B2 U2 D' L2 R' F' R'
B2 U2 D' R' L2 F' R'
B2 U2 D' R' F' L2 R'
B2 U2 D' R' F' R' L2
F2 U2 D2 R' U' F' B2
F2 U2 D2 R' U' B2 F'
U F R F U R' F'
L F R2 F U F' B
L F R2 F U B F'
U' F U2 R F U R'
F2 D L U D F B2
F2 D L U D B2 F
F2 D L U F D B2
F2 D L U2 R2 U' F
F2 D L D U F B2
F2 D L D U B2 F
B2 D L' R2 B' L' U2
F2 D L' D2 L2 U F
B2 D L' B' L' R2 U2
B2 D L' B' R2 L' U2
F2 D R' U2 R' U' F'
B' D R2 U' F' L' U'
B2 D R2 L' B' L' U2
B D R2 U B' R' U
D' F' L U F L B'
L' F' L2 F' U F2 B'
L' F' L2 F' U B' F2
L F' L2 F' U F' B'
L F' L2 F' U B' F'
U F' R U R' F' L'
B2 D' L U2 R2 F L
B2 D' L U2 F L R2
B2 D' L U2 F R2 L
B2 D' L F L R2 B
B2 D' L F R2 L B
B2 D' L' B' U2 L' R2
B2 D' L' B' U2 R2 L'
F2 D' L2 U L' F L
F2 D' L2 U2 L' U' F
F2 D' L2 D2 R U F'
B2 D' R' U2 L2 R' F'
B2 D' R' U2 R' L2 F'
B2 D' R' U2 R' F' L2
R' F2 L U D2 F B2
R' F2 L U D2 B2 F
R' F2 L U' F2 U2 F'
R' F2 L D2 U F B2
R' F2 L D2 U B2 F
L2 F2 L U' F2 B' U2
L2 F2 L U' B' F2 U2
B D' U B' R' U L2
R' F2 L' U' F2 B' U2
R' F2 L' U' B' F2 U2
L2 F2 L D' L2 U F
B2 D' U2 L2 R' F' R'
R' F2 L' D' L2 U F
R2 F2 L U D2 F B2
R2 F2 L U D2 B2 F
B2 D' U2 R' L2 F' R'
B2 D' U2 R' F' L2 R'
B2 D' U2 R' F' R' L2
R2 F2 L U' F2 U2 F'
R2 F2 L D2 U F B2
R2 F2 L D2 U B2 F
L2 F2 L' U D2 F B2
L2 F2 L' U D2 B2 F
L2 F2 L' U' F2 U2 F'
L F2 L U D2 F' B2
L F2 L U D2 B2 F'
L F2 L U' F2 U2 F
L2 F2 L' D2 U F B2
L2 F2 L' D2 U B2 F
L' F2 L2 U D2 F B2
L' F2 L2 U D2 B2 F
L' F2 L2 U' F2 U2 F'
L F2 L D' L2 U F'
R2 F2 L' U' F2 B' U2
R2 F2 L' U' B' F2 U2
R F2 L U D2 F B2
R F2 L U D2 B2 F
L F2 L D2 U F' B2
L F2 L D2 U B2 F'
R F2 L U' F2 U2 F'
R2 F2 L' D' L2 U F
L' F2 L2 D2 U F B2
L' F2 L2 D2 U B2 F
R F2 L D2 U F B2
R F2 L D2 U B2 F
L F2 L' U D2 F' B2
L F2 L' U D2 B2 F'
L F2 L' U' F2 U2 F
L' F2 R U' F2 B' U2
L' F2 R U' B' F2 U2
L F2 L' D' L2 U F'
L F2 L' D2 U F' B2
L F2 L' D2 U B2 F'
R F2 L' U' F2 B' U2
L' F2 R D' L2 U F
R F2 L' U' B' F2 U2
R F2 L' D' L2 U F
L F2 L2 U D2 F' B2
L F2 L2 U D2 B2 F'
L F2 L2 U' F2 U2 F
L' F2 R' U' F2 B' U2
L' F2 R' U' B' F2 U2
L F2 L2 D' L2 U F'
L F2 L2 D2 U F' B2
L F2 L2 D2 U B2 F'
L' F2 R' D' L2 U F
U F2 R U R' D F'
U F2 R U R' D' F'
U F2 R U R' D2 F'
U F2 R U R' F' D
U F2 R U R' F' D'
U F2 R U R' F' D2
U F2 R U D R' F'
U F2 R U D' R' F'
U F2 R U D2 R' F'
U F2 R U F R' F'
U F2 R U F' R' F'
U F2 R U F2 R' F'
U F2 R D U R' F'
L' F2 R2 U' F2 B' U2
L' F2 R2 U' B' F2 U2
U F2 R D' U R' F'
U F2 R D2 U R' F'
L' F2 R2 D' L2 U F
U F2 R' U R' F' R2
L' F2 U L2 F L2 B'
U F2 R' B' R' U R2
L' F2 U B D2 F2 B2
L' F2 U B D2 B2 F2
U F2 R2 U R' F' R'
L F2 R2 U' F2 B U2
L F2 R2 U' B F2 U2
L' F2 U' D2 B' U2 B'
U F2 R2 B' R' U R'
L' F2 U' F2 D B' U2
L' F2 U' F2 D' B' U2
L' F2 U' F2 D2 B' U2
L' F2 U' F2 B' U2 D
L' F2 U' F2 B' U2 D'
L' F2 U' F2 B' U2 D2
L' F2 U' F2 B' D U2
L' F2 U' F2 B' D' U2
L' F2 U' F2 B' D2 U2
L' F2 U' B' U2 D2 B2
F2 D2 L R U F B2
F2 D2 L R U B2 F
L' F2 U' B' D2 U2 B2
L' F2 U' B' F2 U2 D
L' F2 U' B' F2 U2 D'
L' F2 U' B' F2 U2 D2
L' F2 U' B' F2 D U2
L' F2 U' B' F2 D' U2
L' F2 U' B' F2 D2 U2
F2 D2 L R' U F B2
F2 D2 L R' U B2 F
F2 D2 L R2 U F B2
F2 D2 L R2 U B2 F
F2 D2 L U F B2 D
F2 D2 L U F B2 D'
F2 D2 L U F B2 D2
F2 D2 L U B2 D F
F2 D2 L U B2 D' F
F2 D2 L U B2 D2 F
F2 D2 L U B2 F D
F2 D2 L U B2 F D'
F2 D2 L U B2 F D2
L F2 U D F' D B2
L F2 U D' F' D' B2
L F2 U D2 F' B2 D
L F2 U D2 F' B2 D'
L F2 U D2 F' B2 D2
L F2 U D2 B2 D F'
L F2 U D2 B2 D' F'
L F2 U D2 B2 D2 F'
L F2 U D2 B2 F' D
L F2 U D2 B2 F' D'
L F2 U D2 B2 F' D2
L F2 U F' R2 B R2
L F2 U F' U2 F' U2
L F2 U B D2 F' B2
L F2 U B D2 B2 F'
L F2 U B' D2 F' B2
L F2 U B' D2 B2 F'
L F2 U B2 D2 F' B2
L F2 U B2 D2 B2 F'
F2 D2 L' U' B' U2 B'
F2 D2 L' D L2 U F
L F2 U' F2 U2 D F
L F2 U' F2 U2 D' F
L F2 U' F2 U2 D2 F
L F2 U' F2 U2 F D
L F2 U' F2 U2 F D'
L F2 U' F2 U2 F D2
L F2 U' F2 D U2 F
L F2 U' F2 D' U2 F
L F2 U' F2 D2 U2 F
L F2 U' F2 B U2 F
L F2 U' F2 B' U2 F
L F2 U' F2 B2 U2 F
L F2 U' B F2 U2 F
L F2 U' B' F2 U2 F
L F2 U' B2 F2 U2 F
L' F2 D' L2 R U F
L' F2 D' L2 R' U F
L' F2 D' L2 R2 U F
L' F2 D' L2 U D F
L' F2 D' L2 U D' F
L' F2 D' L2 U D2 F
L' F2 D' L2 U F D
L' F2 D' L2 U F D'
L' F2 D' L2 U F D2
L' F2 D' L2 D U F
L' F2 D' L2 D' U F
L' F2 D' L2 D2 U F
L' F2 D' R L2 U F
L' F2 D' R' L2 U F
L' F2 D' R2 L2 U F
R' F2 D2 L U F B2
R' F2 D2 L U B2 F
F2 D2 R L U F B2
F2 D2 R L U B2 F
U F2 D R U R' F'
L' F2 D2 L2 U F B2
L' F2 D2 L2 U B2 F
L F2 D U F' D B2
L' F2 D2 U' B' U2 B'
U F2 D B' R' U R
L2 F2 D2 R U F' B2
L2 F2 D2 R U B2 F'
F2 D2 R' L U F B2
F2 D2 R' L U B2 F
L F2 D' L2 U D F'
L F2 D' L2 U D' F'
L F2 D' L2 U D2 F'
L F2 D' L2 U F' D
L F2 D' L2 U F' D'
L F2 D' L2 U F' D2
L F2 D' L2 D U F'
L F2 D' L2 D' U F'
L F2 D' L2 D2 U F'
R2 F2 D2 L U F B2
R2 F2 D2 L U B2 F
U F2 D' R U R' F'
L F2 D' U F' D' B2
U F2 D' B' R' U R
L F2 D2 L U F' B2
L F2 D2 L U B2 F'
F2 D2 R2 L U F B2
F2 D2 R2 L U B2 F
L F2 D2 L' U F' B2
L F2 D2 L' U B2 F'
L F2 D2 L2 U F' B2
L F2 D2 L2 U B2 F'
U F2 D2 R U R' F'
R F2 D2 L U F B2
R F2 D2 L U B2 F
L F2 D2 U F' B2 D
L F2 D2 U F' B2 D'
L F2 D2 U F' B2 D2
L F2 D2 U B2 D F'
L F2 D2 U B2 D' F'
L F2 D2 U B2 D2 F'
L F2 D2 U B2 F' D
L F2 D2 U B2 F' D'
L F2 D2 U B2 F' D2
U F2 D2 B' R' U R
U F2 B' R' U R D
U F2 B' R' U R D'
U F2 B' R' U R D2
U F2 B' R' U D R
U F2 B' R' U D' R
U F2 B' R' U D2 R
U F2 B' R' D U R
U F2 B' R' D' U R
U F2 B' R' D2 U R
U F2 B' R' B U R
U F2 B' R' B' U R
U F2 B' R' B2 U R
U F2 B' D R' U R
U F2 B' D' R' U R
U F2 B' D2 R' U R
F2 D2 U2 R' U' F' B2
F2 D2 U2 R' U' B2 F'
R' B U F2 B' R' U
D B R2 U B' R' U
R' B U B' R' F2 U
R' B U B' F2 R' U
D' B U B' R' U L2
R2 B U F2 B' R' U
R2 B U B' R' F2 U
R2 B U B' F2 R' U
L B U F2 B' U F'
L B U B' F2 U F'
R B U F2 B' R' U
R B U B' R' F2 U
R B U B' F2 R' U
L' B' L U F2 B U
L' B' L U B F2 U
L' B' L' U F2 B U
L' B' L' U B F2 U
L' B' L2 U F2 B U
L' B' L2 U B F2 U
U B' R F2 R2 U R
U B' R' U R D' L2
U B' R' U D' L2 R
U B' R' U D' R L2
U B' R' D' U L2 R
U B' R' D' U R L2
L' B' U D' B U L2
D B' R2 U' F' L' U'
L' B' U F2 D B U
L' B' U F2 D' B U
L' B' U F2 D2 B U
U B' R' F2 U' L' U2
L' B' U F2 B U D
L' B' U F2 B U D'
L' B' U F2 B U D2
L' B' U F2 B D U
L' B' U F2 B D' U
L' B' U F2 B D2 U
L' B' U B U D' L2
L' B' U B D' U L2
L' B' U B F2 U D
L' B' U B F2 U D'
L' B' U B F2 U D2
L' B' U B F2 D U
L' B' U B F2 D' U
L' B' U B F2 D2 U
L B' U F2 B U F'
L B' U B F2 U F'
L' B' D R2 U' F' U'
L' B' D' U B U L2
U B' D' R' U L2 R
U B' D' R' U R L2
U B' F2 R' U R D
U B' F2 R' U R D'
U B' F2 R' U R D2
U B' F2 R' U D R
U B' F2 R' U D' R
U B' F2 R' U D2 R
U B' F2 R' D U R
U B' F2 R' D' U R
U B' F2 R' D2 U R
U B' F2 R' B U R
U B' F2 R' B' U R
U B' F2 R' B2 U R
U B' F2 D R' U R
U B' F2 D' R' U R
U B' F2 D2 R' U R
L' B2 U2 D' L2 R2 F'
L' B2 U2 D' R2 L2 F'
L' B2 U2 D' R2 F' L2
L B2 U F2 B2 U F'
L B2 U B2 F2 U F'
L' B2 D L2 R2 U2 F'
L' B2 D L2 B R2 U2
L' B2 D R2 L2 U2 F'
L' B2 D B L2 R2 U2
L' B2 D B R2 L2 U2
L' B2 D' R2 F' L2 B'
L' B2 D' U2 L2 R2 F'
L' B2 D' U2 R2 L2 F'
L' B2 D' U2 R2 F' L2
L B2 U2 D' R2 F L2
L B2 U2 D' F L2 R2
L B2 U2 D' F R2 L2
L' B2 D' B U2 L2 R2
L' B2 D' B U2 R2 L2
L B2 D L2 R2 B' U2
L B2 D L2 B' R2 U2
L B2 D R2 L2 B' U2
L B2 D' U2 R2 F L2
L B2 D' U2 F L2 R2
L B2 D' U2 F R2 L2
L B2 D' F L2 R2 B
L B2 D' F R2 L2 B
L B2 D' F R2 B L2
