U2 L2 B U' L' R'
U2 L2 B U' R' L'
D2 R2 F' U L R
D2 R2 F' U R L
D2 F' R2 U L R'
D2 F' R2 U R' L
D2 F' R2 U D2 R' L
D2 F' R2 D U L R'
D2 F' R2 D U R' L
D2 F' R2 D' U L R'
D2 F' R2 D' U R' L
D2 F' R2 D2 U L R'
D2 F' R2 D2 U R' L
D2 F' R2 F U L R'
D2 F' R2 F U R' L
D2 F' R2 F' U L R'
D2 F' R2 F' U R' L
D2 F' R2 F2 U L R'
D2 F' R2 F2 U R' L
D2 F' U L D' R F2
D2 F' U D' L R F2
D2 F' U D' R L F2
D2 F' U D' R F2 L
D F' U D L F' R
D F' U D F' L R
D F' U D F' R L
D2 F' D' U L R F2
D2 F' D' U R L F2
D2 F' D' U R F2 L
D F' D U L F' R
D F' D U F' L R
D F' D U F' R L
D F2 L U' B' L' U
U2 F2 L2 B U' L' R'
U2 F2 L2 B U' R' L'
D2 F2 R2 F U L R
D2 F2 R2 F U R L
F' D2 R2 F' U L R
F' D2 R2 F' U R L
F2 D2 R2 F' U L R
F2 D2 R2 F' U R L
F D2 R2 F' U L R
F D2 R2 F' U R L
F' D2 F' R2 U L R'
F' D2 F' R2 U R' L
B D2 F R2 U L' R
B D2 F R2 U R L'
F2 D2 F' R2 U L R'
F2 D2 F' R2 U R' L
F D2 F' R2 U L R'
F D2 F' R2 U R' L
U B R' B' D L F2
U B R' B' D F2 L
L2 B U' R' D' L' B2
L2 B U' R' D' B2 L'
L2 B U' D' L' R' B2
L2 B U' D' R' L' B2
L2 B U' D' R' B2 L'
L2 B U2 L2 U L R'
L2 B U2 L2 U R' L
L2 B D' U' L' R' B2
L2 B D' U' R' L' B2
L2 B D' U' R' B2 L'
L2 B D2 R2 U' L' R
L2 B D2 R2 U' R L'
L2 B' U' D' B2 L' R'
L2 B' U' D' B2 R' L'
L2 B' D' U' B2 L' R'
L2 B' D' U' B2 R' L'
D' B2 R' U B U B'
L B2 U' L' R' B' U
L B2 U' R' L' B' U
