R' D2 F' B R2
R' D2 B F' R2
R D2 R2 F' B
R D2 R2 B F'
R' F' D2 B R2
R' F' B D2 R2
R' B D2 F' R2
R' B F' D2 R2
L2 R' U2 F' L2 B D'
L2 R' U2 F' L2 B D2
L2 R' U2 F' B L2 D
L2 R' U2 F' B L2 D'
L2 R' U2 F' B L2 D2
L2 R' U2 F' B' L2 B2
L2 R' U2 B L F' L
L2 R' U2 B L2 D F'
L2 R' U2 B L2 D' F'
L2 R' U2 B L2 D2 F'
L2 R' U2 B L2 F' D
L2 R' U2 B L2 F' D'
L2 R' U2 B L2 F' D2
L2 R' U2 B F L2 F2
L2 R' U2 B F' L2 D
L2 R' U2 B F' L2 D'
L2 R' U2 B F' L2 D2
L2 R' U2 B' L2 F' B2
L2 R' U2 B' L2 B2 F'
L2 R' U2 B' F' L2 B2
L2 R' D2 R2 F' B U2
L2 R' D2 R2 B F' U2
L2 R' F U2 L2 F2 B
L2 R' F U2 L2 B F2
L2 R' F U2 F2 L2 B
L2 R' F U2 F2 B L2
L2 R' F U2 B L2 F2
L2 R' F U2 B F2 L2
R' L' F' L D2 B R'
L' R' F' L D2 B R'
L2 R' F' L2 D2 B R2
L2 R' F' L2 B D2 R2
R' L' F' D2 L B R'
L' R' F' D2 L B R'
L2 R' F' U2 B L2 F
L2 R' F' B L2 D2 R2
R2 L' F2 L R F' B
R2 L' F2 L R B F'
R2 L' F2 R L F' B
R2 L' F2 R L B F'
R2 L' F2 R F' L B
L2 R' F2 U2 F L2 B
L2 R' F2 U2 F B L2
L2 R' F2 U2 B F L2
L R' B L' D2 F' R
L2 R' B L2 D2 F' R2
L2 R' B L2 F' D2 R2
L2 R' B U2 F' L2 B'
L R' B D2 L' F' R
L2 R' B F' L2 D2 R2
L2 R' B' U2 L2 F' B2
L2 R' B' U2 L2 B2 F'
L2 R' B' U2 F' L2 B2
L2 R' B' U2 F' B2 L2
L2 R' B' U2 B2 L2 F'
L2 R' B' U2 B2 F' L2
U2 L' D2 B' L' F U2
D2 L' F U2 L R2 F
D2 L' F U2 L F R2
D2 L' F U2 R2 L F
L2 R' B2 U2 F' B' L2
L2 R' B2 U2 B' L2 F'
L2 R' B2 U2 B' F' L2
R' L2 U2 L F' L B
R' L2 U2 L' B L' F'
R' L2 U2 L2 D F' B
R' L2 U2 L2 D B F'
R' L2 U2 L2 D' F' B
R' L2 U2 L2 D' B F'
R' L2 U2 L2 D2 F' B
R' L2 U2 L2 D2 B F'
R' L2 U2 L2 F' D B
R' L2 U2 L2 F' D' B
R' L2 U2 L2 F' D2 B
R' L2 U2 L2 F' B D
R' L2 U2 L2 F' B D'
R' L2 U2 L2 F' B D2
R' L2 U2 L2 B D F'
R' L2 U2 L2 B D' F'
R' L2 U2 L2 B D2 F'
R' L2 U2 L2 B F' D
R' L2 U2 L2 B F' D'
R' L2 U2 L2 B F' D2
R' L2 U2 F L2 F2 B
R' L2 U2 F L2 B F2
R' L2 U2 F B L2 F2
R' L2 U2 F' L' B L'
R' L2 U2 F' L2 D B
R' L2 U2 F' L2 D' B
R' L2 U2 F' L2 D2 B
R' L2 U2 F' L2 B D
R' L2 U2 F' L2 B D'
R' L2 U2 F' L2 B D2
R' L2 U2 F' B L2 D
R' L2 U2 F' B L2 D'
R' L2 U2 F' B L2 D2
R' L2 U2 F' B' L2 B2
R' L2 U2 B L F' L
R' L2 U2 B L2 D F'
R' L2 U2 B L2 D' F'
R' L2 U2 B L2 D2 F'
R' L2 U2 B L2 F' D
R' L2 U2 B L2 F' D'
R' L2 U2 B L2 F' D2
R' L2 U2 B F L2 F2
R' L2 U2 B F' L2 D
R' L2 U2 B F' L2 D'
R' L2 U2 B F' L2 D2
R' L2 U2 B' L2 F' B2
R' L2 U2 B' L2 B2 F'
R' L2 U2 B' F' L2 B2
U2 L' B' D2 L' F U2
R' L2 D2 R2 F' B U2
R' L2 D2 R2 B F' U2
F' L2 R F' B U2 L2
B' L2 R F' B U2 L2
F2 L2 R F' B U2 L2
F' L2 R B F' U2 L2
B' L2 R B F' U2 L2
B2 L2 R F' B U2 L2
F2 L2 R B F' U2 L2
R L2 D2 R2 U2 F' B
R L2 D2 R2 U2 B F'
B2 L2 R B F' U2 L2
B L2 R F' B U2 L2
B' L2 R' U2 L2 F' B
F' L2 R' U2 L2 F' B
B' L2 R' U2 L2 B F'
F' L2 R' U2 L2 B F'
F L2 R F' B U2 L2
B' L2 R' U2 F' L2 B
F' L2 R' U2 F' L2 B
F' L2 R' U2 F' B L2
B' L2 R' U2 F' B L2
B' L2 R' U2 B L2 F'
F' L2 R' U2 B L2 F'
F' L2 R' U2 B F' L2
B' L2 R' U2 B F' L2
B L2 R B F' U2 L2
F2 L2 R' U2 L2 F' B
F2 L2 R' U2 L2 B F'
F L2 R B F' U2 L2
F2 L2 R' U2 F' L2 B
F2 L2 R' U2 F' B L2
F2 L2 R' U2 B L2 F'
F2 L2 R' U2 B F' L2
R L2 D2 F' R2 U2 F'
B2 L2 R' U2 L2 F' B
B2 L2 R' U2 L2 B F'
R L2 D2 F' B R2 U2
B2 L2 R' U2 F' L2 B
B2 L2 R' U2 F' B L2
B2 L2 R' U2 B L2 F'
B2 L2 R' U2 B F' L2
R L2 D2 B R2 U2 B
B L2 R' U2 L2 F' B
B L2 R' U2 L2 B F'
R L2 D2 B F' R2 U2
B L2 R' U2 F' L2 B
B L2 R' U2 F' B L2
B L2 R' U2 B L2 F'
B L2 R' U2 B F' L2
R' L2 F U2 L2 F2 B
R' L2 F U2 L2 B F2
R' L2 F U2 F2 L2 B
R' L2 F U2 F2 B L2
R' L2 F U2 B L2 F2
R' L2 F U2 B F2 L2
F L2 R' U2 L2 F' B
F L2 R' U2 L2 B F'
F L2 R' U2 F' L2 B
F L2 R' U2 F' B L2
F L2 R' U2 B L2 F'
F L2 R' U2 B F' L2
R' L2 F' L2 D2 B R2
R' L2 F' L2 B D2 R2
R' L2 F' U2 B L2 F
R' L2 F' B L2 D2 R2
L' R2 F2 L R F' B
L' R2 F2 L R B F'
R L2 F' R2 U2 L2 F'
R L2 F' R2 U2 F' L2
L' R2 F2 R L F' B
L' R2 F2 R L B F'
L' R2 F2 R F' L B
R L2 F' D2 R2 U2 F'
R L2 F' D2 B R2 U2
R L2 F' B R U2 L2
R L2 F' B R' U2 L2
R L2 F' B R2 U2 L2
R L2 F' B U2 L2 D
R L2 F' B U2 L2 D'
R L2 F' B U2 L2 D2
R' L2 F2 U2 F L2 B
R' L2 F2 U2 F B L2
R L2 F' B D2 R2 U2
R' L2 F2 U2 B F L2
R L2 F' B2 U2 L2 F
R' L2 B L2 D2 F' R2
R' L2 B L2 F' D2 R2
R L2 F2 B U2 L2 B'
R' L2 B U2 F' L2 B'
R' L2 B F' L2 D2 R2
R L2 B R2 U2 L2 B
R L2 B R2 U2 B L2
R L2 B D2 R2 U2 B
R L2 B D2 F' R2 U2
R' L2 B' U2 L2 F' B2
R' L2 B' U2 L2 B2 F'
R' L2 B' U2 F' L2 B2
R' L2 B' U2 F' B2 L2
R' L2 B' U2 B2 L2 F'
R' L2 B' U2 B2 F' L2
R L2 B F' R U2 L2
R L2 B F' R' U2 L2
R L2 B F' R2 U2 L2
R L2 B F' U2 L2 D
R L2 B F' U2 L2 D'
R L2 B F' U2 L2 D2
R L2 B F' D2 R2 U2
R L2 B F2 U2 L2 B'
R' L2 B2 U2 F' B' L2
R' L2 B2 U2 B' L2 F'
R' L2 B2 U2 B' F' L2
R L2 B2 F' U2 L2 F
R' U D F2 U' F B
R' U D F2 U' B F
F' R L2 F' B U2 L2
B' R L2 F' B U2 L2
F' R L2 B F' U2 L2
B' R L2 B F' U2 L2
B2 R L2 F' B U2 L2
F2 R L2 F' B U2 L2
B2 R L2 B F' U2 L2
F2 R L2 B F' U2 L2
B R L2 F' B U2 L2
B R L2 B F' U2 L2
F R L2 F' B U2 L2
F R L2 B F' U2 L2
F' R U2 L2 F' B U2
F' R U2 L2 B F' U2
B' R U2 L2 F' B U2
B' R U2 L2 B F' U2
B2 R U2 L2 F' B U2
B2 R U2 L2 B F' U2
F2 R U2 L2 F' B U2
F2 R U2 L2 B F' U2
B R U2 L2 F' B U2
B R U2 L2 B F' U2
F' R U2 F' L2 B U2
B' R U2 F' L2 B U2
F' R U2 F' B L2 U2
B' R U2 F' B L2 U2
F' R U2 B L2 F' U2
B' R U2 B L2 F' U2
F R U2 L2 F' B U2
F R U2 L2 B F' U2
B2 R U2 F' L2 B U2
F' R U2 B F' L2 U2
B' R U2 B F' L2 U2
B2 R U2 F' B L2 U2
F2 R U2 F' L2 B U2
F2 R U2 F' B L2 U2
B2 R U2 B L2 F' U2
B2 R U2 B F' L2 U2
F2 R U2 B L2 F' U2
F2 R U2 B F' L2 U2
B R U2 F' L2 B U2
B R U2 F' B L2 U2
B R U2 B L2 F' U2
F R U2 F' L2 B U2
B R U2 B F' L2 U2
F R U2 F' B L2 U2
F R U2 B L2 F' U2
F R U2 B F' L2 U2
B' R D2 R2 D F' B
B' R D2 R2 D B F'
B' R D2 R2 D' F' B
B' R D2 R2 D' B F'
B' R D2 R2 D2 F' B
B' R D2 R2 D2 B F'
B' R D2 R2 F' D B
B' R D2 R2 F' D' B
B' R D2 R2 F' D2 B
B' R D2 R2 F' B D
B' R D2 R2 F' B D'
B' R D2 R2 F' B D2
B' R D2 R2 B D F'
B' R D2 R2 B D' F'
B' R D2 R2 B D2 F'
B' R D2 R2 B F' D
B' R D2 R2 B F' D'
B' R D2 R2 B F' D2
F' R D2 R2 D F' B
F' R D2 R2 D B F'
F' R D2 R2 D' F' B
F' R D2 R2 D' B F'
F' R D2 R2 D2 F' B
F' R D2 R2 D2 B F'
F' R D2 R2 F' D B
F' R D2 R2 F' D' B
F' R D2 R2 F' D2 B
F' R D2 R2 F' B D
F' R D2 R2 F' B D'
F' R D2 R2 F' B D2
F' R D2 R2 B D F'
F' R D2 R2 B D' F'
F' R D2 R2 B D2 F'
F' R D2 R2 B F' D
F' R D2 R2 B F' D'
F' R D2 R2 B F' D2
B2 R D2 R2 D F' B
B2 R D2 R2 D B F'
B2 R D2 R2 D' F' B
B2 R D2 R2 D' B F'
B2 R D2 R2 D2 F' B
B2 R D2 R2 D2 B F'
B2 R D2 R2 F' D B
B2 R D2 R2 F' D' B
B2 R D2 R2 F' D2 B
B2 R D2 R2 F' B D
B2 R D2 R2 F' B D'
B2 R D2 R2 F' B D2
B2 R D2 R2 B D F'
B2 R D2 R2 B D' F'
B2 R D2 R2 B D2 F'
B2 R D2 R2 B F' D
B2 R D2 R2 B F' D'
B2 R D2 R2 B F' D2
F2 R D2 R2 D F' B
F2 R D2 R2 D B F'
F2 R D2 R2 D' F' B
F2 R D2 R2 D' B F'
F2 R D2 R2 D2 F' B
F2 R D2 R2 D2 B F'
F2 R D2 R2 F' D B
F2 R D2 R2 F' D' B
F2 R D2 R2 F' D2 B
F2 R D2 R2 F' B D
F2 R D2 R2 F' B D'
F2 R D2 R2 F' B D2
F2 R D2 R2 B D F'
F2 R D2 R2 B D' F'
F2 R D2 R2 B D2 F'
F2 R D2 R2 B F' D
F2 R D2 R2 B F' D'
F2 R D2 R2 B F' D2
B R D2 R2 D F' B
B R D2 R2 D B F'
B R D2 R2 D' F' B
B R D2 R2 D' B F'
B R D2 R2 D2 F' B
B R D2 R2 D2 B F'
B R D2 R2 F' D B
B R D2 R2 F' D' B
B R D2 R2 F' D2 B
B R D2 R2 F' B D
B R D2 R2 F' B D'
B R D2 R2 F' B D2
B R D2 R2 B D F'
B R D2 R2 B D' F'
B R D2 R2 B D2 F'
B R D2 R2 B F' D
B R D2 R2 B F' D'
B R D2 R2 B F' D2
F R D2 R2 D F' B
F R D2 R2 D B F'
F R D2 R2 D' F' B
F R D2 R2 D' B F'
F R D2 R2 D2 F' B
F R D2 R2 D2 B F'
F R D2 R2 F' D B
F R D2 R2 F' D' B
F R D2 R2 F' D2 B
F R D2 R2 F' B D
F R D2 R2 F' B D'
F R D2 R2 F' B D2
F R D2 R2 B D F'
F R D2 R2 B D' F'
F R D2 R2 B D2 F'
F R D2 R2 B F' D
F R D2 R2 B F' D'
F R D2 R2 B F' D2
B' R F D2 R2 F' B2
B' R F D2 R2 B2 F'
F' R F D2 R2 F' B2
F' R F D2 R2 B2 F'
B2 R F D2 R2 F' B2
B2 R F D2 R2 B2 F'
F2 R F D2 R2 F' B2
F2 R F D2 R2 B2 F'
B' R F' L2 B U2 L2
F' R F' L2 B U2 L2
B R F D2 R2 F' B2
B R F D2 R2 B2 F'
B2 R F' L2 B U2 L2
F2 R F' L2 B U2 L2
F R F D2 R2 F' B2
F R F D2 R2 B2 F'
B R F' L2 B U2 L2
B' R F' B L2 U2 L2
F' R F' B L2 U2 L2
F R F' L2 B U2 L2
B2 R F' B L2 U2 L2
F2 R F' B L2 U2 L2
B R F' B L2 U2 L2
F R F' B L2 U2 L2
B' R B L2 F' U2 L2
F' R B L2 F' U2 L2
B2 R B L2 F' U2 L2
F2 R B L2 F' U2 L2
B R B L2 F' U2 L2
B' R B F' L2 U2 L2
F R B L2 F' U2 L2
F' R B F' L2 U2 L2
B2 R B F' L2 U2 L2
F2 R B F' L2 U2 L2
B R B F' L2 U2 L2
F R B F' L2 U2 L2
B' R B' D2 R2 F2 B
B' R B' D2 R2 B F2
F' R B' D2 R2 F2 B
F' R B' D2 R2 B F2
B2 R B' D2 R2 F2 B
B2 R B' D2 R2 B F2
F2 R B' D2 R2 F2 B
F2 R B' D2 R2 B F2
B R B' D2 R2 F2 B
B R B' D2 R2 B F2
F R B' D2 R2 F2 B
F R B' D2 R2 B F2
R' U' D' B2 U F' B'
R' U' D' B2 U B' F'
B' R' L2 U2 L2 F' B
B' R' L2 U2 L2 B F'
B' R' L2 U2 F' L2 B
B' R' L2 U2 F' B L2
B' R' L2 U2 B L2 F'
B' R' L2 U2 B F' L2
F' R' L2 U2 L2 F' B
F' R' L2 U2 L2 B F'
F' R' L2 U2 F' L2 B
F' R' L2 U2 F' B L2
F' R' L2 U2 B L2 F'
F' R' L2 U2 B F' L2
B2 R' L2 U2 L2 F' B
B2 R' L2 U2 L2 B F'
B2 R' L2 U2 F' L2 B
B2 R' L2 U2 F' B L2
B2 R' L2 U2 B L2 F'
B2 R' L2 U2 B F' L2
F2 R' L2 U2 L2 F' B
F2 R' L2 U2 L2 B F'
F2 R' L2 U2 F' L2 B
F2 R' L2 U2 F' B L2
F2 R' L2 U2 B L2 F'
F2 R' L2 U2 B F' L2
B R' L2 U2 L2 F' B
B R' L2 U2 L2 B F'
B R' L2 U2 F' L2 B
B R' L2 U2 F' B L2
B R' L2 U2 B L2 F'
B R' L2 U2 B F' L2
F R' L2 U2 L2 F' B
F R' L2 U2 L2 B F'
F R' L2 U2 F' L2 B
F R' L2 U2 F' B L2
F R' L2 U2 B L2 F'
F R' L2 U2 B F' L2
B' R' U2 L2 U2 F' B
B' R' U2 L2 U2 B F'
F' R' U2 L2 U2 F' B
F' R' U2 L2 U2 B F'
B2 R' U2 L2 U2 F' B
B2 R' U2 L2 U2 B F'
F2 R' U2 L2 U2 F' B
F2 R' U2 L2 U2 B F'
B R' U2 L2 U2 F' B
B R' U2 L2 U2 B F'
F R' U2 L2 U2 F' B
F R' U2 L2 U2 B F'
D2 R' D F' R' D B2
B' R' D B D F' R2
F' R' D B D F' R2
B2 R' D B D F' R2
F2 R' D B D F' R2
B R' D B D F' R2
D2 R' D' F' D' R' B
F R' D B D F' R2
B' R' D' F' D' B R2
F' R' D' F' D' B R2
B2 R' D' F' D' B R2
F2 R' D' F' D' B R2
B R' D' F' D' B R2
L2 U2 L D2 F L B'
L2 U2 L F D2 L B'
D2 R' D2 F R' F2 B
D2 R' D2 F R' B F2
D2 R' D2 F' R' D B
D2 R' D2 F' R' D' B
D2 R' D2 F' R' D2 B
D2 R' D2 F' R' B D
D2 R' D2 F' R' B D'
D2 R' D2 F' R' B D2
F R' D' F' D' B R2
D2 R' D2 F2 R' F B
D2 R' D2 F2 R' B F
B' R' D2 F B R2 F2
F' R' D2 F B R2 F2
B' R' D2 F' B R2 D
B' R' D2 F' B R2 D'
B' R' D2 F' B R2 D2
B' R' D2 F' B' R2 B2
B' R' D2 F' B2 R2 B'
F' R' D2 F' B R2 D
F' R' D2 F' B R2 D'
F' R' D2 F' B R2 D2
F' R' D2 F' B' R2 B2
F' R' D2 F' B2 R2 B'
B' R' D2 F2 B R2 F
F' R' D2 F2 B R2 F
B' R' D2 B F R2 F2
B' R' D2 B F' R2 D
B' R' D2 B F' R2 D'
B' R' D2 B F' R2 D2
B' R' D2 B F2 R2 F
F' R' D2 B F R2 F2
F' R' D2 B F' R2 D
F' R' D2 B F' R2 D'
F' R' D2 B F' R2 D2
F' R' D2 B F2 R2 F
B2 R' D2 F B R2 F2
B' R' D2 B' F' R2 B2
F' R' D2 B' F' R2 B2
B2 R' D2 F' B R2 D
B2 R' D2 F' B R2 D'
B2 R' D2 F' B R2 D2
B2 R' D2 F' B' R2 B2
B2 R' D2 F' B2 R2 B'
F2 R' D2 F B R2 F2
B' R' D2 B2 F' R2 B'
F' R' D2 B2 F' R2 B'
B2 R' D2 F2 B R2 F
F2 R' D2 F' B R2 D
F2 R' D2 F' B R2 D'
F2 R' D2 F' B R2 D2
F2 R' D2 F' B' R2 B2
F2 R' D2 F' B2 R2 B'
R U2 L F' L B U2
B2 R' D2 B F R2 F2
B2 R' D2 B F' R2 D
B2 R' D2 B F' R2 D'
B2 R' D2 B F' R2 D2
B2 R' D2 B F2 R2 F
F2 R' D2 F2 B R2 F
B2 R' D2 B' F' R2 B2
F2 R' D2 B F R2 F2
F2 R' D2 B F' R2 D
F2 R' D2 B F' R2 D'
F2 R' D2 B F' R2 D2
F2 R' D2 B F2 R2 F
B2 R' D2 B2 F' R2 B'
B R' D2 F B R2 F2
F2 R' D2 B' F' R2 B2
B R' D2 F' B R2 D
B R' D2 F' B R2 D'
B R' D2 F' B R2 D2
B R' D2 F' B' R2 B2
B R' D2 F' B2 R2 B'
F2 R' D2 B2 F' R2 B'
B R' D2 F2 B R2 F
B R' D2 B F R2 F2
B R' D2 B F' R2 D
B R' D2 B F' R2 D'
B R' D2 B F' R2 D2
B R' D2 B F2 R2 F
F R' D2 F B R2 F2
B R' D2 B' F' R2 B2
F R' D2 F' B R2 D
F R' D2 F' B R2 D'
F R' D2 F' B R2 D2
F R' D2 F' B' R2 B2
B R' D2 B2 F' R2 B'
F R' D2 F' B2 R2 B'
R' U2 L2 U2 D F' B
R' U2 L2 U2 D B F'
R' U2 L2 U2 D' F' B
R' U2 L2 U2 D' B F'
R' U2 L2 U2 D2 F' B
R' U2 L2 U2 D2 B F'
R' U2 L2 U2 F' D B
R' U2 L2 U2 F' D' B
R' U2 L2 U2 F' D2 B
R' U2 L2 U2 F' B D
R' U2 L2 U2 F' B D'
R' U2 L2 U2 F' B D2
R' U2 L2 U2 B D F'
R' U2 L2 U2 B D' F'
R' U2 L2 U2 B D2 F'
R' U2 L2 U2 B F' D
R' U2 L2 U2 B F' D'
R' U2 L2 U2 B F' D2
F R' D2 F2 B R2 F
R' U2 L2 D U2 F' B
R' U2 L2 D U2 B F'
F R' D2 B F R2 F2
F R' D2 B F' R2 D
F R' D2 B F' R2 D'
F R' D2 B F' R2 D2
F R' D2 B F2 R2 F
R' U2 L2 D' U2 F' B
R' U2 L2 D' U2 B F'
F R' D2 B' F' R2 B2
R' U2 L2 D2 U2 F' B
R' U2 L2 D2 U2 B F'
B' R' F D2 B R2 F'
F' R' F D2 B R2 F'
F R' D2 B2 F' R2 B'
D2 R' F' L R' B' L'
R' U2 L2 F U2 F2 B
R' U2 L2 F U2 B F2
R' U2 L2 F2 U2 F B
R' U2 L2 F2 U2 B F
