B R U' D' R2 B
B R D' U' R2 B
R' U' B L D' R2
R' U' B D' L R2
R' U' B D' R2 L
B R' U' D' B R2
B R' U2 B2 U B'
B R' D' U' B R2
B R' D2 F2 U' B
B U' R D' R2 B
B U' R' D' B R2
B D' F' R U' R
D B R' U' D' R2
D B R' U2 B2 U
D B R' D' U' R2
D B R' D2 F2 U'
D B U2 B2 L U
D B D' R' U' R'
D B D2 R' F2 U'
D B D2 F2 R' U'
D B D2 F2 R' U'
L2 B R' F L2 U' B
B D2 F2 U2 L U B'
B D2 F2 D2 R' U' B
D B R' U D L2 U2
D B R' U' R D' R2
D B R' U' R' D' R2
D B R' U' R2 D' R2
D B R' U' D' R2 D
D B R' U' D' R2 D'
D B R' U' D' R2 D2
D B R' U2 B2 U D
D B R' U2 B2 U D'
D B R' U2 B2 U D2
D B R' U2 B2 D U
D B R' U2 B2 D' U
D B R' U2 B2 D2 U
D B R' D U L2 U2
D B R' D' U' R2 D
D B R' D' U' R2 D'
D B R' D' U' R2 D2
D B R' D' F U' R2
D B R' D' F' U' R2
D B R' D' F2 U' R2
D B R' D2 F2 U' D
D B R' D2 F2 U' D'
D B R' D2 F2 U' D2
D B R' D2 F2 D U'
D B R' D2 F2 D' U'
D B R' D2 F2 D2 U'
D B R' F U' D' R2
D B R' F U2 B2 U
D B R' F D' U' R2
D B R' F D2 F2 U'
D B R' F' U' D' R2
D B R' F' U2 B2 U
D B R' F' D' U' R2
D B R' F' D2 F2 U'
D B R' F2 U' D' R2
D B R' F2 U2 B2 U
D B R' F2 D' U' R2
D B R' F2 D2 F2 U'
D B R2 D' R U' R
D B R2 D2 R F2 U'
D2 B U2 L B2 U B
D2 B U2 B2 L U B'
D B U2 L B2 L U
D B U2 L' B2 L U
D B U2 L2 B2 L U
D B U2 B2 L U D
D B U2 B2 L U D'
D B U2 B2 L U D2
D B U2 B2 L D U
D B U2 B2 L D' U
D B U2 B2 L D2 U
D B U2 B2 D L U
D B U2 B2 D' L U
D B U2 B2 D2 L U
D B D R' U L2 U2
D B D R' U' D2 R2
D B D R' D F2 U'
D B D R' D2 U' R2
F' B R U' D' R2 B
F' B R D' U' R2 B
D2 B D2 R' F2 U' B
F2 B R U' D' R2 B
F2 B R D' U' R2 B
D2 B D2 F2 R' U' B
D B D' R' U' R' D
D B D' R' U' R' D'
D B D' R' U' R' D2
D B D' R' U' D R'
D B D' R' U' D' R'
D B D' R' U' D2 R'
D B D' R' D U' R'
D B D' R' D' U' R'
D B D' R' D2 U' R'
D B D' R' F U' R'
D B D' R' F' U' R'
D B D' R' F2 U' R'
F' B R' U' D' B R2
D B D' F R' U' R'
F' B R' U2 B2 U B'
D B D' F' R' U' R'
B F R U' D' R2 B
F' B R' D' U' B R2
D B D' F2 R' U' R'
F' B R' D2 F2 U' B
F2 B R' U' D' B R2
B F R D' U' R2 B
F2 B R' U2 B2 U B'
F2 B R' D' U' B R2
D' B F U2 L' B2 U
F2 B R' D2 F2 U' B
D' B F U2 B2 L' U
F B R U' D' R2 B
D B D2 R F2 R2 U'
D B D2 R' U' D R2
D B D2 R' D U' R2
D B D2 R' F2 U' D
D B D2 R' F2 U' D'
D B D2 R' F2 U' D2
D B D2 R' F2 D U'
D B D2 R' F2 D' U'
D B D2 R' F2 D2 U'
D' B F D2 F2 R U'
F B R D' U' R2 B
L2 B F L2 R' U' B
D B D2 F R' F U'
D' B F' R U' D' R2
D' B F' R U2 B2 U
D' B F' R D' U' R2
D' B F' R D2 F2 U'
L2 B F R' L2 U' B
B F R' U' D' B R2
D B D2 F2 R' U' D
D B D2 F2 R' U' D'
D B D2 F2 R' U' D2
D B D2 F2 R' D U'
D B D2 F2 R' D' U'
D B D2 F2 R' D2 U'
D B D2 F2 D R' U'
D B D2 F2 D' R' U'
D B D2 F2 D2 R' U'
B F R' U2 B2 U B'
B F R' D' U' B R2
B F R' D2 F2 U' B
D' B F' D' R U' R
D' B F' D2 R F2 U'
F B R' U' D' B R2
D B F R' U' D' R2
F B R' U2 B2 U B'
D B F R' U2 B2 U
D B F R' D' U' R2
D B F R' D2 F2 U'
F B R' D' U' B R2
F B R' D2 F2 U' B
D B F U2 B2 L U
D B F D' R' U' R'
D B F D2 R' F2 U'
D B F D2 F2 R' U'
D B F' R' U' D' R2
D B F' R' U2 B2 U
D B F' R' D' U' R2
D B F' R' D2 F2 U'
D B F' U2 B2 L U
F' B U' R D' R2 B
D B F' D' R' U' R'
F' B U' R' D' B R2
D B F' D2 R' F2 U'
D B F' D2 F2 R' U'
F2 B U' R D' R2 B
F2 B U' R' D' B R2
D B F2 R' U' D' R2
D B F2 R' U2 B2 U
D B F2 R' D' U' R2
D B F2 R' D2 F2 U'
D B F2 U2 B2 L U
D B F2 D' R' U' R'
D B F2 D2 R' F2 U'
D B F2 D2 F2 R' U'
B F U' R D' R2 B
B F U' R' D' B R2
D B' L U2 L' B2 U'
D B' L U2 B2 L' U'
D B' L D2 F2 R U
F B U' R D' R2 B
F B U' R' D' B R2
F' B D' F' R U' R
F2 B D' F' R U' R
B F D' F' R U' R
F B D' F' R U' R
U2 B' U2 R' B2 U' B'
B F' R U' D' R2 B
U2 B' U2 B2 R' U' B
B F' R D' U' R2 B
B F' R' U' D' B R2
B F' R' U2 B2 U B'
B F' R' D' U' B R2
B F' R' D2 F2 U' B
U2 B' D2 L F2 U B'
U2 B' D2 F2 L U B'
D B' D2 L F2 R U
B F' U' R D' R2 B
B F' U' R' D' B R2
B F' D' F' R U' R
D' B2 R2 F' R B' U'
D' B2 R2 F' B' R U'
D' B2 R2 B' F' R U'
D B2 R' B' R' F' U'
B F2 R U' D' R2 B
D B2 R2 F' B' R' U'
B F2 R D' U' R2 B
D B2 R2 B' F' R' U'
B F2 R' U' D' B R2
B F2 R' U2 B2 U B'
B F2 R' D' U' B R2
R B2 R2 F' U' B L
B F2 R' D2 F2 U' B
B F2 U' R D' R2 B
B F2 U' R' D' B R2
B F2 D' F' R U' R
