U L U R U L
F2 L' U L2 U2 L
F2 L' U' D2 L' R2
F2 L' U' D2 R2 L'
F2 L' D2 U' L' R2
F2 L' D2 U' R2 L'
U' L2 R' D' F2 R
U2 R U' L U2 L
U2 R B2 U L2 R'
U2 R B2 U R' L2
U' R' L2 D' F2 R
L U2 R U L R'
L U2 R U R' L
F' U L U2 F L
B2 U' L2 R' D' F2
B2 U' R' L2 D' F2
B2 U2 R U L2 R2
B2 U2 R U R2 L2
D' F' B2 U' R' F'
L2 F2 L' U' L R
L2 F2 L' U' R L
F' D' B2 U' R' F'
F2 D' B2 L' U' R'
D' F2 B2 L' U' R'
B2 F' U' L2 R' F'
B2 F' U' R' L2 F'
B2 F' U' R' F' L2
U2 B2 R U L2 R2
U2 B2 R U R2 L2
R B2 L U L R'
R B2 L U R' L
B2 F2 L' U' L' R'
B2 F2 L' U' R' L'
F2 B2 L' U' L' R'
F2 B2 L' U' R' L'
D' B2 U' R' D' F2
D' B2 U2 R U R2
F' B2 U' L2 R' F'
F' B2 U' R' L2 F'
F' B2 U' R' F' L2
D' B2 F' U' R' F'
D' B2 F2 L' U' R'
R' D' R B2 U' F2 R'
L' D' R B2 L U L2
U2 D B2 R F2 U R2
F' U B2 U2 L2 R' F'
F' U B2 U2 R' L2 F'
F' U B2 U2 R' F' L2
B2 U' L R' D' L F2
B2 U' L R' D' F2 L
L' D' U2 R B2 U L'
F2 U' L D L F2 R
L' D' U2 B2 R U L'
B2 U' L' R' D' L' F2
U2 D' R U2 B2 U' R'
L D' U2 R U L R'
L D' U2 R U R' L
R D' U2 R' B2 U' R'
F' U' L2 R' F2 R F
F' U' L2 R2 F2 R F'
B2 U' L2 R' U' R2 U
B2 U' L2 R' D' F2 D
B2 U' L2 R' D' F2 D'
B2 U' L2 R' D' F2 D2
B2 U' L2 R' F D' F2
B2 U' L2 R' F' D' F2
B2 U' L2 R' F2 D' F2
F' U' L2 U2 L' B' U2
B2 U' L2 U' R U R2
B2 U' L2 D R' D' F2
B2 U' L2 D' R' D' F2
B2 U' L2 D2 R' D' F2
F' U' L2 F' R' F' R
F' U' L2 F2 R' F' R2
D U' R' D' L2 F2 R
L2 D' F2 L' U' L R
L2 D' F2 L' U' R L
F U' L2 D F2 R F'
F' U' R' L2 F2 R F
B2 U' R' L D' L F2
B2 U' R' L D' F2 L
B2 U' R' L' D' L' F2
B2 U' R' L2 U' R2 U
B2 U' R' L2 D' F2 D
B2 U' R' L2 D' F2 D'
B2 U' R' L2 D' F2 D2
B2 U' R' L2 F D' F2
B2 U' R' L2 F' D' F2
B2 U' R' L2 F2 D' F2
B2 U' R' U' R2 U L2
F' U' R' F L2 F2 R
B2 U' R' D' F2 D L2
B2 U' R' F L2 D' F2
B2 U' R' F' L2 D' F2
B2 U' R' F2 L2 D' F2
F' U' R2 L2 F2 R F'
R' D' B2 R U' R2 F2
R' D' B2 R U' F2 R2
B2 U' D R' D' L2 F2
B2 U' D R' D' F2 L2
U D2 L R2 U R' U
D' U2 R U2 B2 U' R'
D2 U2 R U' L R U2
D2 U2 R U' R L U2
U2 D2 R U' L R U2
U2 D2 R U' R L U2
F' U' B2 L2 R' F' B2
F' U' B2 L2 R' B2 F'
F' U' B2 R' L2 F' B2
F' U' B2 R' L2 B2 F'
F' U' B2 R' F' L2 B2
F' U' B2 R' F' B2 L2
F' U' B2 R' B2 L2 F'
F' U' B2 R' B2 F' L2
D U2 R F2 U' L U2
D U2 R F2 B2 U R'
D U2 R B2 F2 U R'
L' D2 U2 R U L' R
L' D2 U2 R U R L'
U D2 R2 L U R' U
L D2 U2 R U L R'
L D2 U2 R U R' L
B2 U2 L2 R' D' F2 B2
B2 U2 L2 R' D' B2 F2
B2 U2 R U L2 R2 D
B2 U2 R U L2 R2 D'
B2 U2 R U L2 R2 D2
B2 U2 R U R2 L2 D
B2 U2 R U R2 L2 D'
B2 U2 R U R2 L2 D2
B' U2 R F U L2 R
B' U2 R F U R L2
B2 U2 R D F2 B2 U
B2 U2 R D B2 F2 U
L2 D2 F2 L' U' L R
L2 D2 F2 L' U' R L
B2 U2 R F U L2 R2
B2 U2 R F U R2 L2
B2 U2 R F' U L2 R2
B2 U2 R F' U R2 L2
B2 U2 R F2 U L2 R2
B2 U2 R F2 U R2 L2
B2 U2 R B U L2 R2
B2 U2 R B U R2 L2
B2 U2 R B' U L2 R2
B2 U2 R B' U R2 L2
B2 U2 R B2 U L2 R2
B2 U2 R B2 U R2 L2
B2 U2 R' L2 D' F2 B2
B2 U2 R' L2 D' B2 F2
B U2 R B U L2 R'
B U2 R B U R' L2
B2 U2 D R F2 U R2
D U2 B2 R F2 U R2
U' F L2 D F2 R F'
B U2 B R U L2 R2
B U2 B R U R2 L2
F2 D L' D2 B2 U' R2
B2 D U' R' D' L2 F2
B2 D U' R' D' F2 L2
R F B2 L U L R'
R F B2 L U R' L
B2 D U2 R F2 U R2
U' F' L2 F2 D R F'
D2 F' U L R2 U2 F
D2 F' U R2 L U2 F
U2 F' U' L U2 L F
F2 D' L' D F2 U' L2
D2 F' D B2 U' R' F'
F2 D' L' B2 U L2 U2
F2 D' L' B2 U' D2 R2
F2 D' L' B2 D F2 U'
F2 D' L' B2 D2 U' R2
D' F' B2 L U' R' F'
D' F' B2 L' U' R' F'
D' F' B2 L2 U' R' F'
D' F' B2 U' R' D F'
D' F' B2 U' R' D' F'
D' F' B2 U' R' D2 F'
D' F' B2 U' R' F' D
D' F' B2 U' R' F' D'
D' F' B2 U' R' F' D2
D' F' B2 U' D R' F'
D' F' B2 U' D' R' F'
D' F' B2 U' D2 R' F'
D' F' B2 U' F R' F'
D' F' B2 U' F' R' F'
D' F' B2 U' F2 R' F'
D' F' B2 D U' R' F'
D' F' B2 D' U' R' F'
D' F' B2 D2 U' R' F'
U' F2 L D L F2 R
D2 F2 L' U L2 R2 U2
D2 F2 L' U R2 L2 U2
D2 F2 L' U' D2 L2 R2
D2 F2 L' U' D2 R2 L2
L' F2 L' U L' R U2
L' F2 L' U R L' U2
D2 F2 L' D F2 B2 U'
D2 F2 L' D B2 F2 U'
D' F2 L' D F2 U' L2
R F' B2 L U L R'
R F' B2 L U R' L
D2 F2 L' D2 U' L2 R2
D2 F2 L' D2 U' R2 L2
L' F2 L' F2 U' L' R
L' F2 L' F2 U' R L'
D' F2 L' B2 U L2 U2
D' F2 L' B2 U' D2 R2
D' F2 L' B2 D F2 U'
D' F2 L' B2 D2 U' R2
L2 F2 L' U' L R D
L2 F2 L' U' L R D'
L2 F2 L' U' L R D2
L2 F2 L' U' L D R
L2 F2 L' U' L D' R
L2 F2 L' U' L D2 R
L2 F2 L' U' R L D
L2 F2 L' U' R L D'
L2 F2 L' U' R L D2
L2 F2 L' U' R D L
L2 F2 L' U' R D' L
L2 F2 L' U' R D2 L
L2 F2 L' U' D L R
L2 F2 L' U' D R L
L2 F2 L' U' D' L R
L2 F2 L' U' D' R L
L2 F2 L' U' D2 L R
L2 F2 L' U' D2 R L
L2 F2 L' D U' L R
L2 F2 L' D U' R L
L2 F2 L' D' U' L R
L2 F2 L' D' U' R L
L2 F2 L' D2 U' L R
L2 F2 L' D2 U' R L
D F2 L' U L2 U2 L2
F2 D' F B2 U' R' F'
L F2 L' U L U2 L
L F2 L' D' B2 U' R'
F' D' F' B2 L' U' R'
L2 F2 R U L' R' U'
L2 F2 R U R' L' U'
L F2 L' B2 U' L2 R'
L F2 L' B2 U' R' L2
F2 D' B L' B U' R'
F' D' B2 L U' R' F'
F' D' B2 L' U' R' F'
F' D' B2 L2 U' R' F'
F2 D' B2 L' U' R' D
F2 D' B2 L' U' R' D'
F2 D' B2 L' U' R' D2
F2 D' B2 L' U' D R'
F2 D' B2 L' U' D' R'
F2 D' B2 L' U' D2 R'
F2 D' B2 L' D U' R'
F2 D' B2 L' D' U' R'
F2 D' B2 L' D2 U' R'
F2 D' B2 L' F U' R'
F2 D' B2 L' F' U' R'
F2 D' B2 L' F2 U' R'
F' D' B2 U' R' D F'
F' D' B2 U' R' D' F'
F' D' B2 U' R' D2 F'
F' D' B2 U' R' F' D
F' D' B2 U' R' F' D'
F' D' B2 U' R' F' D2
F' D' B2 U' D R' F'
F' D' B2 U' D' R' F'
F' D' B2 U' D2 R' F'
F' D' B2 U' F R' F'
F' D' B2 U' F' R' F'
F' D' B2 U' F2 R' F'
F' D' B2 D U' R' F'
F' D' B2 D' U' R' F'
F' D' B2 D2 U' R' F'
F' D' B2 F' L' U' R'
F2 D' B2 D L' U' R'
F2 D' B2 D' L' U' R'
F2 D' B2 D2 L' U' R'
F2 D' B2 F U' R' F'
F D' B2 L' U' R' F
F D' B2 L' U' F R'
F2 D2 L' U L2 R2 U2
F2 D2 L' U R2 L2 U2
L' F2 D L' F2 U' L'
F2 D2 L' U' D2 L2 R2
F2 D2 L' U' D2 R2 L2
F2 D2 L' D F2 B2 U'
F2 D2 L' D B2 F2 U'
F2 D2 L' D2 U' L2 R2
F2 D2 L' D2 U' R2 L2
L2 F2 D L' U' L R
L2 F2 D L' U' R L
D2 F2 D B2 L' U' R'
L2 F2 D' L' U' L R
L2 F2 D' L' U' R L
L2 F2 D2 L' U' L R
L2 F2 D2 L' U' R L
D' F2 B L' B U' R'
L2 F2 B L' U' L R
L2 F2 B L' U' R L
L2 F2 B' L' U' L R
L2 F2 B' L' U' R L
F' D2 U L R2 U2 F
D' F2 B2 L' U' R' D
D' F2 B2 L' U' R' D'
D' F2 B2 L' U' R' D2
D' F2 B2 L' U' D R'
D' F2 B2 L' U' D' R'
D' F2 B2 L' U' D2 R'
D' F2 B2 L' D U' R'
D' F2 B2 L' D' U' R'
D' F2 B2 L' D2 U' R'
D' F2 B2 L' F U' R'
D' F2 B2 L' F' U' R'
D' F2 B2 L' F2 U' R'
F' D2 U R2 L U2 F
D' F2 B2 D L' U' R'
D' F2 B2 D' L' U' R'
D' F2 B2 D2 L' U' R'
L2 F2 B2 L' U' L R
L2 F2 B2 L' U' R L
R F2 B2 L U L R'
R F2 B2 L U R' L
U2 B R B U L2 R'
U2 B R B U R' L2
R B U L2 R B R'
R B U R L2 B R'
R B U R B L2 R'
R B U R B R' L2
F2 B L' B U' L' R'
F2 B L' B U' R' L'
D' B F2 L' B U' R'
L2 B F2 L' U' L R
L2 B F2 L' U' R L
U2 B' R B' U L2 R'
U2 B' R B' U R' L2
B2 F' L U' L R' F'
B2 F' L U' R' L F'
B2 F' L U' R' F' L
B2 F' L' U' L' R' F'
B2 F' L' U' R' L' F'
F2 B' L' B' U' L' R'
F2 B' L' B' U' R' L'
U B' U R B U L2
B2 F' U' L R' F' L
B2 F' U' L2 R' D F'
B2 F' U' L2 R' D' F'
B2 F' U' L2 R' D2 F'
B2 F' U' L2 R' F' D
B2 F' U' L2 R' F' D'
B2 F' U' L2 R' F' D2
B2 F' U' L2 D R' F'
B2 F' U' L2 D' R' F'
B2 F' U' L2 D2 R' F'
B2 F' U' L2 F R' F'
B2 F' U' L2 F' R' F'
B2 F' U' L2 F2 R' F'
B2 F' U' R' L F' L
B2 F' U' R' L2 D F'
B2 F' U' R' L2 D' F'
B2 F' U' R' L2 D2 F'
B2 F' U' R' L2 F' D
B2 F' U' R' L2 F' D'
B2 F' U' R' L2 F' D2
B2 F' U' R' F L2 F2
B2 F' U' R' F' L2 D
B2 F' U' R' F' L2 D'
B2 F' U' R' F' L2 D2
B2 F' U' F L2 R' F'
B2 F' U' F R' L2 F'
B2 F' U' F R' F' L2
B2 F' U' F' L2 R' F'
B2 F' U' F' R' L2 F'
B2 F' U' F' R' F' L2
B2 F' U' F2 L2 R' F'
B2 F' U' F2 R' L2 F'
B2 F' U' F2 R' F' L2
L2 B' F2 L' U' L R
L2 B' F2 L' U' R L
D' B2 L U' R' D' F2
D' B2 L U2 R U R2
D' B2 L F' U' R' F'
D' B2 L F2 L' U' R'
D' B2 L' U' R' D' F2
D' B2 L' U2 R U R2
R2 B2 L R2 U' L R
R2 B2 L R2 U' R L
U' B2 L2 R' B2 D' F2
D' B2 L' F' U' R' F'
D' B2 L' F2 L' U' R'
D' B2 L2 U' R' D' F2
D' B2 L2 U2 R U R2
D' B2 L2 F' U' R' F'
U' B2 R U L2 R2 B2
U' B2 R U L2 B2 R2
U' B2 R U R2 L2 B2
U' B2 R U R2 B2 L2
D' B2 L2 F2 L' U' R'
U' B2 R U B2 L2 R2
U' B2 R U B2 R2 L2
U2 B2 L2 R' D' F2 B2
U2 B2 L2 R' D' B2 F2
R B2 L U L R' D
R B2 L U L R' D'
R B2 L U L R' D2
R B2 L U L D R'
R B2 L U L D' R'
R B2 L U L D2 R'
R B2 L U R' L D
R B2 L U R' L D'
R B2 L U R' L D2
R B2 L U R' D L
R B2 L U R' D' L
R B2 L U R' D2 L
R B2 L U D L R'
R B2 L U D R' L
R B2 L U D' L R'
R B2 L U D' R' L
R B2 L U D2 L R'
R B2 L U D2 R' L
F' B2 L U' L R' F'
F' B2 L U' R' L F'
F' B2 L U' R' F' L
R B2 L D U L R'
R B2 L D U R' L
R B2 L D' U L R'
R B2 L D' U R' L
R B2 L D2 U L R'
R B2 L D2 U R' L
R B2 L F U L R'
R B2 L F U R' L
R B2 L F' U L R'
R B2 L F' U R' L
R B2 L F2 U L R'
R B2 L F2 U R' L
U' B2 R' L2 B2 D' F2
F' B2 L' U' L' R' F'
F' B2 L' U' R' L' F'
U2 B2 R U L2 R2 D
U2 B2 R U L2 R2 D'
U2 B2 R U L2 R2 D2
U2 B2 R U R2 L2 D
U2 B2 R U R2 L2 D'
U2 B2 R U R2 L2 D2
B' F2 L' B' U' L' R'
B' F2 L' B' U' R' L'
B2 F2 L' U' L' R' D
B2 F2 L' U' L' R' D'
B2 F2 L' U' L' R' D2
B2 F2 L' U' L' D R'
B2 F2 L' U' L' D' R'
B2 F2 L' U' L' D2 R'
B2 F2 L' U' R' L' D
B2 F2 L' U' R' L' D'
B2 F2 L' U' R' L' D2
B2 F2 L' U' R' D L'
B2 F2 L' U' R' D' L'
B2 F2 L' U' R' D2 L'
B2 F2 L' U' D L' R'
B2 F2 L' U' D R' L'
B2 F2 L' U' D' L' R'
B2 F2 L' U' D' R' L'
B2 F2 L' U' D2 L' R'
B2 F2 L' U' D2 R' L'
U2 B2 R D F2 B2 U
U2 B2 R D B2 F2 U
F2 B2 L' U' L' R' D
F2 B2 L' U' L' R' D'
F2 B2 L' U' L' R' D2
F2 B2 L' U' L' D R'
F2 B2 L' U' L' D' R'
F2 B2 L' U' L' D2 R'
B2 F2 L' D U' L' R'
F2 B2 L' U' R' L' D
F2 B2 L' U' R' L' D'
F2 B2 L' U' R' L' D2
B2 F2 L' D U' R' L'
F2 B2 L' U' R' D L'
F2 B2 L' U' R' D' L'
F2 B2 L' U' R' D2 L'
F2 B2 L' U' D L' R'
F2 B2 L' U' D R' L'
F2 B2 L' U' D' L' R'
F2 B2 L' U' D' R' L'
F2 B2 L' U' D2 L' R'
F2 B2 L' U' D2 R' L'
B2 F2 L' D' U' L' R'
B2 F2 L' D' U' R' L'
U2 B2 R F U L2 R2
U2 B2 R F U R2 L2
B2 F2 L' D2 U' L' R'
B2 F2 L' D2 U' R' L'
U' B2 R' B2 L2 D' F2
F2 B2 L' D U' L' R'
F2 B2 L' D U' R' L'
U2 B2 R F' U L2 R2
U2 B2 R F' U R2 L2
F2 B2 L' D' U' L' R'
F2 B2 L' D' U' R' L'
