B2 D F L' U2
F L B2 U B U
B2 L' U' F R U'
F L' B2 U' F U'
B2 U L2 U B' R'
D F L' U' L' U'
D F U2 D F2 R
D F D L' U2 F2
D F D U2 F2 R
D F D' L' B2 U2
D F D' B2 L' U2
B2 D F L' U2 D
B2 D F L' U2 D'
B2 D F L' U2 D2
B2 D F L' D U2
B2 D F L' D' U2
B2 D F L' D2 U2
B2 D F D L' U2
B2 D F D' L' U2
B2 D F D2 L' U2
B' D F B' L' U2
B D F L' B U2
B D F B L' U2
B' D B' F L' U2
B D B F L' U2
B' D' F B' L U2
B D' F B U2 R'
B' D' B' F L U2
B D' B F U2 R'
B2 F L U B' U
B2 F L' U' F U'
B' F D' B' L U2
B F D' B U2 R'
F B D' B U2 R'
F B' D' B' L U2
L' B2 U' F R U'
F B2 L U B' U
F B2 L' U' F U'
B2 F2 D F' U2 R
F2 B2 D F' U2 R
D' F2 U R2 U B R'
B' D' B' F2 L F' U2
B D' B D F U2 R'
B D' B D' F U2 R'
B D' B D2 F U2 R'
B D' B F L U2 R'
B D' B F L' U2 R'
B D' B F L2 U2 R'
B D' B F U2 R' D
B D' B F U2 R' D'
B D' B F U2 R' D2
B2 D' B' F L B U2
B D' B F U2 D R'
B D' B F U2 D' R'
B D' B F U2 D2 R'
B D' B F D U2 R'
B D' B F D' U2 R'
F D' B U R2 U R
B D' B F D2 U2 R'
F D' B U2 D' R' F2
F D' B U2 D' F2 R'
F D' B D B2 L U2
F D' B D' U2 R' F2
F D' B D' U2 F2 R'
F D' B' L U R2 U
F D' B' L U2 D' F2
F D' B' L D B2 U2
F D' B' L D' U2 F2
B D' B' F L B2 U2
F D' B' D L B2 U2
F D' B' D B2 U2 R'
F D' B' D' L U2 F2
D2 F2 D' F' U2 R F
D F2 D F' L' U2 F'
D F2 D' F' L' B2 U2
D F2 D' F' B2 L' U2
D F2 D' B2 F' L' U2
F D2 U R' B U F2
B' D2 F D B' L U2
F D2 U2 F' D' F' R
B D2 F D B U2 R'
F2 D2 F' U2 D' F' R
F2 D2 F' D' U2 F' R
B2 D2 F2 D' F' U2 R
B' D2 B' D' F L' U2
B D2 B D' F L' U2
B' F L U B' R' U
B2 F L U D B' U
B2 F L U D' B' U
B2 F L U D2 B' U
B2 F L U B' U D
B2 F L U B' U D'
B2 F L U B' U D2
B2 F L U B' D U
B2 F L U B' D' U
B2 F L U B' D2 U
B2 F L D U B' U
B2 F L D' U B' U
B2 F L D2 U B' U
B2 F L' U' D F U'
B2 F L' U' D' F U'
B2 F L' U' D2 F U'
B2 F L' U' F U' D
B2 F L' U' F U' D'
B2 F L' U' F U' D2
B2 F L' U' F D U'
B2 F L' U' F D' U'
B2 F L' U' F D2 U'
B2 F L' D U' F U'
B2 F L' D' U' F U'
B2 F L' D2 U' F U'
D' B D F B2 L U2
B F L B U B2 U
B F L B U2 D' R2
B F L B D L2 U2
B F L B D' U2 R2
D' B D B2 F L U2
B2 F L2 U B' U R'
B2 F L2 U' F U' R
F B L B U B2 U
F B L B U2 D' R2
F B L B D L2 U2
F B L B D' U2 R2
D' B D' F U2 R' F
D' B D' F U2 F R'
B F L' B U' F U'
F B L' B U' F U'
D' B F U R2 U R
D' B F U2 D' R' F2
D' B F U2 D' F2 R'
D' B F D B2 L U2
D' B F D' U2 R' F2
D' B F D' U2 F2 R'
D B F L' U' L' U'
B2 F U L B' L' U
D B F U2 D F2 R
D B F D L' U2 F2
D B F D U2 F2 R
D B F D' L' B2 U2
D B F D' B2 L' U2
B2 F U D' B U R'
B' F U' L2 U' F R
B2 F U' L' F L U'
B2 F U' D F' U' R
B2 F U2 D F' R F
B2 F U2 D' B R' B'
B2 F U2 F D F' R
B2 F U2 B' D' B R'
B F U2 R2 D F' R
B F U2 D R2 F' R
B2 F D U' F' U' R
B2 F D U2 F' R F
B2 F D F L' F' U2
F2 B D F' B U2 R
F B U2 R2 D F' R
F B U2 D R2 F' R
F2 B D B F' U2 R
B' F D' B' L U2 D
B' F D' B' L U2 D'
B' F D' B' L U2 D2
B' F D' B' L D U2
B' F D' B' L D' U2
B' F D' B' L D2 U2
B' F D' B' D L U2
B' F D' B' D' L U2
B' F D' B' D2 L U2
B2 F D' U B U R'
B F D U2 R2 F' R
B2 F D' U2 B R' B'
F2 B D' F' B U2 R'
B2 F D' B' L B U2
U B' L2 U F B' R'
U B' L2 U B' R' F
U B' L2 U B' F R'
F2 B D' B F' U2 R'
B F D' L B U2 R'
F B D U2 R2 F' R
B F D' L' B U2 R'
B F D' L2 B U2 R'
F B D' L B U2 R'
F B D' L' B U2 R'
F B D' L2 B U2 R'
B F D' B L U2 R'
B F D' B L' U2 R'
B F D' B L2 U2 R'
B F D' B U2 R' D
B F D' B U2 R' D'
B F D' B U2 R' D2
B F D' B U2 D R'
B F D' B U2 D' R'
B F D' B U2 D2 R'
B F D' B D U2 R'
B F D' B D' U2 R'
B F D' B D2 U2 R'
B F D' B' L B2 U2
F B D' B L U2 R'
F B D' B L' U2 R'
F B D' B L2 U2 R'
F B D' B U2 R' D
F B D' B U2 R' D'
F B D' B U2 R' D2
F B D' B U2 D R'
F B D' B U2 D' R'
F B D' B U2 D2 R'
F B D' B D U2 R'
F B D' B D' U2 R'
F B D' B D2 U2 R'
F B D' B' L B2 U2
B2 F' L F2 U B' U
F B' L U B' R' U
B2 F' L' F2 U' F' U'
D' B' D F L B2 U2
D' B' D F B2 U2 R'
D' B' D B2 F U2 R'
D' B' F L U R2 U
D' B' F L U2 D' F2
D' B' F L D B2 U2
D' B' F L D' U2 F2
D' B' F D L B2 U2
D' B' F D B2 U2 R'
D' B' F D' L U2 F2
D B' F L' U' L' U'
D B' F U2 D F2 R
D B' F D L' U2 F2
F B' U' L2 U' F R
D B' F D U2 F2 R
D B' F D' L' B2 U2
D B' F D' B2 L' U2
L' B2 L D F L' U2
F2 B' D F' B' U2 R
F2 B' D B' F' U2 R
L2 B2 L U' F U' B
F2 B' D' F' B' L U2
F2 B' D' B' L F' U2
L2 B2 L' U B' U B2
F2 B' D' B' F' L U2
L2 B2 L' U2 B D' R2
L B2 L U B U B2
L B2 L U2 B' D' R2
L2 B2 L2 U2 D' B R'
R' B2 R D F L' U2
L2 B2 L2 D' U2 B R'
F B' D' B' L U2 D
F B' D' B' L U2 D'
F B' D' B' L U2 D2
F B' D' B' L D U2
F B' D' B' L D' U2
F B' D' B' L D2 U2
F B' D' B' D L U2
F B' D' B' D' L U2
F B' D' B' D2 L U2
F' B2 L F2 U B' U
B2 F2 L F' U B' U
F2 B2 L F' U B' U
L B2 L' F U B U
L B2 L2 U B L U
F' B2 L' F2 U' F' U'
B2 F2 L' F' U' F2 U'
B2 F2 L' F' U2 D R2
B2 F2 L' F' D U2 R2
B2 F2 L' F' D' L2 U2
F B2 L U D B' U
F B2 L U D' B' U
F B2 L U D2 B' U
F2 B2 L' F' U' F2 U'
F B2 L U B' U D
F B2 L U B' U D'
F B2 L U B' U D2
F2 B2 L' F' U2 D R2
F B2 L U B' D U
F B2 L U B' D' U
F B2 L U B' D2 U
F2 B2 L' F' D U2 R2
F2 B2 L' F' D' L2 U2
F B2 L D U B' U
F B2 L D' U B' U
F B2 L D2 U B' U
F B2 L' U' D F U'
F B2 L' U' D' F U'
F B2 L' U' D2 F U'
F B2 L' U' F U' D
F B2 L' U' F U' D'
F B2 L' U' F U' D2
F B2 L' U' F D U'
F B2 L' U' F D' U'
F B2 L' U' F D2 U'
F B2 L' D U' F U'
F B2 L' D' U' F U'
F B2 L' D2 U' F U'
F B2 L2 U B' U R'
R2 B2 R2 D F L' U2
F B2 L2 U' F U' R
L' B2 U' R F R U'
L' B2 U' R' F R U'
L' B2 U' R2 F R U'
L' B2 U' D F R U'
L' B2 U' D' F R U'
L2 B2 U B' U R' B2
L' B2 U' D2 F R U'
L' B2 U' F R U' D
L' B2 U' F R U' D'
L' B2 U' F R U' D2
L' B2 U' F R D U'
L' B2 U' F R D' U'
L' B2 U' F R D2 U'
L' B2 U' F D R U'
L' B2 U' F D' R U'
L' B2 U' F D2 R U'
L B2 U L B U B2
L2 B2 U' F U' B R
L B2 U B L U B'
R' B2 D R F L' U2
U' B2 D F L' U2 L'
L' B2 D U' F R U'
U2 B2 D F L' U2 L
L' B2 D' U' F R U'
F B2 U L B' L' U
D' B2 D' F U2 F R
F B2 U D' B U R'
B2 F2 U2 R2 D' B R'
B2 F2 U2 D' R2 B R'
F2 B2 U2 R2 D' B R'
F2 B2 U2 D' R2 B R'
L' B2 D2 U' F R U'
F B2 U' L' F L U'
B' F2 D F' B' U2 R
B2 F2 D L F' U2 R
F B2 U' D F' U' R
B2 F2 D L' F' U2 R
B' F2 D B' F' U2 R
B2 F2 D L2 F' U2 R
F2 B2 D L F' U2 R
F2 B2 D L' F' U2 R
F2 B2 D L2 F' U2 R
R B2 D F L' U2 L2
B2 F2 D F L' F2 U2
B2 F2 D F' L U2 R
B2 F2 D F' L' U2 R
B2 F2 D F' L2 U2 R
B2 F2 D F' U2 R D
B2 F2 D F' U2 R D'
B2 F2 D F' U2 R D2
B2 F2 D F' U2 D R
B2 F2 D F' U2 D' R
B2 F2 D F' U2 D2 R
B2 F2 D F' D U2 R
B2 F2 D F' D' U2 R
B2 F2 D F' D2 U2 R
F2 B2 D F L' F2 U2
F2 B2 D F' L U2 R
F2 B2 D F' L' U2 R
F2 B2 D F' L2 U2 R
F2 B2 D F' U2 R D
F2 B2 D F' U2 R D'
F2 B2 D F' U2 R D2
F2 B2 D F' U2 D R
F2 B2 D F' U2 D' R
F2 B2 D F' U2 D2 R
F2 B2 D F' D U2 R
F2 B2 D F' D' U2 R
F2 B2 D F' D2 U2 R
B' F2 D' F' B' L U2
B' F2 D' B' L F' U2
F B2 U2 D F' R F
B' F2 D' B' F' L U2
F B2 U2 D' B R' B'
F B2 U2 F D F' R
B2 F2 D' U2 R2 B R'
F B2 U2 B' D' B R'
B F2 D F' B U2 R
F2 B2 D' U2 R2 B R'
D B2 F L' U' L' U'
B F2 D B F' U2 R
F B2 D U' F' U' R
F B2 D U2 F' R F
D B2 F U2 D F2 R
F B2 D F L' F' U2
D B2 F D L' U2 F2
D B2 F D U2 F2 R
D B2 F D' L' B2 U2
D B2 F D' B2 L' U2
B F2 D' F' B U2 R'
B F2 D' B F' U2 R'
F B2 D' U B U R'
F B2 D' U2 B R' B'
F B2 D' B' L B U2
