B2 L' U L F2 U2
B2 L' U F2 L U2
B2 L' U' D2 B2 R'
U' L' D R2 U' L2
B2 L' D2 U' B2 R'
U' L' B2 U F2 U2
U' L' B2 U' D2 B2
U' L' B2 D R2 U'
U' L' B2 D2 U' B2
F2 R' D B2 U2 L2
F2 R' D' R2 U2 F2
F2 R2 U' B2 L U'
U' D L' R2 U' L'
F2 U R U D L2
F2 U R U2 B2 U'
F2 U R D U L2
F2 U R D2 F2 U
U' D R2 L' U' L'
F2 U D R U L2
F2 U D2 R F2 U
D2 U F2 R U B2
D U' L' R2 U' L'
D U' R2 L' U' L'
F2 U' B2 U2 R U
U D2 F2 R U B2
F2 D U R U L2
F2 D' R2 U R' U
B2 D2 L' U' B2 R'
F2 D2 U R F2 U
U' B2 L' U F2 U2
U' B2 L' U' D2 B2
U' B2 L' D R2 U'
U' B2 L' D2 U' B2
L' B2 U F2 U2 R'
L' B2 U' R' D2 B2
L' B2 U' D2 R' B2
L' B2 D R2 U' R
L' B2 D2 U' R' B2
U' B2 D L' R2 U'
U' B2 D R2 L' U'
U' B2 D2 L' U' B2
B2 L' U L F2 U2 D'
B2 L' U L F2 U2 D2
B2 L' U L F2 D U2
B2 L' U L F2 D' U2
B2 L' U L F2 D2 U2
B2 L' U L' F2 L2 U2
B2 L' U L2 F2 U2 R
B2 L' U D2 L U2 B2
B2 L' U F' L F' U2
U' L' U F2 U' B2 U'
U' L' U F2 U2 D L2
U' L' U F2 D U2 L2
U' L' U F2 D' R2 U2
B2 L' U F2 L U2 D
B2 L' U F2 L U2 D'
B2 L' U F2 L U2 D2
B2 L' U F2 L D U2
B2 L' U F2 L D' U2
B2 L' U F2 L D2 U2
B2 L' U F2 D L U2
B2 L' U F2 D' L U2
B2 L' U F2 D2 L U2
B2 L' U' R D2 B2 R'
B2 L' U' R' D2 B2 R'
U' L' U' D L2 D B2
B2 L' U' R2 D2 B2 R'
D L' U' D B2 L' R'
D L' U' D B2 R' L'
U' L' U' D2 B2 D' L2
B2 L' U' D2 R B2 R'
B2 L' U' D2 R' B2 R'
B2 L' U' D2 R2 B2 R'
B2 L' U' D2 B2 R' D
B2 L' U' D2 B2 R' D'
B2 L' U' D2 B2 R' D2
B2 L' U' D2 B2 D R'
B2 L' U' D2 B2 D' R'
B2 L' U' D2 B2 D2 R'
D2 L' U' B2 R' D' L2
D2 L' U' B2 D' L2 R'
D2 L' U' B2 D' R' L2
B2 L' U' B2 R' D2 B2
B2 L' U' B2 D2 R' B2
U' L' U2 D2 F2 U B2
D2 L' U2 F2 U B2 R'
U2 L' D L2 D F2 B2
U2 L' D L2 D B2 F2
U' L' D R2 U' L2 D
U' L' D R2 U' L2 D'
U' L' D R2 U' L2 D2
U' L' D R2 D' B2 U'
U' L' D R2 B U' L2
U' L' D R2 B' U' L2
U' L' D R2 B2 U' L2
U2 L' D R2 U' L2 R2
U2 L' D R2 U' R2 L2
B2 L' D R2 U L U2
U' L' D U' L2 D B2
D L' D U' B2 L' R'
D L' D U' B2 R' L'
U' L' D B R2 U' L2
U' L' D B' R2 U' L2
U' L' D B2 R2 U' L2
B2 L' D2 R U' B2 R'
B2 L' D2 R' U' B2 R'
B2 L' D2 R2 U' B2 R'
U' L' D2 U' B2 D' L2
B2 L' D2 U L U2 B2
U' L' D2 U2 F2 U B2
B2 L' D2 U' R B2 R'
B2 L' D2 U' R' B2 R'
B2 L' D2 U' R2 B2 R'
B2 L' D2 U' B2 R' D
B2 L' D2 U' B2 R' D'
B2 L' D2 U' B2 R' D2
B2 L' D2 U' B2 D R'
B2 L' D2 U' B2 D' R'
B2 L' D2 U' B2 D2 R'
B2 L' D2 F U' B2 R'
B2 L' D2 F' U' B2 R'
B2 L' D2 F2 U' B2 R'
B L' D2 B U' B R'
R' L' B2 U F2 U2 R'
L' R' B2 U F2 U2 R'
R' L' B2 U' R' D2 B2
R' L' B2 U' D2 R' B2
L' R' B2 U' R' D2 B2
L' R' B2 U' D2 R' B2
R' L' B2 D R2 U' R
L' R' B2 D R2 U' R
R2 L' B2 U F2 U2 R'
R' L' B2 D2 U' R' B2
L' R' B2 D2 U' R' B2
R2 L' B2 U' R' D2 B2
B2 L' F U F L U2
R2 L' B2 U' D2 R' B2
R2 L' B2 D R2 U' R
R L' B2 U F2 U2 R'
R L' B2 U' R' D2 B2
R L' B2 U' D2 R' B2
R2 L' B2 D2 U' R' B2
R L' B2 D R2 U' R
R L' B2 D2 U' R' B2
B2 L' F' U L F' U2
B2 L' F' U F' L U2
U' L' B D B R2 U'
U' L' B D2 B U' B
U' L' B' D R2 B' U'
U' L' B' D B' R2 U'
U' L' B' D2 B' U' B'
U' L' B2 R U F2 U2
U' L' B2 R U' D2 B2
U' L' B2 R D R2 U'
U' L' B2 R D2 U' B2
U' L' B2 R' U F2 U2
U' L' B2 R' U' D2 B2
U' L' B2 R' D R2 U'
U' L' B2 R' D2 U' B2
U' L' B2 R2 U F2 U2
U' L' B2 R2 U' D2 B2
U' L' B2 R2 D R2 U'
U' L' B2 R2 D2 U' B2
U' L' B2 U F2 U2 D
U' L' B2 U F2 U2 D'
U' L' B2 U F2 U2 D2
U' L' B2 U F2 D U2
U' L' B2 U F2 D' U2
U' L' B2 U F2 D2 U2
U' L' B2 U' D2 B2 D
U' L' B2 U' D2 B2 D'
U' L' B2 U' D2 B2 D2
U' L' B2 U' B D2 B2
U' L' B2 U' B' D2 B2
U' L' B2 U' B2 D2 B2
U' L' B2 U2 D' L2 U
D L' B2 R2 U' L' R
D L' B2 R2 U' R L'
U' L' B2 D R2 U' D
U' L' B2 D R2 U' D'
U' L' B2 D R2 U' D2
U' L' B2 D R2 D U'
U' L' B2 D R2 D' U'
U' L' B2 D R2 D2 U'
U' L' B2 D' U2 L2 U
U' L' B2 D2 R U' B2
U' L' B2 D2 R' U' B2
U2 L' B2 D R2 U' R2
U' L' B2 D2 R2 U' B2
U' L' B2 D2 U' B2 D
U' L' B2 D2 U' B2 D'
U' L' B2 D2 U' B2 D2
U L' B2 D2 F2 U' B2
U' L2 D L R2 U' L
B2 L2 D L R2 F2 U'
B2 L2 D L F2 R2 U'
U' L2 D R2 L U' L
B2 L2 D R2 L F2 U'
B2 L2 D R2 F2 L U'
L' R2 B2 U F2 U2 R'
L' R2 B2 U' R' D2 B2
L' R2 B2 U' D2 R' B2
B2 L2 D F2 L R2 U'
B2 L2 D F2 R2 L U'
L' R2 B2 D R2 U' R
L' R2 B2 D2 U' R' B2
D' L2 D' F2 B2 R' U
D' L2 D' B2 R' F2 U
D' L2 D' B2 F2 R' U
L' U L F2 U' B2 U'
L' U L F2 U2 D L2
L' U L F2 D U2 L2
L' U L F2 D' R2 U2
B2 L2 D2 L U' R2 B2
B2 L2 D2 L U' B2 R2
R' U D2 F2 R U B2
B2 R L' U L F2 U2
B2 R L' U F2 L U2
U' R L' D R2 U' L2
B2 R L' U' D2 B2 R'
R2 U D2 F2 R U B2
B2 R L' D2 U' B2 R'
R U D2 F2 R U B2
U' R L' B2 U F2 U2
U' R L' B2 U' D2 B2
U' R L' B2 D R2 U'
U' R L' B2 D2 U' B2
L' U F2 L U' B2 U'
L' U F2 L U2 D L2
L' U F2 L D U2 L2
L' U F2 L D' R2 U2
D2 R U F2 R U B2
F2 R U D2 F2 U F2
L' U F2 U' B2 U' R'
L' U F2 D L U2 L
L' U F2 D' L R2 U2
L' U F2 D' R2 L U2
D R U' L' R U' L'
D R U' R L' U' L'
F2 R U' B2 U B2 U2
F2 R U' B2 U' D2 F2
F2 R U' B2 D L2 U'
F2 R U' B2 D2 U' F2
F2 R U2 L2 D L2 F2
F2 R U2 L2 D F2 L2
F2 R U2 D L2 D F2
U' R D L' R2 U' L'
U' R D R2 L' U' L'
F2 R D U2 L2 D F2
F2 R D' R2 U R2 U
F2 R D' R2 U2 D' F2
F2 R D' R2 D B2 U2
F2 R D' R2 D' U2 F2
B2 R D2 L' U' B2 R'
F2 R D2 U F2 U F2
R' U' L' D R2 U' L2
R' U' L' B2 U F2 U2
R' U' L' B2 U' D2 B2
R' U' L' B2 D R2 U'
R' U' L' B2 D2 U' B2
R2 U' L' D R2 U' L2
U R D2 F2 R U B2
R U' L' D R2 U' L2
R2 U' L' B2 U F2 U2
R2 U' L' B2 U' D2 B2
R2 U' L' B2 D R2 U'
R2 U' L' B2 D2 U' B2
R U' L' B2 U F2 U2
R U' L' B2 U' D2 B2
R U' L' B2 D R2 U'
R U' L' B2 D2 U' B2
B R F2 U R F' U
R' U' D L' R2 U' L'
R' U' D R2 L' U' L'
R2 U' D L' R2 U' L'
U' R B2 L' U F2 U2
U' R B2 L' U' D2 B2
U' R B2 L' D R2 U'
U' R B2 L' D2 U' B2
R2 U' D R2 L' U' L'
R U' D L' R2 U' L'
U' R B2 D L' R2 U'
R U' D R2 L' U' L'
U' R B2 D R2 L' U'
U' R B2 D2 L' U' B2
L' U' D2 B2 R' D' L2
L' U' D2 B2 D' L2 R'
L' U' D2 B2 D' R' L2
B2 R' L' U L F2 U2
B2 R' L' U F2 L U2
U' R' L' D R2 U' L2
B2 R' L' U' D2 B2 R'
B2 R' L' D2 U' B2 R'
U' R' L' B2 U F2 U2
U' R' L' B2 U' D2 B2
U' R' L' B2 D R2 U'
U' R' L' B2 D2 U' B2
D2 R' U F2 R U B2
F2 R' U R2 U D L2
F2 R' U R2 U2 B2 U'
F2 R' U R2 D U L2
F2 R' U R2 D2 F2 U
D R' U' L' R' U' L'
D R' U' R' L' U' L'
F2 R' U' B2 U' D' F2
F2 R' U' B2 U2 R2 U
F2 R' U' B2 D' U' F2
F2 R' U' B2 D2 L2 U'
F2 R' U2 D L2 D2 F2
F2 R' U2 D' F2 D2 L2
U' R' D L' R2 U' L'
R' U' B2 L' U F2 U2
R' U' B2 L' U' D2 B2
U' R' D R2 L' U' L'
R' U' B2 L' D R2 U'
R' U' B2 L' D2 U' B2
F2 R' D R B2 U2 L2
F2 R' D R' B2 U2 L2
F2 R' D R2 B2 U2 L2
F2 R' D U2 L2 D2 F2
R' U' B2 D L' R2 U'
R' U' B2 D R2 L' U'
R' U' B2 D2 L' U' B2
R2 U' B2 L' U F2 U2
R2 U' B2 L' U' D2 B2
R2 U' B2 L' D R2 U'
R2 U' B2 L' D2 U' B2
F2 R' D B' U2 L2 F
F2 R' D B2 R U2 L2
F2 R' D B2 R' U2 L2
F2 R' D B2 R2 U2 L2
F2 R' D B2 U2 L2 D
F2 R' D B2 U2 L2 D'
F2 R' D B2 U2 L2 D2
F2 R' D B2 D2 R2 U2
R U' B2 L' U F2 U2
R U' B2 L' U' D2 B2
R U' B2 L' D R2 U'
R U' B2 L' D2 U' B2
F2 R' D' R U2 F2 L'
R2 U' B2 D L' R2 U'
R2 U' B2 D R2 L' U'
F2 R' D' R2 U2 F2 D
F2 R' D' R2 U2 F2 D'
F2 R' D' R2 U2 F2 D2
F2 R' D' R2 D2 B2 U2
F2 R' D' R2 B U2 F2
F2 R' D' R2 B' U2 F2
F2 R' D' R2 B2 U2 F2
R2 U' B2 D2 L' U' B2
F2 R' D' U2 F2 D2 L2
R U' B2 D L' R2 U'
R U' B2 D R2 L' U'
F2 R' D' B R2 U2 F2
R U' B2 D2 L' U' B2
F2 R' D' B' R2 U2 F2
F2 R' D' B2 R2 U2 F2
B2 R' D2 L' U' B2 R'
U R' D2 F2 R U B2
F2 R' B U R2 F' U
U' R' B2 L' U F2 U2
U' R' B2 L' U' D2 B2
U' R' B2 L' D R2 U'
U' R' B2 L' D2 U' B2
U' R' B2 D L' R2 U'
U' R' B2 D R2 L' U'
U' R' B2 D2 L' U' B2
L' U2 D2 F2 U B2 R'
B2 R2 L' U L F2 U2
U' R2 L' D R2 U' L2
B2 R2 L' U F2 L U2
B2 R2 L' U' D2 B2 R'
B2 R2 L' D2 U' B2 R'
D R2 L' U L U2 L2
D R2 L' U' L' D2 R2
U' R2 L' B2 U F2 U2
U' R2 L' B2 U' D2 B2
U' R2 L' B2 D R2 U'
U' R2 L' B2 D2 U' B2
D R2 L' B2 U' L' R'
D R2 L' B2 U' R' L'
D' R2 U L2 U2 L U'
F2 R2 U R' U D L2
F2 R2 U R' U2 B2 U'
F2 R2 U R' D U L2
F2 R2 U R' D2 F2 U
D2 R2 U F2 R U B2
F2 R2 U D R' U L2
F2 R2 U D2 R' F2 U
F2 R2 U D2 F2 R' U
D' R2 U' L' U2 L' U
F2 R2 U' L B2 L U'
D' R2 U' D' L' U' B2
F2 R2 U' L' B2 L U'
D' R2 U' D2 L' R2 U'
F2 R2 U' L2 B2 L U'
D' R2 U' D2 R2 L' U'
F2 R2 U' B2 L U' D
F2 R2 U' B2 L U' D'
F2 R2 U' B2 L U' D2
F2 R2 U' B2 L D U'
F2 R2 U' B2 L D' U'
F2 R2 U' B2 L D2 U'
F2 R2 U' B2 D L U'
F2 R2 U' B2 D' L U'
F2 R2 U' B2 D2 L U'
U' R2 D L' R2 U' L'
U' R2 D R2 L' U' L'
D' R2 D F2 U R U
F2 R2 D U R' U L2
D' R2 D' U' L' U' B2
F2 R2 D' R2 U R U
D R2 D' L' B2 U' R'
L2 D L R2 F2 U' L
B2 R2 D2 L' U' B2 R'
D' R2 D2 U' L' R2 U'
D' R2 D2 U' R2 L' U'
L2 D L F2 R2 U' L
F2 R2 D2 U R' F2 U
F2 R2 D2 U F2 R' U
U R2 D2 F2 R U B2
L' D L2 D F2 R B2
L' D L2 D F2 B2 R
L' D L2 D B2 F2 R
D' R2 F2 U L2 R U
D' R2 F2 U R L2 U
L D L2 F2 D B2 R'
B R2 F2 U R F U
L' D R2 U L U2 L
L' D R2 D' B2 U' R'
L2 D R2 L F2 U' L
L' D R2 B2 U' L2 R'
L' D R2 B2 U' R' L2
L2 D R2 F2 L U' L
F2 R2 B' U' B' L U'
L D R2 U' F2 L2 R
L D R2 U' F2 R L2
U' R2 B2 L' U F2 U2
U' R2 B2 L' U' D2 B2
U' R2 B2 L' D R2 U'
U' R2 B2 L' D2 U' B2
R' D U' L' R2 U' L'
R' D U' R2 L' U' L'
U' R2 B2 D L' R2 U'
U' R2 B2 D R2 L' U'
U' R2 B2 D2 L' U' B2
F2 R2 B2 U' L U' L'
R2 D U' L' R2 U' L'
R2 D U' R2 L' U' L'
R D U' L' R2 U' L'
U2 D L D L F2 B2
U2 D L D L B2 F2
U2 D L D F2 L B2
R D U' R2 L' U' L'
U' D L' R2 U' L' D
U' D L' R2 U' L' D'
U' D L' R2 U' L' D2
U' D L' R2 U' D L'
U' D L' R2 U' D' L'
U' D L' R2 U' D2 L'
U' D L' R2 D U' L'
U' D L' R2 D' U' L'
U' D L' R2 D2 U' L'
U' D L' R2 B U' L'
U' D L' R2 B' U' L'
U' D L' R2 B2 U' L'
U' D L' U' L' D B2
U' D L' U' D L' B2
U' D L' U' D B2 L'
U' D L' D U' L' B2
U' D L' D U' B2 L'
U2 D L' R2 U' L' R2
U2 D L' R2 U' R2 L'
U' D L' B R2 U' L'
U' D L' B' R2 U' L'
U' D L' B2 R2 U' L'
U2 D L2 U L R2 U'
U2 D L2 U R2 L U'
F2 U R U L D L2
F2 U R U L' D L2
F2 U R U L2 D L2
F2 U R U D L2 D
F2 U R U D L2 D'
F2 U R U D L2 D2
F2 U R U' D' R2 U2
L2 D F2 L R2 U' L
F2 U R U2 B2 U' D
F2 U R U2 B2 U' D'
F2 U R U2 B2 U' D2
F2 U R U2 B2 D U'
F2 U R U2 B2 D' U'
F2 U R U2 B2 D2 U'
D2 U R F2 R U B2
F2 U R D U L2 D
F2 U R D U L2 D'
F2 U R D U L2 D2
F2 U R D F U L2
F2 U R D F' U L2
F2 U R D F2 U L2
F2 U R D' U' R2 U2
F2 U R D2 F2 U D
F2 U R D2 F2 U D'
F2 U R D2 F2 U D2
F2 U R D2 F2 D U
F2 U R D2 F2 D' U
F2 U R D2 F2 D2 U
F2 U R F U D L2
F2 U R F U2 B2 U'
F2 U R F D U L2
L2 D F2 R2 L U' L
F2 U R F D2 F2 U
F2 U R F' U D L2
F2 U R F' U2 B2 U'
F2 U R F' D U L2
F2 U R F' D2 F2 U
F2 U R F2 U D L2
F2 U R F2 U2 B2 U'
F2 U R F2 D U L2
F2 U R F2 D2 F2 U
L D F2 L2 D R B2
L D F2 L2 D B2 R
D2 U R' F2 R U B2
U' D R2 L' U' L' D
U' D R2 L' U' L' D'
U' D R2 L' U' L' D2
U' D R2 L' U' D L'
U' D R2 L' U' D' L'
U' D R2 L' U' D2 L'
U' D R2 L' D U' L'
U' D R2 L' D' U' L'
U' D R2 L' D2 U' L'
U' D R2 L' B U' L'
U' D R2 L' B' U' L'
U' D R2 L' B2 U' L'
U' D R2 D' L' B2 U'
U' D R2 D' B2 L' U'
U2 D R2 L' U' L' R2
U2 D R2 L' U' R2 L'
D2 U R2 F2 R U B2
F2 U R2 U2 B2 L U'
U' D R2 B L' U' L'
F2 U R2 D R' U L2
U' D R2 B' L' U' L'
U' D R2 B2 L' U' L'
F2 U R2 D2 R' F2 U
F2 U R2 D2 F2 R' U
L' D B2 R2 U' L2 R
L' D B2 R2 U' R L2
F2 U D R U L2 D
F2 U D R U L2 D'
F2 U D R U L2 D2
F2 U D R D F2 U
F2 U D R F U L2
F2 U D R F' U L2
F2 U D R F2 U L2
F2 U D' R U' R U2
F2 U D' R F2 U L'
D2 U F2 L R U B2
D2 U F2 L' R U B2
D2 U F2 L2 R U B2
D2 U F2 R L U B2
D2 U F2 R L' U B2
D2 U F2 R L2 U B2
D2 U F2 R U B2 D
D2 U F2 R U B2 D'
D2 U F2 R U B2 D2
D2 U F2 R D L2 U
F2 U D2 R U D' L2
F2 U D2 R D' U L2
F2 U D2 R F2 U D
F2 U D2 R F2 U D'
F2 U D2 R F2 U D2
F2 U D2 R F2 D U
F2 U D2 R F2 D' U
F2 U D2 R F2 D2 U
F2 U D2 R' F2 R2 U
F2 U D2 R2 F2 R' U
F2 U D2 F2 U2 L' U'
D2 U F2 D L2 R U
D2 U F2 D R L2 U
U' D B L' R2 U' L'
U' D B R2 L' U' L'
U' D B' L' R2 U' L'
U' D B' R2 L' U' L'
U' D B2 L' R2 U' L'
B2 U F2 U R U R'
U' D B2 R2 L' U' L'
F2 U F2 U2 L' B2 U'
F2 U F2 U2 B2 L' U'
F2 U F2 D2 F2 R U
D2 U' L' U' B2 D' L2
D2 U' L' U2 F2 U B2
D2 U' L' D' R2 U' L2
D U' L' R2 U' L' D
D U' L' R2 U' L' D'
D U' L' R2 U' L' D2
D U' L' R2 U' D L'
D U' L' R2 U' D' L'
D U' L' R2 U' D2 L'
D U' L' R2 D U' L'
D U' L' R2 D' U' L'
D U' L' R2 D2 U' L'
D U' L' R2 B U' L'
D U' L' R2 B' U' L'
D U' L' R2 B2 U' L'
D U' L' U' L' D B2
D U' L' U' D L' B2
D U' L' U' D B2 L'
D U' L' D U' L' B2
D U' L' D U' B2 L'
D U' L' B R2 U' L'
D U' L' B' R2 U' L'
D U' L' B2 R2 U' L'
F2 U' L B2 U2 R U
B2 U' L' U F2 U2 L
B2 U' L' U' L D2 B2
B2 U' L' U' D2 L B2
B2 U' L' D R2 U' L
B2 U' L' D2 U' L B2
F2 U' L' B2 U2 R U
B U' L' D B R2 U'
B U' L' D2 B U' B
B U' L' B U F2 U2
B U' L' B U' D2 B2
B U' L' B D R2 U'
B U' L' B D2 U' B2
F2 U' L2 B2 U2 R U
D U' R2 L' U' L' D
D U' R2 L' U' L' D'
D U' R2 L' U' L' D2
D U' R2 L' U' D L'
D U' R2 L' U' D' L'
D U' R2 L' U' D2 L'
D U' R2 L' D U' L'
D U' R2 L' D' U' L'
D U' R2 L' D2 U' L'
D U' R2 L' B U' L'
D U' R2 L' B' U' L'
D U' R2 L' B2 U' L'
D U' R2 D' L' B2 U'
D U' R2 D' B2 L' U'
D U' R2 B L' U' L'
D U' R2 B' L' U' L'
D U' R2 B2 L' U' L'
F2 U' R2 B2 L R2 U'
F2 U' R2 B2 R2 L U'
B2 U' D L' R2 U' L
B' U' D R2 B' L' U'
B2 U' D R2 L' U' L
B' U' D B' L' R2 U'
B' U' D B' R2 L' U'
B U' D L' B R2 U'
D U' B L' R2 U' L'
B U' D B L' R2 U'
B U' D B R2 L' U'
D U' B R2 L' U' L'
B2 U' D2 L' U' L B2
D U' B' L' R2 U' L'
B U' D2 L' B U' B
D U' B' R2 L' U' L'
B U' D2 B L' U' B
D U' B2 L' R2 U' L'
D U' B2 R2 L' U' L'
U' D2 L' U' B2 D' L2
U' D2 L' U2 F2 U B2
U' D2 L' D' R2 U' L2
D U2 L D L F2 B2
D U2 L D L B2 F2
D U2 L D F2 L B2
F2 U' F2 L' F2 B2 U'
F2 U' F2 L' B2 F2 U'
D U2 L' R2 U' L' R2
D U2 L' R2 U' R2 L'
F2 U' F2 B2 L' F2 U'
B' U' B' L' U F2 U2
B' U' B' L' U' D2 B2
B' U' B' L' D R2 U'
B' U' B' L' D2 U' B2
B U' B L' U F2 U2
B U' B L' U' D2 B2
B U' B L' D R2 U'
D U2 L2 U L R2 U'
B U' B L' D2 U' B2
D U2 L2 U R2 L U'
B' U' B' D L' R2 U'
B' U' B' D R2 L' U'
B' U' B' D2 L' U' B2
B U' B D L' R2 U'
B U' B D R2 L' U'
R' D2 U F2 R U B2
B U' B D2 L' U' B2
F2 U' B2 L U2 R U
F2 U' B2 L' U2 R U
F2 U' B2 L2 U2 R U
L D2 R2 F2 U R B2
L D2 R2 F2 U B2 R
R2 D2 U F2 R U B2
F2 U' B2 U2 R U D
F2 U' B2 U2 R U D'
F2 U' B2 U2 R U D2
F2 U' B2 U2 R D U
F2 U' B2 U2 R D' U
F2 U' B2 U2 R D2 U
F2 U' B2 U2 D R U
F2 U' B2 U2 D' R U
F2 U' B2 U2 D2 R U
F2 U' B2 D U2 R U
F2 U' B2 D' U2 R U
L' D2 U' B2 R' D' L2
F2 U' B2 D2 U2 R U
L' D2 U' B2 D' L2 R'
L' D2 U' B2 D' R' L2
U D2 R F2 R U B2
F2 U' B2 F2 L' F2 U'
L' D2 U2 F2 U B2 R'
R D2 U F2 R U B2
D U2 R2 L' U' L' R2
D U2 R2 L' U' R2 L'
U D2 R' F2 R U B2
U D2 R2 F2 R U B2
D2 U2 F2 R U R' B2
U2 D2 F2 R U R' B2
U D2 F2 L R U B2
U D2 F2 L' R U B2
U D2 F2 L2 R U B2
U D2 F2 R L U B2
U D2 F2 R L' U B2
U D2 F2 R L2 U B2
U D2 F2 R U B2 D
U D2 F2 R U B2 D'
U D2 F2 R U B2 D2
U D2 F2 R D L2 U
F2 U2 R' D' R F2 L'
L D2 F2 R2 U R' B2
U D2 F2 D L2 R U
U D2 F2 D R L2 U
D2 U2 B2 U' F2 R U
F2 U2 D L2 U' R U
U2 D2 B2 U' F2 R U
L D2 B2 D' F2 L2 R
L D2 B2 D' F2 R L2
F2 U2 F2 L D L2 F2
F2 U2 F2 L D F2 L2
F2 U2 F2 U L' B2 U'
F2 U2 F2 U B2 L' U'
B2 D L' R2 U L U2
B2 D L' U' D B2 R'
B2 D L' D U' B2 R'
F2 D R U2 L2 D F2
F2 D R' U R2 U L2
F2 D R' U2 L2 D' F2
B2 D R2 L' U L U2
F2 D R2 U R' U L2
F2 D U R U L2 D
F2 D U R U L2 D'
F2 D U R U L2 D2
F2 D U R D F2 U
F2 D U R F U L2
F2 D U R F' U L2
F2 D U R F2 U L2
L' F B2 U F U2 R'
B' D U' R2 B' L' U'
B2 D U' L' R2 U' L
B' D U' B' L' R2 U'
B' D U' B' R2 L' U'
B2 D U' R2 L' U' L
B D U' L' B R2 U'
F2 D U2 L2 U' R U
B D U' B L' R2 U'
B D U' B R2 L' U'
F' D F' R U2 L2 F'
F' D F' R U2 F' L2
F' D F' R' B U2 L2
F D F U R U L2
L' F' R' B2 U' R' B
F2 D B U R U L2
L' F' R2 B2 U' R' B'
F2 D B' U R U L2
D2 F' U F' R U B2
F2 D B2 U R U L2
F2 D' R' D R' B2 U2
F2 D' R' D B2 U2 L
F2 D' R' D' R' U2 F2
F2 D' R2 U R' U D
F2 D' R2 U R' U D'
F2 D' R2 U R' U D2
F2 D' R2 U R' D U
F2 D' R2 U R' D' U
F2 D' R2 U R' D2 U
F2 D' R2 U D R' U
F2 D' R2 U D' R' U
F2 D' R2 U D2 R' U
F2 D' R2 D U R' U
F2 D' R2 D' U R' U
F2 D' R2 D2 U R' U
F2 D' R2 B2 U' L U'
L' F' B2 R2 U' B R
L' F' B2 U F' U2 R'
F2 D' U R U' R U2
L' F' B2 U' R2 B R
F2 D' U R F2 U L'
L' F2 L U' L' B2 U'
F D' R2 F U R U
L' F2 L U' B2 L' U'
D2 F2 L' R U B2 R'
D2 F2 R L' U B2 R'
L2 F2 L2 U' L' B2 U'
L2 F2 L2 U' B2 L' U'
D2 F2 R U B2 D' R2
