D2 L2 F R U R'
D2 L2 F R U R'
B' R2 U' R' F' R'
B' R2 F' L' U' R2
F' R2 B' L' U' R2
U R2 B' L U' F
F' U R2 B' L' U'
F' U B' L' R2 U'
F' U B' R2 L' U'
R2 F' B' L' U' R2
U B' L R2 U' F
F' B' L' R2 U' R2
B' F' L' R2 U' R2
U B' R2 L U' F
R2 B' U' R' F' R'
F' B' R2 L' U' R2
B' F' R2 L' U' R2
R2 B' F' L' U' R2
D2 U' L2 F R' U F'
B U B2 R2 L U' F
D2 U' R' L2 F U F2
R2 D' F' B' L' F' U'
R2 D' F2 D2 B' L U'
F U' R U2 R B' U'
F U' R U2 B' R U'
R2 D' B' F' L' F' U'
F U' D2 L2 R F U
F U' D2 R L2 F U
U' D2 L2 R' F U F2
U' D2 L2 F R' U F'
F' U' B' L' R2 F' U'
F' U' B' R2 L' F' U'
U' D2 R' L2 F U F2
L2 D2 F L2 R U R'
L2 D2 F R L2 U R'
D2 F L2 R F U R'
D2 F R L2 F U R'
L2 F R U R' D B2
L2 F R U2 R U' R2
D2 F U' L2 R F U
D2 F U' R L2 F U
L2 F D R U R' B2
B' D R U' R' F' B2
B' D R U' R' B2 F'
R2 F D' F2 B' L' U'
L2 F D2 L2 R U R'
L2 F D2 R L2 U R'
R2 F D' B' F2 L' U'
R2 F B' U2 R U R
R2 F B' D' F2 L' U'
L F' L' R2 B' U' R2
L F' L' B' R2 U' R2
L F' R2 L' B' U' R2
F' D B2 U L' B U'
F' D B2 U B L' U'
R2 F' D' B' L' F2 U'
R2 F' B L' B2 U' R2
R2 F' B' L' U' R2 D
R2 F' B' L' U' R2 D'
R2 F' B' L' U' R2 D2
R2 F' B' L' D' F2 U'
R2 F' B' L' F U' R2
R2 F' B' L' F' U' R2
R2 F' B' L' F2 U' R2
R2 F' B' D' L' F2 U'
R2 F' B2 L' B U' R2
D F' B2 U L' B U'
D F' B2 U B L' U'
F D2 L2 R F U R'
F D2 R L2 F U R'
F D2 U' L2 R F U
F D2 U' R L2 F U
U B L R2 B2 U' F
U B L B2 R2 U' F
U B L' B2 R2 U' F'
U B R2 L B2 U' F
U2 B U' L R2 B2 U'
U2 B U' L B2 R2 U'
U B R2 B2 L U' F
F' B L D L2 F2 B2
F' B L D L2 B2 F2
F' B L D F2 L2 B2
F' B L D F2 B2 L2
F' B L D B2 L2 F2
F' B L D B2 F2 L2
U2 B U' R2 L B2 U'
F' B L' R2 B2 U' R2
F' B L' B2 R2 U' R2
B' F R2 U2 R' U R'
F' B R2 L' B2 U' R2
F' B R2 B2 L' U' R2
F' B U L' R2 B2 U'
F' B U L' B2 R2 U'
F' B U R2 L' B2 U'
F' B U R2 B2 L' U'
R2 B F' L' B2 U' R2
F' B U B2 L' R2 U'
F' B U B2 R2 L' U'
B F R2 B2 L U' R2
B F U R2 B2 L U'
F B R2 B2 L U' R2
F B U R2 B2 L U'
R2 B' L U' R' F' R'
R2 B' L F' L' U' R2
U B' L R2 U' D F
U B' L R2 U' D' F
U B' L R2 U' D2 F
U B' L R2 U' F D
U B' L R2 U' F D'
U B' L R2 U' F D2
U B' L R2 D U' F
U B' L R2 D' U' F
U B' L R2 D2 U' F
U B' L U' D F B2
U B' L U' D B2 F
U B' L U' F D B2
U B' L D U' F B2
U B' L D U' B2 F
R2 B' L' U' R' F' R'
R2 B' L' F' L' U' R2
U B' L' R2 U B' U2
R2 B' L2 U' R' F' R'
R2 B' L2 F' L' U' R2
D B' R U' R' F' B'
D B' R U' R' B' F'
B' F' L' R2 U' R2 D
B' F' L' R2 U' R2 D'
B' F' L' R2 U' R2 D2
B' F' L' R2 D' F2 U'
B' F' L' R2 F U' R2
B' F' L' R2 F' U' R2
B' F' L' R2 F2 U' R2
U2 B' R2 U2 R U R'
F' B' L' R2 U' R2 D
F' B' L' R2 U' R2 D'
F' B' L' R2 U' R2 D2
F' B' L' R2 D' F2 U'
F' B' L' R2 F U' R2
F' B' L' R2 F' U' R2
F' B' L' R2 F2 U' R2
B' F' L' F R2 U' R2
B' F' L' F' R2 U' R2
B' F' L' F2 R2 U' R2
B F' L D L2 F2 B2
B F' L D L2 B2 F2
B F' L D F2 L2 B2
B F' L D F2 B2 L2
F' B' L' F R2 U' R2
B F' L D B2 L2 F2
B F' L D B2 F2 L2
F' B' L' F' R2 U' R2
F' B' L' F2 R2 U' R2
U B' R2 L U' D F
U B' R2 L U' D' F
U B' R2 L U' D2 F
U B' R2 L U' F D
U B' R2 L U' F D'
U B' R2 L U' F D2
U B' R2 L D U' F
U B' R2 L D' U' F
U B' R2 L D2 U' F
U B' R2 L' U B' U2
B2 F' L' B R2 U' R2
R2 B' U L U2 R2 F
R2 B' U L U2 F R2
R2 B' U L' B' U2 R2
U B' R2 U2 R' U F'
U B' R2 D L U' F
B F' L' R2 B2 U' R2
U B' R2 D' L U' F
U B' R2 D2 L U' F
B F' L' B2 R2 U' R2
R2 B' U' R' D F' R'
R2 B' U' R' D' F' R'
R2 B' U' R' D2 F' R'
R2 B' U' R' F R' F2
R2 B' U' R' F' R' D
R2 B' U' R' F' R' D'
R2 B' U' R' F' R' D2
R2 B' U' R' F' D R'
R2 B' U' R' F' D' R'
R2 B' U' R' F' D2 R'
R2 B' U' R' F2 R' F
R2 B' U' F R' F' R'
R2 B' U' F' R' F' R'
R2 B' U' F2 R' F' R'
R2 B' U2 R' U R' F'
B' F' R2 L' U' R2 D
B' F' R2 L' U' R2 D'
B' F' R2 L' U' R2 D2
B' F' R2 L' D' F2 U'
B' F' R2 L' F U' R2
B' F' R2 L' F' U' R2
B' F' R2 L' F2 U' R2
R2 B' U2 B' R' U R'
B' F' R2 D' L' F2 U'
F' B' R2 L' U' R2 D
F' B' R2 L' U' R2 D'
F' B' R2 L' U' R2 D2
F' B' R2 L' D' F2 U'
F' B' R2 L' F U' R2
F' B' R2 L' F' U' R2
F' B' R2 L' F2 U' R2
F' B' R2 D' L' F2 U'
F2 B' R2 F L' U' R2
U B' D L U' F B2
U B' D L U' B2 F
B F' R2 L' B2 U' R2
B2 F' U L' B R2 U'
R2 B' D' F' L' F' U'
B2 F' U B L' R2 U'
B2 F' U B R2 L' U'
F B' R2 U2 R' U R'
B F' R2 B2 L' U' R2
B F' U L' R2 B2 U'
B F' U L' B2 R2 U'
B F' U R2 L' B2 U'
B F' U R2 B2 L' U'
R B' D' R F' L' U'
B F' U B2 L' R2 U'
B F' U B2 R2 L' U'
R2 B' F U2 R U R
R2 B' F D' F2 L' U'
R2 B' F' L' U' R2 D
R2 B' F' L' U' R2 D'
R2 B' F' L' U' R2 D2
R2 B' F' L' D' F2 U'
R2 B' F' L' F U' R2
R2 B' F' L' F' U' R2
R2 B' F' L' F2 U' R2
R2 B' F' D' L' F2 U'
U B2 L B R2 U' F
F' B2 L' B R2 U' R2
D B2 U L B U' F
B' F2 R2 F L' U' R2
D B2 U B L U' F
F' B2 U L' B R2 U'
D B2 U' R' U F' L'
F' B2 U B L' R2 U'
F' B2 U B R2 L' U'
R2 B2 F' L' B U' R2
D B2 F' U L' B U'
D B2 F' U B L' U'
