U' L2 B' D2 L R2
U' L2 B' D2 R2 L
L2 U B' D L F2
L2 U B' D F2 L
D2 U' F U2 L' F'
U' D2 F U2 L' F'
U' F R2 B R' U2
U' F B' U2 L F'
U' F B' U2 F' L
U' F B2 U2 F' L'
U' B R' F U2 F'
U' B' F U2 L F'
U' B' F U2 F' L
U' B2 F U2 F' L'
R' U' L2 B' D2 R2 L
D' R F' U' F2 U2 F2
R2 U' L2 B' D2 L R2
R2 U' L2 B' D2 R2 L
R U' L2 B' D2 L R2
R U' L2 B' D2 R2 L
U' R B R' F U2 F'
U' R B' F U2 L F'
U' R B' F U2 F' L
U' R B2 F U2 F' L'
R' U' D2 F U2 L' F'
R2 U' D2 F U2 L' F'
R' U' F R2 B R' U2
R U' D2 F U2 L' F'
R' U' F B' U2 L F'
R' U' F B' U2 F' L
R' U' F B2 U2 F' L'
R2 U' F R2 B R' U2
R U' F R2 B R' U2
R2 U' F B' U2 L F'
R2 U' F B' U2 F' L
U' R' L2 B' D2 L R2
U' R' L2 B' D2 R2 L
R2 U' F B2 U2 F' L'
U R' L2 U2 R B' L
U R' L2 U2 B' L R
U R' L2 U2 B' R L
R U' F B' U2 L F'
R U' F B' U2 F' L
R U' F B2 U2 F' L'
B' R' U F U2 L R
B' R' U F U2 R L
B' R' U' L2 B' L' R'
B' R' U' L2 B' R' L'
D2 R' U' F U2 L' F'
R' U' B R' F U2 F'
R2 U' B R' F U2 F'
R U' B R' F U2 F'
U R' U2 L2 R B' L
U R' U2 L2 B' L R
U R' U2 L2 B' R L
R' U' B' F U2 L F'
U R' U2 R L2 B' L
R' U' B' F U2 F' L
L2 U' B' D L F2 R
R2 U' B' F U2 L F'
R2 U' B' F U2 F' L
R' U' B2 F U2 F' L'
R U' B' F U2 L F'
R U' B' F U2 F' L
R2 U' B2 F U2 F' L'
R U' B2 F U2 F' L'
U' R' D2 F U2 L' F'
U' R' F R2 B R' U2
L U2 L' U' L2 B' L
U' R' F B' U2 L F'
U' R' F B' U2 F' L
U' R' F B2 U2 F' L'
L2 U2 L2 U' L2 B' L
U' R' B R' F U2 F'
U' R' B' F U2 L F'
U' R' B' F U2 F' L
U' R' B2 F U2 F' L'
U' R2 L2 B' D2 L R2
U' R2 L2 B' D2 R2 L
U R2 L2 U2 R2 B' L
U R2 L2 U2 B' L R2
U R2 L2 U2 B' R2 L
D' R2 U F R U2 R'
U R2 L2 B' L R2 F'
U R2 L2 B' R2 L F'
U R2 L2 B' R2 F' L
D2 R2 U' F U2 L' F'
D' R2 U' F U2 F' L'
L2 U2 B L2 U' B2 L
U R2 U2 L2 R2 B' L
U R2 U2 L2 B' L R2
U R2 U2 L2 B' R2 L
U R2 U2 R2 L2 B' L
L U2 B' L' U' L2 B'
U' R2 D2 F U2 L' F'
U' R2 F R2 B R' U2
U R2 D2 F L2 U2 L
U' R2 F B' U2 L F'
U' R2 F B' U2 F' L
U' R2 F B2 U2 F' L'
B' R2 F' U F2 U2 L
B' R2 F' U' L D2 B2
B' R2 F' U' D2 L B2
B' R2 F' D R2 U' L
B' R2 F' D2 U' L B2
U' R2 B R' F U2 F'
U' R2 B' F U2 L F'
U' R2 B' F U2 F' L
L2 D U F2 D' B' L
U' R2 B2 F U2 F' L'
L D F L' F R U
D2 U R F U2 L' R'
D2 U R F U2 R' L'
B U R' F U B' U
D2 U R2 F U2 L' R2
D2 U R2 F U2 R2 L'
D2 U F R U2 L' R'
D2 U F R U2 R' L'
D2 U F R' U2 L' R
D2 U F R' U2 R L'
D2 U F R2 U2 L' R2
D2 U F R2 U2 R2 L'
D2 U F' R F2 U2 R'
F2 U D2 F' R U2 R'
D2 U B L2 F B' L'
D2 U B L2 B' F L'
B U F R' U B' U
D2 U' L2 D2 R2 B' L
D2 U' L2 D2 B' L R2
D2 U' L2 D2 B' R2 L
D2 U' R F U2 L' F'
D2 U' R' F U2 L' F'
B2 U' L2 D' R2 B' L
B2 U' L2 D' B' L R2
B2 U' L2 D' B' R2 L
B' U' L2 B' L' D' R2
B' U' L2 B' D' L' R2
B' U' L2 B' D' R2 L'
D2 U' R2 F U2 L' F'
D2 U' F R2 B U2 L'
D2 U' F U2 L F' L2
D2 U' F U2 L' D F'
D2 U' F U2 L' D' F'
D2 U' F U2 L' D2 F'
D2 U' F U2 L' F' D
D2 U' F U2 L' F' D'
D2 U' F U2 L' F' D2
D2 U' F U2 L2 F' L
D2 U' F U2 D L' F'
D2 U' F U2 D' L' F'
D2 U' F U2 D2 L' F'
D2 U' F D U2 L' F'
D2 U' F D' U2 L' F'
D2 U' F D2 U2 L' F'
D2 U' F B U2 L' F'
D2 U' F B' U2 L' F'
D2 U' F B2 U2 L' F'
D2 U' F' R F2 U2 F'
D2 U' B F U2 L' F'
D2 U' B' F U2 L' F'
F2 U' D2 F' R U2 F
D2 U' B2 F U2 L' F'
F2 U' F' U2 D2 F L'
F2 U' F' D2 U2 F L'
F2 U' F' B R' U2 F
F2 U' F' B' U2 F L
F' U' F2 B R' U2 F2
F' U' F2 B' U2 L F2
F' U' F2 B' U2 F2 L
U' D2 L2 D2 R2 B' L
U' D2 L2 D2 B' L R2
U' D2 L2 D2 B' R2 L
F' U' B R' F2 U2 F2
F' U' B F2 R' U2 F2
F2 U' B F' R' U2 F
L2 D2 R2 U D2 B' L
U' D2 R F U2 L' F'
L2 D2 R2 D2 U B' L
L2 D2 R2 F U B' L'
F' U' B' F2 U2 L F2
F' U' B' F2 U2 F2 L
F2 U' B' F' U2 F L
U' D2 R' F U2 L' F'
R' D2 U' F U2 L' F'
U D2 R F U2 L' R'
U D2 R F U2 R' L'
U' D2 R2 F U2 L' F'
R2 D2 U' F U2 L' F'
U' D2 F R2 B U2 L'
U' D2 F U2 L F' L2
U' D2 F U2 L' D F'
U' D2 F U2 L' D' F'
U' D2 F U2 L' D2 F'
U' D2 F U2 L' F' D
U' D2 F U2 L' F' D'
U' D2 F U2 L' F' D2
U' D2 F U2 L2 F' L
U' D2 F U2 D L' F'
U' D2 F U2 D' L' F'
U' D2 F U2 D2 L' F'
U' D2 F D U2 L' F'
U' D2 F D' U2 L' F'
U' D2 F D2 U2 L' F'
R D2 U' F U2 L' F'
U' D2 F B U2 L' F'
U' D2 F B' U2 L' F'
U' D2 F B2 U2 L' F'
L2 D2 F R2 U B' L'
U' D2 F' R F2 U2 F'
U D2 R2 F U2 L' R2
U D2 R2 F U2 R2 L'
U D2 F R U2 L' R'
U D2 F R U2 R' L'
B' U2 L2 B U L' B2
B' U2 L2 B U B2 L'
U D2 F R' U2 L' R
U D2 F R' U2 R L'
U D2 F R2 U2 L' R2
U D2 F R2 U2 R2 L'
U D2 F' R F2 U2 R'
U' D2 B F U2 L' F'
U' D2 B' F U2 L' F'
U D2 B L2 F B' L'
U D2 B L2 B' F L'
U' D2 B2 F U2 L' F'
L F L U B' L F
U' F R B R' U2 F'
U' F R B' U2 L F
U' F R' B R' B U2
B' U2 B L2 U B' L
B' U2 B U L2 B' L
U' F R2 B R' U2 D
U' F R2 B R' U2 D'
U' F R2 B R' U2 D2
U' F R2 B R' D U2
U' F R2 B R' D' U2
U' F R2 B R' D2 U2
U' F R2 B D R' U2
U' F R2 B D' R' U2
U' F R2 B D2 R' U2
B U2 B' L2 U B' L
B U2 B' U L2 B' L
L2 F U B' D L F2
L2 F U B' D F2 L
U' F U' B' U' L F'
U' F U' B' U' F' L
L F U L F B' L
L F U L B' F L
U' F U2 D2 F L' F2
U' F U2 F' B' L B
U' F U2 F2 D2 F L'
U' F U2 B' L F' B
U' F U2 B' L B F'
L F U B' L F B'
L F U B' L B' F
U' F U2 B' F' L B
U' F D2 U2 F L' F2
U' F B R2 B R U2
U' F B' R U2 L F
U' F B' U2 L D F'
U' F B' U2 L D' F'
U' F B' U2 L D2 F'
U' F B' U2 L F' D
U' F B' U2 L F' D'
U' F B' U2 L F' D2
U' F B' U2 L' F' L2
U' F B' U2 D L F'
U' F B' U2 D F' L
U' F B' U2 D' L F'
U' F B' U2 D' F' L
U' F B' U2 D2 L F'
U' F B' U2 D2 F' L
U' F B' U2 F L F2
U' F B' U2 F' L D
U' F B' U2 F' L D'
U' F B' U2 F' L D2
U' F B' U2 F' D L
U' F B' U2 F' D' L
U' F B' U2 F' D2 L
U' F B' D U2 L F'
U' F B' D U2 F' L
U' F B' D' U2 L F'
U' F B' D' U2 F' L
U' F B' D2 U2 L F'
U' F B' D2 U2 F' L
U' F B2 R2 B U2 L
U' F B2 U2 L F' L'
U' F B2 U2 L' F' L'
U' F B2 U2 L2 F' L'
U' F B2 U2 D F' L'
U' F B2 U2 D' F' L'
U' F B2 U2 D2 F' L'
U' F B2 U2 F' L' D
U' F B2 U2 F' L' D'
U' F B2 U2 F' L' D2
U' F B2 U2 F' D L'
U' F B2 U2 F' D' L'
U' F B2 U2 F' D2 L'
U' F B2 D U2 F' L'
U F B R' B' U2 R
U' F B2 D' U2 F' L'
U' F B2 D2 U2 F' L'
D2 F' U R F2 U2 R'
D2 F' U' R F2 U2 F2
L2 F' U B' D L F2
L2 F' U B' D F2 L
D2 F' U' F2 U2 L' F2
U' F' U2 D2 F L' B2
U' F' U2 D2 F B2 L'
U' F' U2 D2 B2 F L'
U' F' U2 F L2 B' L
U' F' D2 U2 F L' B2
U' F' D2 U2 F B2 L'
U' F' D2 U2 B2 F L'
U' F' D2 F L' B2 R'
U' F' B R' F2 U2 F'
L F2 L R U B' L
L F2 R L U B' L
L F2 R U L B' L
L F2 R U B' L B'
L2 F2 U B' D L F2
L2 F2 U B' D F2 L
U' F2 U2 F2 L2 B' L
U' F2 D2 F' R B2 U2
U' F2 D2 F' B2 R U2
U' F2 D2 B2 F' R U2
U F2 D2 F' R U2 R'
F2 D2 U F' R U2 R'
F2 D2 U' F' R U2 F
F' D2 F U' L' B2 R'
U B L B2 L F B'
U B L B2 L B' F
U' B R F R2 B U2
L2 B L2 F U' B2 L
U' B R' D F U2 F'
U' B R' D' F U2 F'
U' B R' D2 F U2 F'
U' B R' F U2 D F'
U' B R' F U2 D' F'
U' B R' F U2 D2 F'
U' B R' F U2 F' D
U' B R' F U2 F' D'
U' B R' F U2 F' D2
U' B R' F D U2 F'
U' B R' F D' U2 F'
U' B R' F D2 U2 F'
U' B R' F B U2 F'
U' B R' F B' U2 F'
U' B R' F B2 U2 F'
U' B R' B F U2 F'
U' B R' B' F U2 F'
U' B R' B2 F U2 F'
U B L2 F B2 L B
U B L2 B' D2 F L'
U B L2 B2 F L B
U2 B U R' F U2 F'
U' B U2 F R' U2 R
U2 B U' F R' U2 R
U' B D R' F U2 F'
U' B D' R' F U2 F'
U B U2 R' F B' U2
U B U2 R' B' F U2
U B U2 F R' B' U2
U' B D2 R' F U2 F'
U' B F R2 B R U2
U' B F' R' F2 U2 F'
U' B' L U2 L' F U2
U B F R' B' U2 R
B' F U2 B U B' L
U' B' L2 D2 R2 B' L'
U' B' L2 D2 B' L' R2
U' B' L2 D2 B' R2 L'
U' B' L2 B' D2 L' R2
U' B' L2 B' D2 R2 L'
U' B' R F U2 L F'
U' B' R F U2 F' L
U' B' R' F U2 L F'
U' B' R' F U2 F' L
U B' L2 B' L' D2 F2
U B' L2 B' D2 L' F2
U' B' R2 F U2 L F'
U' B' R2 F U2 F' L
U2 B' U F U2 L F'
U2 B' U F U2 F' L
U' B' D F U2 L F'
U' B' D F U2 F' L
U' B' D' F U2 L F'
U' B' D' F U2 F' L
U' B' D2 F U2 L F'
U' B' D2 F U2 F' L
F2 B' R2 F' U' L B
U' B' F R U2 L F
U' B' F U2 L D F'
U' B' F U2 L D' F'
U' B' F U2 L D2 F'
U' B' F U2 L F' D
U' B' F U2 L F' D'
U' B' F U2 L F' D2
U' B' F U2 L' F' L2
U' B' F U2 D L F'
U' B' F U2 D F' L
U' B' F U2 D' L F'
U' B' F U2 D' F' L
U' B' F U2 D2 L F'
U' B' F U2 D2 F' L
U' B' F U2 F L F2
U' B' F U2 F' L D
U' B' F U2 F' L D'
U' B' F U2 F' L D2
U' B' F U2 F' D L
U' B' F U2 F' D' L
U' B' F U2 F' D2 L
U' B' F D U2 L F'
U' B' F D U2 F' L
U' B' F D' U2 L F'
U' B' F D' U2 F' L
U' B' F D2 U2 L F'
U' B' F D2 U2 F' L
B' F' D R2 F' U' L
F' B' D R2 F' U' L
F B' U2 B U B' L
U' B2 L2 B L B2 R'
U' B2 R F U2 F' L'
U' B2 R' F U2 F' L'
U' B2 R2 F U2 F' L'
B' F2 R2 F' U' L B
U' B2 U2 F R U2 R'
U' B2 D F U2 F' L'
U' B2 D' F U2 F' L'
U B2 U2 F R B2 U2
U B2 U2 F B2 R U2
U' B2 D2 F U2 F' L'
U B2 U2 B2 F R U2
L2 B2 D' B L R2 F'
L2 B2 D' B R2 L F'
L2 B2 D' B R2 F' L
U' B2 F R2 B U2 L
U' B2 F U2 L F' L'
U' B2 F U2 L' F' L'
U' B2 F U2 L2 F' L'
U' B2 F U2 D F' L'
U' B2 F U2 D' F' L'
U' B2 F U2 D2 F' L'
U' B2 F U2 F' L' D
U' B2 F U2 F' L' D'
U' B2 F U2 F' L' D2
U' B2 F U2 F' D L'
U' B2 F U2 F' D' L'
U' B2 F U2 F' D2 L'
U' B2 F D U2 F' L'
U' B2 F D' U2 F' L'
U' B2 F D2 U2 F' L'
