D L2 F' R B
D F' L2 R B
D F' R L2 B
D F' R B L2
D L F' L R B
D L F' R L B
D L2 F' R D B
D L2 F' R D' B
D L2 F' R D' B
D L2 F' R D2 B
D L2 F' R B D
D L2 F' R B D'
D L2 F' R B D2
D L2 F' D R B
D L2 F' D' R B
D L2 F' D2 R B
D L2 F' B R B
D L2 F' B' R B
D L2 F' B2 R B
D L2 B F' R B
D L2 B' F' R B
D L2 B2 F' R B
D' R2 B U2 R' B
D F' L' R B L'
D F' L2 R D B
D F' L2 R D' B
D F' L2 R D2 B
D F' L2 R B D
D F' L2 R B D'
D F' L2 R B D2
D F' L2 D R B
D F' L2 D' R B
D F' L2 D2 R B
D F' L2 B R B
D F' L2 B' R B
D F' L2 B2 R B
D F' R L' B L'
D F' R L2 D B
D F' R L2 D' B
D F' R L2 D2 B
D F' R L2 B D
D F' R L2 B D'
D F' R L2 B D2
D F' R B L2 D
D F' R B L2 D'
D F' R B L2 D2
D F' R B' L2 B2
D F' B L2 R B
D F' B R L2 B
D F' B R B L2
D F' B' L2 R B
D F' B' R L2 B
D F' B' R B L2
D F' B2 L2 R B
D F' B2 R L2 B
D F' B2 R B L2
D B L2 F' R B
D B F' L2 R B
D B F' R L2 B
D B F' R B L2
D B' L2 F' R B
D B' F' L2 R B
D B' F' R L2 B
D B' F' R B L2
D B2 L2 F' R B
D B2 F' L2 R B
D B2 F' R L2 B
D B2 F' R B L2
D B F' L2 R B D2
D B F' L2 D R B
D B F' L2 D' R B
D B F' L2 D2 R B
D B F' L2 B R B
D B F' L2 B' R B
D B F' L2 B2 R B
D B F' R L' B L'
D B F' R L2 D B
D B F' R L2 D' B
D B F' R L2 D2 B
D B F' R L2 B D
D B F' R L2 B D'
D B F' R L2 B D2
D B F' R B L2 D
D B F' R B L2 D'
D B F' R B L2 D2
D B F' R B' L2 B2
D B' L F' L R B
D B' L F' R L B
D B' L2 F' R D B
D B' L2 F' R D' B
D B' L2 F' R D2 B
D B' L2 F' R B D
D B' L2 F' R B D'
D B' L2 F' R B D2
D B' L2 F' D R B
D B' L2 F' D' R B
D B' L2 F' D2 R B
D B' L2 F' B R B
D B' L2 F' B' R B
D B' L2 F' B2 R B
D B' L2 B F' R B
D B' L2 B' F' R B
D B' L2 B2 F' R B
D2 B' D' L2 F' R B
D2 B' D' F' L2 R B
D2 B' D' F' R L2 B
D2 B' D' F' R B L2
D B' F' L' R B L'
D B' F' L2 R D B
D B' F' L2 R D' B
D B' F' L2 R D2 B
D B' F' L2 R B D
D B' F' L2 R B D'
D B' F' L2 R B D2
D B' F' L2 D R B
D B' F' L2 D' R B
D B' F' L2 D2 R B
D B' F' L2 B R B
D B' F' L2 B' R B
D B' F' L2 B2 R B
D B' F' R L' B L'
D B' F' R L2 D B
D B' F' R L2 D' B
D B' F' R L2 D2 B
D B' F' R L2 B D
D B' F' R L2 B D'
D B' F' R L2 B D2
D B' F' R B L2 D
D B' F' R B L2 D'
D B' F' R B L2 D2
D B' F' R B' L2 B2
D B2 L F' L R B
D B2 L F' R L B
U2 B2 L' F U' F2 B'
U2 B2 L' F U' B' F2
U B2 L' F R U' F2
D B2 L2 F' R D B
D B2 L2 F' R D' B
D B2 L2 F' R D2 B
D B2 L2 F' R B D
D B2 L2 F' R B D'
D B2 L2 F' R B D2
D B2 L2 F' D R B
D B2 L2 F' D' R B
D B2 L2 F' D2 R B
D B2 L2 F' B R B
D B2 L2 F' B' R B
D B2 L2 F' B2 R B
D B2 L2 B F' R B
D B2 L2 B' F' R B
D B2 L2 B2 F' R B
U B2 U' D F' R B
D2 B2 D' L2 F' R B
D2 B2 D' F' L2 R B
D2 B2 D' F' R L2 B
D2 B2 D' F' R B L2
U B2 D U' F' R B
L' B2 F R U' F2 B
L' B2 F R U' B F2
D B2 F' L' R B L'
D B2 F' L2 R D B
D B2 F' L2 R D' B
D B2 F' L2 R D2 B
D B2 F' L2 R B D
D B2 F' L2 R B D'
D B2 F' L2 R B D2
D B2 F' L2 D R B
D B2 F' L2 D' R B
D B2 F' L2 D2 R B
D B2 F' L2 B R B
D B2 F' L2 B' R B
D B2 F' L2 B2 R B
D B2 F' R L' B L'
D B2 F' R L2 D B
D B2 F' R L2 D' B
D B2 F' R L2 D2 B
D B2 F' R L2 B D
D B2 F' R L2 B D'
D B2 F' R L2 B D2
D B2 F' R B L2 D
D B2 F' R B L2 D'
D B2 F' R B L2 D2
D B2 F' R B' L2 B2
