R' L U F' B' U'
R' L U B' F' U'
L' R U' F B U
L' R U' B F U
U2 L U' F B' U'
U2 L U' B' F U'
L R' U F' B' U'
L R' U B' F' U'
R L' U' F B U
R L' U' B F U
U2 L' U F B' U
U2 L' U B' F U
L U F B' U' R
D2 R U' F' B U
D2 R U' B F' U
L U B' F U' R
L' U' F B' U R'
D2 R' U F' B U'
D2 R' U B F' U'
L' U' B' F U R'
D U F U' L' R
D U F U' R L'
U D F U' L' R
U D F U' R L'
U' D' B' U L R'
U' D' B' U R' L
D' U' B' U L R'
D' U' B' U R' L
L U B' F U' R D2
L U B' F U' D R
L U B' F U' D' R
L U B' F U' D2 R
L U B' F D U' R
L U B' F D' U' R
L U B' F D2 U' R
L U B' F' U L' U2
D2 R D' U' F' B U
D2 R D' U' B F' U
B R D' B' L D' R2
B R D' B' D' L R2
B R D' B' D' R2 L
D2 R D2 U' F' B U
D2 R D2 U' B F' U
R U' L' F L B U
D2 R F' B U F B'
D2 R F' B U B' F
D2 R B F' U F B'
D2 R B F' U B' F
D' R B' L D' B R2
D' R B' D' L B R2
L' U' D F B' U R'
B2 R B' D' R2 B' L
B2 R B' D' B' L R2
B2 R B' D' B' R2 L
L' U' D B' F U R'
L' U' D' F B' U R'
R U' D F B U L'
D2 R' L U F' B U'
D2 R' L U B F' U'
R U' D B F U L'
L' U' D' B' F U R'
U2 R' L U' F B' U'
U2 R' L U' B' F U'
L' U' D2 F B' U R'
D2 R' L' U F' B U'
D2 R' L' U B F' U'
R U' D' B U' R' U2
L' U' D2 B' F U R'
U2 R' L' U F B' U
U2 R' L' U B' F U
L' U' F U2 F U' R
L' U' F D B' U R'
D2 R' L2 U F' B U'
D2 R' L2 U B F' U'
L' U' F D' B' U R'
L' U' F D2 B' U R'
L' U' F B U' L U2
L' U' F B' U R' D
L' U' F B' U R' D'
L' U' F B' U R' D2
L' U' F B' U D R'
L' U' F B' U D' R'
L' U' F B' U D2 R'
L' U' F B' D U R'
L' U' F B' D' U R'
L' U' F B' D2 U R'
D2 R' U D F' B U'
D2 R' U D B F' U'
D2 R' U D' F' B U'
D2 R' U D' B F' U'
D2 R' U D2 F' B U'
D2 R' U D2 B F' U'
D2 R' U F' D B U'
D2 R' U F' D' B U'
D2 R' U F' D2 B U'
D2 R' U F' B U' D
D2 R' U F' B U' D'
D2 R' U F' B U' D2
D2 R' U F' B D U'
D2 R' U F' B D' U'
D2 R' U F' B D2 U'
D' R' U F' B' U' L
L2 U' F' B' U L' R'
L2 U' F' B' U R' L'
D2 R' U B D F' U'
D2 R' U B D' F' U'
D2 R' U B D2 F' U'
D2 R' U B F' U' D
D2 R' U B F' U' D'
D2 R' U B F' U' D2
D2 R' U B F' D U'
D2 R' U B F' D' U'
D2 R' U B F' D2 U'
D' R' U B' F' U' L
D R' U F' U R U2
L' U' B F U' L U2
R U' B L' F L U
L U' B U2 B2 U' R'
R U' B D F U L'
L' U' B' D F U R'
L' U' B' D' F U R'
L' U' B' D2 F U R'
L' U' B' F U R' D
L' U' B' F U R' D'
L' U' B' F U R' D2
L' U' B' F U D R'
L' U' B' F U D' R'
L' U' B' F U D2 R'
L' U' B' F D U R'
L' U' B' F D' U R'
L' U' B' F D2 U R'
D2 R' D U F' B U'
D2 R' D U B F' U'
F' R' D F L' D R2
F' R' D F D L' R2
F' R' D F D R2 L'
L2 U' B' F' U L' R'
L2 U' B' F' U R' L'
D2 R' D' U F' B U'
D2 R' D' U B F' U'
R' U2 L U' F' B' U'
R' U2 L U' B' F' U'
L U' B2 U2 B U' R'
R U' B2 D' B' U L
D2 R' D2 U F' B U'
D2 R' D2 U B F' U'
R' U2 L2 U' F' U' L'
R U2 L' U F B U
D R' F L' D F' R2
R U2 L' U B F U
F2 R' F D R2 F L'
F2 R' F D F L' R2
F2 R' F D F R2 L'
D R' F D L' F' R2
R U2 L2 U B U L
D2 R' F' B U' F B'
D2 R' F' B U' B' F
D2 R' B F' U' F B'
D2 R' B F' U' B' F
U2 R2 L U' F B' U'
U2 R2 L U' B' F U'
U2 R2 L' U F B' U
U2 R2 L' U B' F U
D R2 F L' D' F' R
D R2 F D' L' F' R
L' D R U' F B U
L' D R U' B F U
L D R' U F' B' U'
L D R' U B' F' U'
D' R2 B' L D B R'
D' R2 B' D L B R'
R' D U F' U R U2
L' D U' F B' U R'
L' D U' B' F U R'
L D U F B' U' R
L D U B' F U' R
U2 D L U' F U' L'
R' D F L' D F' R2
R D U' F B U L'
R D U' B F U L'
R' D F D L' F' R2
R2 D F L' D2 F' R
R2 D F D2 L' F' R
R2 D B R' D2 B' L
R2 D B D2 R' B' L
D' U F B' U' L R
D' U F B' U' R L
U' D F B' U L' R'
U' D F B' U R' L'
D U F U' L' R D
D U F U' L' R D'
D U F U' L' R D2
D U F U' L' D R
D U F U' L' D' R
D U F U' L' D2 R
D U F U' R L' D
D U F U' R L' D'
D U F U' R L' D2
D U F U' R D L'
D U F U' R D' L'
D U F U' R D2 L'
D U F U' D L' R
D U F U' D R L'
D U F U' D' L' R
D U F U' D' R L'
D U F U' D2 L' R
D U F U' D2 R L'
D U F D U' L' R
D U F D U' R L'
D U F D' U' L' R
D U F D' U' R L'
D U F D2 U' L' R
D U F D2 U' R L'
D U F B U' L' R
D U F B U' R L'
U D F U' L' R D
U D F U' L' R D'
U D F U' L' R D2
U D F U' L' D R
U D F U' L' D' R
U D F U' L' D2 R
U D F U' R L' D
U D F U' R L' D'
U D F U' R L' D2
U D F U' R D L'
U D F U' R D' L'
U D F U' R D2 L'
D U F B' U' L' R
D U F B' U' R L'
U D F U' D L' R
U D F U' D R L'
U D F U' D' L' R
U D F U' D' R L'
U D F U' D2 L' R
U D F U' D2 R L'
D U F B2 U' L' R
D U F B2 U' R L'
U D F D U' L' R
U D F D U' R L'
U D F D' U' L' R
U D F D' U' R L'
U D F D2 U' L' R
U D F D2 U' R L'
U D F B U' L' R
U D F B U' R L'
U D F B' U' L' R
U D F B' U' R L'
U D F B2 U' L' R
U D F B2 U' R L'
D U F' U L' R U2
D U F' U R L' U2
U D F' U L' R U2
U D F' U R L' U2
L' D' R U' F B U
L' D' R U' B F U
D' U B' F U' L R
D' U B' F U' R L
U' D B' F U L' R'
U' D B' F U R' L'
D U B F U' L' R
D U B F U' R L'
U D B F U' L' R
U D B F U' R L'
D U B' F U' L' R
D U B' F U' R L'
U D B' F U' L' R
U D B' F U' R L'
L D' R' U F' B' U'
L D' R' U B' F' U'
D U B2 F U' L' R
D U B2 F U' R L'
U D B2 F U' L' R
U D B2 F U' R L'
R' D' U F' B' U' L
R' D' U B' F' U' L
U2 D' L' U B' U L
L' D' U' F B' U R'
L' D' U' B' F U R'
L D' U F B' U' R
L D' U B' F U' R
R D' U' B U' R' U2
R2 D' F' R D2 F L'
R2 D' F' D2 R F L'
D' U' F B' U L R'
U' D' F B' U L R'
D' U' F B' U R' L
U' D' F B' U R' L
U' D' F' B' U L R'
U' D' F' B' U R' L
D' U' F' B' U L R'
D' U' F' B' U R' L
D U' F B' U L' R'
D U' F B' U R' L'
U D' F B' U' L R
U D' F B' U' R L
R2 D' B' L D2 B R'
D' U' F2 B' U L R'
D' U' F2 B' U R' L
U' D' F2 B' U L R'
U' D' F2 B' U R' L
R2 D' B' D2 L B R'
R D' B' L D' B R2
D' U' B U' L R' U2
U' D' B U' L R' U2
D' U' B U' R' L U2
U' D' B U' R' L U2
R D' B' D' L B R2
U' D' B' U L R' D
U' D' B' U L R' D'
U' D' B' U L R' D2
U' D' B' U L D R'
U' D' B' U L D' R'
U' D' B' U L D2 R'
U' D' B' U R' L D
U' D' B' U R' L D'
U' D' B' U R' L D2
U' D' B' U R' D L
U' D' B' U R' D' L
U' D' B' U R' D2 L
D' U' B' U L R' D
D' U' B' U L R' D'
D' U' B' U L R' D2
D' U' B' U L D R'
D' U' B' U L D' R'
D' U' B' U L D2 R'
U' D' B' U D L R'
U' D' B' U D R' L
U' D' B' U D' L R'
U' D' B' U D' R' L
U' D' B' U D2 L R'
U' D' B' U D2 R' L
D' U' B' U R' L D
D' U' B' U R' L D'
D' U' B' U R' L D2
D' U' B' U R' D L
D' U' B' U R' D' L
D' U' B' U R' D2 L
D' U' B' U D L R'
D' U' B' U D R' L
D' U' B' U D' L R'
D' U' B' U D' R' L
D' U' B' U D2 L R'
D' U' B' U D2 R' L
U' D' B' D U L R'
U' D' B' D U R' L
D' U' B' D U L R'
D' U' B' D U R' L
U' D' B' D' U L R'
U' D' B' D' U R' L
D' U' B' D' U L R'
D' U' B' D' U R' L
U' D' B' D2 U L R'
U' D' B' D2 U R' L
D' U' B' D2 U L R'
D' U' B' D2 U R' L
U' D' B' F U L R'
U' D' B' F U R' L
D' U' B' F U L R'
D' U' B' F U R' L
U' D' B' F' U L R'
D' U' B' F' U L R'
U' D' B' F' U R' L
D' U' B' F' U R' L
U' D' B' F2 U L R'
U' D' B' F2 U R' L
D' U' B' F2 U L R'
D' U' B' F2 U R' L
D U' B' F U L' R'
D U' B' F U R' L'
U D' B' F U' L R
U D' B' F U' R L
L' D2 R U' F B U
L' D2 R U' B F U
D' U2 L' U B' U L
D U2 L U' F U' L'
R' D2 R2 U' B U L
L D2 R' U F' B' U'
L D2 R' U B' F' U'
R D2 R2 U F' U' L'
L' D2 U' F B' U R'
L' D2 U' B' F U R'
L D2 U F B' U' R
L D2 U B' F U' R
U F L B' L' U' R
R' F D F L' R2 F2
R' F D F L' F2 R2
R' F D F R2 L' F2
U' F D' B' U L R'
U' F D' B' U R' L
F' D R' F L' D R2
F' D R' F D L' R2
F' D R' F D R2 L'
U F D' B' U' L R
U F D' B' U' R L
U F' U L' U F U
U' F' D' B' U L R'
U' F' D' B' U R' L
B D' R B' L D' R2
B D' R B' D' L R2
B D' R B' D' R2 L
U' F2 D' B' U L R'
U' F2 D' B' U R' L
U' B U' L U' B' U'
U B D F U' L' R
U B D F U' R L'
U' B' L' F L U R'
U' B' D F U L' R'
U' B' D F U R' L'
U B' D F U' L' R
U B' D F U' R L'
R B' D' B' L R2 B2
R B' D' B' L B2 R2
R B' D' B' R2 L B2
U B2 D F U' L' R
U B2 D F U' R L'
