U' R D' F' R2 B'
U' R D' F' B' R2
U' R D' B' F' R2
U' R F' D' R2 B'
U' R F' D' B' R2
R' U' D' R2 F' B'
R' U' D' R2 B' F'
U2 R B2 U F' B
U2 R B2 U B F'
R U' D' F' R2 B'
R U' D' F' B' R2
R U' D' B' F' R2
R U' F' D' R2 B'
R U' F' D' B' R2
U' R' D' R2 F' B'
U' R' D' R2 B' F'
R U2 B2 U F' B
R U2 B2 U B F'
R' D' U' R2 F' B'
R' D' U' R2 B' F'
R D' U' F' R2 B'
R D' U' F' B' R2
R D' U' B' F' R2
R D2 F2 U' F B'
R D2 F2 U' B' F
F2 U' R D' F' R2 B'
F2 U' R D' F' B' R2
F2 U' R D' B' F' R2
F2 U' R F' D' R2 B'
F2 U' R F' D' B' R2
F' U' R' D' R2 F' B'
F' U' R' D' R2 B' F'
F2 U' R' D' R2 F' B'
F2 U' R' D' R2 B' F'
F U' R D' F' R2 B'
F U' R D' F' B' R2
F U' R D' B' F' R2
R D' F2 U' R2 F B'
R D' F2 U' R2 B' F
R D' F2 U' F R2 B'
R D' F2 U' F B' R2
R D' F2 U' B' R2 F
R D' F2 U' B' F R2
F U' R F' D' R2 B'
F U' R F' D' B' R2
F U' R' D' R2 F' B'
F U' R' D' R2 B' F'
U' D' B' R D R F'
D' U' B' R D R F'
L D2 L' F2 U' F' B'
L D2 L' F2 U' B' F'
R' D2 R2 F2 U' F B'
R' D2 R2 F2 U' B' F
R2 D2 R' F2 U' F B'
R2 D2 R' F2 U' B' F
R D2 U' B' D F' R2
R' D2 F2 R2 U' F' B'
R' D2 F2 R2 U' B' F'
R' D2 F2 U B U2 B2
R' D2 F2 U' B' D2 F2
F' U2 R B2 U F' B
F' U2 R B2 U B F'
R2 D2 F2 R' U' F' B'
R2 D2 F2 R' U' B' F'
F2 U2 R B2 U F' B
F2 U2 R B2 U B F'
L D2 F2 L' U' F B'
L D2 F2 L' U' B' F
R D2 F2 R U' F B'
R D2 F2 R U' B' F
R D2 F2 R' U' F B'
R D2 F2 R' U' B' F
R D2 F2 R2 U' F B'
R D2 F2 R2 U' B' F
R D2 F2 U' D F B'
R D2 F2 U' D B' F
R D2 F2 U' D' F B'
R D2 F2 U' D' B' F
R D2 F2 U' D2 F B'
R D2 F2 U' D2 B' F
R D2 F2 U' F D B'
R D2 F2 U' F D' B'
R D2 F2 U' F D2 B'
R D2 F2 U' F B' D
R D2 F2 U' F B' D'
R D2 F2 U' F B' D2
R D2 F2 U' B' D F
R D2 F2 U' B' D' F
R D2 F2 U' B' D2 F
R D2 F2 U' B' F D
R D2 F2 U' B' F D'
R D2 F2 U' B' F D2
R D2 F2 D U' F B'
R D2 F2 D U' B' F
F U2 R B2 U F' B
F U2 R B2 U B F'
R D2 F2 D' U' F B'
R D2 F2 D' U' B' F
R D2 F2 D2 U' F B'
R D2 F2 D2 U' B' F
U' F R D' F' R2 B'
U' F R D' F' B' R2
U' F R D' B' F' R2
U' F R F' D' R2 B'
U' F R F' D' B' R2
U' F R' D' R2 F' B'
U' F R' D' R2 B' F'
B2 U2 B2 R U' F' B'
B2 U2 B2 R U' B' F'
R' F U' D' R2 F' B'
R' F U' D' R2 B' F'
R F U' F2 D' R2 B'
R F U' F2 D' B' R2
R' F D' U' R2 F' B'
R' F D' U' R2 B' F'
R F U2 B2 U F2 B
R F U2 B2 U B F2
B D L2 F B R' U
B D L2 B R' F U
B D L2 B F R' U
U' F' R D' F' R2 B'
U' F' R D' F' B' R2
U' F' R D' B' F' R2
U' F' R F' D' R2 B'
U' F' R F' D' B' R2
U' F' R' D' R2 F' B'
U' F' R' D' R2 B' F'
R' F' U' D' R2 F' B'
R' F' U' D' R2 B' F'
D' F' U2 R U R B'
D' F' U2 R U B' R
R' F' D' U' R2 F' B'
R' F' D' U' R2 B' F'
R F' D2 F2 U' F2 B'
R F' D2 F2 U' B' F2
U' F2 R D' F' R2 B'
U' F2 R D' F' B' R2
U' F2 R D' B' F' R2
U' F2 R F' D' R2 B'
U' F2 R F' D' B' R2
U' F2 R' D' R2 F' B'
U' F2 R' D' R2 B' F'
D' F2 R' U' R' F' B'
D' F2 R' U' R' B' F'
D2 F2 U' L' F L B'
D' F2 U' R' F' R' B'
R' F2 U' D' R2 F' B'
R' F2 U' D' R2 B' F'
D2 F2 U' B' L' F L
D' F2 U' B' R' F' R'
B2 D2 L' F2 U F' B
B2 D2 L' F2 U B F'
R F2 U' D' R2 F B'
R F2 U' D' R2 B' F
R F2 U' D' F R2 B'
R F2 U' D' F B' R2
R F2 U' D' B' R2 F
R F2 U' D' B' F R2
R F2 U' F D' R2 B'
R F2 U' F D' B' R2
R' F2 D' U' R2 F' B'
R' F2 D' U' R2 B' F'
D2 F2 D2 R U' F' B'
D2 F2 D2 R U' B' F'
R F2 U2 B2 U F B
R F2 U2 B2 U B F
R F2 D' U' R2 F B'
R F2 D' U' R2 B' F
R F2 D' U' F R2 B'
R F2 D' U' F B' R2
R F2 D' U' B' R2 F
R F2 D' U' B' F R2
R F2 D2 F2 U' F' B'
R F2 D2 F2 U' B' F'
U' B R B2 D' F' R
B2 D2 F2 L' U F B
B2 D2 F2 L' U B F
U2 B D L2 B R' U
U2 B D B L2 R' U
U2 B D B R' L2 U
U' B' R U' B' U F'
U' B' R F' U' B' U
U2 B' R B' U F' B
U2 B' R B' U B F'
U' B' R2 U' B' R' U
D' B' R2 U' F' R U
U' B' U' R B' U F'
U' B' U' B' R U F'
R' B2 U D L2 F B
R' B2 U D L2 B F
U2 B2 U R F' R' B
U2 B2 U B R F' R'
R B2 U D L2 F' B
R B2 U D L2 B F'
R B2 U D F' L2 B
R B2 U D F' B L2
R B2 U D B L2 F'
R B2 U D B F' L2
R' B2 D U L2 F B
R' B2 D U L2 B F
R B2 U F' D L2 B
R B2 U F' D B L2
R B2 U2 B2 U' F' B'
R B2 U2 B2 U' B' F'
U2 B2 D2 L' U F B
U2 B2 D2 L' U B F
R B2 D U L2 F' B
R B2 D U L2 B F'
R B2 D U F' L2 B
R B2 D U F' B L2
R B2 D U B L2 F'
R B2 D U B F' L2
R B2 D2 F2 U F B
R B2 D2 F2 U B F
