L2 F B' L U F2
B F R' B2 U' F2
F B R' B2 U' F2
B' F U2 L U F2
L2 B' F L U F2
F B' U2 L U F2
B F' R D R2 L2 B2
B F' R D R2 B2 L2
B F' R D B2 L2 R2
B F' R D B2 R2 L2
F B' R U2 L U F2
L2 B' D F L U F2
B F' R' F2 B2 U' F2
F B' R' U2 L U F2
L2 B' D' F L U F2
B F' R' B2 F2 U' F2
U' B' F U2 L U F2
F B' R2 U2 L U F2
D' B' F R' U' F2 B
D' B' F R' U' B F2
L2 B' D2 F L U F2
D2 B' F U2 L' U F2
B F' U R' F2 B2 U'
B F' U R' B2 F2 U'
L2 B' F L R U F2
L2 B' F L R' U F2
L2 B' F L R2 U F2
L2 B' F L U F2 D
L2 B' F L U F2 D'
L2 B' F L U F2 D2
L2 B' F L D R2 U
D2 B' F' R F2 U' F2
L2 B' F R L U F2
L2 B' F R' L U F2
L2 B' F R2 L U F2
B F' U F2 R' B2 U'
U2 B' F U2 L U F2
L2 B' F D L R2 U
L2 B' F D R2 L U
D B' F L U' F2 B'
D B' F L U' B' F2
L2 B' F' L F2 U F2
F B' U' F2 U' L U
U B' F U2 L U F2
F B' U2 L R U F2
F B' U2 L R' U F2
F B' U2 L R2 U F2
F B' U2 L U F2 D
F B' U2 L U F2 D'
F B' U2 L U F2 D2
F B' U2 L D R2 U
F B' U2 R L U F2
R B' F U2 L U F
F B' U2 R' L U F2
F B' U2 R2 L U F2
F B' U2 D L R2 U
F B' U2 D R2 L U
F B' D U2 L R2 U
F B' D U2 R2 L U
F B' D' L2 U2 L' U
