F L' U B2 R' U
D L2 U2 D F2 B'
D L2 U2 D B' F2
D L2 U2 B' D F2
D L2 D U2 F2 B'
D L2 D U2 B' F2
F L2 D L2 U2 F2
D L2 D' B2 U2 B
F L2 D' B2 U2 R2
U2 L2 B2 U L2 B
U2 L2 B2 U B L2
U2 R2 D' F2 R2 B
L2 D L2 F U2 F
F U B2 U D2 F2
F U B2 U' B2 U2
F U B2 D' R2 U
F U B2 D2 U F2
L2 D' B2 U2 B R2
F U' D2 F2 U' F2
F U2 R2 D' R2 F2
F U2 R2 D' F2 R2
F U2 D' R2 D' F2
D F L2 U' L2 U'
D F L2 U2 D F2
D F L2 D U2 F2
D F L2 D' B2 U2
D2 F U' F U' F'
U F U F' B2 U
D' F U2 R2 D' F2
U F U B2 F' U
F D L2 U' L2 U'
F D L2 U2 D F2
F D L2 D U2 F2
F D L2 D' B2 U2
F D' U2 R2 D' F2
F D2 U' F2 U' F2
U2 B2 L2 U B' L2
U B2 U' F B2 U2
U B2 U' B2 F U2
L2 U B2 U B D F2
L2 U B2 U2 L2 U' B
L2 U B2 D U F2 B
L2 U B2 D U B F2
F' R D2 F2 U' B2 L
U R F U F' B2 U
U R F U B2 F' U
D2 R F2 U F' R' U2
R2 U' D' R2 D' L2 B'
U R B2 U' F B2 U2
U R B2 U' B2 F U2
R2 U' D2 L2 D R2 B'
R2 U' D2 L2 D B' R2
R2 U' D2 L2 B' D R2
D' R' U R F U2 R2
B2 R' U R F U2 R'
D R' U L2 R U2 B'
D R' U R L2 U2 B'
D R' U R F L2 U2
B R' U R F U2 R
D' R' U' R' D2 L2 B'
B2 R' U' R F U2 F'
F' R' D2 F2 U' L' B2
F' R' D2 F2 U' B2 L'
R U2 L B2 U L B'
U R' F U F' B2 U
U R' F U B2 F' U
D2 R' F2 R2 U' L' B
D2 R' F2 R2 U' B L'
R U2 L2 B2 U L B
L2 U2 D F2 D2 R2 B'
L2 U2 D F2 D2 B' R2
L2 U2 D F2 B' D2 R2
L2 U2 D B' F2 D2 R2
L2 U2 D' R2 D2 F2 B'
L2 U2 D' R2 D2 B' F2
L2 U2 D' B R2 F' B2
L2 U2 D' B R2 B2 F'
R2 U2 D' F2 U R2 B
U R' B2 U' F B2 U2
U R' B2 U' B2 F U2
B2 R2 U R2 F U2 R2
D R2 U L2 R2 U2 B'
B2 R2 U F R2 U2 R2
D R2 U R2 L2 U2 B'
D R2 U R2 F L2 U2
D R2 U F L2 R2 U2
D R2 U F R2 L2 U2
B2 R2 U' R2 F U2 F'
B2 R2 U' F R2 B U2
D R2 U' D2 L2 R2 B'
D R2 U' D2 L2 B' R2
D R2 U' D2 R2 L2 B'
L2 U2 B' U L2 F U'
R' U2 B2 U' R F U2
R2 U2 B2 U D2 L2 B'
R2 U2 B2 U' R2 F U2
R2 U2 B2 U' F R2 U2
R U2 B2 L2 U B' L'
R2 U2 B2 D2 U L2 B'
R U2 B2 U L2 B' L'
D' R2 D2 L2 D F2 B'
D' R2 D2 L2 D B' F2
D' R2 D2 L2 B' D F2
U2 R2 D' F2 R2 D B
U2 R2 D' F2 R2 D' B
U2 R2 D' F2 R2 D2 B
U2 R2 D' F2 R2 B D
U2 R2 D' F2 R2 B D'
U2 R2 D' F2 R2 B D2
R U2 B2 U' F U2 L
U2 R2 D' F2 B R2 B
U2 R2 D' F2 B' R2 B
U2 R2 D' F2 B2 R2 B
U2 R2 D' B F2 R2 B
U2 R2 D' B' F2 R2 B
U2 R2 D' B2 F2 R2 B
F' R2 D2 F2 U' L2 B2
F' R2 D2 F2 U' B2 L2
F2 R2 D2 F2 U' L2 B
F2 R2 D2 F2 U' B L2
D R2 D2 U' L2 R2 B'
D R2 D2 U' L2 B' R2
D R2 D2 U' R2 L2 B'
L2 D L2 D2 F B2 U2
L2 D L2 D2 B2 F U2
L2 D L2 F U2 D F
L2 D L2 F U2 D' F
L2 D L2 F U2 D2 F
L2 D L2 F U2 F D
L2 D L2 F U2 F D'
L2 D L2 F U2 F D2
L2 D L2 F D U2 F
L2 D L2 F D' U2 F
L2 D L2 F D2 U2 F
L2 D L2 F B U2 F
L2 D L2 F B' U2 F
U R2 F U F' B2 U
L2 D L2 F B2 U2 F
U R2 F U B2 F' U
L2 D L2 B F U2 F
L2 D L2 B' F U2 F
L2 D L2 B2 F U2 F
B R2 F' U R2 F2 U2
B R2 F' U F2 R2 U2
B R2 F' U' D2 L2 B2
B R2 F' U' D2 B2 L2
D2 R2 F2 U R2 U2 B
D2 R2 F2 U F' R2 U2
B R2 F' D R2 B2 U'
B R2 F' D B2 R2 U'
B R2 F' D2 U' L2 B2
B R2 F' D2 U' B2 L2
U2 R2 F2 D' R2 F2 B
U2 R2 F2 D' R2 B F2
R' D U L2 R U2 B'
R' D U R L2 U2 B'
R' D U R F L2 U2
R D U L2 R' U2 B'
R D U R' L2 U2 B'
R D U R' F L2 U2
R D U F L2 R' U2
R D U F R' L2 U2
U R2 B2 U' F B2 U2
U R2 B2 U' B2 F U2
L2 D U2 F2 D2 R2 B'
L2 D U2 F2 D2 B' R2
L2 D U2 F2 B' D2 R2
L2 D U2 B' F2 D2 R2
L2 D F L2 F B' U2
L2 D F L2 B' F U2
L2 D F' L2 F U2 F2
L2 D F2 L2 F U2 F'
L2 D B L2 U2 F2 B2
L2 D B L2 U2 B2 F2
F U R B2 U D2 F2
F U R B2 U' B2 U2
F U R B2 D' R2 U
F U R B2 D2 U F2
F U R' B2 U D2 F2
F U R' B2 U' B2 U2
F U R' B2 D' R2 U
F U R' B2 D2 U F2
D' U F U F' U R2
L2 D B2 L2 U2 F2 B
L2 D B2 L2 U2 B F2
D U F L2 U F' U
F U R2 B2 U D2 F2
F U R2 B2 U' B2 U2
R2 D B2 U L2 U2 B'
F U R2 B2 D' R2 U
F U R2 B2 D2 U F2
R2 D B2 U F L2 U2
U D F L2 U F' U
F U D' B' U R2 F'
B' U F U F' B' U
B' U F U B' F' U
B U F U F' B U
B U F U B F' U
L2 D' L2 F B2 U2 R2
F2 U F' U F B2 U
F2 U F' U B2 F U
L2 D' L2 B2 F U2 R2
F' U F2 U F2 B2 U
F' U F2 U B2 F2 U
F' U F2 U2 D' L2 R2
F' U F2 U2 D' R2 L2
F' U F2 D L2 R2 U2
F' U F2 D R2 L2 U2
F' U F2 D' U2 L2 R2
F' U F2 D' U2 R2 L2
B U B L2 U F B'
B U B L2 U B' F
B' U B' U' F B U2
B U B U' F B' U2
B' U B' U' B F U2
B U B U' B' F U2
L2 D' R2 D2 F2 B' L2
L2 D' R2 D2 B' L2 F2
L2 D' R2 D2 B' F2 L2
L2 D' R2 B' D2 L2 F
F' U B2 U D2 F2 B2
F' U B2 U D2 B2 F2
F' U B2 U' F2 B2 U2
F' U B2 U' B2 F2 U2
F' U B2 D' L2 R2 U
F U B' R2 B' U F'
F' U B2 D' R2 L2 U
F' U B2 D2 U F2 B2
F' U B2 D2 U B2 F2
F2 U B2 U' F' B2 U2
F2 U B2 U' B2 F' U2
F2 U B2 D' R2 U B
U2 D' L2 U R2 B' L2
D2 U' L2 F2 U' F2 B'
D2 U' L2 F2 U' B' F2
U2 D' L2 U B' L2 R2
U2 D' L2 U B' R2 L2
R D' U R' F U2 R'
R2 D' U' R2 D' L2 B'
R D' U F R' U2 R'
F U B2 R U D2 F2
F U B2 R U' B2 U2
F U B2 R D' R2 U
F U B2 R D2 U F2
F U B2 R' U D2 F2
F U B2 R' U' B2 U2
F U B2 R' D' R2 U
F U B2 R' D2 U F2
F U B2 R2 U D2 F2
F U B2 R2 U' B2 U2
F U B2 R2 D' R2 U
F U B2 R2 D2 U F2
F U B2 U D2 F2 D
F U B2 U D2 F2 D'
F U B2 U D2 F2 D2
F U B2 U F D2 F2
F U B2 U F' D2 F2
F U B2 U F2 D2 F2
F U B2 U' B2 U2 D
F U B2 U' B2 U2 D'
F U B2 U' B2 U2 D2
F U B2 U' B2 D U2
F U B2 U' B2 D' U2
F U B2 U' B2 D2 U2
F U B2 U2 D L2 U'
F U B2 D U2 L2 U'
L2 D' U2 R2 D2 F2 B'
L2 D' U2 R2 D2 B' F2
F U B2 D' R2 U D
F U B2 D' R2 U D'
F U B2 D' R2 U D2
F U B2 D' R2 D U
F U B2 D' R2 D' U
F U B2 D' R2 D2 U
F U B2 D2 R U F2
F U B2 D2 R' U F2
F U B2 D2 R2 U F2
F U B2 D2 U F2 D
F U B2 D2 U F2 D'
F U B2 D2 U F2 D2
L2 D' U2 B R2 F' B2
L2 D' U2 B R2 B2 F'
R2 D' U2 F2 U R2 B
F U' L D2 F2 U' F2
L2 D' F B2 U2 B R2
B' U' L2 F U' F' B'
B' U' L2 F U' B' F'
F U' L' D2 F2 U' F2
R' D' F2 U' L' R2 B
R' D' F2 U' R2 L' B
D' U' R2 B2 D L2 B'
R' D' F2 U' R2 B L'
U' D' R2 B2 D L2 B'
L2 D' F' B2 U2 B R2
F U' L2 D2 F2 U' F2
L2 D' F2 B2 U2 B R2
L2 D' B U2 R2 F' B2
L2 D' B U2 R2 B2 F'
U D' F U F' U R2
D' U' F2 U' R2 F2 B
D' U' F2 U' R2 B F2
U' D' F2 U' R2 F2 B
U' D' F2 U' R2 B F2
D2 U' F2 R2 U' F2 B
D2 U' F2 R2 U' B F2
D2 U' F2 U F' U2 F'
L2 D' B' R2 D2 L2 F
U2 D' F2 R2 D' F2 B
U2 D' F2 R2 D' B F2
U2 D' F2 R2 B D' F2
L2 D' B2 L U2 B R2
L2 D' B2 L' U2 B R2
L2 D' B2 L2 U2 B R2
L2 D' B2 U2 B R2 D
L2 D' B2 U2 B R2 D'
L2 D' B2 U2 B R2 D2
L2 D' B2 U2 B' R2 B2
L2 D' B2 U2 B2 R2 B'
L2 D' B2 D2 L2 U2 B
L2 D' B2 F U2 B R2
L2 D' B2 F' U2 B R2
L2 D' B2 F2 U2 B R2
F' U' D2 F2 U' F2 B2
F' U' D2 F2 U' B2 F2
F' U' D2 B2 D L2 R2
F' U' D2 B2 D R2 L2
D' U' B2 R2 D L2 B'
U' D' B2 R2 D L2 B'
F U' D' F U' F' R2
F U' D' F' U' R2 F
F U' D' F' U' F R2
F U' D' F2 U' R2 F2
F U' D' F2 U' F2 R2
D2 U' B2 D L2 R2 B'
D2 U' B2 D L2 B' R2
D2 U' B2 D R2 L2 B'
F U' D2 L F2 U' F2
F U' D2 L' F2 U' F2
F U' D2 L2 F2 U' F2
F U' D2 F2 L U' F2
F U' D2 F2 L' U' F2
F U' D2 F2 L2 U' F2
F U' D2 F2 U' F2 D
F U' D2 F2 U' F2 D'
F U' D2 F2 U' F2 D2
F U' D2 F2 D' L2 U'
R2 D2 L2 D R2 F2 B'
R2 D2 L2 D R2 B' F2
R2 D2 L2 D F2 R2 B'
R2 D2 L2 D F2 B' R2
R2 D2 L2 D B' R2 F2
R2 D2 L2 D B' F2 R2
F U' F U' D' F' R2
F U' F U' F' D' R2
F U' F U2 B2 U F'
F U' F D' U' F' R2
R2 D2 L2 B' D R2 F2
R2 D2 L2 B' D F2 R2
F U' F D2 F2 U' F
D' U2 L2 U R2 B' L2
D' U2 L2 U B' L2 R2
D' U2 L2 U B' R2 L2
F U' F' U' D' R2 F
F U' F' U' D' F R2
F U' F' U' F D' R2
F U' F' U2 B2 U F
F U' F' D' U' R2 F
F U' F' D' U' F R2
F U' F' D2 F2 U' F'
U' D2 L2 F2 U' F2 B'
U' D2 L2 F2 U' B' F2
F U' F2 U' F2 D' R2
F U' F2 U2 B2 U F2
F U' F2 D' L2 U' R2
R2 D2 U' L2 D R2 B'
R2 D2 U' L2 D B' R2
R2 D2 U' L2 B' D R2
F U2 L B2 U L' B2
F U2 L B2 U B2 L'
U' D2 F2 R2 U' F2 B
U' D2 F2 R2 U' B F2
D' U2 F2 R2 D' F2 B
D' U2 F2 R2 D' B F2
R' D2 F2 R2 U' L' B
R' D2 F2 R2 U' B L'
D' U2 F2 R2 B D' F2
U' D2 F2 U F' U2 F'
F U2 L' B2 U B2 L
B U2 L2 B U L2 B2
B U2 L2 B U B2 L2
R2 D2 F2 R2 U' L2 B
R2 D2 F2 R2 U' B L2
R2 D2 F2 U F' U2 L2
F U2 L2 B2 U L2 B2
F U2 L2 B2 U B2 L2
F U2 R U' R' B2 U
R D2 F2 U F' R' U2
F U2 R' U' R B2 U
F U2 R' U' B2 R U
F2 U2 R2 D' F2 B R2
F2 U2 R2 D' B R2 F2
F2 U2 R2 D' B F2 R2
U' D2 B2 D L2 R2 B'
U' D2 B2 D L2 B' R2
U' D2 B2 D R2 L2 B'
F U2 R2 U' R2 B2 U
F U2 R2 U' B2 R2 U
F U2 R2 D' R' F2 R'
F U2 R2 D' R2 F2 D
F U2 R2 D' R2 F2 D'
F U2 R2 D' R2 F2 D2
F U2 R2 D' F R2 F
F U2 R2 D' F2 R2 D
F U2 R2 D' F2 R2 D'
F U2 R2 D' F2 R2 D2
D' F L U' L' U' R2
F' U2 D' L2 U L2 R2
F' U2 D' L2 U R2 L2
D2 F L U' L' F U'
F U2 R2 F D' R2 F2
F U2 R2 F D' F2 R2
F U2 R2 F' D' R2 F2
F U2 R2 F' D' F2 R2
F U2 R2 F2 D' R2 F2
F U2 R2 F2 D' F2 R2
F' U2 D' R2 D' F2 B2
F' U2 D' R2 D' B2 F2
F2 U2 D' R2 D' F2 B
F2 U2 D' R2 D' B F2
F2 U2 D' R2 B D' F2
D' F L' U' L U' R2
F U2 D' R2 U' R2 U
F U2 D' R2 D' F2 D
F U2 D' R2 D' F2 D'
F U2 D' R2 D' F2 D2
F U2 D' R2 F D' F2
F U2 D' R2 F' D' F2
F U2 D' R2 F2 D' F2
U F L U F' B2 U
F U2 D' F R2 D' F2
U F L U B2 F' U
F U2 D' F' R2 D' F2
F U2 D' F2 R2 D' F2
D' F L2 U' L2 U' R2
D2 F L2 U' L2 F U'
D' F L2 U2 R2 D F2
U F L' U F' B2 U
U F L' U B2 F' U
D F L2 U D2 R2 U
F U2 F R2 D' R2 F2
D F L2 U' L2 U' D
D F L2 U' L2 U' D'
D F L2 U' L2 U' D2
D F L2 U' L2 D U'
F U2 F R2 D' F2 R2
D F L2 U' L2 D' U'
D F L2 U' L2 D2 U'
D F L2 U2 D F2 D
D F L2 U2 D F2 D'
D F L2 U2 D F2 D2
D F L2 U2 F D F2
D F L2 U2 F' D F2
D F L2 U2 F2 D F2
D F L2 D U2 F2 D
D F L2 D U2 F2 D'
D F L2 D U2 F2 D2
D F L2 D B U2 F2
D F L2 D B' U2 F2
D F L2 D B2 U2 F2
D F L2 D' B2 U2 D
D F L2 D' B2 U2 D'
D F L2 D' B2 U2 D2
D F L2 D' B2 D U2
D F L2 D' B2 D' U2
D F L2 D' B2 D2 U2
D F L2 D2 U R2 U
F U2 F D' R2 D' F2
U F L2 U F' B2 U
U F L2 U B2 F' U
D F L2 B U' L2 U'
D F L2 B U2 D F2
D F L2 B D U2 F2
D F L2 B D' B2 U2
D F L2 B' U' L2 U'
D F L2 B' U2 D F2
D F L2 B' D U2 F2
D F L2 B' D' B2 U2
D F L2 B2 U' L2 U'
D F L2 B2 U2 D F2
D F L2 B2 D U2 F2
D F L2 B2 D' B2 U2
F U2 F' R2 D' R2 F2
F U2 F' R2 D' F2 R2
F U2 F' D' R2 D' F2
F U2 F2 R2 D' R2 F2
F U2 F2 R2 D' F2 R2
B' U2 B' L2 U B' L2
F U2 F2 D' R2 D' F2
B U2 B L2 U B' L2
D' F U B' U R2 F'
F' U2 B2 D' L2 U L2
D2 F U' D F U' F'
D' F U' D' F2 U' F2
D2 F U' D' F U' F'
D' F U' F U' F' R2
D2 F U' D2 F U' F'
D2 F U' F L U' F'
D2 F U' F L' U' F'
D2 F U' F L2 U' F'
D2 F U' F U' D F'
D2 F U' F U' D' F'
D2 F U' F U' D2 F'
D2 F U' F U' F' D
D2 F U' F U' F' D'
D2 F U' F U' F' D2
D' F U' F' U' R2 F
D' F U' F' U' F R2
D2 F U' F D U' F'
D2 F U' F D' U' F'
D2 F U' F D2 U' F'
D' F U' F2 U' R2 F2
D' F U' F2 U' F2 R2
F U2 B2 L U L' B2
F U2 B2 L U B2 L'
F U2 B2 L' U L B2
U F U D' F' U R2
F U2 B2 L2 U L2 B2
F U2 B2 L2 U B2 L2
D' F U2 R2 U' R2 U
D' F U2 R2 D' F2 D
D' F U2 R2 D' F2 D'
D' F U2 R2 D' F2 D2
D' F U2 R2 F D' F2
D' F U2 R2 F' D' F2
D' F U2 R2 F2 D' F2
U F U F' U D' R2
U F U F' D' U R2
U F U F' B2 U D
U F U F' B2 U D'
U F U F' B2 U D2
U F U F' B2 D U
U F U F' B2 D' U
U F U F' B2 D2 U
D' F U2 F R2 D' F2
D' F U2 F' R2 D' F2
F U2 B2 U B2 D L2
D' F U2 F2 R2 D' F2
U F U B2 D F' U
U F U B2 D' F' U
U F U B2 D2 F' U
U F U B2 F' U D
U F U B2 F' U D'
U F U B2 F' U D2
U F U B2 F' D U
U F U B2 F' D' U
U F U B2 F' D2 U
U' F U2 B2 U F' B2
U' F U2 B2 U B2 F'
D F U' D F2 U' F2
F U2 B2 D L2 U L2
D2 F D U' F U' F'
D F U2 D2 R2 D' F2
L2 F D L2 F U2 F
F' D L2 U' L2 R2 U'
F' D L2 U' R2 L2 U'
F' D L2 U2 D F2 B2
F' D L2 U2 D B2 F2
F' D L2 D U2 F2 B2
F' D L2 D U2 B2 F2
F' D L2 D' F2 B2 U2
F' D L2 D' B2 F2 U2
F2 D L2 D F' U2 F'
F2 D L2 D' F' B2 U2
D' F D' U' F2 U' F2
F2 D L2 D' B2 F' U2
D2 F D' U' F U' F'
F2 D L2 F' U' L2 U'
F2 D L2 F' U2 D F2
F2 D L2 F' D U2 F2
F2 D L2 F' D' B2 U2
D F D U' F2 U' F2
U F D L2 U F' U
R F U2 B2 U L B2
D' F D2 L2 U' L2 U'
D' F D2 L2 U2 D F2
D' F D2 L2 D U2 F2
