B L' U' D' R2 B'
B L' U' D' B' R2
B L' U2 B2 U B
B L' D' U' R2 B'
B L' D' U' B' R2
B L' D2 F2 U' B'
L' D' B U' R' B2
L2 F L B U' B2
B D' L' U' R2 B'
B D' L' U' R2 B'
B D' L' U' B' R2
B D2 L' F2 U' B'
B L' D2 F2 U' D B'
B L' D2 F2 U' D' B'
B L' D2 F2 U' D2 B'
B L' D2 F2 U' B' D
B L' D2 F2 U' B' D'
B L' D2 F2 U' B' D2
B L' D2 F2 D U' B'
B L' D2 F2 D' U' B'
B L' D2 F2 D2 U' B'
B L' F U' D' R2 B'
B L' F U' D' B' R2
B L' F U2 B2 U B
B L' F D' U' R2 B'
B L' F D' U' B' R2
B L' F D2 F2 U' B'
B L' F' U' D' R2 B'
B L' F' U' D' B' R2
B L' F' U2 B2 U B
B L' F' D' U' R2 B'
B L' F' D' U' B' R2
B L' F' D2 F2 U' B'
B L' F2 U' D' R2 B'
B L' F2 U' D' B' R2
B L' F2 U2 B2 U B
B L' F2 D' U' R2 B'
B L' F2 D' U' B' R2
B L' F2 D2 F2 U' B'
U L' B U2 L B' U
B' L' B2 U' D' B R2
B' L' B2 U2 B2 U B'
B' L' B2 D' U' B R2
B' L' B2 D2 F2 U' B
B' L2 U2 L B2 U' B
D2 L2 F L B U' B2
D' L2 F L B U' B2
U' L2 F L B R U'
D L2 F L B U' B2
L U L2 B U' B2 R'
L2 U F L B U' B2
B R L' U' D' R2 B'
B R L' U' D' B' R2
B R L' U2 B2 U B
B R L' D' U' R2 B'
B R L' D' U' B' R2
B R L' D2 F2 U' B'
B R D' L' U' R2 B'
B R D' L' U' B' R2
B R D2 L' F2 U' B'
L2 U' F L B U' B2
B R' L' U' D' R2 B'
B R' L' U' D' B' R2
B R' L' U2 B2 U B
B R' L' D' U' R2 B'
B R' L' D' U' B' R2
B R' L' D2 F2 U' B'
B R' D' L' U' R2 B'
B R' D' L' U' B' R2
B R' D2 L' F2 U' B'
B2 R' B' L' U' B' R'
L2 U2 F L B U' B2
B R2 L' U' D' R2 B'
B R2 L' U' D' B' R2
B R2 L' U2 B2 U B
B R2 L' D' U' R2 B'
B R2 L' D' U' B' R2
B R2 L' D2 F2 U' B'
L U2 B L2 U' B' R'
B R2 D' L' U' R2 B'
B R2 D' L' U' B' R2
B R2 D2 L' F2 U' B'
B2 R2 B' L' F' U' B'
L' D F' B U' R B2
L' D F' B U' B2 R
L' D B F' U' R B2
L' D B F' U' B2 R
L2 D' F L B R' U'
L' D' F B U' R' B2
L' D' F' B U' R' B2
L' D' F2 B U' R' B2
L' D' B R U' R2 B2
L' D' B R U' B2 R2
L' D' B R2 U' R B2
L' D' B R2 U' B2 R
L' D' B U' R B2 R2
L' D' B U' R' B2 D
L' D' B U' R' B2 D'
L' D' B U' R' B2 D2
L' D' B U' R2 B2 R
L' D' B D' R2 U' R
L' D' B F U' R' B2
L' D' B F' U' R' B2
L' D' B F2 U' R' B2
B' U2 L' R B2 U' B'
B' U2 L' B2 R U' B
B' U2 R L' B2 U' B'
L' D2 B R F' U' B2
L2 F L U' B' D L2
L2 F L D B U' B2
L2 F L D' B U' B2
L2 F L D2 B U' B2
L2 F L B R U' B2
L2 F L B R' U' B2
L2 F L B R2 U' B2
L2 F L B U' B2 D
L2 F L B U' B2 D'
L2 F L B U' B2 D2
L2 F L B D' R2 U'
L2 F L' B L2 U' B'
L2 F L2 B L' U' B'
B' U2 B2 L' R U' B
B' U2 B2 R L' U' B
B U2 B2 U2 L' U' B'
B D L' F2 U' R B'
B D L' F2 U' B' R
L2 F D' L B R' U'
L' F D' B U' R' B2
L2 F' L F2 B U' B2
L2 F' L B F2 U' B2
B D' L' R U' R B'
B D' L' R U' B' R
B D' L' R' U' R' B'
B D' L' U' R B' R
B D' L' U' R2 D B'
B D' L' U' R2 D' B'
B D' L' U' R2 D2 B'
B D' L' U' R2 B' D
B D' L' U' R2 B' D'
B D' L' U' R2 B' D2
B D' L' U' B R2 B2
B D' L' U' B' R2 D
B D' L' U' B' R2 D'
B D' L' U' B' R2 D2
B D' L' D' F2 U' B'
B D' L' F U' R2 B'
B D' L' F U' B' R2
B D' L' F' U' R2 B'
B D' L' F' U' B' R2
B D' L' F2 U' R2 B'
B D' L' F2 U' B' R2
L' F' D' B U' R' B2
B D' R L' U' R B'
B D' R L' U' B' R
B D' R' L' U' R' B'
L2 F2 L F' B U' B2
L2 F2 L B F' U' B2
B D2 L' R F2 U' B'
B D2 L' R' F2 U' B'
B D2 L' R2 F2 U' B'
B D2 L' U' D R2 B'
B D2 L' U' D B' R2
B D2 L' U' B' D R2
B D2 L' D U' R2 B'
B D2 L' D U' B' R2
B D2 L' F2 R U' B'
B D2 L' F2 R' U' B'
B D2 L' F2 R2 U' B'
B D2 L' F2 U' D B'
B D2 L' F2 U' D' B'
B D2 L' F2 U' D2 B'
B D2 L' F2 U' B' D
B D2 L' F2 U' B' D'
B D2 L' F2 U' B' D2
B D2 L' F2 D U' B'
B D2 L' F2 D' U' B'
B D2 L' F2 D2 U' B'
L' F2 D' B U' R' B2
B D2 L2 F2 L U' B'
B D2 R L' F2 U' B'
B D2 R' L' F2 U' B'
B D2 R2 L' F2 U' B'
D2 B L' U' D' R2 B'
D2 B L' U' D' B' R2
D' B L' U' D' R2 B'
D' B L' U' D' B' R2
D2 B L' U2 B2 U B
D' B L' U2 B2 U B
D2 B L' D' U' R2 B'
D2 B L' D' U' B' R2
D' B L' D' U' R2 B'
D' B L' D' U' B' R2
D2 B L' D2 F2 U' B'
D' B L' D2 F2 U' B'
L' B L' F L U' B2
L B L F L U' B'
D B L' U' D' R2 B'
D B L' U' D' B' R2
D B L' U2 B2 U B
D B L' D' U' R2 B'
D B L' D' U' B' R2
D B L' D2 F2 U' B'
U B L' U' D' R2 B2
U B L' U' D' B2 R2
U B L' U2 L2 B2 U
B' D2 F2 L' R U B'
U B L' U2 B2 L2 U
U B L' D' U' R2 B2
B' D2 F2 R L' U B'
U B L' D' U' B2 R2
U B L' D2 R2 F2 U'
U B L' D2 F2 R2 U'
B D2 F2 U2 R U B
L' B U' B D' B R'
L' B U2 L B' U B'
D2 B D' L' U' R2 B'
D2 B D' L' U' B' R2
D' B D' L' U' R2 B'
D' B D' L' U' B' R2
D2 B D2 L' F2 U' B'
D' B D2 L' F2 U' B'
D B D' L' U' R2 B'
D B D' L' U' B' R2
D B D2 L' F2 U' B'
F2 B U2 R B2 U B'
F2 B U2 B2 R U B
F2 B D2 F2 L' U' B'
U2 B' U2 L' B2 U' B
U2 B' U2 B2 L' U' B'
U B' U2 L' R' B2 U'
U B' U2 R' L' B2 U'
U B' U2 R' B2 L' U'
U2 B' D2 F2 R U B
L' B2 D' B' U' B2 R'
B F2 U2 R B2 U B'
B F2 U2 B2 R U B
B F2 D2 F2 L' U' B'
