B L' R2 D F2
B R2 L' D F2
U' L F L2 B R2
U' L F L2 B R2
U' L F B L2 R2
U' L F B R2 L2
U' L B R2 F L2
U' L B F L2 R2
U' L B F R2 L2
B L' R D R F2
B L' R' D R' F2
B L' R' D F2 R'
B L' R2 U L2 U'
B L' R2 D F2 D
B L' R2 D F2 D'
B L' R2 D F2 D2
B L' R2 F D F2
B L' R2 F' D F2
B L' R2 F2 D F2
B L' U L2 U' R2
B L' D F2 D' R2
B L' F R2 D F2
B L' F' R2 D F2
B L' F2 R2 D F2
U' L' B R2 D2 F2
U L' B R' F' R'
U' L' B2 R2 F' B'
U' L' B2 R2 B' F'
B R L' D R F2
B R L' D R F2
L2 U' L F B R2
L2 U' L B R2 F
L2 U' L B F R2
B R' L' D R' F2
B R' L' D F2 R'
B' R' U L' R' B2
B' R' U R' L' B2
B' R' U R' B2 L'
B R2 L' U L2 U'
B R2 L' D F2 D
B R2 L' D F2 D'
B R2 L' D F2 D2
B R2 L' F D F2
B R2 L' F' D F2
B R2 L' F2 D F2
B R2 U L U' L2
B2 R2 D B' L' F
B R2 D L' D F2
B R2 D' L' D F2
B R2 D2 L' D F2
B2 R2 B' L' D F2
B U L U' L2 R2
B U L U' R2 L2
B D' L' D R2 F2
B D' L' D F2 R2
B D2 L' D F2 R
U' B L R2 F L2
U' B L F L2 R2
U' B L F R2 L2
D2 B L' D F2 R
D' B L' D R2 F2
D' B L' D F2 R2
L' B R2 U L U'
L' B U L U' R2
U B L' R' F' R'
U' B R2 L F L2
U B R' L' F' R'
U B R2 D2 L' F
U' B' L' B2 R2 F'
B R2 L' D' F D2 F2
B R2 L' D' F' D2 F2
B R2 L' D' F2 D2 F2
B R2 L' D2 U' R2 U
B R2 L' D2 F D' F2
B R2 L' D2 F' D' F2
B R2 L' D2 F2 D' F2
B R2 L' F U L2 U'
B R2 L' F D F2 D
B R2 L' F D F2 D'
B R2 L' F D F2 D2
B R2 L' F' U L2 U'
B R2 L' F' D F2 D
B R2 L' F' D F2 D'
B R2 L' F' D F2 D2
B R2 L' F2 U L2 U'
B R2 L' F2 D F2 D
B R2 L' F2 D F2 D'
B R2 L' F2 D F2 D2
B R2 L' B D F2 B'
B R2 L' B D B' F2
B R2 L' B' D F2 B
B R2 L' B' D B F2
B R2 L2 U L' U' L2
B R2 L2 D L D F2
B R2 L2 D' L D F2
B R2 L2 D2 L D F2
B R2 U L U' L2 D
B R2 U L U' L2 D'
B R2 U L U' L2 D2
B R2 U L D' B2 U'
B R2 U L B U' L2
B R2 U L B' U' L2
B R2 U L B2 U' L2
B R2 U D L U' L2
B R2 U D' L U' L2
B R2 U D2 L U' L2
B' R2 U' R U L' B2
B' R2 U' R U B2 L'
B R2 D L' U L2 U'
B R2 D L' D F2 D
B R2 D L' D F2 D'
B R2 D L' D F2 D2
B R2 D L' F D F2
B R2 D L' F' D F2
B R2 D L' F2 D F2
B2 R2 D B L' F B2
B2 R2 D B L' B2 F
B2 R2 D B' L' D F
B2 R2 D B' L' D' F
B2 R2 D B' L' D2 F
B2 R2 D B' L' F D
B2 R2 D B' L' F D'
B2 R2 D B' L' F D2
B R2 D U L U' L2
B2 R2 D B2 L' F B
B2 R2 D B2 L' B F
B R2 D' L' U L2 U'
B R2 D' L' D F2 D
B R2 D' L' D F2 D'
B R2 D' L' D F2 D2
B R2 D' L' F D F2
B R2 D' L' F' D F2
B R2 D' L' F2 D F2
B R2 D' U L U' L2
B2 R2 D' B' D2 L' F
B R2 D2 L' U L2 U'
B R2 D2 L' D F2 D
B R2 D2 L' D F2 D'
B R2 D2 L' D F2 D2
B R2 D2 L' F D F2
B R2 D2 L' F' D F2
B R2 D2 L' F2 D F2
B R2 D2 U L U' L2
B2 R2 D2 B' D' L' F
U R2 D2 L' F D2 B2
B R2 F2 L' D F2 L'
B2 R2 B' L' U L2 U'
B2 R2 B' L' D F2 D
B2 R2 B' L' D F2 D'
B2 R2 B' L' D F2 D2
B2 R2 B' L' F D F2
B2 R2 B' L' F' D F2
B2 R2 B' L' F2 D F2
B R2 B D B' L' F
B2 R2 B' U L U' L2
B2 R2 B' D L' D F2
B2 R2 B' D' L' D F2
B2 R2 B' D2 L' D F2
B' R2 B2 L' U' R U
B' R2 B2 U' R U L'
B U L U' L2 R2 D
B U L U' L2 R2 D'
B U L U' L2 R2 D2
B U L U' R2 L2 D
B U L U' R2 L2 D'
B U L U' R2 L2 D2
B U L D' F2 B2 U'
B U L D' B2 F2 U'
B U L F U' L2 R2
B U L F U' R2 L2
B U L F' U' L2 R2
B U L F' U' R2 L2
B U L F2 U' L2 R2
B U L F2 U' R2 L2
B U L B U' L2 R2
B U L B U' R2 L2
B U L B' U' L2 R2
B U L B' U' R2 L2
B U L B2 U' L2 R2
B U L B2 U' R2 L2
B U L' R2 D F2 B2
B U L' R2 D B2 F2
D2 U L2 U2 L F B
D2 U L2 U2 L B F
B' U R' U L' R' B2
B' U R' U R' L' B2
B' U R' U R' B2 L'
B2 U R2 D B' L' F
B U R2 L' D F2 B2
B U R2 L' D B2 F2
B2 U R2 B' L' D F2
B U D' L F2 U' L2
B2 U B' L' R2 D F2
B2 U B' R2 L' D F2
B' U B2 L' R2 D F2
B' U B2 R2 L' D F2
D2 U' L' B D2 F2 R
F' U' L F L' B R2
F' U' L F B L' R2
F' U' L F B R2 L'
F' U' L B R2 F L'
F' U' L B F L' R2
F' U' L B F R2 L'
L2 D' F2 U' L F B
L2 D' F2 U' L B F
B' U' R' U L' R' B2
B' U' R' U R' L' B2
B' U' R' U R' B2 L'
L' D' B U L F2 U'
L' D' B U F2 L U'
B2 U' R2 D B' L' F
B2 U' R2 B' L' D F2
B U' D B2 R' U L'
U' D2 L' B D2 F2 R
F' U' B L R2 F L'
F' U' B L F L' R2
F' U' B L F R2 L'
F' U' B R2 L F L'
B2 U' B' L' R2 D F2
B2 U' B' R2 L' D F2
F2 U' B' R2 B2 L F
U D2 L2 U2 L F B
U D2 L2 U2 L B F
B' U' B2 L' R2 D F2
B' U' B2 R2 L' D F2
B U' B2 R' U L' R'
B U' B2 R' U R' L'
B' U2 R' U L' R' B2
B' U2 R' U R' L' B2
B' U2 R' U R' B2 L'
B2 U2 R2 D B' L' F
B2 U2 R2 B' L' D F2
B2 U2 B' L' R2 D F2
B2 U2 B' R2 L' D F2
B' U2 B2 L' R2 D F2
B' U2 B2 R2 L' D F2
L2 F U' L F B R2
L2 F U' L B R2 F
L2 F U' L B F R2
B D L' D F2 D2 R2
B D L' D' R2 D2 F2
U F U2 B L R2 F
U F U2 B L F R2
U F U2 B R2 L F
B' D R' B2 L2 U L
L' F B R2 U L U'
L' F B U L U' R2
U F B R' F' L' R'
U F B R' F' R' L'
U' F' L F L' B R2
U' F' L F B L' R2
U' F' L F B R2 L'
U' F' L B R2 F L'
U' F' L B F L' R2
U' F' L B F R2 L'
B D U' B2 R' U L'
B2 D B2 U L' F B
B2 D B2 U L' B F
B2 D B2 U B L' F
L2 F' U' L F B R2
L2 F' U' L B R2 F
L2 F' U' L B F R2
B D B2 R' U L' B2
B D B2 R' U B2 L'
B D' L' R D R2 F2
B D' L' R D F2 R2
B D' L' R' D R2 F2
B D' L' R' D F2 R2
B D' L' R2 D R2 F2
B D' L' R2 D F2 R2
B D' L' U L2 F2 U'
B D' L' U F2 L2 U'
B D' L' D R' F2 R'
B D' L' D R2 F2 D
B D' L' D R2 F2 D'
B D' L' D R2 F2 D2
B D' L' D F R2 F
B D' L' D F2 R2 D
B D' L' D F2 R2 D'
B D' L' D F2 R2 D2
U' F' B L R2 F L'
U' F' B L F L' R2
U' F' B L F R2 L'
B D' R L' D R2 F2
B D' R L' D F2 R2
U' F' B R2 L F L'
L' F' B R2 U L U'
L' F' B U L U' R2
B D' R' L' D R2 F2
B D' R' L' D F2 R2
B D' R2 L' D R2 F2
B D' R2 L' D F2 R2
B D' U L F2 U' L2
L2 F2 U' L F B R2
L2 F2 U' L B R2 F
L2 F2 U' L B F R2
B D2 L' R D F2 R
B D2 L' R' D F2 R
B D2 L' R2 D F2 R
B D2 L' D R F2 R
B D2 L' D R' F2 R
B D2 L' D R2 F2 R
B D2 L' D F2 R D
B D2 L' D F2 R D'
B D2 L' D F2 R D2
B D2 L' D F2 D R
B D2 L' D F2 D' R
B D2 L' D F2 D2 R
B D2 L' F2 R D F2
B D2 L' F2 D R F2
B D2 R L' D F2 R
L' F2 B R2 U L U'
L' F2 B U L U' R2
U' F2 B' R2 B2 L F
B D2 R' L' D F2 R
B D2 R2 L' D F2 R
U' B L R' F L2 R'
U' B L R' F R' L2
U' B L R2 F L2 D
U' B L R2 F L2 D'
U' B L R2 F L2 D2
U' B L R2 F' L2 F2
U' B L R2 F2 L2 F'
U' B L F L2 R2 D
U' B L F L2 R2 D'
U' B L F L2 R2 D2
U' B L F R2 L2 D
U' B L F R2 L2 D'
U' B L F R2 L2 D2
U' B L F' L2 R2 F2
U' B L F' L2 F2 R2
U' B L F' R2 L2 F2
U' B L F' R2 F2 L2
U' B L F2 L2 F' R2
U' B L' R2 U2 B' U2
D2 B L' R D F2 R
D' B L' R D R2 F2
D' B L' R D F2 R2
D2 B L' R' D F2 R
U' B L' U2 B' U2 R2
D' B L' R' D R2 F2
D' B L' R' D F2 R2
D2 B L' R2 D F2 R
D' B L' R2 D R2 F2
D' B L' R2 D F2 R2
D' B L' U L2 F2 U'
D' B L' U F2 L2 U'
L' B L' R2 D L F2
L' B L' R2 D F2 L
D2 B L' D R F2 R
D2 B L' D R' F2 R
D2 B L' D R2 F2 R
D2 B L' D F2 R D
D2 B L' D F2 R D'
D2 B L' D F2 R D2
D2 B L' D F2 D R
D2 B L' D F2 D' R
D2 B L' D F2 D2 R
D' B L' D R' F2 R'
D' B L' D R2 F2 D
D' B L' D R2 F2 D'
D' B L' D R2 F2 D2
D' B L' D F R2 F
D' B L' D F2 R2 D
D' B L' D F2 R2 D'
D' B L' D F2 R2 D2
U' B L' B2 R2 F' B2
U' B L' B2 R2 B2 F'
D2 B L' F2 R D F2
D2 B L' F2 D R F2
U B L R' F' L2 R'
U B L R' F' R' L2
D2 B R L' D F2 R
D' B R L' D R2 F2
D' B R L' D F2 R2
U B L' R' D F' R'
U B L' R' D' F' R'
U B L' R' D2 F' R'
U B L' R' F R' F2
U B L' R' F' R' D
U B L' R' F' R' D'
U B L' R' F' R' D2
U B L' R' F' D R'
U B L' R' F' D' R'
U B L' R' F' D2 R'
U B L' R' F2 R' F
L B L' R2 D L' F2
L' B R U L U' R
U B L' F R' F' R'
U' B R' L F L2 R'
U' B R' L F R' L2
U B L' F' R' F' R'
U B L' F2 R' F' R'
D2 B R' L' D F2 R
D' B R' L' D R2 F2
D' B R' L' D F2 R2
L B L2 R2 U L' U'
U B L2 R' F' L R'
U B L2 R' F' R' L
L B L2 U L' U' R2
L' B R' U L U' R'
