B2 L U2 F' B' U'
B2 L U2 B' F' U'
L U2 F' R' B' U'
U2 D2 F' R' B U'
D2 U2 F' R' B U'
L' F U2 R' F2 U'
L' F U2 F2 R' U'
L' F D2 B2 L U
U2 F' D2 R' B U'
U2 F2 D R' F U' L'
L F2 U2 R' F B' U'
L F2 U2 R' B' F U'
U2 F2 D F R' U' L'
L F2 U2 F R' B' U'
U2 F2 D2 R' F B U'
U2 F2 D2 R' B F U'
U2 F2 D2 F R' B U'
F' D2 R' B U2 R U
R2 F2 B L' R2 F U
R2 F2 B L' F R2 U
R2 F2 B R2 L' F U
F2 D2 U2 R' F B U'
F2 D2 U2 R' B F U'
F2 D2 U2 F R' B U'
B2 F L U2 F2 B' U'
B2 F L U2 B' F2 U'
B2 F L' F L2 B' U
R2 B F2 L' R2 F U
R2 B F2 L' F R2 U
R2 B F2 R2 L' F U
F2 B' L2 B' L F U
D' B2 L U2 F' U' L'
L2 B2 L F U D R2
L2 B2 L F U2 F2 U'
L2 B2 L F D U R2
L2 B2 L F D2 B2 U
L B2 L U2 F' B U'
L B2 L U2 B F' U'
F B2 L U2 F2 B' U'
F B2 L U2 B' F2 U'
B' F2 L2 B' L F U
F B2 L' F L2 B' U
L' B2 F L U D R2
L' B2 F L U2 F2 U'
L' B2 F L D U R2
L' B2 F L D2 B2 U
L' B2 F D L U R2
L' B2 F D2 L B2 U
