B' L D' F B2 U
B' L D' B2 F U
B' L D2 F U R2
B' L F U D2 R2
B' L F U' L2 U2
B' L F D' B2 U
B' L F D2 U R2
U' D L' F R U2
D U' L' F R U2
L D2 F L' U R2
B' F L F U R
F B' L F U R
B2 F2 U R B L
F2 B2 U R B L
B' L B2 F U' L2 U2
B' L B2 F D' B2 U
B' L B2 F D2 U R2
F L B2 F U R B
B' L' U L2 F U F'
U' L' U' R B R' U'
U' L' U2 D B L B'
B L' U2 R' B' U' R
U' L' D U2 B L B'
U' L' D' R F' U2 L'
U' L' D' R' U2 B L
U' L' D' F R F' U2
U' L' F D' R F' U2
B' L2 B2 L' F U R'
L2 U D' B2 R' B L
U' R D L' F R U2
U2 R F2 B R' U' R2
U2 R B R' U L' U2
U2 R B R' F2 U' R
U2 R B F2 R' U' R2
U' R' D L' F R U2
B R' F2 L' B' U' R
L' U2 B R' B2 U' R
U' R2 D L' F R U2
U' D L' R F R U2
U' D L' R' F R U2
U' D L' R2 F R U2
U' D L' D F R U2
U' D L' D' F R U2
U' D L' D2 F R U2
U' D L' F R U2 D
U' D L' F R U2 D'
U' D L' F R U2 D2
U' D L' F R D U2
U' D L' F R D' U2
U' D L' F R D2 U2
U' D L' F D R U2
U' D L' F D' R U2
U' D L' F D2 R U2
D U L B L B2 R'
U D L B L B2 R'
D U L' F U2 F' L'
U D L' F U2 F' L'
U' D R L' F R U2
F2 U R D B L B'
B2 U R B L D2 R2
U' D R' L' F R U2
D' U R' B L D2 R2
U' D R2 L' F R U2
F2 U R2 D' R' B L
F2 U D R B L B'
F2 U D B L R B'
F2 U D B L B' R
F2 U D B R L B'
F2 U D' R' B L R2
F2 U D' R' B R2 L
D U B L D2 R2 B'
D U B L D2 B' R2
D U B L B' D2 R2
U D B L D2 R2 B'
U D B L D2 B' R2
U D B L B' D2 R2
B2 U F2 R F2 B L
B2 U F2 R B L F2
B2 U F2 R B F2 L
F2 U B L R D B2
F2 U B R L D B2
F2 U B R D L B2
D' U' L' R F' U2 L'
U' D' L' R F' U2 L'
U' D' L' R' U2 B L
D' U' L' R' U2 B L
U' D' L' F R F' U2
D' U' L' F R F' U2
D U' L' R F R U2
D U' L' R' F R U2
D U' L' R2 F R U2
L2 D' U B2 R' B L
D U' L' D F R U2
D U' L' D' F R U2
D U' L' D2 F R U2
D U' L' F R U2 D
D U' L' F R U2 D'
D U' L' F R U2 D2
D U' L' F R D U2
D U' L' F R D' U2
D U' L' F R D2 U2
D U' L' F D R U2
D U' L' F D' R U2
D U' L' F D2 R U2
U' D' R L' F' U2 L'
D' U' R L' F' U2 L'
B2 U' L F L2 R U2
B2 U' L F R L2 U2
U' D' R' L' U2 B L
D' U' R' L' U2 B L
D U' R L' F R U2
B2 U' L' U2 B L B2
B2 U' L' F R U2 B'
B2 U' L' F' U2 B' L'
D U' R' L' F R U2
D' U' F R F' L' U2
U' D' F R F' L' U2
D U' R2 L' F R U2
U D' R' B L D2 R2
L D' B2 D' F L' U
L D2 F L' U R2 D
L D2 F L' U R2 D'
L D2 F L' U R2 D2
L D2 F L' D B2 U
L D2 F L' B U R2
L D2 F L' B' U R2
L D2 F L' B2 U R2
L D2 F D L' B2 U
L D2 F D B2 L' U
D2 U2 F2 U' R B L
L D2 F B L' U R2
L D2 F B' L' U R2
L D2 F B2 L' U R2
U2 D2 F2 U' R B L
F2 U2 R B R' U' R
L D2 B F L' U R2
D2 F L F L2 U R
L D2 B' F L' U R2
D2 F L' U2 B' U' R'
L D2 B2 F L' U R2
D F L F U R B'
D F L F U B' R
B' D L D' F B2 U
B' D L D' B2 F U
B' D L D2 F U R2
B' D L F U D2 R2
B' D L F U' L2 U2
B' D L F D' B2 U
B' D L F D2 U R2
F D L F U R B'
F D L F U B' R
U' F D' R F' L' U2
F2 D U R B L B'
F2 D U B L R B'
F2 D U B L B' R
F2 D U B R L B'
L F B D' B2 L U
L F B' L U' L U2
L F B' L B2 U R'
L F B' D' L B2 U
L F B' D2 L U R2
B' D F L F U R
B2 D F2 U R B L
B' D' L D' F B2 U
B' D' L D' B2 F U
B' D' L D2 F U R2
B' D' L F U D2 R2
B' D' L F U' L2 U2
B' D' L F D' B2 U
B' D' L F D2 U R2
F2 D' U R' B L R2
F2 D' U R' B R2 L
B' D' F L F U R
B2 D' F2 U R B L
U2 F2 R B R' U' R
D' F2 U R' B L R2
D' F2 U R' B R2 L
D F2 U R B L B'
B' D2 L D' F B2 U
B' D2 L D' B2 F U
B' D2 L D2 F U R2
B' D2 L F U D2 R2
B' D2 L F U' L2 U2
B' D2 L F D' B2 U
B' D2 L F D2 U R2
D F2 U B L R B'
D F2 U B L B' R
D F2 U B R L B'
F D2 L F L' U R
B' D2 F L F U R
B2 D2 F2 U R B L
B' F L D F U R
B' F L D' F U R
B' F L D2 F U R
B' F L F U R D
B' F L F U R D'
B' F L F U R D2
B' F L F U D R
B' F L F U D' R
B' F L F U D2 R
B' F L F D U R
B' F L F D' U R
B' F L F D2 U R
B' F L F B U R
B' F L F B' U R
B' F L F B2 U R
B' F L B F U R
B' F L B' F U R
B' F L B2 F U R
L' B U2 R' B2 U' R
B2 F L F U R B
D B U' L' F R U2
L B D' F B2 L U
L B D' B2 F L U
L' B' L U' L' U2 L
L B F D' B2 L U
B' F D L F U R
B' F D' L F U R
B' F D2 L F U R
B' F' L F U' L' U2
F' B' L F U' L' U2
F B' L D F U R
F B' L D' F U R
F B' L D2 F U R
F B' L F U R D
F B' L F U R D'
F B' L F U R D2
F B' L F U D R
F B' L F U D' R
F B' L F U D2 R
F B' L F D U R
F B' L F D' U R
F B' L F D2 U R
F B' L F B U R
F B' L F B' U R
F B' L F B2 U R
F B' L B F U R
F B' L B' F U R
F B' L B2 F U R
D B' U' L' F R U2
L B' D' F L B2 U
L B' D2 F L U R2
L B' F L U' L U2
L B' F L B2 U R'
B' F' D' L F B' U
B' F' D' L B' F U
L B' F D' L B2 U
L B' F D2 L U R2
F' B' D' L F B' U
F' B' D' L B' F U
F B' D L F U R
F B' D' L F U R
F B' D2 L F U R
F B2 L F U R B
D B2 U' L' F R U2
B2 F2 U L R B L
B2 F2 U L' R B L
B2 F2 U L2 R B L
F2 B2 U L R B L
B2 F2 U R L B L
B2 F2 U R L' B L
B2 F2 U R L2 B L
F2 B2 U L' R B L
B2 F2 U R D B L
B2 F2 U R D' B L
B2 F2 U R D2 B L
B2 F2 U R B L D
B2 F2 U R B L D'
B2 F2 U R B L D2
B2 F2 U R B D L
B2 F2 U R B D' L
B2 F2 U R B D2 L
F2 B2 U L2 R B L
F2 B2 U R L B L
F2 B2 U R L' B L
F2 B2 U R L2 B L
F2 B2 U R D B L
F2 B2 U R D' B L
F2 B2 U R D2 B L
F2 B2 U R B L D
F2 B2 U R B L D'
F2 B2 U R B L D2
F2 B2 U R B D L
F2 B2 U R B D' L
F2 B2 U R B D2 L
B2 F2 U D R B L
B2 F2 U D' R B L
B2 F2 U D2 R B L
F2 B2 U D R B L
F2 B2 U D' R B L
F2 B2 U D2 R B L
B2 F2 U B L R B
B2 F2 U B R L B
F2 B2 U B L R B
F2 B2 U B R L B
B2 F2 D U R B L
F2 B2 D U R B L
B2 F2 D' U R B L
F2 B2 D' U R B L
B2 F2 D2 U R B L
F2 B2 D2 U R B L
