B D L2 R2 F' U'
B D L2 R2 F' U'
B D R2 L2 F' U'
B D R2 F' L2 U'
B D R2 F' L2 D' U'
B D R2 F' L2 D2 U'
B D R2 F' U' D F2
B D R2 F' D U' F2
B2 D U2 R2 B' U' F'
B D F L2 R2 F' U'
B D F R2 L2 F' U'
B D F R2 F' L2 U'
B D F' L2 R2 F' U'
B D F' R2 L2 F' U'
B D F' R2 F' L2 U'
B D F2 L2 R2 F' U'
B D F2 R2 L2 F' U'
B D F2 R2 F' L2 U'
F2 D B' L2 U' B2 U'
F2 D B' L2 U2 D L2
F2 D B' L2 D U2 L2
F2 D B' L2 D' R2 U2
B2 D' L2 R2 F U F2
B2 D' L2 F R2 U F'
B2 D' L2 F U' B U2
B' D' R2 U B' L2 U
B2 D' R2 L2 F U F2
R2 F' B2 R2 U F' B
R2 F' B2 R2 U B F'
R2 F' B2 U' F' B U2
R2 F' B2 U' B F' U2
B D' U2 L2 B R2 U
B D' U2 B L2 R2 U
B D' U2 B R2 L2 U
D2 F2 L2 B U' F B
D2 F2 L2 B U' B F
B D' B L2 R2 F U
B D' B L2 F R2 U
B D' B R2 L2 F U
F2 D' B' U' B2 U' R2
F2 D' B' U2 R2 D L2
R F2 D B' L2 U2 L'
D2 F2 B U B2 U2 B'
D2 F2 B U' D2 F2 B
D2 F2 B U' D2 B F2
D2 F2 B D L2 U' B
D2 F2 B D2 U' F2 B
D2 F2 B D2 U' B F2
B' D2 U F2 B' U B'
B' D2 U B' F2 U B'
R2 F2 B' U F B' U
R2 F2 B' U B' F U
B D2 R2 F' U' F' B2
B D2 R2 F' U' B2 F'
B D2 U2 B U F2 B
B D2 U2 B U B F2
F2 D2 B' U' F2 B2 U'
F2 D2 B' U' B2 F2 U'
F2 D2 B' U2 D L2 R2
F2 D2 B' U2 D R2 L2
D B R2 U L2 B2 U2
D B R2 U B2 L2 U2
F2 D2 B' D U2 L2 R2
F2 D2 B' D U2 R2 L2
D B R2 U' D2 R2 F2
D B R2 U' D2 F2 R2
F2 D2 B' D' L2 R2 U2
F2 D2 B' D' R2 L2 U2
D B R2 D L2 F2 U'
D B R2 D F2 L2 U'
D B R2 D2 U' R2 F2
D B R2 D2 U' F2 R2
D2 B U' B D R2 F'
U' B D L2 R2 F' U'
U' B D R2 L2 F' U'
U' B D R2 F' L2 U'
D2 B D L2 U' B R2
U2 B D L2 R2 F' U'
U2 B D R2 L2 F' U'
U2 B D R2 F' L2 U'
L2 B D R2 F' U' F2
D B D L2 F2 U' B2
D B D F2 L2 U' B2
U B D L2 R2 F' U'
U B D R2 L2 F' U'
U B D R2 F' L2 U'
D2 B F2 U B2 U2 B'
D2 B F2 U' D2 F2 B
D2 B F2 U' D2 B F2
D2 B F2 D L2 U' B
D2 B F2 D2 U' F2 B
D2 B F2 D2 U' B F2
D B' L2 U' R2 B2 U'
D B' L2 U' B2 R2 U'
D B' L2 U2 D L2 B2
D B' L2 U2 D B2 L2
D B' L2 D U2 L2 B2
D B' L2 D U2 B2 L2
D B' L2 D' R2 F2 U2
D B' L2 D' F2 R2 U2
D2 B' U' F2 B2 U' B
F2 B' L2 U' F B2 U'
F2 B' L2 U' B2 F U'
D2 B' U' B2 F2 U' B
D2 B' U2 D R2 B' L2
D2 B' U2 D B' L2 R2
D2 B' U2 D B' R2 L2
D2 B' D U2 R2 B' L2
D2 B' D U2 B' L2 R2
D2 B' D U2 B' R2 L2
D2 B' D B' L2 R2 F'
D2 B' D B' R2 L2 F'
D2 B' D B' R2 F' L2
D2 B' D' L2 R2 F U2
D2 B' D' L2 F R2 U2
D2 B' D' R2 L2 F U2
F2 B' U D B' U L2
F2 B' U D2 F2 B' U
F2 B' U D2 B' F2 U
F2 B' U B' U2 B' U'
F2 B' U' B2 U2 B U
F2 B' D U B' U L2
R2 B' F2 U F B' U
R2 B' F2 U B' F U
F2 B' D' R2 U B' U
F2 B' D2 U F2 B' U
F2 B' D2 U B' F2 U
D' B2 L2 F U R2 F'
B' F2 L2 U' F B2 U'
B' F2 L2 U' B2 F U'
R' B2 U' F2 B U2 L
R' B2 U' B F2 U2 L
B' F2 U D B' U L2
B' F2 U D2 F2 B' U
B' F2 U D2 B' F2 U
B' F2 U B' U2 B' U'
B' F2 U' B2 U2 B U
B' F2 D U B' U L2
B' F2 D' R2 U B' U
B' F2 D2 U F2 B' U
B' F2 D2 U B' F2 U
R2 B2 F' R2 U F' B
R2 B2 F' R2 U B F'
R2 B2 F' U' F' B U2
R2 B2 F' U' B F' U2
