D' U B' L R' F
D' U B' L F R'
D' U B' R' L F
U D' B' L R' F
U D' B' L F R'
U D' B' R' L F
U D' B' L D R' F
U D' B' L D F R'
U D' B' L D' R' F
U D' B' L D' F R'
U D' B' L D2 R' F
U D' B' L D2 F R'
U D' B' L F R' D
U D' B' L F R' D'
U D' B' L F R' D2
U D' B' L F D R'
U D' B' L F D' R'
U D' B' L F D2 R'
U D' B' L F' R' F2
U D' B' R L F R2
U D' B' R' L D F
U D' B' R' L D' F
U D' B' R' L D2 F
U D' B' R' L F D
U D' B' R' L F D'
U D' B' R' L F D2
U D' B' R' D L F
U D' B' R' D' L F
U D' B' R' D2 L F
U D' B' R' F L F
U D' B' R' F' L F
U D' B' R' F2 L F
U D' B' D L R' F
U D' B' D L F R'
U D' B' D R' L F
U D' B' D' L R' F
U D' B' D' L F R'
U D' B' D' R' L F
U D' B' D2 L R' F
U D' B' D2 L F R'
U D' B' D2 R' L F
U D' B' F L R' F
U D' B' F L F R'
U D' B' F R' L F
U D' B' F' L R' F
U D' B' F' L F R'
U D' B' F' R' L F
U D' B' F2 L R' F
U D' B' F2 L F R'
U D' B' F2 R' L F
L' F L R U B' R'
D' F R U B' L R'
D' F R U B' R' L
L' F R L U B' R'
L' F R D' B' L U
D2 F R F' U B' R'
L' F R B' L U B'
D F R U B' L' R'
D F R U B' R' L'
L' F D' R B' L U
L' F D' B' L R U
L' F D' B' R L U
U F D' B' L R' F
U F D' B' L F R'
U F D' B' R' L F
L' F B' L R U B'
L' F B' R L U B'
L F B' U2 R U B
F D' R U B' L R'
F D' R U B' R' L
U F' D' B' L R' F
U F' D' B' L F R'
U F' D' B' R' L F
L F' B' L' F2 U' B'
U F2 D' B' L R' F
U F2 D' B' L F R'
U F2 D' B' R' L F
F D2 R F' U B' R'
U2 B L B' U' B' R'
U B' R' D L F L'
L' B' D F L' R U
L' B' D F R L' U
U B' D L R' F L'
U B' D L F L' R'
U B' D L F R' L'
U B' D R' L F L'
L' B' F L R U B'
L' B' F R L U B'
L B' F U2 R U B
L B' F' L' F2 U' B'
