D' L' R2 F B' U2
D' L' R2 B' F U2
D' L' F R2 B' U2
D' L' F B' R2 U2
D' L' B' R2 F U2
D' L' B' F R2 U2
D' R2 L' F B' U2
D' R2 L' B' F U2
D' L' B F R2 B2 U2
D' L' B' R' F R' U2
D' L' B' R2 D F U2
D' L' B' R2 D' F U2
D' L' B' R2 D2 F U2
D' L' B' R2 F U2 D
D' L' B' R2 F U2 D'
D' L' B' R2 F U2 D2
D' L' B' R2 F D U2
D' L' B' R2 F D' U2
D' L' B' R2 F D2 U2
D2 L' B' U L F2 U
D2 L' B' U F2 L U
D' L' B' U2 D2 L2 B'
D L' B' R' U2 L' B
D L' B' R' U2 B L'
D L' B' R2 U2 L' B'
D' L' B' D2 U2 L2 B'
D' L' B' D2 F U2 L2
D' L' B' F R2 U2 D
D' L' B' F R2 U2 D'
D' L' B' F R2 U2 D2
D' L' B' F R2 D U2
D' L' B' F R2 D' U2
D' L' B' F R2 D2 U2
D' L' B' F U2 D2 L2
D' L' B' F D2 U2 L2
D' L' B' F' R2 F2 U2
D' L' B' F2 R2 U2 B
D L' B' F2 R F' U2
D' L' B2 R2 F U2 F2
D' L' B2 F R2 U2 F'
D' R L' B' R F U2
D' R' L' F R' B' U2
D R' L' B' U2 L' B2
D R' L' B' U2 B2 L'
D' R2 L' D F B' U2
D' R2 L' D B' F U2
D' R2 L' D' F B' U2
D' R2 L' D' B' F U2
D' R2 L' D2 F B' U2
D' R2 L' D2 B' F U2
D' R2 L' F D B' U2
D' R2 L' F D' B' U2
D' R2 L' F D2 B' U2
D' R2 L' F B' U2 D
D' R2 L' F B' U2 D'
D' R2 L' F B' U2 D2
D' R2 L' F B' D U2
D' R2 L' F B' D' U2
D' R2 L' F B' D2 U2
D' R2 L' B' D F U2
D' R2 L' B' D' F U2
D' R2 L' B' D2 F U2
D' R2 L' B' F U2 D
D' R2 L' B' F U2 D'
D' R2 L' B' F U2 D2
D' R2 L' B' F D U2
D' R2 L' B' F D' U2
D' R2 L' B' F D2 U2
D R2 L' B' U2 L' B'
L' D R F' U2 L2 F
L' D R F' B' U2 L2
L' D R B' F' U2 L2
L' D R' U2 L2 F B
L' D R' U2 L2 B F
D' R2 B L' F B' U2
D' R2 B L' B' F U2
L' D R' B' U2 L2 B2
L' D R' B' U2 B2 L2
D' R2 B' L' F B' U2
D' R2 B' L' B' F U2
D' R2 B2 L' F B' U2
D' R2 B2 L' B' F U2
U2 D L2 B2 R' F' B
U2 D L2 B2 R' B F'
L' D B' R F' U2 L2
L' D B' R' U2 L2 B
L' D B' R' U2 B L2
R' D' L' R2 F B' U2
R' D' L' R2 B' F U2
R' D' L' F R2 B' U2
R' D' L' F B' R2 U2
R' D' L' B' R2 F U2
R' D' L' B' F R2 U2
R2 D' L' R2 F B' U2
R2 D' L' R2 B' F U2
R2 D' L' F R2 B' U2
R2 D' L' F B' R2 U2
R2 D' L' B' R2 F U2
R D' L' R2 F B' U2
R D' L' R2 B' F U2
R2 D' L' B' F R2 U2
R D' L' F R2 B' U2
R D' L' F B' R2 U2
R D' L' B' R2 F U2
R D' L' B' F R2 U2
R' D' R2 L' F B' U2
R' D' R2 L' B' F U2
R2 D' R2 L' F B' U2
R2 D' R2 L' B' F U2
R D' R2 L' F B' U2
R D' R2 L' B' F U2
D U2 L2 B2 R' F' B
D U2 L2 B2 R' B F'
L' D2 B' U L F2 U
L' D2 B' U F2 L U
L' F' B' U' R B' U'
L' F' B' U' B' R U'
D2 F2 B' L U R F
D' B L' R2 F B' U2
D' B L' R2 B' F U2
D' B L' F R2 B' U2
D' B L' F B' R2 U2
D' B L' B' R2 F U2
D' B L' B' F R2 U2
D' B R2 L' F B' U2
D' B R2 L' B' F U2
D' B' L' R2 F B' U2
D' B' L' R2 B' F U2
D' B' L' F R2 B' U2
D' B' L' F B' R2 U2
D' B' L' B' R2 F U2
D' B' L' B' F R2 U2
D' B' R2 L' F B' U2
D' B' R2 L' B' F U2
L' B' U L2 F L' U
L' B' F' U' R B' U'
L' B' F' U' B' R U'
D2 B' F2 L U R F
D' B2 L' R2 F B' U2
D' B2 L' R2 B' F U2
D' B2 L' F R2 B' U2
D' B2 L' F B' R2 U2
D' B2 L' B' R2 F U2
D' B2 L' B' F R2 U2
B2 F2 L U' R F B
B2 F2 L U' R B F
F2 B2 L U' R F B
F2 B2 L U' R B F
D' B2 R2 L' F B' U2
D' B2 R2 L' B' F U2
