L' R U R' U F'
L' R U' L U' F
L' R B U' L U'
L' R B' U R' U
R L' U R' U F'
R L' U' L U' F
B' L' R U R2 U
B' L' R U2 D' F2
B' L' R D B2 U2
B' L' R D' U2 F2
B L' R U' L2 U'
B L' R U2 D F2
B L' R D U2 F2
B L' R D' B2 U2
B L' U2 D F2 L'
B L' D R U2 F2
B L' D U2 F2 L'
B2 L' D' R U2 F'
B L' D' R B2 U2
R L' B U' L U'
B L' D' B2 R U2
R L' B' U R' U
B' R L' U R2 U
B' R L' U2 D' F2
B' R L' D B2 U2
B' R L' D' U2 F2
B R L' U' L2 U'
B R L' U2 D F2
B R L' D U2 F2
B R L' D' B2 U2
B' R U2 D' F2 R
B' R D L' B2 U2
B2 R D L' U2 F
B' R D B2 L' U2
B' R D' L' U2 F2
B' R D' U2 F2 R
L' U2 F2 D' L' F
R U2 F2 D R F'
B2 D L' R U2 F
B2 D R L' U2 F
B2 D' L' R U2 F'
B2 D' R L' U2 F'
U2 F2 L' D R F'
U2 F2 R D' L' F
U2 F2 D L' R F'
U2 F2 D R L' F'
U2 F2 D' L' R F
U2 F2 D' R L' F
L' B R U' L U'
R B L' U' L2 U'
R B L' U2 D F2
R B L' D U2 F2
R B L' D' B2 U2
L' B' R U R2 U
L' B' R U2 D' F2
L' B' R D B2 U2
L' B' R D' U2 F2
R B' L' U R' U
L' B2 D' R U2 F'
R B2 D L' U2 F
B L' B' D U2 F2 L'
B L' B' D' R B2 U2
B L' B' D' B2 R U2
B' L' B2 R U' L U'
B L' B2 R U' L2 U'
B L' B2 R U2 D F2
B L' B2 R D U2 F2
B L' B2 R D' B2 U2
D2 L' B2 D' R U2 F'
D' L' B2 D' R U2 F'
B L' B2 U2 D F2 L'
B L' B2 D R U2 F2
B L' B2 D U2 F2 L'
D L' B2 D' R U2 F'
B L' B2 D' R B2 U2
B L' B2 D' B2 R U2
B' L2 R D L B2 U2
B' L2 R D B2 U2 R'
B' L2 R D' L U2 F2
B2 L2 R D L B' U2
U' L2 U L R B' U2
U' L2 U L B' R U2
U' L2 U R L B' U2
B2 L2 D L R B' U2
B2 L2 D L B' R U2
B2 L2 D R L B' U2
B2 L2 D' L R U2 F'
B2 L2 D' R L U2 F'
R U R U' L' B U2
R U R U' B L' U2
L' U R' U D2 L2 F'
L' U R' U D2 F' L2
L' U R' U F' D2 L2
L' U R' U' R2 B U2
L' U R' D' F2 U F
L' U R' D2 U L2 F'
L' U R' D2 U F' L2
R U R' U F2 R F
R U R' U' L' U2 F'
L' U R2 U' R' B U2
R U R2 U F2 R F'
D2 R L' U R' U F'
D2 R L' U' L U' F
D' R L' U R' U F'
B' R L' U R2 U D
B' R L' U R2 U D'
B' R L' U R2 U D2
B' R L' U R2 D U
B' R L' U R2 D' U
B' R L' U R2 D2 U
D' R L' U' L U' F
B' R L' U' D2 L2 U'
B' R L' U2 D' F2 D
B' R L' U2 D' F2 D'
B' R L' U2 D' F2 D2
B' R L' U2 F D' F2
B' R L' U2 F' D' F2
B' R L' U2 F2 D' F2
B' R L' D B2 U2 D
B' R L' D B2 U2 D'
B' R L' D B2 U2 D2
B' R L' D B2 D U2
B' R L' D B2 D' U2
B' R L' D B2 D2 U2
B' R L' D' U2 F2 D
B' R L' D' U2 F2 D'
B' R L' D' U2 F2 D2
B' R L' D' B U2 F2
B' R L' D' B' U2 F2
B' R L' D' B2 U2 F2
B' R L' D2 U' L2 U'
D R L' U R' U F'
B R L' U D2 R2 U
D R L' U' L U' F
B R L' U' L2 U' D
B R L' U' L2 U' D'
B R L' U' L2 U' D2
B R L' U' L2 D U'
B R L' U' L2 D' U'
B R L' U' L2 D2 U'
D2 R L' B U' L U'
B R L' U2 D F2 D
B R L' U2 D F2 D'
B R L' U2 D F2 D2
B R L' U2 F D F2
D2 R L' B' U R' U
B R L' U2 F' D F2
D' R L' B U' L U'
B R L' U2 F2 D F2
B' R L' B U R2 U
B' R L' B U2 D' F2
B' R L' B D B2 U2
B' R L' B D' U2 F2
B R L' D U2 F2 D
B R L' D U2 F2 D'
B R L' D U2 F2 D2
D' R L' B' U R' U
B R L' D B U2 F2
B R L' D B' U2 F2
B R L' D B2 U2 F2
B' R L' B' U R2 U
B' R L' B' U2 D' F2
B' R L' B' D B2 U2
B' R L' B' D' U2 F2
B R L' D' B2 U2 D
B R L' D' B2 U2 D'
B R L' D' B2 U2 D2
B R L' D' B2 D U2
B R L' D' B2 D' U2
B R L' D' B2 D2 U2
B' R L' B2 U R2 U
B' R L' B2 U2 D' F2
B' R L' B2 D B2 U2
B R L' D2 U R2 U
B' R L' B2 D' U2 F2
B2 R L' B U R' U
B2 R L' B' U' L U'
B' R L2 D L B2 U2
D R L' B U' L U'
B R L' B U' L2 U'
B' R L2 D B2 U2 R'
B R L' B U2 D F2
B' R L2 D' L U2 F2
B R L' B D U2 F2
B R L' B D' B2 U2
D R L' B' U R' U
B R L' B' U' L2 U'
B R L' B' U2 D F2
B R L' B' D U2 F2
B R L' B' D' B2 U2
B R L' B2 U' L2 U'
B2 R L2 D L B' U2
B R L' B2 U2 D F2
B R L' B2 D U2 F2
B R L' B2 D' B2 U2
B' R U R2 U' L' U2
L' U F2 R' U L' F'
B R U' L U L2 U2
B R U' L U' D2 R2
B R U' L D F2 U'
B R U' L D2 U' R2
B R U' F2 L U' R
B' R U2 D' R F2 R
B' R U2 D' R' F2 R
B' R U2 D' R2 F2 R
B' R U2 D' F2 R D
B' R U2 D' F2 R D'
B' R U2 D' F2 R D2
B' R U2 D' F2 D R
B' R U2 D' F2 D' R
B' R U2 D' F2 D2 R
D2 R U2 F2 D R F'
B2 R U2 D' F2 R F'
D' R U2 F2 D R F'
B' R U2 F2 D' R F2
B2 R U2 F2 D' R F'
B' R D L B2 L2 U2
B' R D L' U2 D2 F2
B' R D L' D2 U2 F2
D R U2 F2 D R F'
B' R D L' B2 U2 D
B' R D L' B2 U2 D'
B' R D L' B2 U2 D2
B' R D L' B2 D U2
B' R D L' B2 D' U2
B' R D L' B2 D2 U2
B' R D L2 B2 U2 R'
B2 R D L B' L2 U2
B2 R D L' U2 D F
B2 R D L' U2 D' F
B2 R D L' U2 D2 F
B2 R D L' U2 F D
B2 R D L' U2 F D'
B2 R D L' U2 F D2
B2 R D L' D U2 F
B2 R D L' D' U2 F
B2 R D L' D2 U2 F
B2 R D L' B U2 F
B2 R D L' B' U2 F
B2 R D L' B2 U2 F
B R D L' U' L2 U'
B R D L' U2 D F2
B R D L' D U2 F2
B R D L' D' B2 U2
B' R D B L' B U2
B' R D B2 L' U2 D
B' R D B2 L' U2 D'
B' R D B2 L' U2 D2
B' R D B2 L' D U2
B' R D B2 L' D' U2
B' R D B2 L' D2 U2
B2 R D B L' U2 F
B' R D B2 D L' U2
B' R D B2 D' L' U2
B' R D B2 D2 L' U2
B2 R D B' L' U2 F
B' R D' L' U2 F2 D
B' R D' L' U2 F2 D'
B' R D' L' U2 F2 D2
B' R D' L' D2 B2 U2
B2 R D B2 L' U2 F
B' R D' L' B U2 F2
B' R D' L' B' U2 F2
B' R D' L' B2 U2 F2
B' R D' U2 R F2 R
B' R D' U2 R' F2 R
B' R D' U2 R2 F2 R
B' R D' U2 F2 R D
B' R D' U2 F2 R D'
B' R D' U2 F2 R D2
B' R D' U2 F2 D R
B' R D' U2 F2 D' R
B' R D' U2 F2 D2 R
B R D' L' U' L2 U'
B R D' L' U2 D F2
B R D' L' D U2 F2
B R D' L' D' B2 U2
L' U' L U R U2 F
B2 R D' U2 F2 R F'
L' U' L U' F2 L' F'
B' R D' B L' U2 F2
B' R D' B U2 F2 R
B' R D' B' L' U2 F2
B' R D' B' U2 F2 R
B' R D' B2 L' U2 F2
B' R D' B2 U2 F2 R
B' R D2 L' U' L' U'
R U' L U L2 B' U2
B R D2 L' U' L2 U'
B R D2 L' U2 D F2
B R D2 L' D U2 F2
B R D2 L' D' B2 U2
R U' L U' D2 R2 F
R U' L U' D2 F R2
R U' L U' F D2 R2
L' U' L' U R B' U2
L' U' L' U B' R U2
R U' L D F2 U' F'
R U' L D2 U' R2 F
R U' L D2 U' F R2
F2 R D2 B2 D L' F
L' U' L2 U' F2 L' F
R U' L2 U L B' U2
D2 R B L' U' L2 U'
D2 R B L' U2 D F2
D' R B L' U' L2 U'
D2 R B L' D U2 F2
D' R B L' U2 D F2
D2 R B L' D' B2 U2
D' R B L' D U2 F2
D' R B L' D' B2 U2
B' R B L' U R2 U
B' R B L' U2 D' F2
B' R B L' D B2 U2
B' R B L' D' U2 F2
B2 R B L' U R' U
D R B L' U' L2 U'
D R B L' U2 D F2
D R B L' D U2 F2
D R B L' D' B2 U2
B' R B U2 D' F2 R
B' R B D L' B2 U2
B' R B D B2 L' U2
B' R B D' L' U2 F2
B' R B D' U2 F2 R
U R B L' U L U
D' R B' L' U R' U
D2 R B' L' U R' U
B' R B' L' U R2 U
B' R B' L' U2 D' F2
B' R B' L' D B2 U2
B' R B' L' D' U2 F2
B R B D L' U2 F
B2 R B' L' U' L2 U'
B2 R B' L' U2 D F2
B2 R B' L' D U2 F2
B2 R B' L' D' B2 U2
D R B' L' U R' U
B' R B' U2 D' F2 R
B' R B' D L' B2 U2
B' R B' D B2 L' U2
B' R B' D' L' U2 F2
B' R B' D' U2 F2 R
B' R B2 L' U R2 U
B' R B2 L' U2 D' F2
B' R B2 L' D B2 U2
B' R B2 L' D' U2 F2
D2 R B2 D L' U2 F
D' R B2 D L' U2 F
B' R B2 U2 D' F2 R
B R B2 L' U R' U
B' R B2 D L' B2 U2
B' R B2 D B2 L' U2
B' R B2 D' L' U2 F2
B' R B2 D' U2 F2 R
D R B2 D L' U2 F
R U' F2 L U' R F
U R' U' L' R2 B U2
U R' U' R2 L' B U2
U R' U' R2 B L' U2
L' U2 L F2 D' L' F
U R' D' F2 U R F
L' U2 L' F2 D' L' F
L' U2 L2 F2 D' L' F
R U2 R F2 D R F'
R U2 R' F2 D R F'
L' U2 D F2 D' L' F
R U2 R2 F2 D R F'
L' U2 D' F2 D' L' F
R U2 D F2 D R F'
L' U2 D2 F2 D' L' F
R U2 D' F2 D R F'
B2 R2 L' D' R' B U2
B R2 L' D R' U2 F2
B R2 L' D' R' B2 U2
R U2 D2 F2 D R F'
B R2 L' D' B2 U2 L
L' U2 F' U L' B' U'
R U2 F U' R B U
L' U2 F2 D' L' D F
L' U2 F2 D' L' D' F
L' U2 F2 D' L' D2 F
L' U2 F2 D' L' F D
L' U2 F2 D' L' F D'
L' U2 F2 D' L' F D2
U R2 U' L' R' B U2
R U2 F2 D R D F'
R U2 F2 D R D' F'
R U2 F2 D R D2 F'
R U2 F2 D R F' D
R U2 F2 D R F' D'
R U2 F2 D R F' D2
U R2 U' R' L' B U2
U R2 U' R' B L' U2
B2 R2 D L' R' U2 F
B2 R2 D R' L' U2 F
B2 R2 D' L' R' B U2
B2 R2 D' R' L' B U2
B2 R2 D' R' B L' U2
R D L' U R' U F'
R D L' U' L U' F
R D L' B U' L U'
R D L' B' U R' U
L' D R U R' U F'
L' D R U' L U' F
L' D R B U' L U'
L' D R B' U R' U
L' D U2 F2 D' L' F
F2 U L' R' F' R2 B
R D U2 F2 D R F'
B' U R' U' L' R2 U2
B' U R' U' R2 L' U2
L' D B R U' L U'
F2 U R' L' F' R2 B
B' U R' D' F2 U R
L' D B' R U R2 U
L' D B' R U2 D' F2
L' D B' R D B2 U2
L' D B' R D' U2 F2
R D B L' U' L2 U'
R D B L' U2 D F2
R D B L' D U2 F2
R D B L' D' B2 U2
R D B' L' U R' U
L' D B2 D' R U2 F'
R D B2 D L' U2 F
U2 D F2 L' D R F'
U2 D F2 R D' L' F
U2 D F2 D L' R F'
U2 D F2 D R L' F'
U2 D F2 D' L' R F
U2 D F2 D' R L' F
R D' L' U R' U F'
R D' L' U' L U' F
L' D' R U R' U F'
L' D' R U' L U' F
R D' L' B U' L U'
R D' L' B' U R' U
B' U F2 R' U L' R2
B' U F2 R' U R2 L'
L' D' R B U' L U'
L' D' R B' U R' U
F2 U F2 L' R B U2
F2 U F2 R L' B U2
F2 U F2 R B L' U2
F2 U' L R F L2 B'
L' D' U2 F2 D' L' F
B U' L U L2 R U2
B U' L U R L2 U2
B U' L D F2 U' L'
R D' U2 F2 D R F'
F2 U' R L F L2 B'
L' D' B R U' L U'
L' D' B' R U R2 U
L' D' B' R U2 D' F2
L' D' B' R D B2 U2
L' D' B' R D' U2 F2
R D' B L' U' L2 U'
R D' B L' U2 D F2
R D' B L' D U2 F2
R D' B L' D' B2 U2
U2 D' F2 L' D R F'
U2 D' F2 R D' L' F
U2 D' F2 D L' R F'
U2 D' F2 D R L' F'
U2 D' F2 D' L' R F
U2 D' F2 D' R L' F
R D' B' L' U R' U
L' D' B2 D' R U2 F'
R D' B2 D L' U2 F
R D2 L' U R' U F'
R D2 L' U' L U' F
L' D2 R U R' U F'
L' D2 R U' L U' F
R D2 L' B U' L U'
R D2 L' B' U R' U
L' D2 R B U' L U'
F2 U' F2 L' R B' U2
L' D2 R B' U R' U
F2 U' F2 L' B' R U2
F2 U' F2 R L' B' U2
B U' F2 L U' L2 R
B U' F2 L U' R L2
L' D2 U2 F2 D' L' F
R D2 U2 F2 D R F'
D' U2 F2 L' D R F'
D2 U2 F2 L' D R F'
D' U2 F2 R D' L' F
D2 U2 F2 R D' L' F
D' U2 F2 D L' R F'
D' U2 F2 D R L' F'
D' U2 F2 D' L' R F
D' U2 F2 D' R L' F
D2 U2 F2 D L' R F'
D2 U2 F2 D R L' F'
D2 U2 F2 D' L' R F
D2 U2 F2 D' R L' F
U2 D2 F2 L' D R F'
U2 D2 F2 R D' L' F
U2 D2 F2 D L' R F'
U2 D2 F2 D R L' F'
D U2 F2 L' D R F'
U2 D2 F2 D' L' R F
U2 D2 F2 D' R L' F
L' D2 B R U' L U'
D U2 F2 R D' L' F
D U2 F2 D L' R F'
D U2 F2 D R L' F'
D U2 F2 D' L' R F
D U2 F2 D' R L' F
L' D2 B' R U R2 U
L' D2 B' R U2 D' F2
L' D2 B' R D B2 U2
L' D2 B' R D' U2 F2
R D2 B L' U' L2 U'
R D2 B L' U2 D F2
R D2 B L' D U2 F2
R D2 B L' D' B2 U2
L' D2 B2 D' R U2 F'
B2 U2 D F2 L' R F
B2 U2 D F2 R L' F
R D2 B' L' U R' U
B2 U2 D' F2 L' R F'
B2 U2 D' F2 R L' F'
R D2 B2 D L' U2 F
B' U2 F2 L' R D' F2
B' U2 F2 R L' D' F2
B' U2 F2 R D' L' F2
B2 U2 F2 L' D' R F'
B2 U2 F2 R D L' F
B2 U2 F2 D L' R F
B2 U2 F2 D R L' F
B2 U2 F2 D' L' R F'
B2 U2 F2 D' R L' F'
B U2 F2 L' R D F2
B U2 F2 L' D R F2
B U2 F2 R L' D F2
B2 D L R B' L2 U2
B' D L' R U R2 U
B' D L' R U2 D' F2
B' D L' R D B2 U2
B' D L' R D' U2 F2
B2 D L B' L2 R U2
B2 D L B' R L2 U2
B2 D L' R U2 D F
B2 D L' R U2 D' F
B2 D L' R U2 D2 F
B2 D L' R U2 F D
B2 D L' R U2 F D'
B2 D L' R U2 F D2
B2 D L' R D U2 F
B2 D L' R D' U2 F
B2 D L' R D2 U2 F
B2 D L' R B U2 F
B2 D L' R B' U2 F
B2 D L' R B2 U2 F
B2 D L' U2 F2 L' F'
B2 D L' D R U2 F
B2 D L' D' R U2 F
B2 D L' D2 R U2 F
B2 D L' B R U2 F
B2 D L' B' R U2 F
B D L' R U' L2 U'
B D L' R U2 D F2
B2 D L' B2 R U2 F
B D L' R D U2 F2
B D L' R D' B2 U2
B D L' U2 D F2 L'
B D L' D R U2 F2
B D L' D U2 F2 L'
B D L' D' R B2 U2
B D L' D' B2 R U2
B' D R L' U R2 U
B' D R L' U2 D' F2
B' D R L' D B2 U2
B' D R L' D' U2 F2
B' D R U2 D' F2 R
B' D R D L' B2 U2
B2 D R L B' L2 U2
B' D R D B2 L' U2
B' D R D' L' U2 F2
B2 D R L' U2 D F
B2 D R L' U2 D' F
B2 D R L' U2 D2 F
B2 D R L' U2 F D
B2 D R L' U2 F D'
B2 D R L' U2 F D2
B2 D R L' D U2 F
B2 D R L' D' U2 F
B2 D R L' D2 U2 F
B' D R D' U2 F2 R
B2 D R L' B U2 F
B2 D R L' B' U2 F
B2 D R L' B2 U2 F
B2 D R B L' U2 F
B2 D R B' L' U2 F
B2 D R B2 L' U2 F
B D R L' U' L2 U'
B D R L' U2 D F2
B D R L' D U2 F2
B D R L' D' B2 U2
B2 D U2 F2 L' R F
B2 D U2 F2 R L' F
B2 D B L' R U2 F
B2 D B R L' U2 F
B2 D B' L' R U2 F
