F2 L2 F U' B' L'
F' U' L2 F U' L
L2 F U R F2 U2
L2 F U F2 U2 L'
R2 F2 L2 F U' B L'
B D' F' B2 U2 L' R2
B D' F' B2 U2 R2 L'
B D' B R2 F' L' B
B D' B R2 F' B L'
B D' B R2 B F' L'
F' D' B2 U B U L'
B D' B2 U2 R2 B L
B D' B2 F' U2 L' R2
B D' B2 F' U2 R2 L'
B' D2 R2 F' U L' B
B' D2 R2 F' U B L'
F' D2 U R2 B' U L'
F' D2 U B' R2 U L'
F D2 R2 B' U B' L
D' B D' R2 F' L' B
D' B D' R2 F' B L'
D' B D' R2 B F' L'
L2 B F U R F2 U2
L2 B F U F2 U2 L'
R2 B F' D L' F2 R
F' B U2 D L' F2 R
F' B D L2 U2 L F2
F' B D L2 U2 F2 L
F' B D U2 L' F2 R
B' F D2 R2 U B2 L
F' B D' B2 U2 L' R2
F' B D' B2 U2 R2 L'
D2 B' R2 F' U L' B
D2 B' R2 F' U B L'
L2 B' F U R F2 U2
L2 B' F U F2 U2 L'
U B' D2 R2 U B L
B F' U2 D L' F2 R
B F' D L2 U2 L F2
B F' D L2 U2 F2 L
B F' D U2 L' F2 R
B F' D' B2 U2 L' R2
B F' D' B2 U2 R2 L'
F B' D2 R2 U B2 L
L2 B2 F U R F2 U2
L2 B2 F U F2 U2 L'
D' B2 F' U B U L'
