D2 L2 B' U' B'
D2 L2 R B' U' B'
D2 L2 R' B' U' B'
D2 L2 R2 B' U' B'
F L2 R2 B U B2
D2 L2 D' R2 B' U'
D2 L2 D' B' R2 U'
D2 L2 B' R U' B'
D2 L2 B' R' U' B'
D2 L2 B' R2 U' B'
D2 L2 B' U' D B'
D2 L2 B' U' D' B'
D2 L2 B' U' D2 B'
D2 L2 B' U' B' D
D2 L2 B' U' B' D'
D2 L2 B' U' B' D2
D2 L2 B' D U' B'
D2 L2 B' D' U' B'
D2 L2 B' D2 U' B'
D2 R L2 B' U' B'
D2 R' L2 B' U' B'
D2 R2 L2 B' U' B'
F R2 L2 B U B2
D R2 D L2 B' U'
U2 R2 D' F L2 U
U2 R2 D2 F U B2
U2 R2 D2 F U B2
U2 R2 F L2 U B'
U2 R2 F U' F U2
F R2 B L2 U B'
F R2 B U' F U2
F2 U F' R2 B U
U2 F L2 R2 U B'
U2 F R2 L2 U B'
U2 F R2 U' F U2
U2 F' R2 F2 U B
U' F' D' F2 L2 B'
U F2 U F' R2 U
B' D2 L2 B' U' B'
B2 D2 L2 B' U' B'
B D2 L2 B' U' B'
D2 B L2 B' U' B2
L2 B' D2 L2 U' B2
D2 B2 L2 B' U' B
D2 R' L2 B' R2 U' B'
D2 R' L2 B' U' D B'
D2 R' L2 B' U' D' B'
D2 R' L2 B' U' D2 B'
D2 R' L2 B' U' B' D
D2 R' L2 B' U' B' D'
D2 R' L2 B' U' B' D2
D2 R' L2 B' D U' B'
D2 R' L2 B' D' U' B'
D2 R' L2 B' D2 U' B'
D R' D L2 R' B' U'
D R' D R' L2 B' U'
D' R' D' L2 B' U' B'
U2 R' D' R' F L2 U
U2 R' D' F L2 R' U
U2 R' D' F R' L2 U
U2 R' D2 R' F U B2
U2 R' D2 F R' U B2
U2 R' F L2 R' U B'
U2 R' F R' L2 U B'
U2 R' F R' U' F U2
R' U2 R' D' F L2 U
R' U2 R' D2 F U B2
R' U2 R' F L2 U B'
R' U2 R' F U' F U2
R U2 R D' F L2 U
R U2 R D2 F U B2
R U2 R F L2 U B'
D2 R' B L2 B' U' B2
R U2 R F U' F U2
U R' F2 U F' R' U
L2 U2 R2 D' L2 F U
D2 R' B2 L2 B' U' B
R' U2 D' R' F L2 U
R' U2 D' F L2 R' U
R' U2 D' F R' L2 U
L2 U2 D' L2 F U F
R' U2 D2 R' F U B2
R' U2 D2 F R' U B2
R U2 D' R F L2 U
R' U2 F L2 R' U B'
R' U2 F R' L2 U B'
R' U2 F R' U' F U2
R U2 D2 R F U B2
F R2 L B L U B'
D2 R2 L2 D' R2 B' U'
D2 R2 L2 D' B' R2 U'
R2 U2 F U' F U2 F'
D2 R2 L2 B' R U' B'
D2 R2 L2 B' R' U' B'
D2 R2 L2 B' R2 U' B'
F' R2 L2 F2 B' U B2
D2 R2 L2 B' U' D B'
D2 R2 L2 B' U' D' B'
D2 R2 L2 B' U' D2 B'
D2 R2 L2 B' U' B' D
D2 R2 L2 B' U' B' D'
D2 R2 L2 B' U' B' D2
D2 R2 L2 B' D U' B'
D2 R2 L2 B' D' U' B'
D2 R2 L2 B' D2 U' B'
U2 R2 L2 D' L2 F U
F R2 L' B L' U B'
F' R2 L2 B' F2 U B2
D R2 L2 D B' L2 U'
F R2 L2 U B' D' R2
D R2 L2 D2 B' U' F2
F R2 L2 D B U B2
F R2 L2 D' B U B2
F R2 L2 D2 B U B2
D R2 L2 B' L2 U' F
D R2 L2 B' U B' U2
F R2 L2 B L U B2
F R2 L2 B L' U B2
F R2 L2 B L2 U B2
F R2 L2 B U B2 D
F R2 L2 B U B2 D'
F R2 L2 B U B2 D2
F R2 L2 B D L2 U
D R2 U B2 U F U
U2 R2 U' F2 U F' U
F R2 U' F U B U
F2 R2 U2 F2 B U' B'
F2 R2 U2 B F2 U' B'
D R2 U2 D' R2 F U
D R2 U2 D' F R2 U
D R2 U2 D2 F U F
D R2 U2 F U D2 F2
D R2 U2 F U' B2 U2
D R2 U2 F D' R2 U
D R2 U2 F D2 U F2
D R2 D L2 D B' U'
D R2 D L2 D' B' U'
D R2 D L2 D2 B' U'
D R2 D L2 B' U' D
D R2 D L2 B' U' D'
D R2 D L2 B' U' D2
D R2 D L2 B' D U'
D R2 D L2 B' D' U'
D R2 D L2 B' D2 U'
U2 R2 D F U D B2
U2 R2 D F U2 R2 U'
U2 R2 D F D U B2
U2 R2 D F D2 L2 U
D' R2 D' L2 B' U' B'
F R2 D L2 B U B2
D R2 D B L2 B' U'
U2 R2 D' L2 U2 B' U'
D R2 D B' L2 B' U'
U' R2 D' F L2 B' U
D R2 D B2 L2 B' U'
F R2 D B L2 U B'
F R2 D B U' F U2
U2 R2 D' F L2 U D
U2 R2 D' F L2 U D'
U2 R2 D' F L2 U D2
U2 R2 D' F L2 D U
U2 R2 D' F L2 D' U
U2 R2 D' F L2 D2 U
U2 R2 D' F U D' B2
U2 R2 D' F D' U B2
U2 R2 D' F' L2 F2 U
U2 R2 D' F2 L2 F' U
F R2 D' L2 B U B2
D R2 D' U2 R2 F U
D R2 D' U2 F R2 U
F R2 D' B L2 U B'
F R2 D' B U' F U2
D R2 D2 L2 B' U' F2
U2 R2 D2 F L U B2
U2 R2 D2 F L' U B2
U2 R2 D2 F L2 U B2
U2 R2 D2 F U B2 D
U2 R2 D2 F U B2 D'
U2 R2 D2 F U B2 D2
U2 R2 D2 F D L2 U
U' R2 F L2 U R2 B'
U' R2 F L2 U B' R2
F R2 D2 L2 B U B2
D R2 D2 U2 F U F
U' R2 F U' F U2 R2
U2 R2 F L2 U D B'
U2 R2 F L2 U D' B'
U2 R2 F L2 U D2 B'
U2 R2 F L2 U B' D
U2 R2 F L2 U B' D'
U2 R2 F L2 U B' D2
U2 R2 F L2 D U B'
U2 R2 F L2 D' U B'
U2 R2 F L2 D2 U B'
F R2 D2 B L2 U B'
U2 R2 F U L2 B' L2
F R2 D2 B U' F U2
U2 R2 F U' D F U2
U2 R2 F U' D' F U2
U2 R2 F U' D2 F U2
U2 R2 F U' F U2 D
U2 R2 F U' F U2 D'
U2 R2 F U' F U2 D2
U2 R2 F U' F D U2
U2 R2 F U' F D' U2
U2 R2 F U' F D2 U2
U2 R2 F D L2 U B'
U2 R2 F D U' F U2
U2 R2 F D' L2 U B'
U2 R2 F D' U' F U2
U2 R2 F D2 L2 U B'
U2 R2 F D2 U' F U2
F' R2 F2 U2 F' U' B
D2 R2 B L2 B' U' B2
R' D R2 U2 R F U
U R2 F2 U F' U F
F R2 B L2 U D B'
F R2 B L2 U D' B'
F R2 B L2 U D2 B'
F R2 B L2 U B' D
F R2 B L2 U B' D'
F R2 B L2 U B' D2
F R2 B L2 D U B'
F R2 B L2 D' U B'
F R2 B L2 D2 U B'
L2 D R2 D B' L2 U'
F R2 B U L2 B' L2
R2 D R2 U2 R2 F U
R2 D R2 U2 F R2 U
F R2 B U' D F U2
F R2 B U' D' F U2
F R2 B U' D2 F U2
F R2 B U' F U2 D
F R2 B U' F U2 D'
F R2 B U' F U2 D2
F R2 B U' F D U2
F R2 B U' F D' U2
F R2 B U' F D2 U2
L2 D R2 D2 B' U' F2
R2 D R2 D2 L2 B' U'
F R2 B D L2 U B'
F R2 B D U' F U2
F R2 B D' L2 U B'
F R2 B D' U' F U2
F R2 B D2 L2 U B'
F R2 B D2 U' F U2
L2 D R2 B' L2 U' F
L2 D R2 B' U B' U2
D R2 B' L2 B' U' F
D2 R2 B2 L2 B' U' B
R D R2 U2 R' F U
R D R2 U2 F R' U
F R2 B' L2 B2 U B
D R2 B2 U2 F U F'
R2 D F U2 F' R2 U'
L' D B R2 U' F' L'
L2 D B R2 B2 U' F'
F2 U R2 U2 F2 B U'
F2 U R2 U2 B F2 U'
L2 D B' L2 R2 U' F
L2 D B' R2 L2 U' F
L2 D B' R2 U B' U2
U2 D F D2 L2 U F2
F2 U F' R2 D B U
F2 U F' R2 D' B U
F2 U F' R2 D2 B U
F2 U F' R2 B U D
F2 U F' R2 B U D'
F2 U F' R2 B U D2
F2 U F' R2 B D U
F2 U F' R2 B D' U
F2 U F' R2 B D2 U
F2 U F' B R2 B U
F2 U F' B' R2 B U
F2 U F' B2 R2 B U
B' U F2 U F' R2 U
B2 U F2 U F' R2 U
B U F2 U F' R2 U
F2 U B F' R2 B U
F2 U B' F' R2 B U
R' D' U2 R' F L2 U
F2 U B2 F' R2 B U
R' D' U2 F L2 R' U
R' D' U2 F R' L2 U
U2 D' L2 U2 B' U' F2
L2 D' U2 L2 F U F
R2 D' F L2 U2 F' U'
R D' U2 R F L2 U
R2 D' F' L2 F2 B' U
R2 D' F' L2 B' F2 U
U2 D' F L2 U' B' U2
U2 D' F U D' F B2
U2 D' F U D' B2 F
U2 D' F U F D' B2
U2 D' F D' U F B2
U2 D' F D' U B2 F
D' U' F' D' L2 F' B2
D' U' F' D' L2 B2 F'
U' D' F' D' L2 F' B2
U' D' F' D' L2 B2 F'
U' D' F' D' F' L2 B2
D' U' F' D' F' L2 B2
D' U' F' D' F' B2 L2
U' D' F' D' F' B2 L2
U' D' F' D' B2 L2 F'
D' U' F' D' B2 L2 F'
U' D' F' D' B2 F' L2
D' U' F' D' B2 F' L2
U2 D' F' L2 F2 U F
D' U' F2 U' L2 F' U
U' D' F2 U' L2 F' U
D' U' F2 U' F' L2 U
U' D' F2 U' F' L2 U
L2 D' B' U' F2 D' B2
L2 D' B' U2 L2 U F2
U2 D' F2 L2 F' U F
L2 D' B' D' L2 U' B2
D2 U' B2 U L2 B' U'
L2 D2 L2 U2 F U B2
B' U' F' D' F2 L2 B'
B2 U' F' D' F2 L2 B'
L D2 L2 R' B U' B
F U' F D B2 U2 R2
F U' F D' L2 U2 F2
B U' F' D' F2 L2 B'
F2 U' F2 U2 R2 F U
F2 U' F2 U2 F R2 U
D' U2 L2 U2 B' U' F2
F2 U' F2 D2 L2 B' U'
L D2 R' L2 B U' B
L D2 R' B L2 U' B
R' D2 U2 R' F U B2
R' D2 U2 F R' U B2
D' U2 F L2 U' B' U2
D' U2 F U D' F B2
D' U2 F U D' B2 F
D' U2 F U F D' B2
D2 U2 F U B2 D F2
D' U2 F D' U F B2
D' U2 F D' U B2 F
D2 U2 F U2 L2 U' B2
D2 U2 F D L2 U F2
D' U2 F' L2 F2 U F
U2 D2 F U B2 D F2
U2 D2 F U2 L2 U' B2
R D2 U2 R F U B2
U2 D2 F D L2 U F2
R2 D2 F U2 F' U' B2
D U2 F D2 L2 U F2
D' U2 F2 L2 F' U F
L2 D2 B L2 B2 U' B'
B' U2 R2 D' F L2 U
B' U2 R2 D2 F U B2
B' U2 R2 F L2 U B'
B' U2 R2 F U' F U2
B2 U2 R2 D' F L2 U
L2 D2 B' L2 U F U2
B2 U2 R2 D2 F U B2
B2 U2 R2 F L2 U B'
B2 U2 R2 F U' F U2
L2 D2 B' U' D F2 B'
L2 D2 B' U' D B' F2
U' D2 B2 U L2 B' U'
L2 D2 B' U' B' D F2
L2 D2 B' D U' F2 B'
L2 D2 B' D U' B' F2
B U2 R2 D' F L2 U
B U2 R2 D2 F U B2
B U2 R2 F L2 U B'
L2 D2 B2 L2 B U' B'
B U2 R2 F U' F U2
B' U2 F L2 R2 U B'
B' U2 F R2 L2 U B'
B' U2 F R2 U' F U2
U' F L2 R2 U R2 B'
U' F L2 R2 U B' R2
B2 U2 F L2 R2 U B'
B2 U2 F R2 L2 U B'
B2 U2 F R2 U' F U2
F U2 D2 L2 F' U' B'
U2 F L2 R2 U D B'
U2 F L2 R2 U D' B'
U2 F L2 R2 U D2 B'
U2 F L2 R2 U B' D
U2 F L2 R2 U B' D'
U2 F L2 R2 U B' D2
U2 F L2 R2 D U B'
U2 F L2 R2 D' U B'
U2 F L2 R2 D2 U B'
U2 F L2 U D' F2 B'
U2 F L2 U D' B' F2
U2 F L2 U B' D' F2
B U2 F L2 R2 U B'
B' U2 F' R2 F2 U B
B U2 F R2 L2 U B'
B U2 F R2 U' F U2
U2 F L2 D' U F2 B'
U2 F L2 D' U B' F2
B2 U2 F' R2 F2 U B
R2 F L2 U2 F' U' B'
F2 U2 F' R2 B U B'
B U2 F' R2 F2 U B
F U2 F' D2 L2 U' B2
U' F R2 L2 U R2 B'
U' F R2 L2 U B' R2
U' F R2 U' F U2 R2
U2 F R2 L2 U D B'
U2 F R2 L2 U D' B'
U2 F R2 L2 U D2 B'
U2 F R2 L2 U B' D
U2 F R2 L2 U B' D'
U2 F R2 L2 U B' D2
U2 F R2 L2 D U B'
U2 F R2 L2 D' U B'
U2 F R2 L2 D2 U B'
U2 F R2 U L2 B' L2
U2 F R2 U' D F U2
U2 F R2 U' D' F U2
U2 F R2 U' D2 F U2
U2 F R2 U' F U2 D
U2 F R2 U' F U2 D'
U2 F R2 U' F U2 D2
U2 F R2 U' F D U2
U2 F R2 U' F D' U2
U2 F R2 U' F D2 U2
U2 F R2 D L2 U B'
U2 F R2 D U' F U2
U2 F R2 D' L2 U B'
U2 F R2 D' U' F U2
U2 F R2 D2 L2 U B'
U2 F R2 D2 U' F U2
U2 F U' D F B2 U2
U2 F U' D B2 F U2
D2 F U2 L2 F' U' B2
U2 F U' D' F U2 F
U2 F U' F U R2 U
U2 F U' F U2 D' F2
U2 F U' F D B2 U2
U2 F U' F D' U2 F2
D2 F U2 F' L2 U' B2
R2 F U' F U' F2 U'
R2 F U' F U2 D R2
R2 F U' F D U2 R2
R2 F U' F D' L2 U2
U2 F U2 D2 L2 U' B'
R2 F U2 F' U F2 U2
R2 F U2 F' U' D2 B2
R2 F U2 F' D R2 U'
R2 F U2 F' D2 U' B2
U2 F D U' F B2 U2
U2 F D U' B2 F U2
U2 F D' L2 U F2 B'
U2 F D' L2 U B' F2
U2 F D' U' F U2 F
U2 F D2 U2 L2 U' B'
B' D R2 D L2 B' U'
B2 D R2 D L2 B' U'
B D R2 D L2 B' U'
U' F' L D' F2 L2 B'
U2 F' L R2 F2 U B
U' F' L' D' F2 L2 B'
U2 F' L' R2 F2 U B
U' F' L2 D' F2 L2 B'
D' F' L2 F2 B' U F
U2 F' L2 R2 F2 U B
D' F' L2 B' F2 U F
U2 F' R' F2 R' U B
U' F' R2 F2 U B R2
U2 F' R2 L F2 U B
U2 F' R2 L' F2 U B
U2 F' R2 L2 F2 U B
U2 F' R2 U D' L2 B
U2 F' R2 U D' B L2
U2 F' R2 U B D' L2
U2 F' R2 D' U L2 B
U2 F' R2 D' U B L2
U2 F' R2 F2 L U B
U2 F' R2 F2 L' U B
U2 F' R2 F2 L2 U B
U2 F' R2 F2 U D B
U2 F' R2 F2 U D' B
U2 F' R2 F2 U D2 B
U2 F' R2 F2 U B D
U2 F' R2 F2 U B D'
U2 F' R2 F2 U B D2
U2 F' R2 F2 D U B
U2 F' R2 F2 D' U B
U2 F' R2 F2 D2 U B
U' F' U' R2 F2 U B
U2 F' U D' F2 L2 B'
F2 D B2 U F' U R2
U F' U R2 F2 U B
F2 D' L2 U F' U F'
U F' U2 D' F2 L2 B'
U' F' D' F2 L2 D B'
U' F' D' F2 L2 D' B'
U' F' D' F2 L2 D2 B'
U' F' D' F2 L2 B' D
U' F' D' F2 L2 B' D'
U' F' D' F2 L2 B' D2
U' F' D' F2 B L2 B'
U' F' D' F2 B' L2 B'
U' F' D' F2 B2 L2 B'
U' F' D' B F2 L2 B'
U' F' D' B' F2 L2 B'
U' F' D' B2 F2 L2 B'
U2 F' D' U F2 L2 B'
U F' D R2 B2 U2 B'
U F' D F' R2 B2 U2
U F' D F' B2 R2 U2
U F' D B2 R2 U2 B
U F' D B2 F' R2 U2
U' F' B D' F2 L2 B'
U F' D' U2 F2 L2 B'
U F' D' F' U2 L2 F'
U F' D' F' U2 F' L2
U' F' B' D' F2 L2 B'
U' F' B2 D' F2 L2 B'
F' D' F U' F L2 B'
U2 F2 R2 U2 B U' B'
U2 F2 U F' R2 U R2
U F2 U R2 U2 B U'
U F2 U D' F' U F'
U F2 U F R2 F2 U
U F2 U F' R2 U D
U F2 U F' R2 U D'
U F2 U F' R2 U D2
U F2 U F' R2 D U
U F2 U F' R2 D' U
U F2 U F' R2 D2 U
U F2 U F' U D' F2
U F2 U F' D' U F2
U F2 U F2 R2 F U
B' D2 L2 R B' U' B'
B' D2 L2 R' B' U' B'
B' D2 L2 R2 B' U' B'
B' D2 L2 D' R2 B' U'
B' D2 L2 D' B' R2 U'
B2 D2 L2 R B' U' B'
B2 D2 L2 R' B' U' B'
B2 D2 L2 R2 B' U' B'
B' D2 L2 B' R U' B'
B' D2 L2 B' R' U' B'
B' D2 L2 B' R2 U' B'
B' D2 L2 B' U' D B'
B' D2 L2 B' U' D' B'
B' D2 L2 B' U' D2 B'
B' D2 L2 B' U' B' D
B' D2 L2 B' U' B' D'
B' D2 L2 B' U' B' D2
B' D2 L2 B' D U' B'
B' D2 L2 B' D' U' B'
B' D2 L2 B' D2 U' B'
B2 D2 L2 D' R2 B' U'
B2 D2 L2 D' B' R2 U'
B' D2 R L2 B' U' B'
U F2 U2 F D' L2 F2
U F2 U2 F D' F2 L2
B2 D2 L2 B' R U' B'
B2 D2 L2 B' R' U' B'
B2 D2 L2 B' R2 U' B'
B2 D2 L2 B' U' D B'
B2 D2 L2 B' U' D' B'
B2 D2 L2 B' U' D2 B'
B2 D2 L2 B' U' B' D
B2 D2 L2 B' U' B' D'
B2 D2 L2 B' U' B' D2
B2 D2 L2 B' D U' B'
B2 D2 L2 B' D' U' B'
B2 D2 L2 B' D2 U' B'
B D2 L2 R B' U' B'
B D2 L2 R' B' U' B'
B D2 L2 R2 B' U' B'
B2 D2 R L2 B' U' B'
B D2 L2 D' R2 B' U'
B D2 L2 D' B' R2 U'
B' D2 R' L2 B' U' B'
B D2 L2 B' R U' B'
B D2 L2 B' R' U' B'
B D2 L2 B' R2 U' B'
B D2 L2 B' U' D B'
B D2 L2 B' U' D' B'
B D2 L2 B' U' D2 B'
B D2 L2 B' U' B' D
B D2 L2 B' U' B' D'
B D2 L2 B' U' B' D2
B D2 L2 B' D U' B'
B D2 L2 B' D' U' B'
B D2 L2 B' D2 U' B'
U F2 D B2 U F' U
B D2 R L2 B' U' B'
B2 D2 R' L2 B' U' B'
U F2 D' U F' U F'
B' D2 R2 L2 B' U' B'
B D2 R' L2 B' U' B'
B2 D2 R2 L2 B' U' B'
B D2 R2 L2 B' U' B'
U F2 B U F' R2 U
U F2 B' U F' R2 U
U F2 B2 U F' R2 U
D2 B L2 U' B D L2
D2 B L2 D B' U' B2
D2 B L2 D' B' U' B2
D2 B L2 D2 B' U' B2
D B L' R2 U' F' L'
F D2 U2 L2 F' U' B'
D2 B L2 B' R U' B2
D2 B L2 B' R' U' B2
D2 B L2 B' R2 U' B2
D2 B L2 B' U' B2 D
D2 B L2 B' U' B2 D'
D2 B L2 B' U' B2 D2
D2 B L2 B' D' R2 U'
D B L2 R2 B' U' F'
B' D2 B L2 B' U' B2
B2 D2 B L2 B' U' B2
B D2 B L2 B' U' B2
B' D2 B2 L2 B' U' B
D B R2 L' U' F' L'
D B R2 L2 B' U' F'
D B R2 U' F' D' L2
D B R2 U2 F U F2
B2 D2 B2 L2 B' U' B
B D2 B2 L2 B' U' B
B' F L2 R2 B U B2
B2 F L2 R2 B U B2
D' B D' L2 B' U' B'
B F L2 R2 B U B2
F B L2 R2 B U B2
B' F R2 L2 B U B2
B2 F R2 L2 B U B2
B' F R2 B L2 U B'
B' F R2 B U' F U2
U' B F' D' F2 L2 B'
B2 F R2 B L2 U B'
