B L R D' F' R2
B L R F' D' R2
B L R' D' R2 F'
B R L D' F' R2
B R L F' D' R2
B R D' L F' R2
B R D' F' L R2
B R D' F' R2 L
B R F' L D' R2
B R F' D' L R2
B R F' D' R2 L
B R' L D' R2 F'
B R' D' L R2 F'
B R' D' R2 L F'
B R' D' R2 F' L
B' U' R' B U2 B
L2 B R F' D L R2
L2 B R F' D R2 L
D B R D' L R2 F2
D B R D' L F2 R2
D B R D' R2 L F2
D B R D' R2 F2 L
D B R D' F2 L R2
D B R D' F2 R2 L
L B R L F' D R2
U2 B R' D' R2 F' L'
D B R' B2 U B2 L
F' B L R D' F' R2
F' B L R F' D' R2
F' B L R' D' R2 F'
F2 B L R D' F' R2
F2 B L R F' D' R2
F2 B L R' D' R2 F'
B F L R D' F' R2
B F L R F' D' R2
B F L R' D' R2 F'
R' B D L2 U2 L' B'
F B L R D' F' R2
F B L R F' D' R2
F B L R' D' R2 F'
D' B D' L' R2 F L2
D' B D' L' F L2 R2
D' B D' L' F R2 L2
D' B D' R2 L' F L2
F' B R L D' F' R2
F' B R L F' D' R2
F2 B R L D' F' R2
F2 B R L F' D' R2
F' B R D' L F' R2
F' B R D' F' L R2
F' B R D' F' R2 L
F' B R F' L D' R2
F' B R F' D' L R2
F' B R F' D' R2 L
F2 B R D' L F' R2
F2 B R D' F' L R2
F2 B R D' F' R2 L
F2 B R F' L D' R2
F' B R' L D' R2 F'
F2 B R F' D' L R2
F2 B R F' D' R2 L
B F R L D' F' R2
B F R L F' D' R2
F2 B R' L D' R2 F'
F' B R' D' L R2 F'
F' B R' D' R2 L F'
F' B R' D' R2 F' L
B F R D' L F' R2
B F R D' F' L R2
B F R D' F' R2 L
F B R L D' F' R2
F B R L F' D' R2
F2 B R' D' L R2 F'
F2 B R' D' R2 L F'
F2 B R' D' R2 F' L
B F R F' L D' R2
B F R F' D' L R2
B F R F' D' R2 L
F B R D' L F' R2
F B R D' F' L R2
F B R D' F' R2 L
B F R' L D' R2 F'
F B R F' L D' R2
F B R F' D' L R2
F B R F' D' R2 L
B F R' D' L R2 F'
B F R' D' R2 L F'
B F R' D' R2 F' L
F B R' L D' R2 F'
F B R' D' L R2 F'
F B R' D' R2 L F'
F B R' D' R2 F' L
B' F U' R' B U2 B
D2 B' L' U F B2 L
D2 B' L' U B2 F L
D2 B' U L' F B2 L
D2 B' U L' B2 F L
D2 B' U L2 B2 L F
B F' L R D' F' R2
B F' L R F' D' R2
B F' L R' D' R2 F'
D2 B' U B2 L' F L2
B F' R L D' F' R2
B F' R L F' D' R2
D B' U2 L U' B2 L
B F' R D' L F' R2
B F' R D' F' L R2
B F' R D' F' R2 L
B F' R F' L D' R2
B F' R F' D' L R2
B F' R F' D' R2 L
B F' R' L D' R2 F'
B F' R' D' L R2 F'
B F' R' D' R2 L F'
B F' R' D' R2 F' L
B' F' U' R' B U2 B
F' B' U' R' B U2 B
F2 B' U' R' B U2 B
D' B' F2 U B2 L F
F B' U' R' B U2 B
B F2 L R D' F' R2
B F2 L R F' D' R2
B F2 L R' D' R2 F'
B F2 R L D' F' R2
B F2 R L F' D' R2
B F2 R D' L F' R2
B F2 R D' F' L R2
B F2 R D' F' R2 L
B F2 R F' L D' R2
B F2 R F' D' L R2
B F2 R F' D' R2 L
B F2 R' L D' R2 F'
B F2 R' D' L R2 F'
B F2 R' D' R2 L F'
B F2 R' D' R2 F' L
B' F2 U' R' B U2 B
