F2 R F U R
F' U D R F'
F' D U R F'
U2 L' U2 F' U R
F2 R D F U R
F2 R D' F U R
F2 R D2 F U R
F2 R F U R D
F2 R F U R D'
F2 R F U R D2
F2 R F U D R
F2 R F U D' R
F2 R F U D2 R
F2 R F D U R
F2 R F D' U R
F2 R F D2 U R
F2 R F B U R
F2 R F B' U R
F2 R F B2 U R
F2 R B F U R
F2 R B' F U R
F2 R B2 F U R
L' U2 L F' U R
F2 R' F R2 U R'
L' U2 F' L U R
F2 R2 F R' U R2
F' U D R D F'
F' U D R D' F'
F' U D R D2 F'
F' U D R F' D
F' U D R F' D'
F' U D R F' D2
F' D R' U R2 F'
F2 D R F U R
F' D U R D F'
F' D U R D' F'
F' D U R D2 F'
F' D U R F' D
F' D U R F' D'
F' D U R F' D2
F' D B U R F'
F' D B' U R F'
F' D B2 U R F'
F2 D' R F U R
F2 D2 R F U R
F' D2 B R' U R2
F2 B R F U R
F' B U D R F'
F' B D U R F'
F2 B' R F U R
F' B' U D R F'
B' F' U D R F'
B2 F' U D R F'
B F' U D R F'
F' B' D U R F'
B' F' D U R F'
B2 F' D U R F'
B F' D U R F'
B' F2 R F U R
B2 F2 R F U R
F2 B2 R F U R
B F2 R F U R
F' B2 U D R F'
F' B2 D U R F'
F2 B R D F U R
F2 B R D' F U R
F2 B R D2 F U R
F2 B R F U R D
F2 B R F U R D'
F2 B R F U R D2
F2 B R F U D R
F2 B R F U D' R
F2 B R F U D2 R
F2 B R F D U R
F2 B R F D' U R
F2 B R F D2 U R
F2 B R F B U R
F2 B R F B' U R
F2 B R F B2 U R
F2 B R B F U R
F2 B R B' F U R
F2 B R B2 F U R
F2 B R' F R2 U R'
F2 B R2 F R' U R2
D2 B F2 R F U R2
F' B U D R D F'
F' B U D R D' F'
F' B U D R D2 F'
F' B U D R F' D
F' B U D R F' D'
F' B U D R F' D2
U2 B' L' U2 F' U R
F' B D R' U R2 F'
F' B D U R D F'
F' B D U R D' F'
F' B D U R D2 F'
F' B D U R F' D
F' B D U R F' D'
F' B D U R F' D2
F2 B D R F U R
F' B D B U R F'
F' B D B' U R F'
F' B D B2 U R F'
F2 B D' R F U R
F2 B D2 R F U R
F' B D2 B R' U R2
L' B' U2 F' L' U R
F2 B' R D F U R
F2 B' R D' F U R
F2 B' R D2 F U R
F2 B' R F U R D
F2 B' R F U R D'
F2 B' R F U R D2
F2 B' R F U D R
F2 B' R F U D' R
F2 B' R F U D2 R
F2 B' R F D U R
F2 B' R F D' U R
F2 B' R F D2 U R
F2 B' R F B U R
F2 B' R F B' U R
F2 B' R F B2 U R
F2 B' R B F U R
F2 B' R B' F U R
F2 B' R B2 F U R
F2 B' R' F R2 U R'
F2 B' R2 F R' U R2
B' F' U D R D F'
B' F' U D R D' F'
B' F' U D R D2 F'
B' F' U D R F' D
B' F' U D R F' D'
B' F' U D R F' D2
F' B' U D R D F'
F' B' U D R D' F'
F' B' U D R D2 F'
F' B' U D R F' D
F' B' U D R F' D'
F' B' U D R F' D2
B2 F' U D R D F'
B2 F' U D R D' F'
B2 F' U D R D2 F'
B2 F' U D R F' D
B2 F' U D R F' D'
B2 F' U D R F' D2
B F' U D R D F'
B F' U D R D' F'
B F' U D R D2 F'
B F' U D R F' D
B F' U D R F' D'
B F' U D R F' D2
B' F' D R' U R2 F'
B' F' D U R D F'
B' F' D U R D' F'
B' F' D U R D2 F'
B' F' D U R F' D
B' F' D U R F' D'
B' F' D U R F' D2
F' B' D R' U R2 F'
B' F' D B U R F'
F' B' D U R D F'
F' B' D U R D' F'
F' B' D U R D2 F'
F' B' D U R F' D
F' B' D U R F' D'
F' B' D U R F' D2
B' F' D B' U R F'
B2 F' D R' U R2 F'
B' F' D B2 U R F'
F2 B' D R F U R
B2 F' D U R D F'
B2 F' D U R D' F'
B2 F' D U R D2 F'
B2 F' D U R F' D
B2 F' D U R F' D'
B2 F' D U R F' D2
F' B' D B U R F'
F' B' D B' U R F'
F' B' D B2 U R F'
B2 F' D B U R F'
B2 F' D B' U R F'
B2 F' D B2 U R F'
B F' D R' U R2 F'
F2 B' D' R F U R
B F' D U R D F'
B F' D U R D' F'
B F' D U R D2 F'
B F' D U R F' D
B F' D U R F' D'
B F' D U R F' D2
B F' D B U R F'
B F' D B' U R F'
B F' D B2 U R F'
B' F' D2 B R' U R2
U2 B2 L' U2 F' U R
F2 B' D2 R F U R
F' B' D2 B R' U R2
B2 F' D2 B R' U R2
L2 B2 L2 F' R' U R2
B F' D2 B R' U R2
B' F2 R D F U R
B' F2 R D' F U R
B' F2 R D2 F U R
B' F2 R F U R D
B' F2 R F U R D'
B' F2 R F U R D2
B' F2 R F U D R
B' F2 R F U D' R
B' F2 R F U D2 R
B' F2 R F D U R
B' F2 R F D' U R
B' F2 R F D2 U R
B' F2 R F B U R
B' F2 R F B' U R
B' F2 R F B2 U R
B' F2 R B F U R
B' F2 R B' F U R
B' F2 R B2 F U R
B2 F2 R D F U R
B2 F2 R D' F U R
B2 F2 R D2 F U R
F2 B2 R D F U R
B2 F2 R F U R D
B2 F2 R F U R D'
B2 F2 R F U R D2
B2 F2 R F U D R
B2 F2 R F U D' R
B2 F2 R F U D2 R
B2 F2 R F D U R
F2 B2 R D' F U R
B2 F2 R F D' U R
B2 F2 R F D2 U R
B2 F2 R F B U R
B2 F2 R F B' U R
B2 F2 R F B2 U R
F2 B2 R D2 F U R
F2 B2 R F U R D
F2 B2 R F U R D'
F2 B2 R F U R D2
F2 B2 R F U D R
F2 B2 R F U D' R
F2 B2 R F U D2 R
F2 B2 R F D U R
F2 B2 R F D' U R
F2 B2 R F D2 U R
F2 B2 R F B U R
F2 B2 R F B' U R
F2 B2 R F B2 U R
B2 F2 R B F U R
B' F2 R' F R2 U R'
B2 F2 R B' F U R
B2 F2 R B2 F U R
F2 B2 R B F U R
F2 B2 R B' F U R
F2 B2 R B2 F U R
B F2 R D F U R
B F2 R D' F U R
B F2 R D2 F U R
B2 F2 R' F R2 U R'
B F2 R F U R D
B F2 R F U R D'
B F2 R F U R D2
B F2 R F U D R
B F2 R F U D' R
B F2 R F U D2 R
B F2 R F D U R
B F2 R F D' U R
B F2 R F D2 U R
B F2 R F B U R
B F2 R F B' U R
B F2 R F B2 U R
F2 B2 R' F R2 U R'
B F2 R B F U R
B' F2 R2 F R' U R2
B F2 R B' F U R
B F2 R B2 F U R
B2 F2 R2 F R' U R2
B F2 R' F R2 U R'
F2 B2 R2 F R' U R2
F' B2 U D R D F'
F' B2 U D R D' F'
F' B2 U D R D2 F'
F' B2 U D R F' D
F' B2 U D R F' D'
F' B2 U D R F' D2
B F2 R2 F R' U R2
B' F2 D R F U R
F' B2 D R' U R2 F'
F' B2 D U R D F'
F' B2 D U R D' F'
F' B2 D U R D2 F'
F' B2 D U R F' D
F' B2 D U R F' D'
F' B2 D U R F' D2
B2 F2 D R F U R
F2 B2 D R F U R
B' F2 D' R F U R
F' B2 D B U R F'
F' B2 D B' U R F'
F' B2 D B2 U R F'
B2 F2 D' R F U R
B F2 D R F U R
F2 B2 D' R F U R
B' F2 D2 R F U R
L2 B2 F' L2 R' U R2
L2 B2 F' R' L2 U R2
B2 F2 D2 R F U R
B F2 D' R F U R
F2 B2 D2 R F U R
F' B2 D2 B R' U R2
B F2 D2 R F U R
