F' R D R2 B
F' R' D B R2
F' R' B D R2
F' R D R2 D B
F' R D R2 D' B
F' R D R2 D2 B
F' R D R2 B D
F' R D R2 B D'
F' R D R2 B D2
F' R D B R2 B
F' R D B' R2 B
F' R D B2 R2 B
F' R B D R2 B
F' R B' D R2 B
F' R B2 D R2 B
F' R' U F2 U' B
F' R' D B R2 D
F' R' D B R2 D'
F' R' D B R2 D2
F' R' D B' R2 B2
F2 R' D F B R'
F' R' D B2 R2 B'
F2 R' D B R' F
F2 R' D B F R'
F' R' D' B D2 R2
F2 R' F D B R'
F' R' B R D R2
F' R' B R' D R2
F' R' B R2 D R2
F' R' B U F2 U'
F' R' B D R2 D
F' R' B D R2 D'
F' R' B D R2 D2
F R' F2 D B R2
F R' F2 B D R2
F' R' B2 D R2 B'
F' R' B2 D B' R2
F R' B F2 D R2
F' R2 D R B R
F' U R' F2 U' B
F' U F2 R' U' B
U F R' U' F2 B
U F R' U' B F2
F' D R' D' R' B
D' F' R' D R2 B2
D' F' R' D B2 R2
D' F' U R F2 U'
R' B R F' D R2
F' B R D R2 B
F' B R' D B R2
F' B R' B D R2
F' B' R D R2 B
B' F' R D R2 B
F' B' R' D B R2
B2 F' R D R2 B
F' B' R' B D R2
B' F' R' D B R2
B' F' R' B D R2
B2 F' R' D B R2
B F' R D R2 B
B2 F' R' B D R2
B F' R' D B R2
B F' R' B D R2
F' B2 R D R2 B
F' B2 R' D B R2
F' B2 R' B D R2
B2 D' F' R' D R2 B2
B2 D' F' R' D B2 R2
B2 D' F' U R F2 U'
B D' F' R' D R2 B2
B D' F' R' D B2 R2
B D' F' U R F2 U'
F' D2 L D' R2 B' L'
F' D2 L D' B' L' R2
F' D2 L D' B' R2 L'
U F2 D' F' R U' F2
F' D2 U' L B2 U B
F' D2 U' B2 L U B'
R' B R U F U' F2
R' B R D F' D R2
R' B R D' F' D R2
R' B R D2 F' D R2
R' B R F' R D R2
R' B R F' R' D R2
R' B R F' R2 D R2
R' B R F' U F2 U'
R' B R F' D R2 D
R' B R F' D R2 D'
R' B R F' D R2 D2
R' B R' F' D R2 F'
R' B U D' F L' U'
D B U F R' U' F2
R' B D' U F L' U'
F' B R D R2 D B
F' B R D R2 D' B
F' B R D R2 D2 B
F' B R D R2 B D
F' B R D R2 B D'
F' B R D R2 B D2
F' B R D B R2 B
F' B R D B' R2 B
F' B R D B2 R2 B
F' B R B D R2 B
F' B R B' D R2 B
F' B R B2 D R2 B
F' B R' U F2 U' B
B' F R' F2 D B R2
B' F R' F2 B D R2
F' B R' D B R2 D
F' B R' D B R2 D'
F' B R' D B R2 D2
F' B R' D B' R2 B2
F' B R' D B2 R2 B'
B' F R' B F2 D R2
F' B R' D' B D2 R2
F2 B R' D F B R'
F2 B R' D B R' F
F2 B R' D B F R'
F' B R' B R D R2
F' B R' B R' D R2
F' B R' B R2 D R2
F' B R' B U F2 U'
F' B R' B D R2 D
F' B R' B D R2 D'
F' B R' B D R2 D2
F2 B R' F D B R'
B2 F R' F2 D B R2
F' B R' B2 D R2 B'
F' B R' B2 D B' R2
B2 F R' F2 B D R2
B2 F R' B F2 D R2
R' B F' R D F' R2
R' B F' R' D R2 F'
F' B R2 D R B R
D' B F' R' D R2 B2
D' B F' R' D B2 R2
D' B F' U R F2 U'
B F R' F2 D B R2
B F R' F2 B D R2
B F R' B F2 D R2
F' B U R' F2 U' B
F B R' F2 D B R2
F B R' F2 B D R2
F B R' B F2 D R2
F' B U F2 R' U' B
D B F' R D R2 B2
D B F' R D B2 R2
D B F' U R' F2 U'
D B F' U F2 R' U'
F' B D R' D' R' B
R' B' R F' B2 D R2
R' B' R B2 F' D R2
B' F' R D R2 D B
B' F' R D R2 D' B
B' F' R D R2 D2 B
B' F' R D R2 B D
B' F' R D R2 B D'
B' F' R D R2 B D2
B' F' R D B R2 B
B' F' R D B' R2 B
B' F' R D B2 R2 B
F' B' R D R2 D B
F' B' R D R2 D' B
F' B' R D R2 D2 B
F' B' R D R2 B D
F' B' R D R2 B D'
F' B' R D R2 B D2
B' F' R B D R2 B
F' B' R D B R2 B
F' B' R D B' R2 B
F' B' R D B2 R2 B
B' F' R B' D R2 B
B' F' R B2 D R2 B
B2 F' R D R2 D B
B2 F' R D R2 D' B
B2 F' R D R2 D2 B
B2 F' R D R2 B D
B2 F' R D R2 B D'
B2 F' R D R2 B D2
B2 F' R D B R2 B
B2 F' R D B' R2 B
B2 F' R D B2 R2 B
B' F' R' U F2 U' B
F' B' R B D R2 B
F' B' R B' D R2 B
F' B' R B2 D R2 B
B' F' R' D B R2 D
B' F' R' D B R2 D'
B' F' R' D B R2 D2
B' F' R' D B' R2 B2
B' F' R' D B2 R2 B'
B2 F' R B D R2 B
B' F' R' D' B D2 R2
B2 F' R B' D R2 B
B2 F' R B2 D R2 B
F' B' R' U F2 U' B
B' F' R' B R D R2
B' F' R' B R' D R2
B' F' R' B R2 D R2
B' F' R' B U F2 U'
B' F' R' B D R2 D
B' F' R' B D R2 D'
B' F' R' B D R2 D2
B2 F' R' U F2 U' B
F' B' R' D B R2 D
F' B' R' D B R2 D'
F' B' R' D B R2 D2
F' B' R' D B' R2 B2
F' B' R' D B2 R2 B'
F' B' R' D' B D2 R2
B' F' R' B2 D R2 B'
B' F' R' B2 D B' R2
B F' R D R2 D B
B F' R D R2 D' B
B F' R D R2 D2 B
B F' R D R2 B D
B F' R D R2 B D'
B F' R D R2 B D2
B F' R D B R2 B
B F' R D B' R2 B
B F' R D B2 R2 B
B2 F' R' D B R2 D
B2 F' R' D B R2 D'
B2 F' R' D B R2 D2
B2 F' R' D B' R2 B2
B2 F' R' D B2 R2 B'
B2 F' R' D' B D2 R2
F2 B' R' D F B R'
F2 B' R' D B R' F
F2 B' R' D B F R'
F' B' R' B R D R2
F' B' R' B R' D R2
F' B' R' B R2 D R2
F' B' R' B U F2 U'
F' B' R' B D R2 D
F' B' R' B D R2 D'
F' B' R' B D R2 D2
F2 B' R' F D B R'
B' F' R2 D R B R
F' B' R' B2 D R2 B'
F' B' R' B2 D B' R2
B2 F' R' B R D R2
B2 F' R' B R' D R2
B2 F' R' B R2 D R2
B F' R B D R2 B
B2 F' R' B U F2 U'
B2 F' R' B D R2 D
B2 F' R' B D R2 D'
B2 F' R' B D R2 D2
B F' R B' D R2 B
B F' R B2 D R2 B
B2 F' R' B2 D R2 B'
B2 F' R' B2 D B' R2
F' B' R2 D R B R
B F' R' U F2 U' B
B2 F' R2 D R B R
B F' R' D B R2 D
B F' R' D B R2 D'
B F' R' D B R2 D2
B F' R' D B' R2 B2
B F' R' D B2 R2 B'
B F' R' D' B D2 R2
B' F' U R' F2 U' B
B F' R' B R D R2
B F' R' B R' D R2
B F' R' B R2 D R2
B F' R' B U F2 U'
B F' R' B D R2 D
B F' R' B D R2 D'
B F' R' B D R2 D2
B F' R' B2 D R2 B'
B F' R' B2 D B' R2
B' F' U F2 R' U' B
F' B' U R' F2 U' B
F B' R' F2 D B R2
B2 F' U R' F2 U' B
F B' R' F2 B D R2
B F' R2 D R B R
F B' R' B F2 D R2
F' B' U F2 R' U' B
B2 F' U F2 R' U' B
B F' U R' F2 U' B
D' B' F' R' D R2 B2
D' B' F' R' D B2 R2
B F' U F2 R' U' B
D' B' F' U R F2 U'
B' F' D R' D' R' B
F' B' D R' D' R' B
B2 F' D R' D' R' B
B F' D R' D' R' B
R' B2 R F' D R2 B'
R' B2 R F' D B' R2
R' B2 R F' B' D R2
R' B2 R B' F' D R2
F' B2 R D R2 D B
F' B2 R D R2 D' B
F' B2 R D R2 D2 B
F' B2 R D R2 B D
F' B2 R D R2 B D'
F' B2 R D R2 B D2
F' B2 R D B R2 B
F' B2 R D B' R2 B
F' B2 R D B2 R2 B
F' B2 R B D R2 B
F' B2 R B' D R2 B
B' F2 R' D F B R'
B' F2 R' D B R' F
B' F2 R' D B F R'
F' B2 R B2 D R2 B
B' F2 R' F D B R'
F' B2 R' U F2 U' B
F' B2 R' D B R2 D
F' B2 R' D B R2 D'
F' B2 R' D B R2 D2
F' B2 R' D B' R2 B2
F' B2 R' D B2 R2 B'
F' B2 R' D' B D2 R2
B2 F2 R' D F B R'
B2 F2 R' D B R' F
B2 F2 R' D B F R'
F2 B2 R' D F B R'
F2 B2 R' D B R' F
F2 B2 R' D B F R'
F' B2 R' B R D R2
F' B2 R' B R' D R2
F' B2 R' B R2 D R2
F' B2 R' B U F2 U'
F' B2 R' B D R2 D
F' B2 R' B D R2 D'
F' B2 R' B D R2 D2
B2 F2 R' F D B R'
F' B2 R' B2 D R2 B'
F' B2 R' B2 D B' R2
F2 B2 R' F D B R'
F' B2 R2 D R B R
B F2 R' D F B R'
B F2 R' D B R' F
B F2 R' D B F R'
B F2 R' F D B R'
F' B2 U R' F2 U' B
F B2 R' F2 D B R2
F B2 R' F2 B D R2
F B2 R' B F2 D R2
F' B2 U F2 R' U' B
F' B2 D R' D' R' B
D' B2 F' R' D R2 B2
D' B2 F' R' D B2 R2
D' B2 F' U R F2 U'
