D L D2 R2 B' L
D L D2 B' L R2
D L D2 B' R2 L
D L' F U2 L' F'
D' L2 B2 R' B L
U2 D L' F U2 L'
D U2 L' F U2 L'
D R' L' F U2 L' F'
D R' U2 L' F U2 L'
U2 R' D L' F U2 L'
D' R' B U2 L' R' U2
D' R' B U2 R' L' U2
D' R' B' L B2 D2 R2
D' R' B' L2 B2 L' R'
D' R' B' L2 B2 R' L'
R' U2 D L' F U2 L'
R2 U2 D L' F U2 L'
R U2 D L' F U2 L'
D R2 L D2 R2 B' L
D R2 L D2 B' L R2
D R2 L D2 B' R2 L
D R2 L' F U2 L' F'
D' R2 U2 L' U2 B' L
D R2 U2 L' F U2 L'
U2 R2 D L' F U2 L'
R' D L D2 R2 B' L
R' D L D2 B' L R2
R' D L D2 B' R2 L
R2 D L D2 R2 B' L
R2 D L D2 B' L R2
R2 D L D2 B' R2 L
R' D L' F U2 L' F'
R D L D2 R2 B' L
R D L D2 B' L R2
R D L D2 B' R2 L
R2 D L' F U2 L' F'
R D L' F U2 L' F'
R' D U2 L' F U2 L'
R2 D U2 L' F U2 L'
U2 D L' R F U2 L'
U2 D L' R' F U2 L'
U2 D L' R2 F U2 L'
R D U2 L' F U2 L'
U2 D L' F R U2 L'
U2 D L' F R' U2 L'
U2 D L' F R2 U2 L'
U2 D L' F U2 L' D
U2 D L' F U2 L' D'
U2 D L' F U2 L' D2
U2 D L' F U2 D L'
U2 D L' F U2 D' L'
U2 D L' F U2 D2 L'
U2 D L' F D U2 L'
U2 D L' F D' U2 L'
U2 D L' F D2 U2 L'
U2 D L' F' R F2 U2
U2 D R L' F U2 L'
U2 D R' L' F U2 L'
U2 D R2 L' F U2 L'
R' D' L2 B2 R' B L
R2 D' L2 B2 R' B L
R D' L2 B2 R' B L
D U2 L' R F U2 L'
D U2 L' R' F U2 L'
D U2 L' R2 F U2 L'
D U2 L' F R U2 L'
D U2 L' F R' U2 L'
D U2 L' F R2 U2 L'
D U2 L' F U2 L' D
D U2 L' F U2 L' D'
D U2 L' F U2 L' D2
D U2 L' F U2 D L'
D U2 L' F U2 D' L'
D U2 L' F U2 D2 L'
D U2 L' F D U2 L'
D U2 L' F D' U2 L'
D U2 L' F D2 U2 L'
D U2 L' F' R F2 U2
D U2 R L' F U2 L'
D U2 R' L' F U2 L'
D U2 R2 L' F U2 L'
B' U2 L' U F L2 U
D' F2 R F2 L2 B' L
D' F2 R' B R2 F2 L'
D B L D2 R2 B' L
D B L D2 B' L R2
D B L D2 B' R2 L
D' B L2 B2 L R' B
D' B L2 B2 R' L B
D B L' F U2 L' F'
D' B U2 L' R' U2 B
D' B U2 R' L' U2 B
D B U2 L' F U2 L'
D' B' L R D2 R2 B
D' B' L R' D2 B R2
D' B' L R' B D2 R2
D B' L D2 R2 B' L
D B' L D2 B' L R2
D B' L D2 B' R2 L
D' B' L2 B2 L' R' B
D' B' L2 B2 R' L' B
D' B' L2 B2 R' B L'
D' B' R L D2 R2 B
D B' L' F U2 L' F'
D' B' R' L D2 B R2
D' B' R' L B D2 R2
D B' U2 L' F U2 L'
D' B' D2 L D2 R2 B'
D' B' D2 L D2 B' R2
D' B' D2 L B' D2 R2
D B2 L D2 R2 B' L
D B2 L D2 B' L R2
D B2 L D2 B' R2 L
D B2 L' F U2 L' F'
D' B2 R' B L D2 R2
D B2 U2 L' F U2 L'
