R F U' L'
B' R F U' L'
B R F U' L'
B2 R F U' L'
R' F R2 U' L'
R2 F R' U' L'
R F U' L' D
R F U' L' D'
R F U' L' D2
R F U' D L'
R F U' D' L'
R F U' D2 L'
R F D U' L'
R F D' U' L'
R F D2 U' L'
R F B U' L'
R F B' U' L'
R F B2 U' L'
R B F U' L'
R B' F U' L'
R B2 F U' L'
D R B' F U' D' L2
D R B' F U2 F2 U
D R B' F D' U' L2
D R B' F D2 B2 U'
B R B' F U' L' D
B R B' F U' L' D'
B R B' F U' L' D2
B R B' F U' D L'
B R B' F U' D' L'
B R B' F U' D2 L'
B R B' F D U' L'
B R B' F D' U' L'
B R B' F D2 U' L'
D' R B2 D F U' L'
B' R B2 F U' L' D
B' R B2 F U' L' D'
B' R B2 F U' L' D2
B' R B2 F U' D L'
B' R B2 F U' D' L'
B' R B2 F U' D2 L'
B' R B2 F D U' L'
B' R B2 F D' U' L'
B' R B2 F D2 U' L'
U' R B2 F U' L' F'
B2 R B2 F U' L' D
B2 R B2 F U' L' D'
B2 R B2 F U' L' D2
B2 R B2 F U' D L'
B2 R B2 F U' D' L'
B2 R B2 F U' D2 L'
B2 R B2 F D U' L'
B2 R B2 F D' U' L'
B2 R B2 F D2 U' L'
U2 R B2 F L U' L2
D R B2 F U' D' L2
D R B2 F U2 F2 U
D R B2 F D' U' L2
D R B2 F D2 B2 U'
B R B2 F U' L' D
B R B2 F U' L' D'
B R B2 F U' L' D2
B R B2 F U' D L'
B R B2 F U' D' L'
B R B2 F U' D2 L'
B R B2 F D U' L'
B R B2 F D' U' L'
B R B2 F D2 U' L'
U' R' U R2 F U' L'
U' R' U F R2 U' L'
F R' U' L2 D' L B'
U R' U' R2 F U' L'
F R' U' D' L B' L2
U R' U' F R2 U' L'
D' R' D F U' L' B2
D' R' D F U' B2 L'
F R' D R' U' L' B
F R' D R' U' B L'
D R' D F B U' B
D R' D B F U' B
F R' D' U' L B' L2
D2 R' F R2 B' U' L
L U2 L' R F U' L'
B' R' F R2 U' L' D
B' R' F R2 U' L' D'
B' R' F R2 U' L' D2
B' R' F R2 U' D L'
B' R' F R2 U' D' L'
B' R' F R2 U' D2 L'
B' R' F R2 D U' L'
B' R' F R2 D' U' L'
B' R' F R2 D2 U' L'
B' R' F R2 B U' L'
B' R' F R2 B' U' L'
B' R' F R2 B2 U' L'
B' R' F U' L' D B2
B' R' F U' D L' B2
B' R' F U' D B2 L'
B2 R' F R2 U' L' D
B2 R' F R2 U' L' D'
B2 R' F R2 U' L' D2
B2 R' F R2 U' D L'
B2 R' F R2 U' D' L'
B2 R' F R2 U' D2 L'
B2 R' F R2 D U' L'
B2 R' F R2 D' U' L'
B2 R' F R2 D2 U' L'
B2 R' F R2 B U' L'
B2 R' F R2 B' U' L'
B2 R' F R2 B2 U' L'
B' R' F D U' L' B2
B' R' F D U' B2 L'
F R' D2 B R' U' L'
B2 R' F U' L' D B2
B2 R' F U' D L' B2
B2 R' F U' D B2 L'
D2 R' F B' R2 U' L
F R' D2 B2 U' L' B'
B' R' F B R2 U' L'
L2 U2 L2 R F U' L'
B2 R' F D U' L' B2
B2 R' F D U' B2 L'
B' R' F B' R2 U' L'
D R' F R2 U2 F' U
B R' F R2 U' L' D
B R' F R2 U' L' D'
B R' F R2 U' L' D2
B R' F R2 U' D L'
B R' F R2 U' D' L'
B R' F R2 U' D2 L'
B R' F R2 D U' L'
B' R' F B2 R2 U' L'
B R' F R2 D' U' L'
B R' F R2 D2 U' L'
B R' F R2 B U' L'
B R' F R2 B' U' L'
B R' F R2 B2 U' L'
B R' F U' L' D B2
B2 R' F B R2 U' L'
B R' F U' D L' B2
B R' F U' D B2 L'
B2 R' F B' R2 U' L'
B2 R' F B2 R2 U' L'
D R' F D B U' B
B R' F D U' L' B2
B R' F D U' B2 L'
D R' F B R2 U' D
D R' F B R2 U' D'
D R' F B R2 U' D2
D R' F B R2 D U'
D R' F B R2 D' U'
D R' F B R2 D2 U'
D R' F B U' D B2
D R' F B D U' B2
B R' F B R2 U' L'
D R' F B' R2 B2 U'
B R' F B' R2 U' L'
D R' F B2 R2 B' U'
B R' F B2 R2 U' L'
L2 U2 R L2 F U' L'
F R' F' R F U' L'
D R' F' B R2 F2 U'
L U2 R L' F U' L'
B' R' B R2 F U' L'
B2 R' B R2 F U' L'
B' R' B F R2 U' L'
D R' B R' F R' U'
D R' B R2 D F U'
D R' B R2 D' F U'
D R' B R2 D2 F U'
D R' B R2 F U' D
D R' B R2 F U' D'
D R' B R2 F U' D2
D R' B R2 F D U'
D R' B R2 F D' U'
D R' B R2 F D2 U'
B R' B R2 F U' L'
B2 R' B F R2 U' L'
D2 R' B' R2 F U' L
D R' B D F U' B2
B' R' B' R2 F U' L'
D R' B F R2 U' D
D R' B F R2 U' D'
D R' B F R2 U' D2
D R' B F R2 D U'
D R' B F R2 D' U'
D R' B F R2 D2 U'
D R' B F U' D B2
B R' B F R2 U' L'
D R' B F D U' B2
D R' B F' R2 F2 U'
B2 R' B' R2 F U' L'
D2 R' B' F R2 U' L
B' R' B' F R2 U' L'
D R' B' R2 F B2 U'
B R' B' R2 F U' L'
D R' B' R2 B2 F U'
B2 R' B' F R2 U' L'
B' R' B2 R2 F U' L'
D R' B' F R2 B2 U'
B R' B' F R2 U' L'
B2 R' B2 R2 F U' L'
B' R' B2 F R2 U' L'
D R' B2 R2 F B' U'
B R' B2 R2 F U' L'
D R' B2 R2 B' F U'
R' U2 D2 L2 B' U L
B2 R' B2 F R2 U' L'
B R' B2 F R2 U' L'
D R' B2 F R2 B' U'
U' R2 U R' F U' L'
U' R2 U F R' U' L'
R U2 F' U2 F2 U' L'
F R2 U' L2 D' L B'
F2 R2 U2 L' B U L
F R2 U' D' L B' L2
U R2 U' R' F U' L'
U R2 U' F R' U' L'
F2 R2 U2 B L' U L2
R U2 B U2 F U' L'
D' R2 D R' F U' L'
B' R2 D R' F B U'
B' R2 D R' B F U'
D' R2 D F R' U' L'
B2 R2 D R' F B U'
B2 R2 D R' B F U'
B' R2 D F R' B U'
B2 R2 D F R' B U'
B R2 D R' F B U'
B R2 D R' B F U'
R U2 B' U2 F U' L'
D2 R2 D' R' F B U'
D2 R2 D' R' B F U'
F R2 D R' U' L' B
F R2 D R' U' B L'
B R2 D F R' B U'
D2 R2 D' F R' B U'
D2 R2 D2 R' F U' L'
D' R2 D2 R' F B U'
R U2 B2 U2 F U' L'
D' R2 D2 R' B F U'
F R2 D' U' L B' L2
D2 R2 D2 F R' U' L'
D' R2 D2 F R' B U'
D2 R2 F R' B' U' L
B' R2 F R' U' L' D
B' R2 F R' U' L' D'
B' R2 F R' U' L' D2
B' R2 F R' U' D L'
B' R2 F R' U' D' L'
B' R2 F R' U' D2 L'
B' R2 F R' D U' L'
B' R2 F R' D' U' L'
B' R2 F R' D2 U' L'
B' R2 F R' B U' L'
B' R2 F R' B' U' L'
B' R2 F R' B2 U' L'
B2 R2 F R' U' L' D
B2 R2 F R' U' L' D'
B2 R2 F R' U' L' D2
B2 R2 F R' U' D L'
B2 R2 F R' U' D' L'
B2 R2 F R' U' D2 L'
B2 R2 F R' D U' L'
B2 R2 F R' D' U' L'
B2 R2 F R' D2 U' L'
B2 R2 F R' B U' L'
B2 R2 F R' B' U' L'
B2 R2 F R' B2 U' L'
D2 R2 F D' R' B U'
B' R2 F D R' U' L'
D' R2 F D2 R' B U'
B' R2 F D' R' U' L'
B' R2 F D2 R' U' L'
F R2 D2 B R' U' L'
B2 R2 F D R' U' L'
B' R2 F B U' L' B'
B2 R2 F D' R' U' L'
F R2 D2 B2 U' L' B'
D R2 F R B R2 U'
B2 R2 F D2 R' U' L'
B R2 F R' U' L' D
B R2 F R' U' L' D'
B R2 F R' U' L' D2
B R2 F R' U' D L'
B R2 F R' U' D' L'
B R2 F R' U' D2 L'
B R2 F R' D U' L'
D R2 F R' U2 F' U
B R2 F R' D' U' L'
B R2 F R' D2 U' L'
B R2 F R' B U' L'
B R2 F R' B' U' L'
B R2 F R' B2 U' L'
B2 R2 F B U' L' B'
B R2 F D R' U' L'
B R2 F D' R' U' L'
B R2 F D2 R' U' L'
B R2 F B U' L' B'
F R2 F' R F U' L'
R' D R' F B U' B
R' D R' B F U' B
R2 D R' D F B U'
R2 D R' D B F U'
R2 D R' D' F B U'
R2 D R' D' B F U'
R2 D R' D2 F B U'
R2 D R' D2 B F U'
R2 D R' F D B U'
R2 D R' F D' B U'
R2 D R' F D2 B U'
R2 D R' F B U' D
R2 D R' F B U' D'
R2 D R' F B U' D2
R2 D R' F B D U'
R2 D R' F B D' U'
R2 D R' F B D2 U'
B' R2 B F U' L' B'
R2 D R' B D F U'
R2 D R' B D' F U'
R2 D R' B D2 F U'
R2 D R' B F U' D
R2 D R' B F U' D'
R2 D R' B F U' D2
R2 D R' B F D U'
R2 D R' B F D' U'
R2 D R' B F D2 U'
B2 R2 B F U' L' B'
R D R' B R F U'
B R2 B F U' L' B'
R' D F R' B U' B
R2 D F R' D B U'
R2 D F R' D' B U'
R2 D F R' D2 B U'
R2 D F R' B U' D
R2 D F R' B U' D'
R2 D F R' B U' D2
R2 D F R' B D U'
R2 D F R' B D' U'
R2 D F R' B D2 U'
R D F R' B R U'
R2 D F' R' F2 B U'
R2 D F' R' B F2 U'
R D F D B' U' L
R D B D' F U' L'
F' U D R U2 R B
L' D' L R F B' U'
L' D' L R B' F U'
R D B' D' F U' L'
F U D R' U2 L' B
F U D R' U2 B L'
F U D R2 U2 L' B'
F U D F2 R F' U2
L' D' L B' R F U'
R D B2 D' F U' L'
R D' L B' L' F U'
L' D' R L F B' U'
L' D' R L B' F U'
R2 D' R' D F U' L'
F U' L' R D R' B
R2 D' F D2 R' B U'
R D' F L B' L' U'
F U' L' D R' B R
F U' L' D' L B' L'
R D' F D' B' U' L
B' U' R F U' L' F'
B2 U' R F U' L' F'
F U' L2 D' L D B'
F U' L2 D' L D' B'
F U' L2 D' L D2 B'
F U' L2 D' L B' D
F U' L2 D' L B' D'
F U' L2 D' L B' D2
F U' R L' D R' B
B U' R F U' L' F'
F U' R D L' R' B
F U' R D R' L' B
F U' R D R' B L'
R D' B D F U' L'
R D' B' D F U' L'
F U' D L' R' B R
F U' D L2 D2 L B'
F U' D R' L' B R
F U' D R' B L' R
F U' D R' B R L'
R D' B2 D F U' L'
F U' D' L B L2 B2
F U' D' L B' L2 D
F U' D' L B' L2 D'
F U' D' L B' L2 D2
F U' D' L B2 L2 B
F U' D' L' U2 F U2
F U' D' B L B' L2
F U' D' B' L B' L2
F U' D' B2 L B' L2
F U' D2 L2 D L B'
F U' D2 B' L' D' B2
R2 D2 R' D2 F U' L'
R2 D2 R' F B' U' L
R2 D2 R' B' F U' L
F U' B L2 D' L B'
F U' B D' L B' L2
F U' B' L2 D' L B'
R' D2 U2 L2 B' U L
F U' B' D' L B' L2
F U' B2 L2 D' L B'
F U' B2 D' L B' L2
F2 U2 L' U2 F' U' L'
F U2 L F L' U L'
R2 D2 F R' B' U' L
R2 D2 F D' R' B U'
F U2 L' F L' U L
R D2 F U' B' L B
R D2 F B U R' U2
R D2 F B' U' L D
R D2 F B' U' L D'
R D2 F B' U' L D2
R D2 F B' U' D L
R D2 F B' U' D' L
R D2 F B' U' D2 L
R D2 F B' D U' L
R D2 F B' D' U' L
R D2 F B' D2 U' L
F U2 L2 U D' L B'
F U2 L2 D' U L B'
F U2 L2 F L' U L2
R D2 B F U R' U2
R D2 B' D F U' L
R D2 B' D' F U' L
R D2 B' D2 F U' L
R D2 B' F U' L D
R D2 B' F U' L D'
R D2 B' F U' L D2
