B U L B R'
U' L U F U B2
B L' U L2 B R'
B L' U B L2 R'
B L' U B R' L2
B L2 U L' B R'
B L2 U B L' R'
B L2 U B R' L'
B U L B R' D
B U L B R' D'
B U L B R' D2
B U L B D R'
B U L B D' R'
B U L B D2 R'
B U L' B L2 R'
B U L' B R' L2
B U L2 B L' R'
B U L2 B R' L'
U2 F' U' B2 L' R'
U2 F' U' B2 R' L'
F' B U L B R'
F2 B U L B R'
B F U L B R'
F B U L B R'
B F' U L B R'
U B2 R' U' F' U
B F2 U L B R'
F' B U L B R' D'
F' B U L B R' D2
F' B U L B D R'
F' B U L B D' R'
F' B U L B D2 R'
F' B U L' B L2 R'
F' B U L' B R' L2
F' B U L2 B L' R'
F' B U L2 B R' L'
F2 B U L B R' D
F2 B U L B R' D'
F2 B U L B R' D2
F2 B U L B D R'
F2 B U L B D' R'
F2 B U L B D2 R'
U2 B F' U' L' B R'
F2 B U L' B L2 R'
F2 B U L' B R' L2
U2 B F' U' B L' R'
U2 B F' U' B R' L'
F2 B U L2 B L' R'
F2 B U L2 B R' L'
L2 B F2 U L B R
B F U L B R' D
B F U L B R' D'
B F U L B R' D2
B F U L B D R'
B F U L B D' R'
B F U L B D2 R'
B F U L' B L2 R'
B F U L' B R' L2
B F U L2 B L' R'
B F U L2 B R' L'
F B U L B R' D
F B U L B R' D'
F B U L B R' D2
F B U L B D R'
F B U L B D' R'
F B U L B D2 R'
F B U L' B L2 R'
F B U L' B R' L2
F B U L2 B L' R'
F B U L2 B R' L'
U B' R B' R' D L2
U B' R B' D L2 R'
U B' R B' D R' L2
L B' R' U R U B'
L' B' U' L2 R' F U2
L' B' U' L2 F R' U2
L' B' U' R' L2 F U2
B F' L' U L2 B R'
U B' R2 D B' L R'
U B' R2 D B' R' L
B F' L' U B L2 R'
B F' L' U B R' L2
B F' L2 U L' B R'
B F' L2 U B L' R'
B F' L2 U B R' L'
L' B' D' B2 U L B
B F' U L B R' D
B F' U L B R' D'
B F' U L B R' D2
B F' U L B D R'
B F' U L B D' R'
B F' U L B D2 R'
B F' U L' B L2 R'
B F' U L' B R' L2
B F' U L2 B L' R'
B F' U L2 B R' L'
U B2 L R' U' F' U
U B2 L' R' U' F' U
U B2 L2 R' U' F' U
B F2 L' U L2 B R'
B F2 L' U B L2 R'
B F2 L' U B R' L2
U B2 R U B U' R2
B F2 L2 U L' B R'
B F2 L2 U B L' R'
B F2 L2 U B R' L'
U B2 R' L U' F' U
U B2 R' L' U' F' U
U B2 R' L2 U' F' U
U B2 R' U' D F' U
U B2 R' U' D' F' U
U B2 R' U' D2 F' U
U B2 R' U' F' U D
U B2 R' U' F' U D'
U B2 R' U' F' U D2
U B2 R' U' F' D U
U B2 R' U' F' D' U
U B2 R' U' F' D2 U
U B2 R' D U' F' U
U B2 R' D' U' F' U
U B2 R' D2 U' F' U
U B2 R' F D' L2 F'
U B2 R' F D' F' L2
U B2 U F' U' L' R'
U B2 U F' U' R' L'
B F2 U L B R' D
B F2 U L B R' D'
B F2 U L B R' D2
B F2 U L B D R'
B F2 U L B D' R'
B F2 U L B D2 R'
B F2 U L' B L2 R'
B F2 U L' B R' L2
B F2 U L2 B L' R'
B F2 U L2 B R' L'
U B2 D R' U' F' U
U B2 D' R' U' F' U
U B2 D2 R' U' F' U
U B2 F' R' F D' L2
