B L U L' B' U2
B L' U L U2 F
B' L' B2 U' R' F'
R U' R' B U' F'
F' U' L' B U' B'
B U2 R U R' F'
B U2 B' R' U R
U' B R' U' F' B'
U' B R' U' B' F'
L B U L' B' U2
F' B L' U L U2
B F U2 R U R'
F B U2 R U R'
F' B' L' B2 U' R'
B' F' L' B2 U' R'
B F' L' U L U2
B L' D' U L U2 F
B L' D2 U L U2 F
B L' F' L' U L2 U2
B L' F' L' U' D2 R2
B L' F' L' D F2 U'
B L' F' L' D2 U' R2
B' L' F' B2 L' U' R'
U' L' B R' U' F' B'
U' L' B R' U' B' F'
F' L' B U' B R' B'
F' L' B U2 B U R'
F' L' B D2 F' U' R
B' L' B2 L U' R' F'
B' L' B2 L' U' R' F'
B' L' B2 L2 U' R' F'
B' L' B2 U' R' D F'
B' L' B2 U' R' D' F'
B' L' B2 U' R' D2 F'
B' L' B2 U' R' F' D
B' L' B2 U' R' F' D'
B' L' B2 U' R' F' D2
B' L' B2 U' D R' F'
B' L' B2 U' D' R' F'
B' L' B2 U' D2 R' F'
B' L' B2 U' F R' F'
B' L' B2 U' F' R' F'
B' L' B2 U' F2 R' F'
B' L' B2 D U' R' F'
B' L' B2 D' U' R' F'
B' L' B2 D2 U' R' F'
B' L' B2 F' L' U' R'
B L2 U L' B' L' U2
B L2 U' R D2 R2 F'
B L2 U' R' D2 F' R2
B L2 U' R' F' D2 R2
B L2 U' D2 R' F' R'
F' L2 D L F2 B U'
F' L2 D L B F2 U'
F' L2 D F2 L B U'
B L2 D F' L' F' U'
F L2 D F2 L' B U'
F L2 D F2 B L' U'
F L2 D B F2 L' U'
L' U L U' B U' F
F' L2 D2 L B U' R2
B L2 D2 U' R' F' R'
B L2 D2 F' L' U' R2
L U L' B' U' B2 U'
L U L' B' U2 D L2
L U L' B' D U2 L2
L U L' B' D' R2 U2
B L2 F D F2 L' U'
B L2 F' L' U L' U2
B L2 F' L' F2 U' R
B L2 F' D L' F2 U'
B L2 F' D2 L' U' R2
U' L2 B R' U' F' B'
U' L2 B R' U' B' F'
F L2 B D F2 L' U'
F' R U' L' R' B U'
D2 R U' R' B U' F'
F' R U' R' L' B U'
D' R U' R' B U' F'
F' R U' R' B L' U'
B' R U' R' B2 U' F'
B2 R U' R' B' U' F'
D R U' R' B U' F'
F R U2 R' B U' R
R U' L R' B U' F'
R U' L' R' B U' F'
R U' L2 R' B U' F'
R U' R' L B U' F'
R U' R' L' B U' F'
R U' R' L2 B U' F'
R U' R' D B U' F'
R U' R' D' B U' F'
R U' R' D2 B U' F'
R U' R' B L U' F'
R U' R' B L' U' F'
R U' R' B L2 U' F'
R U' R' B U' D F'
R U' R' B U' D' F'
R U' R' B U' D2 F'
R U' R' B U' F' D
R U' R' B U' F' D'
R U' R' B U' F' D2
R U' R' B D U' F'
R U' R' B D' U' F'
R U' R' B D2 U' F'
U2 R' U R' F' L' R2
U2 R' U R' F' R2 L'
R U2 R' B L U' R
U' R' B' U' F' B L
U' R' B' U' B L F'
U' R' B' U' B F' L
U2 R' B' R' F' U R2
R2 U2 R2 B L U' R2
F' R2 U' L' R2 B U'
F' R2 U' R2 L' B U'
F' R2 U' R2 B L' U'
U2 R2 F' R' U R' F'
U2 R2 F' U R' F' R'
U2 R2 F' B' R' U R'
U2 R2 B' F' R' U R'
L2 D F' L' F' B U'
L2 D F' L' B F' U'
B U L' B' U B U
L2 D F' B L' F' U'
L2 D B F' L' F' U'
L D B U L' B' U2
U' D B R' U' F' B'
U' D B R' U' B' F'
B U B U B' R' U
F' U' L' D B U' B'
F' U' L' D' B U' B'
F' U' L' D2 B U' B'
F' U' L' B R U' B'
F' U' L' B R' U' B'
F' U' L' B R2 U' B'
F' U' L' B U' D B'
F' U' L' B U' D' B'
F' U' L' B U' D2 B'
F' U' L' B U' B' D
F' U' L' B U' B' D'
F' U' L' B U' B' D2
F' U' L' B D U' B'
F' U' L' B D' U' B'
F' U' L' B D2 U' B'
B U' R F2 D R2 F'
B' U' R' B2 U' F' B2
B' U' R' B2 U' B2 F'
B2 U' R' B' U' F' B
B2 U' R' B' U' B F'
B U' R' F' U F U'
B U' R' F2 D R2 F
B U' R' F2 D F R2
L D' B U L' B' U2
F' U' D L' B U' B'
D' U' B R' U' F' B'
D' U' B R' U' B' F'
U' D' B R' U' F' B'
U' D' B R' U' B' F'
D2 U' B R' U' F' B'
D2 U' B R' U' B' F'
F' U' D' L' B U' B'
D U' B R' U' F' B'
D U' B R' U' B' F'
F' U' D2 L' B U' B'
B U' F R' D' F' R
B U' F U F' L' U'
B U' F' R' F' D R2
B U' F2 R D R2 F'
B U' F2 R' D F' R2
B U' F2 D R' F' R'
F' U' B' L' B2 U' B'
F U' B U2 R U B'
B' U' B2 R' U' F' B2
B' U' B2 R' U' B2 F'
L2 D2 F' L' B U' R2
L2 D2 F' B L' U' R2
U' D2 B R' U' F' B'
U' D2 B R' U' B' F'
B U2 R U R' D F'
B U2 R U R' D' F'
B U2 R U R' D2 F'
B U2 R U R' F' D
B U2 R U R' F' D'
B U2 R U R' F' D2
B U2 R U D R' F'
B U2 R U D' R' F'
B U2 R U D2 R' F'
B U2 R U F R' F'
B U2 R U F' R' F'
B U2 R U F2 R' F'
B U2 R D U R' F'
B U2 R D' U R' F'
B U2 R D2 U R' F'
L2 D2 B U' R' F' R'
B U2 R' U R' F' R2
L2 D2 B F' L' U' R2
B U2 R' B' R' U R2
F2 U2 R2 F' R U R
L D2 B U L' B' U2
B U2 R2 U R' F' R'
B U2 R2 B' R' U R'
F U2 R2 F' R' U R'
B U2 D R U R' F'
B U2 D B' R' U R
B U2 D' R U R' F'
B U2 D' B' R' U R
B U2 D2 R U R' F'
B U2 D2 B' R' U R
U' F U F' L' B U'
U' F U F' B L' U'
U' F U B F' L' U'
B U2 B' R' U R D
B U2 B' R' U R D'
B U2 B' R' U R D2
B U2 B' R' U D R
B U2 B' R' U D' R
B U2 B' R' U D2 R
B U2 B' R' D U R
B U2 B' R' D' U R
B U2 B' R' D2 U R
B U2 B' R' B U R
B U2 B' R' B' U R
B U2 B' R' B2 U R
R2 F U R F2 L' U
B U2 B' D R' U R
B U2 B' D' R' U R
B U2 B' D2 R' U R
B D L U L' B' U2
B D L' U L U2 F
L2 F D F2 L' B U'
L2 F D F2 B L' U'
L2 F D B F2 L' U'
D' F B U2 R U R'
D2 F B U2 R U R'
L2 F B D F2 L' U'
D F B U2 R U R'
F' D U' L' B U' B'
L' F' L' D F2 B U'
L' F' L' D B F2 U'
L' F' L' D2 B U' R2
L' F' L' B U L2 U2
L' F' L' B U' D2 R2
L' F' L' B D F2 U'
L' F' L' B D2 U' R2
B D U2 R U R' F'
L2 F' L' F2 B U' R
L2 F' L' B U L' U2
L2 F' L' B F2 U' R
B D U2 B' R' U R
B D F U2 R U R'
L F' L' D2 B U' R'
L F' L' F' B U' R
L F' L' B F' U' R
B D F' L' U L U2
F' D B L' U L U2
F' D B' L' B2 U' R'
F D B U2 R U R'
D2 F' U' L' B U' B'
D' F' U' L' B U' B'
D F' U' L' B U' B'
B D' L U L' B' U2
R2 F' U2 L' R2 U' R2
R F' U' L' R' B U'
R F' U' R' L' B U'
R2 F' U2 R2 L' U' R2
R F' U' R' B L' U'
L2 F' D L' F2 B U'
L2 F' D L' B F2 U'
B D' L' U L U2 F
L2 F' D B L' F2 U'
L2 F' D2 L' B U' R2
D2 F' B L' U L U2
D' F' B L' U L U2
L F' D' L' F B U'
L F' D' L' B F U'
L2 F' D2 B L' U' R2
L F' D' B L' F U'
L' F' B D L' F U'
L2 F' B L' U L' U2
L2 F' B L' F2 U' R
D2 F' B' L' B2 U' R'
D' F' B' L' B2 U' R'
L F' D2 L' B U' R'
L2 F' B D L' F2 U'
D F' B L' U L U2
L2 F' B D2 L' U' R2
L F' D2 B L' U' R'
L F' B L' F' U' R
D F' B' L' B2 U' R'
F' D' U' L' B U' B'
L F' B D' L' F U'
B D' U2 R U R' F'
B D' U2 B' R' U R
B D' F U2 R U R'
B D' F' L' U L U2
F' D' B L' U L U2
F' D' B' L' B2 U' R'
F D' B U2 R U R'
B D2 L U L' B' U2
B D2 L' U L U2 F
L F2 D B U' R F'
L F2 B U' D R F'
D2 B L U L' B' U2
F' D2 U' L' B U' B'
D' B L U L' B' U2
L F2 B D U' R F'
L2 B L U L U2 F
D2 B L' U L U2 F
D' B L' U L U2 F
U2 B L F2 R U' R'
D B L U L' B' U2
L2 B L' U L' B' U2
B D2 U2 R U R' F'
D B L' U L U2 F
B D2 U2 B' R' U R
U' B R U B U2 B2
U' B R U' B' D2 F2
B D2 F U2 R U R'
U' B R' U' D F' B'
U' B R' U' D B' F'
B D2 F' L' U L U2
U' B R' U' D' F' B'
U' B R' U' D' B' F'
U' B R' U' D2 F' B'
U' B R' U' D2 B' F'
U' B R' U' F' D B'
U' B R' U' F' D' B'
U' B R' U' F' D2 B'
U' B R' U' F' B' D
U' B R' U' F' B' D'
U' B R' U' F' B' D2
U' B R' U' B' D F'
U' B R' U' B' D' F'
U' B R' U' B' D2 F'
U' B R' U' B' F' D
U' B R' U' B' F' D'
U' B R' U' B' F' D2
U' B R' D U' F' B'
U' B R' D U' B' F'
U' B R' D' U' F' B'
U' B R' D' U' B' F'
L B L2 U L U2 F
U' B R' D2 U' F' B'
U' B R' D2 U' B' F'
F' D2 B L' U L U2
F2 D2 B U2 R' U R
F' D2 B' L' B2 U' R'
L' B U L' B' L U2
L2 B U L' B' L' U2
F D2 B U2 R U R'
L' B U B U2 R' F'
L' B U B' L U2 F
L' B U' R' D2 F' R
U' B U' B' U' R' U
L' B U' D2 R' F' R
F' B L U' D F2 R
L' B U' B R' F' B'
L' B U' B R' B' F'
L2 B U' R D2 R2 F'
F' B L D U' F2 R
L2 B U' R' D2 F' R2
L2 B U' R' F' D2 R2
L B U L' D B' U2
L B U L' D' B' U2
D2 B U2 R U R' F'
L B U L' D2 B' U2
L B U L' B' U2 D
L B U L' B' U2 D'
L B U L' B' U2 D2
L B U L' B' D U2
L B U L' B' D' U2
L B U L' B' D2 U2
D' B U2 R U R' F'
L2 B U' D2 R' F' R'
F' B L F2 L2 U' R
L B U D L' B' U2
L B U D' L' B' U2
L B U D2 L' B' U2
D2 B U2 B' R' U R
F' B L' U L U2 D
F' B L' U L U2 D'
F' B L' U L U2 D2
F' B L' U L D U2
F' B L' U L D' U2
F' B L' U L D2 U2
L B U B L' B' U2
F' B L' U D L U2
F' B L' U D' L U2
D' B U2 B' R' U R
F' B L' U D2 L U2
L B U B' L' B' U2
U' B D R' U' F' B'
U' B D R' U' B' F'
F' B L' U' B2 R' B2
L B U B2 L' B' U2
F' B L' U2 B2 U R'
F' B L' D U L U2
F' B L' D' U L U2
F' B L' D2 U L U2
F' B L' F U L U2
F' B L' F' U L U2
L B U' R' F2 R F
F' B L' F2 U L U2
L B U' R2 F2 R F'
B F L F2 L' U' R
D B U2 R U R' F'
L B U' F' R' F' R
L' B D F' L' F U'
L B U' F2 R' F' R2
U' B D' R' U' F' B'
U' B D' R' U' B' F'
F' B L2 D L F2 U'
F B L F2 L' U' R
F' B L2 D F2 L U'
F' B L2 D2 L U' R2
D B U2 B' R' U R
L2 B D F' L' F' U'
U' B D2 R' U' F' B'
U' B D2 R' U' B' F'
B F L2 D F2 L' U'
L B D U L' B' U2
L' B D2 U' R' F' R
F B L2 D F2 L' U'
L' B D2 F' L' U' R
L2 B D2 U' R' F' R'
L2 B D2 F' L' U' R2
D2 B F U2 R U R'
L B D' U L' B' U2
D' B F U2 R U R'
D2 B F' L' U L U2
D' B F' L' U L U2
L2 B F D F2 L' U'
L B D2 U L' B' U2
L' B F' D L' F U'
L2 B F' L' U L' U2
L2 B F' L' F2 U' R
D B F U2 R U R'
L2 B F' D L' F2 U'
D B F' L' U L U2
L2 B F' D2 L' U' R2
L B F' L' F' U' R
L B F' D' L' F U'
L2 B' L B2 U' R' F'
L B F2 U' D R F'
D2 B' L' B2 U' R' F'
L B F2 D U' R F'
D' B' L' B2 U' R' F'
F' B D L' U L U2
B F U2 R U R' D
B F U2 R U R' D'
B F U2 R U R' D2
B F U2 R U D R'
B F U2 R U D' R'
B F U2 R U D2 R'
B F U2 R D U R'
B F U2 R D' U R'
B F U2 R D2 U R'
B F U2 D R U R'
B F U2 D' R U R'
B F U2 D2 R U R'
F B U2 R U R' D
F B U2 R U R' D'
F B U2 R U R' D2
F B U2 R U D R'
F B U2 R U D' R'
F B U2 R U D2 R'
F B U2 R D U R'
F B U2 R D' U R'
F B U2 R D2 U R'
B F U2 B R U R'
B F U2 B' R U R'
F' B D' L' U L U2
B F U2 B2 R U R'
F B U2 D R U R'
F B U2 D' R U R'
D B' L' B2 U' R' F'
F B U2 D2 R U R'
F B U2 B R U R'
F B U2 B' R U R'
F B U2 B2 R U R'
B F D U2 R U R'
F' B D2 L' U L U2
F B D U2 R U R'
B F D' U2 R U R'
U2 B' R' U R D L2
U2 B' R' U D L2 R
U2 B' R' U D R L2
L B' L2 B2 U' R' F'
U2 B' R' U2 B2 U' R
U2 B' R' D U L2 R
U2 B' R' D U R L2
F B D' U2 R U R'
B F D2 U2 R U R'
B' F' L' F B2 U' R'
F B D2 U2 R U R'
B' F' L' F' B2 U' R'
B' F' L' F2 B2 U' R'
B F' L U' D F2 R
B' F' L' B2 U' R' D
B' F' L' B2 U' R' D'
B' F' L' B2 U' R' D2
B' F' L' B2 U' D R'
B' F' L' B2 U' D' R'
B' F' L' B2 U' D2 R'
B' F' L' B2 D U' R'
B' F' L' B2 D' U' R'
B' F' L' B2 D2 U' R'
B' F' L' B2 F U' R'
B' F' L' B2 F' U' R'
B F' L D U' F2 R
B' F' L' B2 F2 U' R'
F' B' L' F B2 U' R'
F' B' L' F' B2 U' R'
F' B' L' F2 B2 U' R'
B F' L F2 L2 U' R
F' B' L' B2 U' R' D
F' B' L' B2 U' R' D'
F' B' L' B2 U' R' D2
F' B' L' B2 U' D R'
F' B' L' B2 U' D' R'
F' B' L' B2 U' D2 R'
F' B' L' B2 D U' R'
F' B' L' B2 D' U' R'
F' B' L' B2 D2 U' R'
F' B' L' B2 F U' R'
F' B' L' B2 F' U' R'
F' B' L' B2 F2 U' R'
B F' L' U L U2 D
B F' L' U L U2 D'
B F' L' U L U2 D2
B F' L' U L D U2
B F' L' U L D' U2
B F' L' U L D2 U2
B F' L' U D L U2
B F' L' U D' L U2
B F' L' U D2 L U2
B F' L' U' B2 R' B2
U2 B' U B2 L U' B2
B F' L' U2 B2 U R'
B F' L' D U L U2
B F' L' D' U L U2
B F' L' D2 U L U2
B F' L' F U L U2
B F' L' F' U L U2
B F' L' F2 U L U2
B F' L2 D L F2 U'
B F' L2 D F2 L U'
B F' L2 D2 L U' R2
U2 B' D R' U L2 R
U2 B' D R' U R L2
B' F' U' L' B2 U' B2
F' B' U' L' B2 U' B2
U2 B' D2 F2 R' U R
B' F' U' B2 L' U' B2
D2 B' F' L' B2 U' R'
D' B' F' L' B2 U' R'
F' B' U' B2 L' U' B2
B2 F' U' B' L' U' B
D B' F' L' B2 U' R'
L' B2 L U' R' F' L'
B F' D L' U L U2
B F' D' L' U L U2
B F' D2 L' U L U2
U' B2 R' B' U' F' B'
U' B2 R' B' U' B' F'
U2 B2 U B' L U' B
F' B2 U' B' L' U' B
