F' U' L' F2 U2 F
F' U' F2 U2 R F
F U2 R D' F L2
F U2 D' R F L2
F D R2 U2 R' F
F D R2 U2 F R'
F D' U2 R F L2
U2 F D' U2 F R L2
D F D B2 R2 U2 R'
L2 F D' B' R F L2
D F D' U2 L2 R F2
D F D' U2 R L2 F2
D F D' U2 R F2 L2
F D L2 B' R2 U2 R'
L2 F B' R D' F L2
D2 F B2 U2 R D' L2
D2 F B2 U2 D' L2 R
D2 F B2 U2 D' R L2
F D R2 L' U2 R' F'
L2 F B' D' R F L2
D2 F B2 D R2 U2 R'
D2 F B2 D' U2 L2 R
D2 F B2 D' U2 R L2
F D R2 U2 R F R2
F D R2 U2 R' D F
F D R2 U2 R' D' F
F D R2 U2 R' D2 F
F D R2 U2 R' F D
F D R2 U2 R' F D'
F D R2 U2 R' F D2
F D R2 U2 D R' F
F D R2 U2 D F R'
F D R2 U2 D' R' F
F D R2 U2 D' F R'
F D R2 U2 D2 R' F
F D R2 U2 D2 F R'
F D R2 U2 F R' D
F D R2 U2 F R' D'
F D R2 U2 F R' D2
F D R2 U2 F D R'
F D R2 U2 F D' R'
F D R2 U2 F D2 R'
F D R2 U2 F' R' F2
F D R2 D U2 R' F
F D R2 D U2 F R'
F D R2 D' U2 R' F
F D R2 D' U2 F R'
F D R2 D2 U2 R' F
F D R2 D2 U2 F R'
F D R2 B U2 F R
F D U2 R F2 L' F'
D2 F' U D2 F2 R B2
D2 F' U D2 F2 B2 R
D2 F' U D2 B2 F2 R
D F' R2 U' L' F2 U2
F D B R2 U2 R' F
F D B R2 U2 F R'
D F' R2 U' F2 U2 R
D2 F' U' L' F2 B2 U2
D2 F' U' L' B2 F2 U2
U' F' U' F2 U2 F R
L2 F' U F2 R F B'
L2 F' U F2 R B' F
L2 F' U F2 B' R F
F D B' R2 U2 R' F
F D B' R2 U2 F R'
L2 F' U B' F2 R F
D2 F' U' F2 B2 U2 R
D2 F' U' B2 L' F2 U2
D2 F' U' B2 F2 U2 R
F D B2 R2 U2 R' F
F D B2 R2 U2 F R'
L F' U' L' F U2 F2
F' D' L2 U' L U2 F'
F' D' L2 B2 U F' R'
D2 F' D2 U F2 R B2
D2 F' D2 U F2 B2 R
D2 F' D2 U B2 F2 R
F D' R F' L2 F2 B'
F D' R F' L2 B' F2
F D' R' U2 R2 F L2
F D' R' U2 F L2 R2
F D' R' U2 F R2 L2
F D' R' F L2 R2 B
F D' R' F R2 L2 B
F D' R' F R2 B L2
F D' R2 U2 R' F L2
F D' R2 U2 F L2 R'
F D' R2 U2 F R' L2
F D' U2 R F L2 D
F D' U2 R F L2 D'
F D' U2 R F L2 D2
F D' U2 R F' L2 F2
F D' U2 R F2 L2 F'
F D' U2 R' F L2 R2
F D' U2 R' F R2 L2
F D' U2 R2 F L2 R'
F D' U2 R2 F R' L2
F D' B U2 R F L2
F D' B' U2 R F L2
F D' B2 U2 R F L2
F' D2 L2 U F' B2 R'
F' D2 L2 U B2 F' R'
F' D2 U F2 R F B2
F' D2 U F2 R B2 F
F' D2 U F2 B2 R F
F' D2 U B2 F2 R F
F' D2 U' L' U2 F' B2
F' D2 U' L' U2 B2 F'
F D2 U' B2 U' R F
F D2 U2 R D F L2
F D2 U2 R F D L2
F' B U' L' F2 U2 F
F' B U' F2 U2 R F
B' F U2 R D' F L2
B' F U2 D' R F L2
B2 F U2 R D' F L2
B2 F U2 D' R F L2
B' F D R2 U2 R' F
B' F D R2 U2 F R'
B F U2 R D' F L2
B2 F D R2 U2 R' F
B2 F D R2 U2 F R'
B F U2 D' R F L2
F B U2 R D' F L2
B' F D' U2 R F L2
F B U2 D' R F L2
B F D R2 U2 R' F
B F D R2 U2 F R'
B2 F D' U2 R F L2
F B D R2 U2 R' F
F B D R2 U2 F R'
B F D' U2 R F L2
F B D' U2 R F L2
B' F' U' L' F2 U2 F
F' B' U' L' F2 U2 F
B' F' U' F2 U2 R F
B2 F' U' L' F2 U2 F
F' B' U' F2 U2 R F
L2 B' F R D' F L2
B2 F' U' F2 U2 R F
L2 B' F D' R F L2
B F' U' L' F2 U2 F
B F' U' F2 U2 R F
F B' U2 R D' F L2
F B' U2 D' R F L2
F B' D R2 U2 R' F
F B' D R2 U2 F R'
F B' D' U2 R F L2
F' B2 U' L' F2 U2 F
F' B2 U' F2 U2 R F
D2 B2 F U2 R D' L2
D2 B2 F U2 D' L2 R
D2 B2 F U2 D' R L2
D2 B2 F D R2 U2 R'
D2 B2 F D' U2 L2 R
D2 B2 F D' U2 R L2
F B2 U2 R D' F L2
F B2 U2 D' R F L2
F B2 D R2 U2 R' F
F B2 D R2 U2 F R'
F B2 D' U2 R F L2
