R U R2 B' L2 U
R U B' L2 R2 U
R U B' R2 L2 U
F2 R' B' L2 U L
R' D' F2 B' U B'
R' D' B' F2 U B'
R' B' L2 U D2 L2
R' B' L2 U' R2 U2
R' B' L2 D' F2 U
R' B' L2 D2 U L2
R' B' D' F2 U B2
R' B L2 D' F2 U R2
R' B L2 B2 U D2 L2
R' B L2 B2 U' R2 U2
R' B L2 B2 D' F2 U
R' B L2 B2 D2 U L2
R B U L2 R2 B2 U
R B U L2 B2 R2 U
R B U R2 L2 B2 U
R B U R2 B2 L2 U
R B U B2 L2 R2 U
R B U B2 R2 L2 U
R' B D' F2 U R2 B2
R' B D' F2 U B2 R2
R B U2 D' R2 F2 B2
R B U2 D' R2 B2 F2
R B U2 D' F2 R2 B2
R B U2 D' F2 B2 R2
R B U2 D' B2 R2 F2
R B U2 D' B2 F2 R2
R B D L2 F2 B2 U2
R B D L2 B2 F2 U2
R B D F2 L2 B2 U2
R B D F2 B2 L2 U2
R B D B2 L2 F2 U2
R B D B2 F2 L2 U2
R B D' U2 R2 F2 B2
R B D' U2 R2 B2 F2
R B D' U2 F2 R2 B2
R B D' U2 F2 B2 R2
R B D' U2 B2 R2 F2
R B D' U2 B2 F2 R2
R' B' L D' L F2 U
R' B' L D' F2 L U
R' B' L D2 L U L
R' B' L' D' L' F2 U
R' B' L' D2 L' U L'
R' B' L2 U L D2 L2
R' B' L2 U L' D2 L2
R' B' L2 U L2 D2 L2
R' B' L2 U D2 L2 D
R' B' L2 U D2 L2 D'
R' B' L2 U D2 L2 D2
R' B' L2 U' R2 U2 D
R' B' L2 U' R2 U2 D'
R' B' L2 U' R2 U2 D2
R' B' L2 U' R2 D U2
R' B' L2 U' R2 D' U2
R' B' L2 U' R2 D2 U2
R' B' L2 U2 D B2 U'
R' B' L2 D U2 B2 U'
R' B' L2 D' F2 U D
R' B' L2 D' F2 U D'
R' B' L2 D' F2 U D2
R' B' L2 D' F2 D U
R' B' L2 D' F2 D' U
R' B' L2 D' F2 D2 U
R' B' L2 D2 U L2 D
R' B' L2 D2 U L2 D'
R' B' L2 D2 U L2 D2
R' B' L2 D2 F U L2
R' B' L2 D2 F' U L2
R' B' L2 D2 F2 U L2
R' B' L2 F U D2 L2
R' B' L2 F U' R2 U2
R' B' L2 F D' F2 U
R' B' L2 F D2 U L2
R' B' L2 F' U D2 L2
R' B' L2 F' U' R2 U2
R' B' L2 F' D' F2 U
R' B' L2 F' D2 U L2
R' B' L2 F2 U D2 L2
R' B' L2 F2 U' R2 U2
R' B' L2 F2 D' F2 U
R' B' L2 F2 D2 U L2
R2 B' L2 D' R F' U
R B' L2 R2 U D2 L2
R B' L2 R2 U' R2 U2
R B' L2 R2 D' F2 U
R B' L2 R2 D2 U L2
R' B' U D' B2 D' L2
R' B' U D2 L2 D B2
R' B' U' R2 U L2 U
R' B' U' R2 U2 D' B2
R' B' U' R2 D F2 U2
R' B' U' R2 D' U2 B2
R B' R2 L2 U D2 L2
R B' R2 L2 U' R2 U2
R B' R2 L2 D' F2 U
R B' R2 L2 D2 U L2
R B' R2 D' F2 U B2
R' B' U2 D2 R2 U' L2
R B' U L2 R2 U R2
R B' U R2 L2 U R2
R' B' D' L F2 U B2
R' B' D' L' F2 U B2
R' B' D' L2 F2 U B2
R' B' D' U B2 D' L2
R' B' D' F2 L U B2
R' B' D' F2 L' U B2
R' B' D' F2 L2 U B2
R' B' D' F2 U B2 D
R' B' D' F2 U B2 D'
R' B' D' F2 U B2 D2
R' B' D' F2 D L2 U
R' B' D2 U L2 D B2
R' B' D2 U2 R2 U' L2
R2 B' D' R F' U B2
R' B' F L2 U D2 L2
R' B' F L2 U' R2 U2
R' B' F L2 D' F2 U
R' B' F L2 D2 U L2
R' B' F D' F2 U B2
R' B' F' L2 U D2 L2
R' B' F' L2 U' R2 U2
R' B' F' L2 D' F2 U
R' B' F' L2 D2 U L2
R' B' F' D' F2 U B2
R' B' F2 L2 U D2 L2
R' B' F2 L2 U' R2 U2
R' B' F2 L2 D' F2 U
R' B' F2 L2 D2 U L2
R' B' F2 D' F2 U B2
R' B2 L2 D' F2 B U
R' B2 L2 D' B F2 U
R' B2 L2 D2 B U L2
R' B2 L2 B U D2 L2
R' B2 L2 B U' R2 U2
R' B2 L2 B D' F2 U
R' B2 L2 B D2 U L2
R2 B2 L2 B R U L'
R B2 U L2 B R2 U
R B2 U B L2 R2 U
R B2 U B L2 R2 U
R B2 U B R2 L2 U
R' B2 D' F2 B U B
R' B2 D' B F2 U B
