F' L' R U R
F' R L' U R
F' L' R U R D
F' L' R U R D'
F' L' R U R D2
F' L' R U D R
F' L' R U D' R
F' L' R U D2 R
F' L' R D U R
F' L' R D' U R
F' L' R D2 U R
F' L' R B U R
F' L' R B' U R
F' L' R B2 U R
F' L' D R B2 U
F' L' D B2 R U
F' L' B R U R
F' L' B' R U R
F' L' B2 R U R
F' R L' U R D
F' R L' U R D'
F' R L' U R D2
F' R L' U D R
F' R L' U D' R
F' R L' U D2 R
F' R L' D U R
F' R L' D' U R
F' R L' D2 U R
F' R L' B U R
F' R L' B' U R
F' R L' B2 U R
F' R D L' U R
F' R D' L' U R
F' R D2 L' U R
F' R B L' U R
F' R B' L' U R
F' R B2 L' U R
F' D L' R B2 U
F' D L' B2 R U
F' D R L' B2 U
F' D R B2 L' U
L' F' L' R U R
L' F' R L' U R
L2 F' L' R U R
L F' L' R U R
U' F' R U B R
U2 F' R U R B
L2 F' R L' U R
L F' R L' U R
F' D B2 L' R U
F' D B2 R L' U
F' B L' R U R
F' B R L' U R
F' B' L' R U R
B' F' L' R U R
B2 F' L' R U R
F' B' R L' U R
B' F' R L' U R
B F' L' R U R
B2 F' R L' U R
B F' R L' U R
F' B2 L' R U R
F' B2 R L' U R
F' R D2 L' B U R
F' R D2 L' B' U R
F' R D2 L' B2 U R
F R D2 L' B2 U' R
F' R D2 B L' U R
F' R D2 B' L' U R
F' R D2 B2 L' U R
F R D2 B2 L' U' R
F' R B L' U R D
F' R B L' U R D'
F' R B L' U R D2
F' R B L' U D R
F' R B L' U D' R
F' R B L' U D2 R
F' R B L' D U R
F' R B L' D' U R
F' R B L' D2 U R
F' R B L' B U R
F' R B L' B' U R
F' R B L' B2 U R
F' R B D L' U R
F' R B D' L' U R
F' R B D2 L' U R
F' R B' L' U R D
F' R B' L' U R D'
F' R B' L' U R D2
F' R B' L' U D R
F' R B' L' U D' R
F' R B' L' U D2 R
F' R B' L' D U R
F' R B' L' D' U R
F' R B' L' D2 U R
F' R B' L' B U R
F' R B' L' B' U R
F' R B' L' B2 U R
F' R B' D L' U R
F' R B' D' L' U R
F' R B' D2 L' U R
F' R B2 L' U R D
F' R B2 L' U R D'
F' R B2 L' U R D2
F' R B2 L' U D R
F' R B2 L' U D' R
F' R B2 L' U D2 R
F' R B2 L' D U R
F' R B2 L' D' U R
F' R B2 L' D2 U R
F' R B2 L' B U R
F' R B2 L' B' U R
F' R B2 L' B2 U R
R U' D R F' B L
R U' D R B L F'
R U' D R B F' L
F' R B2 D L' U R
F' R B2 D' L' U R
F' R B2 D2 L' U R
D R B2 U F' L' B'
F' R' L' U D' R' F2
F' R' L' U D' F2 R'
F' R' L' D' U R' F2
F' R' L' D' U F2 R'
L' U' F' R U B R
L2 U' F' R U B R
L U' F' R U B R
F' R' D' L' U R' F2
F' R' D' L' U F2 R'
F2 R' F L' R U R2
F2 R' F R L' U R2
F' R2 L' D R' U R
F' R2 L' D' R' U R
F' R2 L' D2 R' U R
L' U2 F' R U R B
L2 U2 F' R U R B
L U2 F' R U R B
F' R2 D L' R' U R
F' R2 D R' L' U R
F' R2 D' L' R' U R
F' R2 D' R' L' U R
F' R2 D2 L' R' U R
F' R2 D2 R' L' U R
F2 R2 F L' R U R'
F2 R2 F R L' U R'
R D U R F' L' B'
R D U' R F' B L
R D U' R B L F'
R D U' R B F' L
F' U L' R U L R
F' U L' R U R L
F' U R L' U L R
F' U R L' U R L
F' U R2 U' L' R' U
F' U R2 U' R' L' U
F U F2 L' R U R
F U F2 R L' U R
B' U' F' R U B R
B2 U' F' R U B R
B U' F' R U B R
F U' F2 L' R U R
F U' F2 R L' U R
F' U2 D' F2 L' R U'
F' U2 D' F2 R L' U'
B' U2 F' R U R B
R2 F L' B R U' R'
B2 U2 F' R U R B
F' U2 F2 L' R U' R
F' U2 F2 R L' U' R
B U2 F' R U R B
F U2 F2 L' R U R
F U2 F2 R L' U R
R2 F U L' B R U'
F' D L R B2 L2 U
R2 F U B L' R U'
R2 F U B R L' U'
F' D L B2 L2 R U
F' D L B2 R L2 U
F' D L' R U D' R2
F' D L' R D' U R2
F' D L' R B2 U D
F' D L' R B2 U D'
F' D L' R B2 U D2
F' D L' R B2 D U
F' D L' R B2 D' U
F' D L' R B2 D2 U
F' D L' R' B2 R2 U
F' D L' D' R U R
F' D L' B' R B' U
F' D L' B2 R U D
F' D L' B2 R U D'
F' D L' B2 R U D2
F' D L' B2 R D U
F' D L' B2 R D' U
F' D L' B2 R D2 U
F' D L' B2 D R U
F' D L' B2 D' R U
F' D L' B2 D2 R U
F' D R L B2 L2 U
F' D R L' U D' R2
F' D R L' D' U R2
F' D R L' B2 U D
F' D R L' B2 U D'
F' D R L' B2 U D2
F' D R L' B2 D U
F' D R L' B2 D' U
F' D R L' B2 D2 U
F' D R D' L' U R2
F' D R B L' B U
F' D R B2 L' U D
F' D R B2 L' U D'
F' D R B2 L' U D2
F' D R B2 L' D U
F' D R B2 L' D' U
F' D R B2 L' D2 U
F' D R B2 D L' U
F' D R B2 D' L' U
F' D R B2 D2 L' U
F' D R' L' B2 R2 U
F' D R' B2 L' R2 U
F' D R' B2 R2 L' U
R2 F B L' R U' R'
R2 F B R L' U' R'
U' F' L R U B R
U2 F' L R U R B
U' F' L' R U B R
R' F' L' R F' U R2
D' F' L' R U F R
D' F' L' R2 B U F
L' F' L' R U R D
L' F' L' R U R D'
L' F' L' R U R D2
L' F' L' R U D R
L' F' L' R U D' R
L' F' L' R U D2 R
D' F' L' U F D R2
L' F' L' R D U R
L' F' L' R D' U R
L' F' L' R D2 U R
L' F' L' R B U R
L' F' L' R B' U R
L' F' L' R B2 U R
D' F' L' U2 F' U' F2
L' F' L' D R B2 U
L' F' L' D B2 R U
U2 F' L' R U R B
L2 F' L' R U R D
L2 F' L' R U R D'
L2 F' L' R U R D2
L2 F' L' R U D R
L2 F' L' R U D' R
L2 F' L' R U D2 R
U' F' L2 R U B R
L2 F' L' R D U R
L2 F' L' R D' U R
L2 F' L' R D2 U R
L2 F' L' R B U R
L2 F' L' R B' U R
L2 F' L' R B2 U R
L' F' L' B R U R
L' F' L' B' R U R
L' F' L' B2 R U R
L2 F' L' D R B2 U
L2 F' L' D B2 R U
D F' L' R B2 U F'
L2 F' L' B R U R
L2 F' L' B' R U R
L2 F' L' B2 R U R
U2 F' L2 R U R B
U' F' R L U B R
U' F' R L' U B R
U F' L' R U R B'
U F' L' R U B' R
U' F' R L2 U B R
L F' L' R U R D
L F' L' R U R D'
L F' L' R U R D2
L F' L' R U D R
L F' L' R U D' R
L F' L' R U D2 R
L F' L' R D U R
L F' L' R D' U R
L F' L' R D2 U R
U' F' R U D B R
U' F' R U D' B R
L F' L' R B U R
U' F' R U D2 B R
L F' L' R B' U R
L F' L' R B2 U R
R' F' R L' F' U R2
U' F' R U B R D
U' F' R U B R D'
U' F' R U B R D2
U' F' R U B D R
U' F' R U B D' R
U' F' R U B D2 R
U' F' R U B' R B2
U' F' R U B2 R B'
D' F' R L' U F R
U' F' R D U B R
U' F' R D' U B R
L' F' R L' U R D
L' F' R L' U R D'
L' F' R L' U R D2
L' F' R L' U D R
L' F' R L' U D' R
L' F' R L' U D2 R
L' F' R L' D U R
L' F' R L' D' U R
L' F' R L' D2 U R
L' F' R L' B U R
L' F' R L' B' U R
L' F' R L' B2 U R
D F' L' B2 R U F'
U' F' R D2 U B R
L F' L' D R B2 U
L F' L' D B2 R U
L' F' R D L' U R
L' F' R D' L' U R
U' F' R B' U R B2
U' F' R B' U B2 R
L' F' R D2 L' U R
U' F' R B2 U R B'
U' F' R B2 U B' R
L F' L' B R U R
U2 F' R L U R B
L F' L' B' R U R
L2 F' R L' U R D
L2 F' R L' U R D'
L2 F' R L' U R D2
U2 F' R L' U R B
L2 F' R L' U D R
L2 F' R L' U D' R
L2 F' R L' U D2 R
L2 F' R L' D U R
L2 F' R L' D' U R
L2 F' R L' D2 U R
L2 F' R L' B U R
L2 F' R L' B' U R
L2 F' R L' B2 U R
U2 F' R L2 U R B
L F' L' B2 R U R
U2 F' R U R D B
U2 F' R U R D' B
U2 F' R U R D2 B
U2 F' R U R B D
U2 F' R U R B D'
U2 F' R U R B D2
U2 F' R U D R B
U2 F' R U D' R B
U2 F' R U D2 R B
U2 F' R U B R B
U2 F' R U B' R B
U2 F' R U B2 R B
L' F' R B L' U R
L' F' R B' L' U R
L' F' R B2 L' U R
L2 F' R D L' U R
U2 F' R D U R B
L2 F' R D' L' U R
U2 F' R D' U R B
L2 F' R D2 L' U R
U2 F' R D2 U R B
D F' R L' B2 U F'
U2 F' R B L U R
L2 F' R B L' U R
L2 F' R B' L' U R
L2 F' R B2 L' U R
F' D B L' B R U
U F' R L' U R B'
U F' R L' U B' R
L F' R L' U R D
L F' R L' U R D'
L F' R L' U R D2
L F' R L' U D R
L F' R L' U D' R
L F' R L' U D2 R
L F' R L' D U R
L F' R L' D' U R
L F' R L' D2 U R
L F' R L' B U R
L F' R L' B' U R
L F' R L' B2 U R
D' F' R2 L' B U F
D F' R B2 L' U F'
L F' R D L' U R
L F' R D' L' U R
L F' R D2 L' U R
L F' R B L' U R
D' F' R2 B L' U F
L F' R B' L' U R
L F' R B2 L' U R
F' D B' R B' L' U
F' D B2 L' R U D
F' D B2 L' R U D'
F' D B2 L' R U D2
F' D B2 L' R D U
F' D B2 L' R D' U
F' D B2 L' R D2 U
F' D B2 L' D R U
F' D B2 L' D' R U
F' D B2 L' D2 R U
F' D B2 R L' U D
F' D B2 R L' U D'
F' D B2 R L' U D2
F' D B2 R L' D U
F' D B2 R L' D' U
F' D B2 R L' D2 U
F' D B2 R D L' U
F' D B2 R D' L' U
F' D B2 R D2 L' U
F' D B2 D L' R U
F' D B2 D R L' U
F' D B2 D' L' R U
F' D B2 D' R L' U
F' D B2 D2 L' R U
F' D B2 D2 R L' U
F' D' L' R U D R2
F' D' L' R U2 F2 U'
F' D' L' R D U R2
F' D' L' R D2 B2 U
U' F' D R B2 U B'
F' D' L' U2 F2 L' U'
F' D' L' D R U R
L' F' D L' R B2 U
F' D' L' D2 R B2 U
F' D' L' D2 B2 R U
L' F' D L' B2 R U
L' F' D R L' B2 U
L' F' D R B2 L' U
U' F' D B2 R U B
L2 F' D L' R B2 U
L2 F' D L' B2 R U
L2 F' D R L' B2 U
L2 F' D R B2 L' U
L' F' D B2 L' R U
L' F' D B2 R L' U
L2 F' D B2 L' R U
L2 F' D B2 R L' U
F' D' R L' U D R2
F' D' R L' U2 F2 U'
F' D' R L' D U R2
F' D' R L' D2 B2 U
L F' D L' R B2 U
F' D' R U2 F2 R U'
L F' D L' B2 R U
F' D' R D L' U R2
L F' D R L' B2 U
L F' D R B2 L' U
F' D' R D2 L' B2 U
F' D' R D2 B2 L' U
L F' D B2 L' R U
L F' D B2 R L' U
U' F' B R U B R
L' F' B L' R U R
L' F' B R L' U R
U2 F' B L R U R
U' F' B' R U B R
L2 F' B L' R U R
U2 F' B R L U R
L2 F' B R L' U R
L' F' B' L' R U R
L' F' B' R L' U R
U' F' B2 R U B R
L2 F' B' L' R U R
L2 F' B' R L' U R
L' F' B2 L' R U R
L' F' B2 R L' U R
L F' B L' R U R
L F' B R L' U R
L2 F' B2 L' R U R
L2 F' B2 R L' U R
L F' B' L' R U R
L F' B' R L' U R
D F' B2 L' R U F'
D F' B2 R L' U F'
L F' B2 L' R U R
D F' B2 D2 L' U F
L F' B2 R L' U R
F' D' U2 F2 L' R U'
F' D' U2 F2 R L' U'
D' F2 U2 F L' U F
F' D2 L' R U' L' U2
F' D2 R L' U' L' U2
F' D2 R D' L' B2 U
F' D2 R D' B2 L' U
F' D2 R D2 L' U R2
U2 B L F' R U R
F' B L' R U R D
F' B L' R U R D'
F' B L' R U R D2
F' B L' R U D R
F' B L' R U D' R
F' B L' R U D2 R
F' B L' R D U R
F' B L' R D' U R
F' B L' R D2 U R
F' B L' R B U R
F' B L' R B' U R
F' B L' R B2 U R
F' B L' D R B2 U
F' B L' D B2 R U
F' B L' B R U R
F' B L' B' R U R
F' B L' B2 R U R
F' B R L' U R D
F' B R L' U R D'
F' B R L' U R D2
F' B R L' U D R
F' B R L' U D' R
F' B R L' U D2 R
F' B R L' D U R
F' B R L' D' U R
F' B R L' D2 U R
F' B R L' B U R
F' B R L' B' U R
F' B R L' B2 U R
F' B R D L' U R
F' B R D' L' U R
F' B R D2 L' U R
F' B R B L' U R
F' B R B' L' U R
F' B R B2 L' U R
U' B F' R U B R
L' B F' L' R U R
L' B F' R L' U R
R2 B F L' R U' R'
R2 B F R L' U' R'
U2 B F' L R U R
L2 B F' L' R U R
U2 B F' R L U R
L2 B F' R L' U R
L B F' L' R U R
L B F' R L' U R
F' B D L' R B2 U
F' B D L' B2 R U
F' B D R L' B2 U
F' B D R B2 L' U
F' B D B2 L' R U
F' B D B2 R L' U
B' F' L' R U R D
B' F' L' R U R D'
B' F' L' R U R D2
B' F' L' R U D R
B' F' L' R U D' R
B' F' L' R U D2 R
B' F' L' R D U R
B' F' L' R D' U R
B' F' L' R D2 U R
B' F' L' R B U R
B' F' L' R B' U R
B' F' L' R B2 U R
B' F' L' D R B2 U
F' B' L' R U R D
F' B' L' R U R D'
F' B' L' R U R D2
F' B' L' R U D R
F' B' L' R U D' R
F' B' L' R U D2 R
F' B' L' R D U R
F' B' L' R D' U R
B' F' L' D B2 R U
F' B' L' R D2 U R
F' B' L' R B U R
F' B' L' R B' U R
F' B' L' R B2 U R
B2 F' L' R U R D
B2 F' L' R U R D'
B2 F' L' R U R D2
B2 F' L' R U D R
B2 F' L' R U D' R
B2 F' L' R U D2 R
B2 F' L' R D U R
B2 F' L' R D' U R
B2 F' L' R D2 U R
B2 F' L' R B U R
B2 F' L' R B' U R
B2 F' L' R B2 U R
B' F' L' B R U R
F' B' L' D R B2 U
F' B' L' D B2 R U
B' F' L' B' R U R
B' F' L' B2 R U R
B2 F' L' D R B2 U
B2 F' L' D B2 R U
F' B' L' B R U R
F' B' L' B' R U R
F' B' L' B2 R U R
B2 F' L' B R U R
B2 F' L' B' R U R
B2 F' L' B2 R U R
B F' L' R U R D
B F' L' R U R D'
B F' L' R U R D2
B F' L' R U D R
B F' L' R U D' R
B F' L' R U D2 R
B F' L' R D U R
B F' L' R D' U R
B F' L' R D2 U R
B F' L' R B U R
B F' L' R B' U R
B F' L' R B2 U R
B F' L' D R B2 U
B F' L' D B2 R U
B' F' R L' U R D
B' F' R L' U R D'
B' F' R L' U R D2
B' F' R L' U D R
B' F' R L' U D' R
B' F' R L' U D2 R
B' F' R L' D U R
B' F' R L' D' U R
B' F' R L' D2 U R
B' F' R L' B U R
B' F' R L' B' U R
B' F' R L' B2 U R
B' F' R D L' U R
B F' L' B R U R
B' F' R D' L' U R
B F' L' B' R U R
F' B' R L' U R D
F' B' R L' U R D'
F' B' R L' U R D2
F' B' R L' U D R
F' B' R L' U D' R
F' B' R L' U D2 R
F' B' R L' D U R
F' B' R L' D' U R
F' B' R L' D2 U R
F' B' R L' B U R
F' B' R L' B' U R
B' F' R D2 L' U R
F' B' R L' B2 U R
B F' L' B2 R U R
B2 F' R L' U R D
B2 F' R L' U R D'
B2 F' R L' U R D2
B2 F' R L' U D R
B2 F' R L' U D' R
B2 F' R L' U D2 R
B2 F' R L' D U R
B2 F' R L' D' U R
B2 F' R L' D2 U R
B2 F' R L' B U R
B2 F' R L' B' U R
B2 F' R L' B2 U R
B' F' R B L' U R
F' B' R D L' U R
B' F' R B' L' U R
F' B' R D' L' U R
B' F' R B2 L' U R
F' B' R D2 L' U R
B2 F' R D L' U R
B2 F' R D' L' U R
B2 F' R D2 L' U R
F' B' R B L' U R
F' B' R B' L' U R
F' B' R B2 L' U R
B2 F' R B L' U R
B2 F' R B' L' U R
B2 F' R B2 L' U R
B F' R L' U R D
B F' R L' U R D'
B F' R L' U R D2
B F' R L' U D R
B F' R L' U D' R
B F' R L' U D2 R
B F' R L' D U R
B F' R L' D' U R
B F' R L' D2 U R
B F' R L' B U R
B F' R L' B' U R
B F' R L' B2 U R
B F' R D L' U R
B F' R D' L' U R
B F' R D2 L' U R
B F' R B L' U R
B F' R B' L' U R
B F' R B2 L' U R
U' B' F' R U B R
L' B' F' L' R U R
L' B' F' R L' U R
L2 B' F' L' R U R
L2 B' F' R L' U R
B' F' D L' R B2 U
B' F' D L' B2 R U
B' F' D R L' B2 U
B' F' D R B2 L' U
F' B' D L' R B2 U
F' B' D L' B2 R U
F' B' D R L' B2 U
F' B' D R B2 L' U
B2 F' D L' R B2 U
B2 F' D L' B2 R U
B2 F' D R L' B2 U
B' F' D B2 L' R U
B2 F' D R B2 L' U
B' F' D B2 R L' U
L B' F' L' R U R
F' B' D B2 L' R U
F' B' D B2 R L' U
L B' F' R L' U R
B2 F' D B2 L' R U
B2 F' D B2 R L' U
B F' D L' R B2 U
B F' D L' B2 R U
B F' D R L' B2 U
B F' D R B2 L' U
B F' D B2 L' R U
B F' D B2 R L' U
F' B2 L' R U R D
F' B2 L' R U R D'
F' B2 L' R U R D2
F' B2 L' R U D R
F' B2 L' R U D' R
F' B2 L' R U D2 R
F' B2 L' R D U R
F' B2 L' R D' U R
F' B2 L' R D2 U R
F' B2 L' R B U R
F' B2 L' R B' U R
F' B2 L' R B2 U R
F' B2 L' D R B2 U
F' B2 L' D B2 R U
F' B2 L' B R U R
F' B2 L' B' R U R
F' B2 L' B2 R U R
D B2 R U F' L' B'
F' B2 R L' U R D
F' B2 R L' U R D'
F' B2 R L' U R D2
F' B2 R L' U D R
F' B2 R L' U D' R
F' B2 R L' U D2 R
F' B2 R L' D U R
F' B2 R L' D' U R
F' B2 R L' D2 U R
F' B2 R L' B U R
F' B2 R L' B' U R
F' B2 R L' B2 U R
F' B2 R D L' U R
F' B2 R D' L' U R
F' B2 R D2 L' U R
F' B2 R B L' U R
F' B2 R B' L' U R
F' B2 R B2 L' U R
F' B2 D L' R B2 U
F' B2 D L' B2 R U
F' B2 D R L' B2 U
F' B2 D R B2 L' U
D B2 D' F' L' R U
D B2 D' F' R L' U
U' B2 F' R U B R
F' B2 D B2 L' R U
F' B2 D B2 R L' U
L' B2 F' L' R U R
L' B2 F' R L' U R
D B2 D2 F' L' U F
L2 B2 F' L' R U R
L2 B2 F' R L' U R
D B2 F' L' R U F'
D B2 F' R L' U F'
L B2 F' L' R U R
D B2 F' D2 L' U F
L B2 F' R L' U R
