R2 U' L2 R' F U'
R2 U' L2 F R' U'
R2 U' L2 F R' U'
R2 U' R' L2 F U'
L2 D R F B2 U'
L2 D R B2 F U'
L2 D B2 R F U'
L2 D2 R F U' L2
R F L2 F U' L'
R F2 L2 F U' L
L2 D B2 R' F R2 U'
L2 D B2 R2 F R' U'
L2 D B2 D R F U'
L2 D B2 D' R F U'
L2 D B2 D2 R F U'
L2 D' R D' F U' L2
L2 D' R D2 F B2 U'
L2 D' R D2 B2 F U'
L2 D' R F U2 F U
L2 D' F U2 F L' U
B' U' R2 U' L2 R' U'
B' U' R2 U' R' L2 U'
R2 D' B2 U L B U
L D2 L R F U' L
L2 D2 R D' F B2 U'
L2 D2 R D' B2 F U'
L2 D2 R F U' L2 D
L2 D2 R F U' L2 D'
L2 D2 R F U' L2 D2
L2 D2 R F D' B2 U'
L2 D2 R F B U' L2
L2 D2 R F B' U' L2
L2 D2 R F B2 U' L2
L2 D2 R B F U' L2
L2 D2 R B' F U' L2
L2 D2 R B2 F U' L2
L D2 R L F U' L
L2 D2 R' F R2 U' L2
L2 D2 R2 F R' U' L2
B' U2 L2 R U R U2
B' U2 L2 D R B2 U'
B' U2 L2 D B2 R U'
B' U2 L2 D2 R U' L2
B' U2 R L2 U R U2
B' U2 R U' D F2 L'
B' U2 R D U' F2 L'
L2 D2 B R F U' L2
L2 D2 B' R F U' L2
B' U2 D R B2 U' F2
B' U2 D B2 R U' F2
L2 D2 B2 R F U' L2
R F L2 F U' L' D
R F L2 F U' L' D'
R F L2 F U' L' D2
R F L2 F U' D L'
R F L2 F U' D' L'
R F L2 F U' D2 L'
R F L2 F D U' L'
R F L2 F D' U' L'
R F L2 F D2 U' L'
R F L2 F B U' L'
R F L2 F B' U' L'
R F L2 F B2 U' L'
R F L2 B F U' L'
R F L2 B' F U' L'
R F L2 B2 F U' L'
R2 F U' L2 R' F U'
R2 F U' L2 F R' U'
R2 F U' R' L2 F U'
L2 F D R' B2 U' B'
L2 F D B2 R' U' B
L2 F D2 B R' U' L2
B' D U2 R B2 U' F2
B' D U2 B2 R U' F2
R F' L2 F U R U2
R2 F' U' L2 R' F U'
R2 F' U' L2 F R' U'
R2 F' U' R' L2 F U'
B' D' F2 L' U D2 F2
B' D' F2 L' U' B2 U2
B' D' F2 L' D' R2 U
B' D' F2 L' D2 U F2
B' D' F2 D' L' R2 U
B' D' F2 D' R2 L' U
B' D' F2 D2 L' U F2
R F2 L2 D F U' L
R F2 L2 D' F U' L
R F2 L2 D2 F U' L
R F2 L2 F U' L D
R F2 L2 F U' L D'
R F2 L2 F U' L D2
R F2 L2 F U' D L
R F2 L2 F U' D' L
R F2 L2 F U' D2 L
R F2 L2 F D U' L
R F2 L2 F D' U' L
R F2 L2 F D2 U' L
D2 F2 R2 B' L' U L'
R2 F2 U' L2 R' F U'
R2 F2 U' L2 F R' U'
R2 F2 U' R' L2 F U'
D' F2 D' R2 B' L' U
D' F2 D' B' L' R2 U
D' F2 D' B' R2 L' U
D' F2 D2 B' L' U F2
B D2 R F2 L' U' L'
B' D2 R2 U2 R' U' L2
D2 F2 B' L' R2 U L'
D2 F2 B' R2 L' U L'
F2 D2 R2 B' L' U L'
F D2 R2 B' L U L
B' D2 F2 L' R2 U L'
B' D2 F2 R2 L' U L'
R B L2 D2 F2 U' L'
D2 B R2 B2 L U L
F2 D2 B' L' R2 U L'
F2 D2 B' R2 L' U L'
F D2 B' L R2 U L
F D2 B' R2 L U L
L2 B D R F B2 U'
L2 B D R B2 F U'
L2 B D B2 R F U'
L2 B D2 R F U' L2
D' B' L' F2 L' U F
D' B' L2 F2 L' U F'
R B' L2 U R U2 R'
D2 B' R2 U2 R' U' L2
F2 B' L' D' F2 R U
D B' U2 R B' U' F2
L2 B' D R F B2 U'
L2 B' D R B2 F U'
D B' U2 B' R U' F2
L2 B' D B2 R F U'
L2 B' D2 R F U' L2
D2 B' F2 L' R2 U L'
D2 B' F2 R2 L' U L'
F2 B' D2 L' R2 U L'
F2 B' D2 R2 L' U L'
B' F2 L' D' F2 R U
R' B2 R2 F' L2 U' L'
D' B2 U F2 L' B U
D' B2 U F2 B L' U
D' B2 U B F2 L' U
L2 B2 D R F B2 U'
L2 B2 D R B2 F U'
L2 B2 D B2 R F U'
L2 B2 D2 R F U' L2
B' F2 D2 L' R2 U L'
B' F2 D2 R2 L' U L'
