D L D L F' B'
D L D L B' F'
D L D F' L B'
D2 L D' F' B' L2
D2 L D' B' L2 F'
D2 L D' B' F' L2
D L F' D L B'
D2 L B' D' L2 F'
D2 L B' D' F' L2
D2 L' D' L2 F' B'
D2 L' D' L2 B' F'
B2 R' U' B R F'
F' R' D L2 B R
F' R' D B L2 R
F' R' D B R L2
F' U R' B2 U' B'
F' U B2 R' U' B
F' D L D L B'
D F' L D L B'
F' D2 L D' B' L2
F' D2 L B' D' L2
F' D2 L' D' L2 B'
R' B2 U' R F' B'
R' B2 U' R B' F'
R' B2 U' B' R F'
D2 L' D' B2 L2 F' B'
D2 L' D' B2 L2 B' F'
F' L' D2 L D' B' L2
F' L' D2 L B' D' L2
F' L' D2 L' D' L2 B'
R' L' B2 U' R F' B'
R' L' B2 U' R B' F'
L' R' B2 U' R F' B'
L' R' B2 U' R B' F'
R' L' B2 U' B' R F'
L' R' B2 U' B' R F'
L2 R' B2 U' R F' B'
L2 R' B2 U' R B' F'
L R' B2 U' R F' B'
L R' B2 U' R B' F'
L2 R' B2 U' B' R F'
L R' B2 U' B' R F'
D2 L' B D' L2 F' B'
D2 L' B D' L2 B' F'
D L' B' L' D' F' B2
D L' B' L' D' B2 F'
D L' B' L' F' D' B2
D2 L' B' D' L2 F' B'
D2 L' B' D' L2 B' F'
D2 L' B2 D' L2 F' B'
D2 L' B2 D' L2 B' F'
U2 L' B2 U' F' R' B
D L2 R D' R' F' B
D L2 R D' R' B F'
F' L2 R' D L2 B R
F' L2 R' D B L2 R
F' L2 R' D B R L2
B2 L2 R' U' B R F'
F' L2 U R' B2 U' B'
F' L2 U B2 R' U' B
F' L2 D L D L B'
D L2 D L B' L' F'
R' L2 B2 U' R F' B'
R' L2 B2 U' R B' F'
R' L2 B2 U' B' R F'
D L2 D F' L B' L'
D2 L2 D' L' B' L' F'
D2 L2 D' F' L' B' L'
D L2 D' R' B R F'
D L2 D' F' R' B R
F' L2 D2 L D' B' L2
F' L2 D2 L B' D' L2
F' L2 D2 L' D' L2 B'
D L2 D2 F' U R U'
D2 L2 F' U' F' L' U
D L2 F' L' D L B'
D L2 F' R D' R' B
D L2 F' D L B' L'
D L2 F' D' R' B R
D L2 F' B U R' U'
D L2 F' B' U' L U
D L2 B F' U R' U'
D L2 B' U' L U F'
D L2 B' F' U' L U
D R L2 D' R' F' B
D R L2 D' R' B F'
F' R D L2 R2 B R
F' R D R2 L2 B R
F' R D R2 B L2 R
F' R D R2 B R L2
R' U B2 U' R F' B'
R' U B2 U' R B' F'
R' U B2 U' B' R F'
F R F2 R' D L2 B'
F R F2 D L2 R' B'
F R F2 D R' L2 B'
F' R' L D L2 B R
F' R' L D B L2 R
F' R' L D B R L2
B2 R' L U' B R F'
F' R' L' D L2 B R
F' R' L' D B L2 R
F' R' L' D B R L2
B2 R' L' U' B R F'
F' R' L2 D L2 B R
F' R' L2 D B L2 R
F' R' L2 D B R L2
B2 R' L2 U' B R F'
F' R' U B2 U' R B'
F' R' U B2 U' B' R
B R' U B R F' L'
B2 R' U' B R D F'
B2 R' U' B R D' F'
B2 R' U' B R D2 F'
B2 R' U' B R F' D
B2 R' U' B R F' D'
B2 R' U' B R F' D2
B2 R' U' B' R F' B2
B2 R' U' B' R B2 F'
B2 R' U' B2 R F' B'
B2 R' U' B2 R B' F'
B R' U' B L R F'
B R' U' B R L F'
B R' U' B R F' L
F' R' D L' B L' R
F' R' D L' B R L'
F' R' D L2 D B R
F' R' D L2 D' B R
F' R' D L2 D2 B R
F' R' D L2 B R D
F' R' D L2 B R D'
F' R' D L2 B R D2
F' R' D L2 B D R
F' R' D L2 B D' R
F' R' D L2 B D2 R
F' R' D L2 B' R B2
F' R' D L2 B2 R B'
R' U' B2 U' R F' B'
R' U' B2 U' R B' F'
R' U' B2 U' B' R F'
F' R' D B L2 R D
F' R' D B L2 R D'
F' R' D B L2 R D2
F' R' D B L2 D R
F' R' D B L2 D' R
F' R' D B L2 D2 R
F' R' D B R L2 D
F' R' D B R L2 D'
F' R' D B R L2 D2
F' R' D B' L2 R B2
F' R' D B' L2 B2 R
F' R' D B' R L2 B2
F' R' D B' R B2 L2
F' R' D B2 R B' L2
F2 R' D B R F L2
F' R' D' B D2 L2 R
F' R' D' B D2 R L2
F' R' D2 B R D' L2
F' R' D2 B D' L2 R
F' R' D2 B D' R L2
B' R' B R D L2 F'
B' R' B R D F' L2
B' R' B R F' D L2
F' R' B U B U' R
F2 R' B R D' F L'
B' R' B' U' R F' B2
B' R' B' U' R B2 F'
B' R' B' U' B2 R F'
F2 R' B2 U' R F B'
F2 R' B2 U' R B' F
F2 R' B2 U' B' R F
U R' B2 R U' F' B'
U R' B2 R U' B' F'
F R' B2 U' R F2 B'
F R' B2 U' R B' F2
F R' B2 U' B' R F2
R' U2 B2 U' R F' B'
R' U2 B2 U' R B' F'
R' U2 B2 U' B' R F'
L' D L D L F' B'
L' D L D L B' F'
L' D L D F' L B'
L' D L F' D L B'
L2 D L D L F' B'
L2 D L D L B' F'
L2 D L D F' L B'
L2 D L F' D L B'
L D L D L F' B'
L D L D L B' F'
L D L D F' L B'
L D L F' D L B'
R' D L2 D' B R F'
R' D L2 B R D' F2
R D L2 R2 B R F'
R D R2 L2 B R F'
R D R2 B L2 R F'
R D R2 B R L2 F'
R D R2 B R F' L2
L' D F' L D L B'
L2 D F' L D L B'
L D F' L D L B'
R D F' R' F' L2 B'
R' D B L2 R D' F2
F' U R B2 R2 U' B
F' U R B2 U F' U2
R' D B R L2 D' F2
F' U R' U' D L2 B
F' U R' U' D B L2
F' U R' D U' L2 B
F' U R' D U' B L2
R D F2 L2 R' F' B'
R D F2 L2 R' B' F'
R D F2 R' L2 F' B'
R D F2 R' L2 B' F'
F' U R' B2 R U' B'
F' U R' B2 R' U' B'
F' U R' B2 R2 U' B'
F' U R' B2 U' D B'
F' U R' B2 U' D' B'
F' U R' B2 U' D2 B'
F' U R' B2 U' B' D
F' U R' B2 U' B' D'
F' U R' B2 U' B' D2
F' U R' B2 D U' B'
F' U R' B2 D' U' B'
F' U R' B2 D2 U' B'
F2 U R' B2 U' F B'
F2 U R' B2 U' B' F
F' U R2 B2 R U' B
F U R' B2 U' F2 B'
F U R' B2 U' B' F2
F' U D B R' U' L2
F' U B R' U' B L
F' U B D B R' U'
D2 U' L F2 U F B'
D2 U' L F2 U B' F
F' U B' R' B' U' B2
F' U B2 R U F' U2
F' U B2 R' U' D B
F' U B2 R' U' D' B
F' U B2 R' U' D2 B
F' U B2 R' U' B D
F' U B2 R' U' B D'
F' U B2 R' U' B D2
F' U B2 R' D U' B
F' U B2 R' D' U' B
F' U B2 R' D2 U' B
R D' R2 U2 B R F'
F' U B2 U' R' B R
F2 U B2 R' U' F B
F2 U B2 R' U' B F
F U B2 R' U' F2 B
F U B2 R' U' B F2
R D' F' R2 U2 R F'
L' D2 L D' F' B' L2
L' D2 L D' B' L2 F'
L' D2 L D' B' F' L2
F' U' D2 L F2 U B'
L' D2 L B' D' L2 F'
L' D2 L B' D' F' L2
L2 D2 L D' F' B' L2
L2 D2 L D' B' L2 F'
L2 D2 L D' B' F' L2
F' U' D2 F2 L U B'
L2 D2 L B' D' L2 F'
L2 D2 L B' D' F' L2
L' D2 L' D' L2 F' B'
L' D2 L' D' L2 B' F'
L2 D2 L' D' L2 F' B'
L2 D2 L' D' L2 B' F'
L D2 L D' F' B' L2
L D2 L D' B' L2 F'
L D2 L D' B' F' L2
L D2 L B' D' L2 F'
L D2 L B' D' F' L2
U' D2 L F2 U F B'
U' D2 L F2 U B' F
L D2 L' D' L2 F' B'
L D2 L' D' L2 B' F'
F' U2 R D F' U2 L2
F' U2 R D' R2 U2 B
F' U2 R D' F' R2 U2
F' U2 R F' U' B2 U'
F' U2 R F' U2 D L2
F' U2 R F' D U2 L2
F' U2 R F' D' R2 U2
F' U2 R' U' B2 U' B'
F' U2 R' U2 D L2 B
F' U2 R' U2 D B L2
F' U2 R' D U2 L2 B
F' U2 R' D U2 B L2
F' U2 R' D' R2 F' U2
D2 F L F2 D' B' L
D F L F2 D L B'
F' D L D L D B'
F' D L D L D' B'
F' D L D L D2 B'
F' D L D L B' D
F' D L D L B' D'
F' D L D L B' D2
F' D L' D L B' L2
F' D L' B' L' D' B2
F' D L2 R D' R' B
F' D L2 D L B' L'
F' D L2 D' R' B R
F' D L2 B U R' U'
F' D L2 B' U' L U
F' D R L2 D' R' B
F' D U B R' U' L2
D2 F' L U' F' U B'
D2 F' L B' U' F' U
D F' L D L D B'
D F' L D L D' B'
D F' L D L D2 B'
D F' L D L B' D
D F' L D L B' D'
D F' L D L B' D2
F2 D F L D L B'
D2 F' L2 U' F' L' U
D F' L' D L B' L2
D F' L' B' L' D' B2
D F' L2 R D' R' B
D F' L2 D L B' L'
D F' L2 D' R' B R
D F' L2 B U R' U'
D F' L2 B' U' L U
B D F' U B R' U'
D' F' R' D B2 L R
D' F' R' D B2 R L
D F' R L2 D' R' B
L' F' R' D L2 B R
L' F' R' D B L2 R
L' F' R' D B R L2
F' D B L2 U R' U'
L2 F' R' D L2 B R
F' D B U R' U' L2
L2 F' R' D B L2 R
L2 F' R' D B R L2
F' D B' L' D' L' B2
F' D B' L' D' B2 L'
F' D B' L2 U' L' U
B D B R' U' R F'
F' D B' U' L U L
D' F' U R U R U2
L F' R' D L2 B R
L F' R' D B L2 R
L F' R' D B R L2
D' F' U D R B2 U'
D' F' U D B2 R U'
L' F' U R' B2 U' B'
D' F' U D2 R U' L2
R F' R' D F' L2 B'
R F' R' F' D L2 B'
D2 F' U' L F' U B'
L2 F' U R' B2 U' B'
L' F' U B2 R' U' B
D' F' U' D' F2 L' U
D2 F' U' F' L U B'
L2 F' U B2 R' U' B
D F' U B R' U' L2
L F' U R' B2 U' B'
D' F' U2 R2 U' R' U'
L F' U B2 R' U' B
L' F' D L D L B'
D' F' D U R B2 U'
D' F' D U B2 R U'
L2 F' D L D L B'
D F' D L D' B' L2
D F' D L B' D' L2
D F' D L' D' L2 B'
D' F' D' U' F2 L' U
L F' D L D L B'
D' F' D2 L2 U R U'
L' F' D2 L D' B' L2
L' F' D2 L B' D' L2
L' F' D2 L' D' L2 B'
D' F' D2 U R U' L2
R F' D R' F' L2 B'
L2 F' D2 L D' B' L2
L2 F' D2 L B' D' L2
L2 F' D2 L' D' L2 B'
R F' D' R2 U2 R F'
L F' D2 L D' B' L2
L F' D2 L B' D' L2
L F' D2 L' D' L2 B'
D F' B L2 U R' U'
D F' B U R' U' L2
D F' B' L' D' L' B2
D F' B' L' D' B2 L'
D F' B' L2 U' L' U
D F' B' U' L U L
B' D' F' U R B' U'
B' D' F' U B' R U'
B D' F' U B R U'
R F2 R' D L2 F' B'
R F2 R' D L2 B' F'
F' D2 L U' F2 U B'
F' D2 L D B' D2 L2
F' D2 L D' B L2 B2
F' D2 L D' B' L2 D
F' D2 L D' B' L2 D'
F' D2 L D' B' L2 D2
F' D2 L D' B2 L2 B
F' D2 L B' L D' L2
F' D2 L B' L' D' L2
F' D2 L B' L2 D' L2
F' D2 L B' U' F2 U
F' D2 L B' D' L2 D
F' D2 L B' D' L2 D'
F' D2 L B' D' L2 D2
F' D2 L B2 D' L2 B
F' D2 L B2 D' B L2
F' D2 L' D' L2 D B'
F' D2 L' D' L2 D' B'
F' D2 L' D' L2 D2 B'
F' D2 L' D' L2 B' D
F' D2 L' D' L2 B' D'
F' D2 L' D' L2 B' D2
F' D2 L' D' B L2 B'
F' D2 L' D' B' L2 B'
F' D2 L' D' B2 L2 B'
F' D2 L' B D' L2 B'
B D2 L F' B' D L2
F' D2 L' B' D' L2 B'
F' D2 L' B2 D' L2 B'
B D2 L B' D L2 F'
B D2 L B' D F' L2
B D2 L B' F' D L2
F' D2 L2 D' L' B' L'
F D2 L B' D' L2 F
R F2 D L2 R' F' B'
R F2 D L2 R' B' F'
R F2 D R' L2 F' B'
R F2 D R' L2 B' F'
F' D2 U' L F2 U B'
D2 B L D' F' B' L2
D2 B L D' B' L2 F'
D2 B L D' B' F' L2
F' D2 U' F2 L U B'
D2 B L B' D' L2 F'
D2 B L B' D' F' L2
D2 B L' D' L2 F' B'
D2 B L' D' L2 B' F'
F2 D2 F L D' B' L
R' B R D' F L' F2
R' B R F2 D' F L'
B D2 F' L B' D L2
D B L2 F' U R' U'
F' D2 B L D' B' L2
F' D2 B L B' D' L2
F' D2 B L' D' L2 B'
F' D2 B' L D' B' L2
D B R' U' L2 R F'
D B R' U' R L2 F'
D B R' U' R F' L2
F' D2 B' L B' D' L2
F' D2 B' L' D' L2 B'
F' D2 B2 L D' B' L2
R' B U B U' R F'
F' D2 B2 L B' D' L2
F' D2 B2 L' D' L2 B'
B2 F R' U' B R F2
F' B U R' U' B L
F' B U D B R' U'
D B F' L2 U R' U'
F' B U B R' U' B
D B F' U R' U' L2
D2 B' L D' F' B' L2
D2 B' L D' B' L2 F'
D2 B' L D' B' F' L2
D2 B' L B' D' L2 F'
D2 B' L B' D' F' L2
D2 B' L' D' L2 F' B'
D2 B' L' D' L2 B' F'
F' B D U B R' U'
D B' L' D' L' F' B2
D B' L' D' L' B2 F'
D B' L' D' B2 L' F'
D B' L2 U' L' U F'
F' B D2 L B' D L2
D B' U' L U L F'
D B' U' L U F' L
B' F' R' B R D L2
B' F' R' B D L2 R
B' F' R' B D R L2
F' B' R' B R D L2
F' B' R' B D L2 R
F' B' R' B D R L2
B' F' U R' B' U' B2
F' B' U R' B' U' B2
B' F' U B' R' U' B
F' B' U B' R' U' B
B F' U R' U' B L
B F' U D B R' U'
B F' U B R' U' B
D B' F' L' D' L' B2
D B' F' L' D' B2 L'
D B' F' L2 U' L' U
D B' F' U' L U L
D2 B2 L D' F' B' L2
D2 B2 L D' B' L2 F'
D2 B2 L D' B' F' L2
D2 B2 L B' D' L2 F'
D2 B2 L B' D' F' L2
D2 B2 L' D' L2 F' B'
D2 B2 L' D' L2 B' F'
B F' D U B R' U'
B F' D2 L B' D L2
R' B2 R' U' R2 F' B'
R' B2 R' U' R2 B' F'
L' B2 R' U' B R F'
L2 B2 R' U' B R F'
L B2 R' U' B R F'
R' B2 U' R D F' B'
R' B2 U' R D B' F'
R' B2 U' R D' F' B'
R' B2 U' R D' B' F'
R' B2 U' R D2 F' B'
R' B2 U' R D2 B' F'
R' B2 U' R F' D B'
R' B2 U' R F' D' B'
R' B2 U' R F' D2 B'
R' B2 U' R F' B' D
R' B2 U' R F' B' D'
R' B2 U' R F' B' D2
R' B2 U' R B' D F'
R' B2 U' R B' D' F'
R' B2 U' R B' D2 F'
R' B2 U' R B' F' D
R' B2 U' R B' F' D'
R' B2 U' R B' F' D2
B2 F2 R' U' B R F
F2 B2 R' U' B R F
R' B2 U' B R F' B2
R' B2 U' B R B2 F'
R' B2 U' B' R D F'
R' B2 U' B' R D' F'
R' B2 U' B' R D2 F'
R' B2 U' B' R F' D
R' B2 U' B' R F' D'
R' B2 U' B' R F' D2
F B2 R' U' B R F2
U B2 U' R' B R F'
U B2 U' F' R' B R
U B2 D2 L U' F' B'
U B2 D2 L U' B' F'
