B2 L U D2 R2 F2
B2 L U D2 F2 R2
B2 L U' L2 B2 U2
B2 L U' B2 L2 U2
B2 L D' R2 B2 U
B2 L D' B2 R2 U
B2 L D2 U R2 F2
B2 L D2 U F2 R2
U' L' U' L R' U'
U' L' U' R' L U'
L' U' R' U R U2
U' R' U L' R U2
U' R' U R L' U2
U' R' F2 U' L' R
U' R' F2 U' R L'
U2 R' F2 U' R F2
B U' B' L' U2 B'
U2 F2 R' U' R2 F2
U2 F2 R' U' F2 R2
F2 D' U2 L2 R D B2
F2 D' U2 R L2 D B2
U2 F2 L' R' U' R2 F2
U2 F2 L' R' U' F2 R2
B D' U' B' L' U2 B'
U2 F2 L2 R' U' R2 F2
U2 F2 L2 R' U' F2 R2
L' F2 R D R2 U2 B2
L' F2 R D' F2 U2 L2
U' F2 R' U R U2 R
U' F2 R' D' F2 U' L'
U' F2 R' F2 U' L' R2
U' F2 R' F2 U' R2 L'
U2 F2 R' L U' R2 F2
U2 F2 R' L U' F2 R2
U2 F2 R' L' U' R2 F2
U2 F2 R' L' U' F2 R2
U2 F2 R' L2 U' R2 F2
U2 F2 R' L2 U' F2 R2
U2 F2 R' U' R' F2 R'
U2 F2 R' U' R2 F2 D
U2 F2 R' U' R2 F2 D'
U2 F2 R' U' R2 F2 D2
U2 F2 R' U' F R2 F
U2 F2 R' U' F2 R2 D
U2 F2 R' U' F2 R2 D'
U2 F2 R' U' F2 R2 D2
U2 F2 R' D' L2 F2 U'
U2 F2 R' D' F2 L2 U'
L' F2 R2 U F2 L' U
U2 F2 R' F U' R2 F
U2 F2 R' F U' F R2
U2 F2 R' F' U' F' R2
L' F2 U F2 U2 R' U'
L' F2 U' R' U' D' L2
L' F2 U' R' U2 F2 U
L' F2 U' R' D' U' L2
L' F2 U' R' D2 B2 U'
L' F2 U' D' R' U' L2
L' F2 U' D2 R' B2 U'
U2 F2 U' R F2 D B2
B2 D2 L U F2 D2 R2
B2 D2 L U' L2 U2 F2
R' F2 U2 F2 U F2 R
L' F2 D R2 U' R U'
L' F2 D' U' R' U' L2
U2 F2 D' L2 R' U' R2
U2 F2 D' R' L2 U' R2
L' F2 D2 U' R' B2 U'
R F2 D R2 U2 R' B2
R F2 D' F2 L' U2 L'
F2 D2 U' R' B2 U' R2
U F2 B2 L U L' R
U F2 B2 L U R L'
F2 D2 U2 R D L2 B2
F2 D2 U2 R D B2 L2
B D2 U' B' L' U2 B'
B2 D2 B' U F2 R B
R' B U B' L' U2 L
R' B U' B' L' U2 B
D2 B U' B' L' U2 B'
D' B U' B' L' U2 B'
L2 B U' B' L F U2
D B U' B' L' U2 B'
R' B' U B L' U2 L
R' B' U' L' B U2 B'
D2 B2 L U D2 R2 F2
D2 B2 L U D2 F2 R2
D2 B2 L U' L2 B2 U2
D2 B2 L U' B2 L2 U2
D' B2 L U D2 R2 F2
D' B2 L U D2 F2 R2
D' B2 L U' L2 B2 U2
D2 B2 L D' R2 B2 U
D' B2 L U' B2 L2 U2
L' B2 L U D2 F2 R
D2 B2 L D' B2 R2 U
L' B2 L U' L' B2 U2
D2 B2 L D2 U R2 F2
D2 B2 L D2 U F2 R2
L' B2 L U' B2 L' U2
D' B2 L D' R2 B2 U
D' B2 L D' B2 R2 U
D' B2 L D2 U R2 F2
D' B2 L D2 U F2 R2
L' B2 L D2 U F2 R
L2 B2 L U R' D2 F2
L2 B2 L U D2 R' F2
L2 B2 L U D2 F2 R'
L2 B2 L U' B2 L U2
L2 B2 L D' R2 U R
L2 B2 L D2 U R' F2
L2 B2 L D2 U F2 R'
D B2 L U D2 R2 F2
D B2 L U D2 F2 R2
D B2 L U' L2 B2 U2
D B2 L U' B2 L2 U2
D B2 L D' R2 B2 U
D B2 L D' B2 R2 U
D B2 L D2 U R2 F2
D B2 L D2 U F2 R2
L B2 L U' L B2 U2
U B2 L U D2 L' R2
U B2 L U D2 R2 L'
U B2 L U' L2 U2 L
L B2 L U' B2 U2 R'
U B2 L D' B2 U L'
U B2 L D2 U L' R2
U B2 L D2 U R2 L'
R' B2 U L' B2 R' U2
R' B2 U B2 L' U2 L
R' B2 U' L' B2 U2 B2
R' B2 U' B2 L' U2 B2
L2 B2 D' L R2 U R
L' B2 D2 L U F2 R
L2 B2 D' R2 L U R
L2 B2 D2 L U R' F2
L2 B2 D2 L U F2 R'
L B2 D' L R2 B2 U
L B2 D' L B2 R2 U
L B2 D' R2 L B2 U
L B2 D2 L U R2 F2
L B2 D2 L U F2 R2
U B2 F2 L U L' R
U B2 F2 L U R L'
