F2 U' R B L
F' R D2 B U' R'
F' R F' B U' R
F' R B F' U' R
D' U L' F R U2
F2 U' L R B L
U D' L' F R U2
F2 U' L' R B L
F2 U' L2 R B L
F2 U' R L B L
F2 U' R L' B L
F2 U' R L2 B L
F2 U' R D B L
F2 U' R D' B L
F2 U' R D2 B L
F2 U' R B L D
F2 U' R B L D'
F2 U' R B L D2
F2 U' R B D L
F2 U' R B D' L
F2 U' R B D2 L
F2 U' D R B L
F2 U' D' R B L
F2 U' D2 R B L
F2 U' B L R B
F2 U' B R L B
F' D R F' B U'
F' D R B F' U'
F2 D U' R B L
F2 D' U' R B L
F' D2 R B U' R'
F2 D2 U' R B L
R F2 B U' R B
F2 B U' R B L
R B F2 U' R B
F2 B' U' R B L
B' F2 U' R B L
F2 B2 U' R B L
B2 F2 U' R B L
B F2 U' R B L
F2 B U' R B L D
F2 B U' R B L D'
F2 B U' R B L D2
F2 B U' R B D L
F2 B U' R B D' L
F2 B U' R B D2 L
F2 B U' D R B L
F2 B U' D' R B L
F2 B U' D2 R B L
R B F' R F' U' R
F2 B U' B L R B
F2 B U' B R L B
R B F' D R F' U'
R B F2 U' R D B
R B F2 U' R D' B
R B F2 U' R D2 B
R B F2 U' R B D
R B F2 U' R B D'
R B F2 U' R B D2
R B F2 U' D R B
R B F2 U' D' R B
R B F2 U' D2 R B
R B F2 U' B R B
R B F2 U' B' R B
R B F2 U' B2 R B
R B F2 D U' R B
F' B D R F' B U'
F' B D R B F' U'
R B F2 D' U' R B
R B F2 D2 U' R B
F2 B D U' R B L
F2 B D' U' R B L
F' B D2 R B U' R'
F2 B D2 U' R B L
D' B' U L' F R U2
B' F' R D2 B U' R'
B' F' R F' B U' R
B' F' R B F' U' R
F' B' R D2 B U' R'
F' B' R F' B U' R
B2 F' R D2 B U' R'
F' B' R B F' U' R
B2 F' R F' B U' R
B2 F' R B F' U' R
B F' R D2 B U' R'
B F' R F' B U' R
B F' R B F' U' R
F2 B' U' L R B L
F2 B' U' L' R B L
F2 B' U' L2 R B L
F2 B' U' R L B L
F2 B' U' R L' B L
F2 B' U' R L2 B L
F2 B' U' R D B L
F2 B' U' R D' B L
F2 B' U' R D2 B L
F2 B' U' R B L D
F2 B' U' R B L D'
F2 B' U' R B L D2
F2 B' U' R B D L
F2 B' U' R B D' L
F2 B' U' R B D2 L
F2 B' U' D R B L
F2 B' U' D' R B L
F2 B' U' D2 R B L
F2 B' U' B L R B
F2 B' U' B R L B
B' F' D R F' B U'
B' F' D R B F' U'
F' B' D R F' B U'
F' B' D R B F' U'
B2 F' D R F' B U'
B2 F' D R B F' U'
F2 B' D U' R B L
B F' D R F' B U'
B F' D R B F' U'
B' F' D2 R B U' R'
F2 B' D' U' R B L
F' B' D2 R B U' R'
B2 F' D2 R B U' R'
F2 B' D2 U' R B L
B F' D2 R B U' R'
D' B2 U L' F R U2
F' B2 R D2 B U' R'
F' B2 R F' B U' R
F' B2 R B F' U' R
B' F2 U' L R B L
B' F2 U' L' R B L
B' F2 U' L2 R B L
B' F2 U' R L B L
B' F2 U' R L' B L
B' F2 U' R L2 B L
B' F2 U' R D B L
B' F2 U' R D' B L
B' F2 U' R D2 B L
B' F2 U' R B L D
B' F2 U' R B L D'
B' F2 U' R B L D2
B' F2 U' R B D L
B' F2 U' R B D' L
B' F2 U' R B D2 L
B' F2 U' D R B L
B' F2 U' D' R B L
B' F2 U' D2 R B L
B2 F2 U' L R B L
B' F2 U' B L R B
B' F2 U' B R L B
B2 F2 U' L' R B L
B2 F2 U' L2 R B L
F2 B2 U' L R B L
B2 F2 U' R L B L
B2 F2 U' R L' B L
B2 F2 U' R L2 B L
F2 B2 U' L' R B L
B2 F2 U' R D B L
B2 F2 U' R D' B L
B2 F2 U' R D2 B L
B2 F2 U' R B L D
B2 F2 U' R B L D'
B2 F2 U' R B L D2
B2 F2 U' R B D L
B2 F2 U' R B D' L
B2 F2 U' R B D2 L
F2 B2 U' L2 R B L
F2 B2 U' R L B L
F2 B2 U' R L' B L
F2 B2 U' R L2 B L
F2 B2 U' R D B L
F2 B2 U' R D' B L
F2 B2 U' R D2 B L
F2 B2 U' R B L D
F2 B2 U' R B L D'
F2 B2 U' R B L D2
F2 B2 U' R B D L
F2 B2 U' R B D' L
F2 B2 U' R B D2 L
B2 F2 U' D R B L
B2 F2 U' D' R B L
B2 F2 U' D2 R B L
F2 B2 U' D R B L
F2 B2 U' D' R B L
F2 B2 U' D2 R B L
B2 F2 U' B L R B
B2 F2 U' B R L B
F2 B2 U' B L R B
F2 B2 U' B R L B
B F2 U' L R B L
B F2 U' L' R B L
B F2 U' L2 R B L
B F2 U' R L B L
B F2 U' R L' B L
B F2 U' R L2 B L
B F2 U' R D B L
B F2 U' R D' B L
B F2 U' R D2 B L
B F2 U' R B L D
B F2 U' R B L D'
B F2 U' R B L D2
B F2 U' R B D L
B F2 U' R B D' L
B F2 U' R B D2 L
B F2 U' D R B L
B F2 U' D' R B L
B F2 U' D2 R B L
B' F2 D U' R B L
B F2 U' B L R B
B F2 U' B R L B
F' B2 D R F' B U'
F' B2 D R B F' U'
B2 F2 D U' R B L
F2 B2 D U' R B L
B' F2 D' U' R B L
B2 F2 D' U' R B L
B F2 D U' R B L
F2 B2 D' U' R B L
B' F2 D2 U' R B L
F' B2 D2 R B U' R'
B2 F2 D2 U' R B L
B F2 D' U' R B L
F2 B2 D2 U' R B L
B F2 D2 U' R B L
