U' D F B L R'
U' D F B R' L
U' D B R' F L
U' D B F L R'
U' D B F R' L
D U' F B L R'
D U' F B R' L
D U' B R' F L
D U' B F L R'
D U' B F R' L
U' F D B L R'
U' F D B R' L
D B R' F D' L2
D U B F R' D2 L2
D U B F' L' R' F2
D U B F' L' F2 R'
D U B F' R' L' F2
U D B F R' D2 L2
U D B F' L' R' F2
U D B F' L' F2 R'
U D B F' R' L' F2
F2 U B D' F' L' R
F2 U B D' F' R L'
D U' L' B L R' F
D U' L' B L F R'
D U' L' B R' L F
D' U' F B L D2 R2
U' D' F B L D2 R2
D2 U' F D' B L R'
D2 U' F D' B R' L
R D' F' B R U' F2
D U' F L B L R'
D U' F L B R' L
D U' F L' B L R'
D U' F L' B R' L
D U' F L2 B L R'
D U' F L2 B R' L
U' D' F' B L R F2
D' U' F' B L R F2
U' D' F' B R L F2
D' U' F' B R L F2
U' D' F' B R F2 L
D' U' F' B R F2 L
D U' F B L R' D
D U' F B L R' D'
D U' F B L R' D2
D U' F B L D R'
D U' F B L D' R'
D U' F B L D2 R'
D U' F B R' L D
D U' F B R' L D'
D U' F B R' L D2
D U' F B R' D L
D U' F B R' D' L
D U' F B R' D2 L
D U' F B D L R'
D U' F B D R' L
D U' F B D' L R'
D U' F B D' R' L
D U' F B D2 L R'
D U' F B D2 R' L
B U' R' B U F L
U D' F' L' B R F2
D U' F' B L R' F2
D U' F' B L F2 R'
D U' F' B R' L F2
D U' F' B R' F2 L
R D' B F' R U' F2
U D' F' B L' R F2
U D' F' B R L' F2
F2 U' D F' B L R'
F2 U' D F' B R' L
F2 U' D B L F' R'
U' D' B F L D2 R2
F2 U' D B F' L R'
F2 U' D B F' R' L
D' U' B F L D2 R2
U' D' B F' L R F2
D' U' B F' L R F2
U' D' B F' R L F2
U' D' B F' R F2 L
D' U' B F' R L F2
D' U' B F' R F2 L
D U' F2 B L F' R'
F2 U' D' F' B L R
F2 U' D' F' B R L
D U' B R F L R2
D U' B R F R2 L
F2 U' D' B L F' R
D U' B R' D F L
D U' B R' D' F L
D U' B R' D2 F L
D U' B R' F L D
D U' B R' F L D'
D U' B R' F L D2
D U' B R' F D L
D U' B R' F D' L
D U' B R' F D2 L
D U' B R' F' L F2
D U' B R' F2 L F'
F2 U' D' B F' L R
F2 U' D' B F' R L
D U' B D R' F L
D U' B D F L R'
D U' B D F R' L
D U' B D' R' F L
D U' B D' F L R'
D U' B D' F R' L
D U' B D2 R' F L
D U' B D2 F L R'
D U' B D2 F R' L
D U' B F L R' D
D U' B F L R' D'
D U' B F L R' D2
D U' B F L D R'
D U' B F L D' R'
D U' B F L D2 R'
D U' B F R' L D
D U' B F R' L D'
D U' B F R' L D2
D U' B F R' D L
D U' B F R' D' L
D U' B F R' D2 L
D U' B F D L R'
D U' B F D R' L
D U' B F D' L R'
D U' B F D' R' L
D U' B F D2 L R'
D U' B F D2 R' L
D U' B F' L R' F2
D U' B F' L F2 R'
D U' B F' R' L F2
D U' B F' R' F2 L
D U' B F2 L F' R'
U D' B F' L' R F2
U D' B F' R L' F2
F2 U' F' D B L R'
F2 U' F' D B R' L
F' U' F2 D B L R'
F' U' F2 D B R' L
F2 U' B L D' F' R
F2 U' B D' L F' R
F2 U' B D' F' L R
F2 U' B D' F' R L
U' D2 F D' B L R'
U' D2 F D' B R' L
U' F L D B L R'
U' F L D B R' L
U' F L' D B L R'
U' F L' D B R' L
U' F L2 D B L R'
U' F L2 D B R' L
R' F U' F2 B L U
R' F U' B L F2 U
R' F U' B F2 L U
U' F D L B L R'
U' F D L B R' L
U' F D L' B L R'
U' F D L' B R' L
U' F D L2 B L R'
U' F D L2 B R' L
U' F D B L R' D
U' F D B L R' D'
U' F D B L R' D2
U' F D B L D R'
U' F D B L D' R'
U' F D B L D2 R'
U' F D B R' L D
U' F D B R' L D'
U' F D B R' L D2
U' F D B R' D L
U' F D B R' D' L
U' F D B R' D2 L
U' F D B D L R'
U' F D B D R' L
U' F D B D' L R'
U' F D B D' R' L
U' F D B D2 L R'
U' F D B D2 R' L
U F D B R' D2 L2
D F B R' U' F' U
F2 D U F' L' B R'
F2 D U F' B L' R'
F2 D U F' B R' L'
F2 D U B F' L' R'
F2 D U B F' R' L'
F2 D U' F' B L R'
F2 D U' F' B R' L
F2 D U' B L F' R'
F2 D U' B F' L R'
F2 D U' B F' R' L
U F' L' F2 D B R'
R F' R' U' F2 B L
R F' R' U' B L F2
R F' R' U' B F2 L
F D B R' U' F' U
D' F' U' B L R F2
D' F' U' B R L F2
D' F' U' B R F2 L
D F' U' F2 B L R'
D F' U' F2 B R' L
D F' U' B L R' F2
D F' U' B L F2 R'
D F' U' B R' L F2
D F' U' B R' F2 L
D F' U' B F2 L R'
D F' U' B F2 R' L
R' F' B R U F2 B
R' F' B R U B F2
F2 D' U F' L' B R
R F' B R' U' F2 B
R F' B R' U' B F2
F2 D' U F' B L' R
F2 D' U F' B R L'
F2 D' U B F' L' R
F2 D' U B F' R L'
F2 D' U' F' B L R
F2 D' U' F' B R L
F2 D' U' B L F' R
F2 D' U' B F' L R
F2 D' U' B F' R L
D F2 U F' L' B R'
D F2 U F' B L' R'
D F2 U F' B R' L'
D F2 U B F' L' R'
D F2 U B F' R' L'
D F2 U' F' B L R'
D F2 U' F' B R' L
D F2 U' B L F' R'
D F2 U' B F' L R'
D F2 U' B F' R' L
U' F2 D F' B L R'
U' F2 D F' B R' L
U' F2 D B L F' R'
U' F2 D B F' L R'
U' F2 D B F' R' L
U' F2 D' F' B L R
U' F2 D' F' B R L
U' F2 D' B L F' R
U' F2 D' B F' L R
U' F2 D' B F' R L
U' F2 B L D' F' R
U' F2 B D' L F' R
U' F2 B D' F' L R
U' F2 B D' F' R L
U' B R F L D R2
U' B R F D L R2
U' B R F D R2 L
D B R' U' F' U F2
D B R' D F D' L2
D B R' D' F D' L2
D B R' D2 F D' L2
D B R' F L D' L2
D B R' F L' D' L2
D B R' F L2 D' L2
D B R' F U' F2 U
D B R' F D' L2 D
D B R' F D' L2 D'
D B R' F D' L2 D2
D B R2 D' R F L'
U' B D' F L D2 R2
U' B D' F' L R F2
U' B D' F' R L F2
U' B D' F' R F2 L
D B D R' F D' L2
D B D' R' F D' L2
B F R U F' B U'
B F R U B F' U'
F B R U F' B U'
F B R U B F' U'
U B D' F' L' R F2
D B D2 R' F D' L2
U B D' F' R L' F2
R' B F' R U F2 B
R' B F' R U B F2
B F R' U' F' B U
B F R' U' B F' U
R B D' F' R U' F2
U' B F2 L D' F' R
F B R' U' F' B U
F B R' U' B F' U
D B F R' U' F' U
U' B F2 D' L F' R
U' B F2 D' F' L R
U' B F2 D' F' R L
R B F' R' U' F2 B
R B F' R' U' B F2
