L2 R2 U F L R
L2 R2 U F R L
R2 L2 U F L R
R2 L2 U F R L
D F2 R B' L U2
D F2 B' L R U2
D F2 B' R L U2
D B' L F2 U2 L2
D B' F2 L R U2
D B' F2 R L U2
D' B2 L' R2 F' R
D' B2 R2 L' F' R
U D' B2 L' R2 F' R
U D' B2 R2 L' F' R
D U2 F2 R B' L U2
D U2 F2 B' L R U2
D U2 F2 B' R L U2
D' U2 B2 L' R2 F' R
D' U2 B2 R2 L' F' R
D U2 B' L F2 U2 L2
D U2 B' F2 L R U2
D U2 B' F2 R L U2
F2 D R F2 B' L U2
F2 D R B' L F2 U2
F2 D R B' F2 L U2
D' F' L2 R F L' B2
D' F' L2 R F B2 L'
D' F' L2 R B2 F L'
R' F' L2 B U F L'
D' F' L2 B2 R F L'
D' F' R L2 F L' B2
D' F' R L2 F B2 L'
D' F' R L2 B2 F L'
R2 F' L2 U F L' R
R2 F' L2 U F R L'
B2 D F2 B R U2 R2
F2 D F2 B' L U2 L2
B2 D B F2 R U2 R2
F2 D B' L R F2 U2
F2 D B' L F2 U2 L'
F2 D B' R L F2 U2
F2 D B' R F2 L U2
F2 D B' F2 L U2 L2
B2 D' L' R2 F' R B2
B2 D' L' R2 F' B2 R
B2 D' L' R2 B2 F' R
R F' U2 L2 U F L'
B2 D' R2 L' F' R B2
B2 D' R2 L' F' B2 R
B2 D' R2 L' B2 F' R
B2 D' R2 B2 L' F' R
D F' B' L F' R U2
D' F2 R B' U2 B' R'
D F2 R B' L U2 D
D F2 R B' L U2 D'
D F2 R B' L U2 D2
D F2 R B' L D U2
D F2 R B' L D' U2
D F2 R B' L D2 U2
D F2 R B' D L U2
D F2 R B' D' L U2
D F2 R B' D2 L U2
D F2 R' B' L R2 U2
D F2 R' B' R2 L U2
L2 F2 U L D' F' R
L2 F2 U D' L F' R
L2 F2 U D' F' L R
L2 F2 U D' F' R L
F D' B2 R2 F' L' R
F D' B2 R2 F' R L'
L2 F2 D' U L F' R
L2 F2 D' U F' L R
L2 F2 D' U F' R L
D' F2 B' R U2 B' R'
D F2 B R B2 U2 R2
D F2 B' L R U2 D
D F2 B' L R U2 D'
D F2 B' L R U2 D2
D F2 B' L R D U2
D F2 B' L R D' U2
D F2 B' L R D2 U2
D F2 B' L D R U2
D F2 B' L D' R U2
D F2 B' L D2 R U2
D F2 B' R L U2 D
D F2 B' R L U2 D'
D F2 B' R L U2 D2
D F2 B' R L D U2
D F2 B' R L D' U2
D F2 B' R L D2 U2
D F2 B' R D L U2
D F2 B' R D' L U2
D F2 B' R D2 L U2
D F2 B' D L R U2
D F2 B' D R L U2
D F2 B' D' L R U2
D F2 B' D' R L U2
D F2 B' D2 L R U2
D F2 B' D2 R L U2
D' B L' D2 F2 B R'
D' B L' D2 B R' F2
D' B L' D2 B F2 R'
D' B L' B R2 F' R
R' B L2 U L D2 F2
R' B L2 U D2 L F2
R' B L2 U D2 F2 L
R' B L2 U' B2 R' U2
R' B L2 D' R2 U L
R' B L2 D2 U L F2
R' B L2 D2 U F2 L
D B L' R' D2 F2 B2
D B L' R' D2 B2 F2
D B L' D2 R' F2 B2
D B L' D2 R' B2 F2
D B L' D2 F2 R' B2
D B R' L' D2 F2 B2
D B R' L' D2 B2 F2
D B R' D2 L' F2 B2
D B R' D2 L' B2 F2
D B R' D2 B2 L' F2
R' B D' R2 U L' B2
R' B D' R2 U B2 L'
D' B D2 L' F2 B R'
D' B D2 L' B R' F2
D' B D2 L' B F2 R'
D' B D2 B L' R' F2
D' B D2 B L' F2 R'
D' B D2 B R' L' F2
D B D2 L' R' F2 B2
D B D2 L' R' B2 F2
D B D2 L' F2 R' B2
D B D2 R' L' F2 B2
D B D2 R' L' B2 F2
D B D2 R' B2 L' F2
D B F2 R B2 U2 R2
D B' L R F2 U2 L2
D B' L R' F2 U2 L2
D B' L R2 F2 U2 L2
D B' L U2 L2 D2 B2
D B' L D2 R2 U2 B2
D B' L F U2 L2 B'
D B' L F2 R U2 L2
D B' L F2 R' U2 L2
D B' L F2 R2 U2 L2
D B' L F2 U2 L2 D
D B' L F2 U2 L2 D'
D B' L F2 U2 L2 D2
D B' L F2 D2 R2 U2
D' B' L2 F L' U2 L2
D B' L' F2 L2 U2 L2
D B' L2 F2 U2 L R
D B' L2 F2 U2 R L
D B' R L F2 U2 L2
D B' R F2 L R U2
D B' R F2 R L U2
D B' R' L F2 U2 L2
L2 B' R' B U F L
D B' R' F2 L R U2
D B' R' F2 R L U2
D B' R2 L F2 U2 L2
R' B' U B2 L2 U L
D B' R2 F2 L R U2
D B' R2 F2 R L U2
R' B' U2 D' L' R2 B2
R' B' U2 D' L' B2 R2
R' B' U2 D' R2 L' B2
R' B' U2 D' R2 B2 L'
R' B' U2 D' B2 L' R2
R' B' U2 D' B2 R2 L'
R' B' D L2 F2 U2 L
R' B' D F2 L2 R U2
R' B' D F2 R L2 U2
D B' U2 L' D2 R2 B2
D B' U2 L' D2 B2 R2
D B' U2 D2 B2 L' R'
D B' U2 D2 B2 R' L'
R' B' D' U2 L' R2 B2
R' B' D' U2 L' B2 R2
R' B' D' U2 R2 L' B2
R' B' D' U2 R2 B2 L'
R' B' D' U2 B2 L' R2
R' B' D' U2 B2 R2 L'
D B' D2 L U2 L2 B2
D B' D2 L U2 B2 L2
D B' D2 U2 B2 L' R'
D B' D2 U2 B2 R' L'
D' B' F2 R U2 B' R'
D B' F' L F' R U2
D' B2 L R2 F' L2 R
D' B2 L R2 F' R L2
D B' F2 L R U2 D
D B' F2 L R U2 D'
D B' F2 L R U2 D2
D B' F2 L R D U2
D B' F2 L R D' U2
D B' F2 L R D2 U2
D B' F2 L D R U2
D B' F2 L D' R U2
D B' F2 L D2 R U2
D B' F2 R L U2 D
D B' F2 R L U2 D'
D B' F2 R L U2 D2
D B' F2 R L D U2
D B' F2 R L D' U2
D B' F2 R L D2 U2
D B' F2 R D L U2
D B' F2 R D' L U2
D B' F2 R D2 L U2
D' B2 L' R F' R F'
D' B2 L' R2 F' R D
D' B2 L' R2 F' R D'
D' B2 L' R2 F' R D2
D' B2 L' R2 F' D R
D' B2 L' R2 F' D' R
D' B2 L' R2 F' D2 R
D B' F2 D L R U2
D B' F2 D R L U2
D B' F2 D' L R U2
D B' F2 D' R L U2
D B' F2 D2 L R U2
D B' F2 D2 R L U2
D' B2 L' F' R2 F' R'
D' B2 L2 R2 F' L R
D' B2 L2 R2 F' R L
D' B2 R L' F' R F'
D' B2 R2 L F' L2 R
D' B2 R2 L F' R L2
D' B2 R2 L' F' R D
D' B2 R2 L' F' R D'
D' B2 R2 L' F' R D2
D' B2 R2 L' F' D R
D' B2 R2 L' F' D' R
D' B2 R2 L' F' D2 R
D' B2 R2 L2 F' L R
D' B2 R2 L2 F' R L
