F' R U2 L2 F' U'
F' R U2 F' L2 U'
F' R D2 R2 B U
F' R' D B U F2
F' R' D2 B R2 U
F' R' B U D F2
F' R' B U2 L2 U'
F' R' B D U F2
F' R' B D2 R2 U
F' D B U R' F2
F' D B U F2 R'
D' F' U R D2 F2
D' F' U D2 R F2
D' F' U D2 R F2
D F' U D2 F' R
D' F' U' B2 U2 R
D' F' D' R2 U R'
D' F' D2 U R F2
D' F' D2 U R F2
D F' D2 U F' R
D F' B U F' R'
D B F' U F' R'
F' R' D2 B R2 U D'
F' R' D2 B R2 U D2
F' R' D2 B R2 D U
F' R' D2 B R2 D' U
F' R' D2 B R2 D2 U
F' R' D2 B U D' F2
F' R' D2 B D' U F2
F' R' D2 B' R2 B2 U
F2 R' D2 F B R2 U
F' R' D2 B2 R2 B' U
F2 R' D2 B R2 F U
F2 R' D2 B F R2 U
F R' D2 B R2 F' U
F2 R' F D B U F2
F2 R' F D2 B R2 U
F2 R' F B U D F2
F2 R' F B U2 L2 U'
F2 R' F B D U F2
F2 R' F B D2 R2 U
R U2 L' B' L' F' U'
L2 U2 L2 D' F' U R
R2 U2 L2 D' B U' R'
F' R' B R U D F2
F' R' B R U2 L2 U'
F' R' B R D U F2
F' R' B R D2 R2 U
F' R' B R' U D F2
F' R' B R' U2 L2 U'
F' R' B R' D U F2
F' R' B R' D2 R2 U
F' R' B R2 U D F2
F' R' B R2 U2 L2 U'
F' R' B R2 D U F2
F' R' B R2 D2 R2 U
F' R' B U D F2 D
F' R' B U D F2 D'
F' R' B U D F2 D2
F' R' B U F D F2
F' R' B U F' D F2
F' R' B U F2 D F2
F' R' B U' D' B2 U2
F' R' B U2 L2 U' D
F' R' B U2 L2 U' D'
F' R' B U2 L2 U' D2
F' R' B U2 L2 D U'
F' R' B U2 L2 D' U'
F' R' B U2 L2 D2 U'
F R' F2 D B U F2
F' R' B D R U F2
F' R' B D R' U F2
F' R' B D R2 U F2
F' R' B D U F2 D
F' R' B D U F2 D'
F' R' B D U F2 D2
F R' F2 D2 B R2 U
F' R' B D' U' B2 U2
F R' F2 B U D F2
F R' F2 B U2 L2 U'
F R' F2 B D U F2
F R' F2 B D2 R2 U
F' R' B D2 R2 U D
F' R' B D2 R2 U D'
F' R' B D2 R2 U D2
F' R' B D2 R2 D U
F' R' B D2 R2 D' U
F' R' B D2 R2 D2 U
F2 R' B U2 L2 B' U'
F2 R' B D F U F
F2 R' B D2 R2 F U
F2 R' B D2 F R2 U
F2 R' B F U D F2
F2 R' B F U2 L2 U'
F2 R' B F D U F2
F2 R' B F D2 R2 U
F R' B F2 U D F2
F R' B F2 U2 L2 U'
F R' B F2 D U F2
F R' B F2 D2 R2 U
F' R' B2 U2 L2 F U'
F' R' B2 D B' U F2
F' R' B2 D2 R2 B' U
F' R' B2 D2 B' R2 U
R U2 D F' U' F' L'
L2 U2 D' F' U R B2
L2 U2 D' F' U B2 R
F' R2 U D F R F
F' R2 U F R D F2
F' R2 U F D R F2
R U2 F' L' B' L' U'
F' R2 U F' D F2 R
U R2 L2 B U' B' R'
F' R2 U2 L F L U'
R2 U2 B L F L U'
D2 R2 U2 D' B U' R'
F' R2 D R B U F2
F' R2 D U F R F
D R2 U2 B U' R' F2
D R2 U2 B U' F2 R'
F2 R2 D F U F R
D2 R2 D' U2 B U' R'
F' R2 D2 R B R U
D R2 B U R' F2 L'
R D U2 F' U' F' L'
F' U R U L2 F' U'
F' U R U F' L2 U'
F' U R F D R2 F2
F' U R F D F2 R2
R' D B R2 U F2 L'
R' D B U' R' U2 F2
F' U D F' D2 F' R
F' U D F2 B R' B'
F' U D B R' F2 B'
F' U D B R' B' F2
F' U D B F2 R' B'
F' U D' F D2 F2 R
F' U D' F' R D2 F2
F' U D' F' D2 R F2
F' U B' D F2 B R'
F' U B' D B R' F2
F' U B' D B F2 R'
L2 D' U2 F' U R B2
L2 D' U2 F' U B2 R
L2 D' F' U' R B2 L
F' U' D B U2 R' F2
F' U' D B U2 F2 R'
F' U' D B' L U2 F2
U' D' B2 U F' U R
D' U' B2 U F' U R
R2 D2 R B R F' U
L2 D2 R2 D' B U' R'
R2 D2 R2 D' F' U R
R D2 R' F' R' B U
F' U2 L' D2 L' F U'
F' U2 L2 R F' R' U'
F' U2 L2 D' F' U' R
F' U2 R L2 F' R' U'
F' U2 R F' L2 R' U'
F' U2 R F' R' L2 U'
F' D R B U R' F2
F' D R B U F2 R'
F' D R' B U R' F2
F' D R' B U F2 R'
F' D R2 B U R' F2
F' D R2 B U F2 R'
F' D U F' D2 F' R
F' D U F2 B R' B'
F' D U B R' F2 B'
F' D U B R' B' F2
F' D U B F2 R' B'
D2 F' L R2 B' L' U
F' D U' B U2 R' F2
F' D U' B U2 F2 R'
F' D U' B' L U2 F2
D2 F' L B' L' R2 U
D2 F' L B' R2 L' U
F2 D F B U R' F
F2 D F B U F R'
B' D F' U D2 F' R
B' D F' D2 U F' R
B' D F' B U F' R'
B2 D F' U D2 F' R
D' F' R D' R2 U R2
B2 D F' D2 U F' R
B2 D F' B U F' R'
D' F' R' U R2 D2 F2
B D F' U D2 F' R
D' F' R' U' B2 U2 R2
D2 F' R' D2 R' B U
B D F' D2 U F' R
B D F' B U F' R'
D' F' R' B U R2 F'
F' D B R U R2 F2
F' D B R U F2 R2
D2 F' R2 L B' L' U
F' D B R2 U R F2
F' D B U R F2 R2
F' D B U R' F2 D
F' D B U R' F2 D'
F' D B U R' F2 D2
F' D B U F R' F
F' D B U F2 R' D
F' D B U F2 R' D'
F' D B U F2 R' D2
F' D B U F2 D R'
F' D B U F2 D' R'
F' D B U F2 D2 R'
D' F' R2 U R' D2 F2
D' F' R2 U D2 R' F2
D' F' R2 U D2 F2 R'
D' F' R2 U' B2 L U2
F' D B D R2 U R
B' D B F' U F' R'
D' F' R2 D' R2 U R
D2 F' R2 D' B U R'
D' F' R2 D2 U R' F2
D' F' R2 D2 U F2 R'
B2 D B F' U F' R'
F2 D B F U R' F
F2 D B F U F R'
F' D B' U' L U2 F2
D' F' U R U2 B2 U2
D' F' U R D2 F2 D
D' F' U R D2 F2 D'
D' F' U R D2 F2 D2
D' F' U R F D2 F2
D' F' U R F' D2 F2
D' F' U R F2 D2 F2
D' F' U R2 D2 R' F2
D' F' U R2 D2 F2 R'
D' F' U D R D F2
D' F' U D2 R F2 D
D' F' U D2 R F2 D'
D' F' U D2 R F2 D2
D' F' U D2 R' F2 R2
D' F' U D2 R2 F2 R'
D F' R2 U' B U2 R'
B D B F' U F' R'
D' F' U F2 D2 F2 R
D' F' U' L B2 U2 R
D' F' U' L' B2 U2 R
D' F' U' L2 B2 U2 R
D' F' U' B2 L U2 R
D' F' U' B2 L' U2 R
D' F' U' B2 L2 U2 R
D F' U D2 F' R D
D F' U D2 F' R D'
D F' U D2 F' R D2
D F' U D2 F' D R
D F' U D2 F' D' R
D F' U D2 F' D2 R
D' F' U' B2 U2 R D
D' F' U' B2 U2 R D'
D' F' U' B2 U2 R D2
D' F' U' B2 U2 D R
D' F' U' B2 U2 D' R
D' F' U' B2 U2 D2 R
D' F' U' B2 D U2 R
D' F' U' B2 D' U2 R
D' F' U' B2 D2 U2 R
D F' U F' B R' B'
D F' U B F' R' B'
D' F' U2 D L2 U' R
D F' U' B U2 F' R'
D F' U' B' L U2 F'
D' F' D U R D F2
D' F' D U2 L2 U' R
D' F' D' R2 U R' D
D' F' D' R2 U R' D'
D' F' D' R2 U R' D2
D' F' D' R2 U D R'
D' F' D' R2 U D' R'
D' F' D' R2 U D2 R'
D' F' D' R2 D U R'
D' F' D' R2 D' U R'
D' F' D' R2 D2 U R'
D2 F' D' B U R' F2
D2 F' D' B U F2 R'
D' F' D' B R2 U R'
D' F' D' B' R2 U R'
D' F' D' B2 R2 U R'
D' F' D2 R' U R2 F2
D' F' D2 R' U F2 R2
D' F' D2 R2 U R' F2
D' F' D2 R2 U F2 R'
D' F' D2 U R F2 D
D' F' D2 U R F2 D'
D' F' D2 U R F2 D2
D' F' D2 U R' F2 R2
D' F' D2 U R2 F2 R'
D' F' D2 B U R F2
D' F' D2 B' U R F2
D' F' D2 B2 U R F2
D' F' B R2 U F' R'
D' F' B U R2 F' R'
D' F' B U' B U2 R
D F' D2 U F' R D
D F' D2 U F' R D'
D F' D2 U F' R D2
D F' D2 U F' D R
D F' D2 U F' D' R
D F' D2 U F' D2 R
D F' D2 B U F' R
D F' D2 B' U F' R
D F' D2 B2 U F' R
D' F' B' U' B' U2 R
D F' B U D F' R'
D F' B U D' F' R'
D F' B U D2 F' R'
D F' B U F R' F2
D F' B U F' R' D
D F' B U F' R' D'
D F' B U F' R' D2
D F' B U F' D R'
D F' B U F' D' R'
D F' B U F' D2 R'
D F' B U F2 R' F
D F' B D U F' R'
D F' B D' U F' R'
D F' B D2 U F' R'
F' D' U F D2 F2 R
F' D' U F' R D2 F2
F' D' U F' D2 R F2
D F' B' U' L U2 F'
F2 D' F U D2 F2 R
F2 D' F U' L' B2 U2
F2 D' F U' B2 L' U2
F2 D' F D2 U F2 R
B' D' F' U R D2 F2
B' D' F' U D2 R F2
B' D' F' U' B2 U2 R
B' D' F' D' R2 U R'
B' D' F' D2 U R F2
B2 D' F' U R D2 F2
B2 D' F' U D2 R F2
B2 D' F' U' B2 U2 R
B2 D' F' D' R2 U R'
B2 D' F' D2 U R F2
B D' F' U R D2 F2
B D' F' U D2 R F2
B D' F' U' B2 U2 R
B D' F' D' R2 U R'
B D' F' D2 U R F2
F' D' B R2 U F' R
F' D' B U R2 F' R
F' D2 L R2 B' L' U
F' D2 L B' L' R2 U
F' D2 L B' R2 L' U
D' F2 D' R2 F U R
D' F2 D' F R2 U R'
D' F2 D2 F U R F
F' D2 R' D2 R' B U
F' D2 R2 L B' L' U
F' D2 R2 D' B U R'
R' B R D F' U F'
R' B R D2 F' R2 U
R' B R F' U D F2
R' B R F' U2 L2 U'
R' B R F' D U F2
R' B R F' D2 R2 U
R' B R' U2 L2 B U'
R' B R' U2 B L2 U'
R' B R' D2 R2 F' U
F' B R U2 L2 F' U'
F' B R U2 F' L2 U'
D B D F' R2 U R
F' B R D2 R2 B U
F' B R' D B U F2
F' B R' D2 B R2 U
F' B R' B U D F2
F' B R' B U2 L2 U'
F' B R' B D U F2
F' B R' B D2 R2 U
D' B F' R2 U F' R'
D' B F' U R2 F' R'
D' B F' U' B U2 R
D B F' U D F' R'
D B F' U D' F' R'
D B F' U D2 F' R'
D B F' U F R' F2
D B F' U F' R' D
D B F' U F' R' D'
D B F' U F' R' D2
D B F' U F' D R'
D B F' U F' D' R'
D B F' U F' D2 R'
D B F' U F2 R' F
D B F' D U F' R'
D B F' D' U F' R'
D B F' D2 U F' R'
F' B D B U R' F2
F' B D B U F2 R'
B' F' R U2 L2 F' U'
B' F' R U2 F' L2 U'
B' F' R D2 R2 B U
F' B' R U2 L2 F' U'
F' B' R U2 F' L2 U'
B2 F' R U2 L2 F' U'
F' B' R D2 R2 B U
B2 F' R U2 F' L2 U'
B2 F' R D2 R2 B U
B' F' R' D B U F2
B' F' R' D2 B R2 U
B' F' R' B U D F2
B' F' R' B U2 L2 U'
B' F' R' B D U F2
B' F' R' B D2 R2 U
F' B' R' D B U F2
B F' R U2 L2 F' U'
B F' R U2 F' L2 U'
F' B' R' D2 B R2 U
B2 F' R' D B U F2
B F' R D2 R2 B U
B2 F' R' D2 B R2 U
F' B' R' B U D F2
F' B' R' B U2 L2 U'
F' B' R' B D U F2
F' B' R' B D2 R2 U
B2 F' R' B U D F2
B2 F' R' B U2 L2 U'
B2 F' R' B D U F2
B2 F' R' B D2 R2 U
B F' R' D B U F2
B F' R' D2 B R2 U
B F' R' B U D F2
B F' R' B U2 L2 U'
B F' R' B D U F2
B F' R' B D2 R2 U
D' B' F' U' B' U2 R
B' F' D B U R' F2
B' F' D B U F2 R'
D B' F' U' L U2 F'
F' B' D B U R' F2
F' B' D B U F2 R'
B2 F' D B U R' F2
B2 F' D B U F2 R'
B F' D B U R' F2
B F' D B U F2 R'
L B2 L' F' R' B U
F' B2 R U2 L2 F' U'
F' B2 R U2 F' L2 U'
F' B2 R D2 R2 B U
F' B2 R' D B U F2
F' B2 R' D2 B R2 U
F' B2 R' B U D F2
F' B2 R' B U2 L2 U'
F' B2 R' B D U F2
F' B2 R' B D2 R2 U
R' B2 D B' U L F2
R' B2 D B' U F2 L
F' B2 D B U R' F2
F' B2 D B U F2 R'
