U2 L R2 F' U F
R' U2 L F U F'
B2 R' D B' L2 U'
R2 U2 L F' U F
B2 R' D2 B' U' F2
B2 R' B' L2 U' F
B2 R' B' U B' U2
U2 R2 L F' U F
B U B' U L U
B2 D R' B' L2 U'
B2 D2 R' B' U' F2
L' B U2 L2 U F
L B U B' U2 B
U' B2 R' B' U' R
U' B D' R' U' B R
L' B D' L2 U' F B2
L' B D' L2 U' B2 F
L' B D' U B' U2 B'
L' B D2 L2 R2 U' F
U' B D2 F' R U' R'
L' B D2 R2 L2 U' F
L' B D2 R2 U B' U2
L B D U B' U2 B
L B D' U B' U2 B
L B D2 U B' U2 B
R' B2 R B R2 U' F'
U' B2 R' D B' U' R
U' B2 R' D' B' U' R
U' B2 R' D2 B' U' R
D2 B2 R' D B' L2 U'
D2 B2 R' D2 B' U' F2
U' B2 R' B' U' R D
U' B2 R' B' U' R D'
U' B2 R' B' U' R D2
U' B2 R' B' U' D R
U' B2 R' B' U' D' R
U' B2 R' B' U' D2 R
U' B2 R' B' D U' R
U' B2 R' B' D' U' R
U' B2 R' B' D2 U' R
D' B2 R' D B' L2 U'
D' B2 R' D2 B' U' F2
D2 B2 R' B' L2 U' F
D2 B2 R' B' U B' U2
D' B2 R' B' L2 U' F
D' B2 R' B' U B' U2
U' B2 R2 B' R U' R
D B2 R' D B' L2 U'
D B2 R' D2 B' U' F2
D B2 R' B' L2 U' F
D B2 R' B' U B' U2
R B2 R' D L2 B U'
R B2 R' D B L2 U'
R B2 R' D2 B U' F2
R B2 R' B U B U2
U' B2 D R' B' U' R
D2 B2 D R' B' L2 U'
D' B2 D R' B' L2 U'
U' B2 D' R' B' U' R
U B2 U2 R' B' U' R
U' B2 D2 R' B' U' R
D B2 D R' B' L2 U'
D2 B2 D2 R' B' U' F2
D' B2 D2 R' B' U' F2
L' B2 D2 R2 B' U' F2
U' B2 F R' B' U' R
L' B2 D2 B' R2 U' F2
U' B2 F' R' B' U' R
D B2 D2 R' B' U' F2
U' B2 F2 R' B' U' R
