F2 L R F' B' U
F2 L R B' F' U
F2 L B' R F' U
B2 L' R' F B U'
B2 L' R' B F U'
B2 L' F R' B U'
F2 R L F' B' U
F2 R L B' F' U
F2 R F' L B' U
B2 R' L' F B U'
B2 R' L' B F U'
B2 R' B L' F U'
L D B' U L F2
L D B' U F2 L
L' D' F U' L' B2
L' D' F U' B2 L'
R L' D2 R2 B F U'
R' L' D2 B R2 F U'
R' L' D2 B F R2 U'
L' R' D2 B R2 F U'
L' R' D2 B F R2 U'
R' L' F D' B U' B
L' R' F D' B U' B
R' L' F D2 B R2 U'
R' L' F B U' D' B2
L' R' F D2 B R2 U'
R' L' F B U2 L2 U
R' L' F B D' U' B2
R' L' F B D2 R2 U'
L' R' F B U' D' B2
L' R' F B U2 L2 U
L' R' F B D' U' B2
L' R' F B D2 R2 U'
R L' F U' D' L2 B2
R L' F U' D' B2 L2
R L' F U2 L2 F2 U
R L' F U2 F2 L2 U
R L' F D' U' L2 B2
R L' F D' U' B2 L2
R L' F D2 R2 B2 U'
R L' F D2 B2 R2 U'
R' L' B U2 L2 B' U
L' R' B U2 L2 B' U
B2 L' D' R' F U' L'
R' L' B D' F U' B2
R' L' B D2 R2 F U'
L' R' B D' F U' B2
R' L' B D2 F R2 U'
L' R' B D2 R2 F U'
L' R' B D2 F R2 U'
R' L' B F U' D' B2
R' L' B F U2 L2 U
B' L' D' F U' L' B'
U' L' D' F U' L' B2
U' L' D' F U' B2 L'
R' L' B F D' U' B2
R' L' B F D2 R2 U'
L' R' B F U' D' B2
L' R' B F U2 L2 U
L' R' B F D' U' B2
L' R' B F D2 R2 U'
U2 L' D' F U' L' B2
U2 L' D' F U' B2 L'
B2 L' D' F R' U' L'
U L' D' F U' L' B2
U L' D' F U' B2 L'
L R' B' U D L2 F2
L R' B' U D F2 L2
L R' B' U2 L2 B2 U'
L R' B' U2 B2 L2 U'
L R' B' D U L2 F2
L R' B' D U F2 L2
L R' B' D2 R2 F2 U
L R' B' D2 F2 R2 U
B2 L' F R' D B U'
B2 L' F R' D' B U'
B2 L' F R' D2 B U'
B2 L' F R' B U' D
B2 L' F R' B U' D'
B2 L' F R' B U' D2
B2 L' F R' B D U'
B2 L' F R' B D' U'
B2 L' F R' B D2 U'
B L' F R' B R' U'
B' L' F B' R' B U'
B L' F B R' B U'
B2 L' F' R' F2 B U'
B2 L' F' R' B F2 U'
B L' B R' F B U'
B L' B R' B F U'
B L' B F R' B U'
B' L' B' R' F B U'
B' L' B' R' B F U'
B' L' B' F R' B U'
F2 R L D F' B' U
F' R L F' R B' U
F2 R L D B' F' U
F' R L F' B' R U
F2 R L D' F' B' U
F2 R L D' B' F' U
F2 R L D2 F' B' U
F2 R L D2 B' F' U
F' R L B' F' R U
F2 R L F' D B' U
F2 R L F' D' B' U
F2 R L F' D2 B' U
F2 R L F' B' U D
F2 R L F' B' U D'
F2 R L F' B' U D2
F2 R L F' B' D U
F2 R L F' B' D' U
F2 R L F' B' D2 U
F2 R L B' D F' U
F2 R L B' D' F' U
F2 R L B' D2 F' U
F2 R L B' F' U D
F2 R L B' F' U D'
F2 R L B' F' U D2
F2 R L B' F' D U
F2 R L B' F' D' U
F2 R L B' F' D2 U
F2 R D L F' U R
F2 R D F' L U R
F2 R F L F2 B' U
F2 R F L B' F2 U
F' R F' L R B' U
F' R F' L B' R U
F' R F' R L B' U
F2 R F' L D B' U
F2 R F' L D' B' U
F2 R F' L D2 B' U
F2 R F' L B' U D
F2 R F' L B' U D'
F2 R F' L B' U D2
F2 R F' L B' D U
F2 R F' L B' D' U
F2 R F' L B' D2 U
B2 R' L' D F B U'
B2 R' L' D B F U'
B2 R' L' D' F B U'
B2 R' L' D' B F U'
B2 R' L' D2 F B U'
B2 R' L' D2 B F U'
B2 R' L' F D B U'
B2 R' L' F D' B U'
B2 R' L' F D2 B U'
B2 R' L' F B U' D
B2 R' L' F B U' D'
B2 R' L' F B U' D2
B2 R' L' F B D U'
B2 R' L' F B D' U'
B2 R' L' F B D2 U'
B2 R' L' B D F U'
B2 R' L' B D' F U'
B2 R' L' B D2 F U'
B2 R' L' B F U' D
B2 R' L' B F U' D'
B2 R' L' B F U' D2
B2 R' L' B F D U'
B2 R' L' B F D' U'
B2 R' L' B F D2 U'
B R' L' F B R' U'
B R' L' B R' F U'
B R' L' B F R' U'
B2 R' D' L' B U' R'
B2 R' D' B L' U' R'
L' U2 L2 D B' U L
L U2 L2 D' F U' L'
B2 R' B L' D F U'
B2 R' B L' D' F U'
B2 R' B L' D2 F U'
B2 R' B L' F U' D
B2 R' B L' F U' D'
B2 R' B L' F U' D2
B2 R' B L' F D U'
B2 R' B L' F D' U'
B2 R' B L' F D2 U'
B R' B L' R' F U'
B R' B L' F R' U'
B R' B R' L' F U'
B2 R' B' L' F B2 U'
B2 R' B' L' B2 F U'
L D R B' U L F2
L D R B' U F2 L
L D R' B' U L F2
L D R' B' U F2 L
L D R2 B' U L F2
L D R2 B' U F2 L
F2 U L R F' B' U
F2 U L R B' F' U
F2 U L B' R F' U
B2 U L' R' F B U'
B2 U L' R' B F U'
L' D F U' L2 B' L
B2 U L' F R' B U'
L D F B' U F L
F2 U R L F' B' U
F2 U R L B' F' U
F2 U R F' L B' U
L D F' B' U L F'
L D F' B' U F' L
B2 U R' L' F B U'
B2 U R' L' B F U'
B2 U R' B L' F U'
L D B' R U L F2
L D B' R U F2 L
L D B' R' U L F2
L D B' R' U F2 L
L D B' R2 U L F2
L D B' R2 U F2 L
L D B' U L F2 D
L D B' U L F2 D'
L D B' U L F2 D2
L D B' U L' F2 L2
L D B' U F' L F'
L D B' U F2 L D
L D B' U F2 L D'
L D B' U F2 L D2
L D B' U F2 D L
L D B' U F2 D' L
L D B' U F2 D2 L
L D B' D R2 U L
L D B' F U F L
L D B' F' U L F'
L D B' F' U F' L
L' D' R F U' L' B2
L' D' R F U' B2 L'
L' D' R' F U' L' B2
L' D' R' F U' B2 L'
L' D' R2 F U' L' B2
L' D' R2 F U' B2 L'
F2 U' L R F' B' U
F2 U' L R B' F' U
L' D' F R U' L' B2
L' D' F R U' B2 L'
F2 U' L B' R F' U
L' D' F R' U' L' B2
L' D' F R' U' B2 L'
L' D' F R2 U' L' B2
L' D' F R2 U' B2 L'
B2 U' L' R' F B U'
B2 U' L' R' B F U'
L' D' F U' L B2 L2
L' D' F U' L' B2 D
L' D' F U' L' B2 D'
L' D' F U' L' B2 D2
L' D' F U' B L' B
L' D' F U' B2 L' D
L' D' F U' B2 L' D'
L' D' F U' B2 L' D2
L' D' F U' B2 D L'
L' D' F U' B2 D' L'
L' D' F U' B2 D2 L'
L' D' F D' R2 U' L'
L' D' F B U' L' B
L' D' F B U' B L'
B2 U' L' F R' B U'
L' D' F B' U' B' L'
F2 U' R L F' B' U
F2 U' R L B' F' U
F2 U' R F' L B' U
B2 U' R' L' F B U'
B2 U' R' L' B F U'
L' D' B F U' L' B
L' D' B F U' B L'
B2 U' R' B L' F U'
L' D' B' F U' B' L'
L D' B' U L2 F L'
L' D2 R2 D F U' L'
L D2 R2 D' B' U L
F2 U2 L R F' B' U
F2 U2 L R B' F' U
F2 U2 L B' R F' U
B2 U2 L' R' F B U'
B2 U2 L' R' B F U'
B2 U2 L' F R' B U'
F2 U2 R L F' B' U
F2 U2 R L B' F' U
F2 U2 R F' L B' U
B2 U2 R' L' F B U'
B2 U2 R' L' B F U'
B2 U2 R' B L' F U'
L' F R U2 L2 F' U
L' F R U2 F' L2 U
L' F R D2 R2 B U'
L' F R' D' B U' B
L' F R' D2 B R2 U'
L' F R' B U' D' B2
L' F R' B U2 L2 U
L' F R' B D' U' B2
L' F R' B D2 R2 U'
L F D B' U L F2
L F D B' U F2 L
L F' D B' U L F2
L F' D B' U F2 L
U' F2 L R F' B' U
U' F2 L R B' F' U
U' F2 L B' R F' U
U2 F2 L R F' B' U
U2 F2 L R B' F' U
U2 F2 L B' R F' U
U F2 L R F' B' U
U F2 L R B' F' U
U' F2 R L F' B' U
U' F2 R L B' F' U
U F2 L B' R F' U
U' F2 R F' L B' U
U2 F2 R L F' B' U
U2 F2 R L B' F' U
U2 F2 R F' L B' U
U F2 R L F' B' U
U F2 R L B' F' U
U F2 R F' L B' U
R F2 R F L B' U
L F2 D B' U L F2
L F2 D B' U F2 L
L' B D' F U' L' B2
L' B D' F U' B2 L'
L B' R D F' U F'
L B' R D2 F' R2 U
L B' R F' U D F2
L B' R F' U2 L2 U'
L B' R F' D U F2
L B' R F' D2 R2 U
L B' R' U2 L2 B U'
L B' R' U2 B L2 U'
L B' R' D2 R2 F' U
L' B' D' F U' L' B2
L' B' D' F U' B2 L'
U' B2 L' R' F B U'
U' B2 L' R' B F U'
U' B2 L' F R' B U'
U2 B2 L' R' F B U'
U2 B2 L' R' B F U'
U2 B2 L' F R' B U'
U B2 L' R' F B U'
U B2 L' R' B F U'
U' B2 R' L' F B U'
U' B2 R' L' B F U'
U B2 L' F R' B U'
U' B2 R' B L' F U'
R' B2 R' B' L' F U'
U2 B2 R' L' F B U'
U2 B2 R' L' B F U'
U2 B2 R' B L' F U'
U B2 R' L' F B U'
U B2 R' L' B F U'
U B2 R' B L' F U'
L' B2 D' F U' L' B2
L' B2 D' F U' B2 L'
