D2 L U R2 F B'
D2 L U R2 B' F
D2 L U F R2 B'
D2 L U F B' R2
D2 L U B' R2 F
D2 L U B' F R2
L U F B2 R' B
L U B2 R' F B
L U B2 R' B F
L U B2 F R' B
L B2 U R' F B
L B2 U R' B F
L B2 U F R' B
D2 L B2 U B F R2
B' L B2 U R' F B
B' L B2 U R' B F
B' L B2 U F R' B
R L' U' B' L' F' U2
B2 L B2 U R' F B
B2 L B2 U R' B F
B2 L B2 U F R' B
B L B2 U R' F B
B L B2 U R' B F
B L B2 U F R' B
D2 L' U' F B' U2 R2
D2 L' U' B' F U2 R2
L R' B2 U R' F B'
L R' B2 U R' B' F
L R' B2 U F R' B'
U' L2 U' R' U' F' B
U' L2 U' R' U' B F'
L U R F D2 B2 R'
L' U R' B D2 F2 R
L U R' F B2 R' B'
L U R' B2 R' F B'
L U R' B2 R' B' F
L U R' B2 F R' B'
D2 R L U R F B'
D2 R L U R B' F
D2 R L U B' R F
L U F R' B2 R' B'
L U F B R' B R'
L U F B2 R' D B
L U F B2 R' D' B
L U F B2 R' D2 B
L U F B2 R' B D
L U F B2 R' B D'
L U F B2 R' B D2
U2 R U L2 F' B U2
U2 R U L2 B F' U2
U2 R U F' L2 B U2
U2 R U F' B L2 U2
U2 R U B L2 F' U2
U2 R U B F' L2 U2
L U F' B2 R' F2 B
L U F' B2 R' B F2
U2 R U' D2 R2 F' B
U2 R U' D2 R2 B F'
L U B R' F B R'
L U B R' B R' F
L U B R' B F R'
L U B F R' B R'
L U B2 R' D F B
L U B2 R' D B F
L U B2 R' D' F B
L U B2 R' D' B F
L U B2 R' D2 F B
L U B2 R' D2 B F
L U B2 R' F D B
L U B2 R' F D' B
L U B2 R' F D2 B
L U B2 R' F B D
L U B2 R' F B D'
L U B2 R' F B D2
L U B2 R' B D F
L U B2 R' B D' F
L U B2 R' B D2 F
L U B2 R' B F D
L U B2 R' B F D'
L U B2 R' B F D2
L U B2 F R' D B
L U B2 F R' D' B
L U B2 F R' D2 B
L U B2 F R' B D
L U B2 F R' B D'
L U B2 F R' B D2
L U B2 F' R' F2 B
L U B2 F' R' B F2
U2 R D2 U' R2 F' B
U2 R D2 U' R2 B F'
R U' L2 F' U' L' U'
D2 R' L U R' F B'
D2 R' L U R' B' F
D2 R' L U F R' B'
L' U' D2 B' L' F U2
U2 R' U L2 U2 F' B
U2 R' U L2 U2 B F'
R U' F' L2 U' L U'
U2 R' U' D2 F' B R2
U2 R' U' D2 B F' R2
U2 R' U' F' D2 B R2
U2 R' U' F' B D2 R2
U2 R' U' B D2 F' R2
U2 R' U' B F' D2 R2
L' U' B' D2 L' F U2
U2 R' D F2 U' F B
U2 R' D F2 U' B F
L U' B2 U2 R' F B
L U' B2 U2 R' B F
L U' B2 U2 F R' B
U2 R' D2 U' F' B R2
U2 R' D2 U' B F' R2
R' D' L B2 U F B'
R' D' L B2 U B' F
R' D2 L U F B R2
R' D2 L U B R2 F
R' D2 L U B F R2
R D2 L U R2 F B
R D2 L U R2 B F
L' D2 U' B' L' F U2
B' D2 L U R2 F B'
B' D2 L U R2 B' F
B' D2 L U F R2 B'
B' D2 L U F B' R2
B' D2 L U B' R2 F
B' D2 L U B' F R2
B2 D2 L U R2 F B'
B2 D2 L U R2 B' F
B2 D2 L U F R2 B'
B2 D2 L U F B' R2
B2 D2 L U B' R2 F
B2 D2 L U B' F R2
B D2 L U R2 F B'
B D2 L U R2 B' F
B D2 L U F R2 B'
B D2 L U F B' R2
B D2 L U B' R2 F
B D2 L U B' F R2
D2 B L U R2 F B'
D2 B L U R2 B' F
D2 B L U F R2 B'
D2 B L U F B' R2
D2 B L U B' R2 F
D2 B L U B' F R2
L B R' U F B R'
L B R' U B R' F
L B R' U B F R'
L B U R' F B R'
L B U R' B R' F
L B U R' B F R'
L B U F R' B R'
L B U F B R' B
L B U B R' F B
L B U B R' B F
L B U B F R' B
D B U2 R' F2 U' F
D B U2 F2 R' U' F'
D B D2 B2 L U F
R' B' L U F B2 R'
D2 B' L U R2 F B'
D2 B' L U R2 B' F
D2 B' L U F R2 B'
R' B' L U B2 R' F
D2 B' L U F B' R2
R' B' L U B2 F R'
D2 B' L U B' R2 F
D2 B' L U B' F R2
D B' L U D R2 F
D B' L U D F R2
D B' L U2 F2 U' F'
D B' L D U R2 F
D B' L D U F R2
D B' L D2 B2 U F
D B' D L U R2 F
D B' D L U F R2
D' B' D2 B' L U F
D B' D2 L B2 U F
D2 B2 L U R2 F B'
D2 B2 L U R2 B' F
D2 B2 L U F R2 B'
D2 B2 L U F B' R2
D2 B2 L U B' R2 F
D2 B2 L U B' F R2
L B2 R U R2 F B
L B2 R U R2 B F
L B2 U R' D F B
L B2 U R' D B F
L B2 U R' D' F B
L B2 U R' D' B F
L B2 U R' D2 F B
L B2 U R' D2 B F
L B2 U R' F D B
L B2 U R' F D' B
L B2 U R' F D2 B
L B2 U R' F B D
L B2 U R' F B D'
L B2 U R' F B D2
L B2 U R' B D F
L B2 U R' B D' F
L B2 U R' B D2 F
L B2 U R' B F D
L B2 U R' B F D'
L B2 U R' B F D2
L B2 U F R' D B
L B2 U F R' D' B
L B2 U F R' D2 B
L B2 U F R' B D
L B2 U F R' B D'
L B2 U F R' B D2
L B2 U F' R' F2 B
L B2 U F' R' B F2
D' B2 D' L U F B'
D' B2 D' L U B' F
