U2 L F L' R B2
U2 L F L' B2 R
U2 L F R L' B2
U2 L F R B2 L'
U2 L F B2 L' R
U2 L F B2 R L'
U2 L B2 F L' R
U2 L B2 F R L'
F L' B' R' F' B'
F L' B' R' B' F'
F' R B L U2 B
B' R' D2 F' B' L
B' R' D2 B' L F'
B' R' D2 B' F' L
B' R' F B' L' F2
B' R' B' F L' F2
B' D2 R' F' B' L
B' D2 R' B' L F'
B' D2 R' B' F' L
B' F R' B' L' F'
F2 B' R' F' B' L'
F2 B' R' B' F' L'
F B' R' B' L' F'
U2 B2 L F L' R
U2 B2 L F R L'
B' F2 R' F' B' L'
B' F2 R' B' F' L'
B' F L' D2 R' B F'
B2 F L' R' D2 F' R
B2 F L' D2 R' F' R
B2 F L' B R' F' B'
B2 F L' B R' B' F'
B' F R' D B' L' F'
B' F R' D' B' L' F'
D2 B D2 B2 L R' F'
D2 B D2 B2 R' L F'
D2 B D2 B2 R' F' L
B' F R' D2 B' L' F'
B2 F R' L' D2 F' R
B' F R' F' D2 B' L
B' F R' B L' F' B2
B' F R' B L' B2 F'
B' F R' B' L F' L2
B' F R' B' L' D F'
B' F R' B' L' D' F'
B' F R' B' L' D2 F'
B' F R' B' L' F' D
B' F R' B' L' F' D'
B' F R' B' L' F' D2
B' F R' B' L2 F' L
B' F R' B' D L' F'
B' F R' B' D' L' F'
B' F R' B' D2 L' F'
B' F R' B2 L' F' B
B' F R' B2 L' B F'
B2 F R' D2 L' F' R
B' F R2 B' L' R F'
B' F R2 B' R L' F'
D2 B F2 L R' U2 F'
D2 B F2 R' L U2 F'
D2 B' L R' D2 F' B2
D2 B' L R' D2 B2 F'
R B F L U2 L2 B
R B F L U2 B L2
D2 B' L D2 R' F' B2
D2 B' L D2 R' B2 F'
U2 B' L F L' R B'
U2 B' L F L' B' R
U2 B' L F R L' B'
R B F2 L U2 B L
B' F D R' B' L' F'
B' F D' R' B' L' F'
D2 B' R' L D2 F' B2
D2 B' R' L D2 B2 F'
B' F D2 R' B' L' F'
D2 B' R' D2 L F' B2
D2 B' R' D2 L B2 F'
D2 B' R' D2 F' L B2
B2 F D2 L' R' F' R
B2 F D2 R' L' F' R
L' B' R' D2 F' B' L
L' B' R' D2 B' L F'
L' B' R' D2 B' F' L
L' B' R' F B' L' F2
L' B' R' B' F L' F2
L2 B' R' D2 F' B' L
L2 B' R' D2 B' L F'
L2 B' R' D2 B' F' L
L2 B' R' F B' L' F2
F2 B' L R' F' L' B'
L2 B' R' B' F L' F2
L B' R' D2 F' B' L
L B' R' D2 B' L F'
L B' R' D2 B' F' L
L B' R' F B' L' F2
L B' R' B' F L' F2
R B' R' D2 F2 B' L
R B' R' D2 B' L F2
R B' R' D2 B' F2 L
R B' R' B' L2 F L'
B' F' R U2 R2 F' B'
B' F' R U2 R2 B' F'
F B' L' D2 R' F' B
F B' L' D2 R' B F'
F' B' R U2 R2 F' B'
F' B' R U2 R2 B' F'
B' F' R B U2 R2 B2
B' F' R B U2 B2 R2
F' B' R B U2 R2 B2
F' B' R B U2 B2 R2
B2 F' R B U2 R' B'
B' F' R' D2 F' B' L2
B' F' R' D2 B' L2 F'
B' F' R' D2 B' F' L2
B' F' R' F' D2 B' L2
B' F' R' F' B' D2 L2
F2 B' R' L F' L' B'
B' F' R' B' D2 L2 F'
B' F' R' B' D2 F' L2
B' F' R' B' F' D2 L2
F' B' R' D2 F' B' L2
F' B' R' D2 B' L2 F'
F' B' R' D2 B' F' L2
F' B' R' F' D2 B' L2
F' B' R' F' B' D2 L2
B2 F' R' D2 L2 F' R
F2 B' R' D F' B' L'
B2 F' R' D2 F' L2 R
B2 F' R' D2 F' R L2
F2 B' R' D B' F' L'
F2 B' R' D' F' B' L'
F2 B' R' D' B' F' L'
F2 B' R' D2 F' B' L'
F2 B' R' D2 B' F' L'
F' B' R' B' D2 L2 F'
F' B' R' B' D2 F' L2
F' B' R' B' F' D2 L2
F2 B' R' F' D B' L'
F2 B' R' F' D' B' L'
F2 B' R' F' D2 B' L'
F2 B' R' F' B L' B2
F2 B' R' F' B' L' D
F2 B' R' F' B' L' D'
F2 B' R' F' B' L' D2
F2 B' R' F' B' D L'
F2 B' R' F' B' D' L'
F2 B' R' F' B' D2 L'
F2 B' R' F' B2 L' B
F2 B' R' B F' L' B2
F2 B' R' B' L F' L'
F2 B' R' B' L' F' L'
F2 B' R' B' L2 F' L'
F2 B' R' B' D F' L'
F2 B' R' B' D' F' L'
F2 B' R' B' D2 F' L'
F2 B' R' B' F' L' D
F2 B' R' B' F' L' D'
F2 B' R' B' F' L' D2
F2 B' R' B' F' D L'
F2 B' R' B' F' D' L'
F2 B' R' B' F' D2 L'
F2 B' R' B2 F' L' B
D2 B' D2 L R' F' B2
D2 B' D2 L R' B2 F'
D2 B' D2 R' L F' B2
D2 B' D2 R' L B2 F'
D2 B' D2 R' F' L B2
F B' R' D B' L' F'
F2 B' R2 B' R F' L'
L' B' D2 R' F' B' L
L' B' D2 R' B' L F'
L' B' D2 R' B' F' L
F B' R' D' B' L' F'
R' B' D2 F' R' B' L
F B' R' D2 B' L' F'
F B' R' F' D2 B' L
F B' R' B L' F' B2
F B' R' B L' B2 F'
F B' R' B' L F' L2
F B' R' B' L' D F'
F B' R' B' L' D' F'
F B' R' B' L' D2 F'
F B' R' B' L' F' D
F B' R' B' L' F' D'
F B' R' B' L' F' D2
F B' R' B' L2 F' L
F B' R' B' D L' F'
F B' R' B' D' L' F'
F B' R' B' D2 L' F'
F B' R' B2 L' F' B
F B' R' B2 L' B F'
L2 B' D2 R' F' B' L
L2 B' D2 R' B' L F'
L2 B' D2 R' B' F' L
R' B' F R' B' L' F2
L' B' F R' B' L' F'
U2 B' D2 B' L F R
F B' R2 B' L' R F'
F B' R2 B' R L' F'
R' B' F' R' D2 B' L2
R' B' F' R' B' D2 L2
L2 B' F R' B' L' F'
L B' D2 R' F' B' L
L B' D2 R' B' L F'
L B' D2 R' B' F' L
R B' D2 R' F2 B' L
R B' D2 R' B' L F2
R B' D2 R' B' F2 L
D2 B' F2 U2 L R' F
D2 B' F2 U2 L F R'
D2 B' F2 U2 R' L F
L' B' F2 R' F' B' L'
L' B' F2 R' B' F' L'
R B' D2 F2 R' B' L
L B' F R' B' L' F'
L2 B' F2 R' F' B' L'
L2 B' F2 R' B' F' L'
F2 B' D R' F' B' L'
F2 B' D R' B' F' L'
U2 B2 L R F L' R
U2 B2 L R F R L'
U2 B2 L R' F L' R
U2 B2 L R' F R L'
U2 B2 L R2 F L' R
U2 B2 L R2 F R L'
F2 B' D' R' F' B' L'
U2 B2 L F L' R D
U2 B2 L F L' R D'
U2 B2 L F L' R D2
U2 B2 L F L' D R
U2 B2 L F L' D' R
U2 B2 L F L' D2 R
U2 B2 L F R L' D
U2 B2 L F R L' D'
U2 B2 L F R L' D2
U2 B2 L F R D L'
U2 B2 L F R D' L'
U2 B2 L F R D2 L'
F2 B' D' R' B' F' L'
U2 B2 L F D L' R
U2 B2 L F D R L'
U2 B2 L F D' L' R
U2 B2 L F D' R L'
U2 B2 L F D2 L' R
U2 B2 L F D2 R L'
L B' F2 R' F' B' L'
L B' F2 R' B' F' L'
F B' D R' B' L' F'
B' F2 L R' F' L' B'
F2 B' D2 R' F' B' L'
F2 B' D2 R' B' F' L'
F B' D' R' B' L' F'
U2 B2 L2 F L' R F
U2 B2 L2 F R L' F
U2 B2 R L F L' R
U2 B2 R L F R L'
F B' D2 R' B' L' F'
B F2 L U2 B L F
U2 B2 R' L F L' R
U2 B2 R' L F R L'
F B2 L' R' D2 F' R
U2 B2 R2 L F L' R
U2 B2 R2 L F R L'
F B2 L' D2 R' F' R
B' F2 R' L F' L' B'
F B2 L' B R' F' B'
F B2 L' B R' B' F'
F' B2 R B U2 R' B'
B' F2 R' D F' B' L'
B' F2 R' D B' F' L'
B' F2 R' D' F' B' L'
B' F2 R' D' B' F' L'
B' F2 R' D2 F' B' L'
B' F2 R' D2 B' F' L'
B' F2 R' F' D B' L'
B' F2 R' F' D' B' L'
B' F2 R' F' D2 B' L'
B' F2 R' F' B L' B2
B' F2 R' F' B' L' D
B' F2 R' F' B' L' D'
B' F2 R' F' B' L' D2
B' F2 R' F' B' D L'
B' F2 R' F' B' D' L'
B' F2 R' F' B' D2 L'
B' F2 R' F' B2 L' B
B' F2 R' B F' L' B2
B' F2 R' B' L F' L'
B' F2 R' B' L' F' L'
B' F2 R' B' L2 F' L'
B' F2 R' B' D F' L'
B' F2 R' B' D' F' L'
B' F2 R' B' D2 F' L'
B' F2 R' B' F' L' D
B' F2 R' B' F' L' D'
B' F2 R' B' F' L' D2
B' F2 R' B' F' D L'
B' F2 R' B' F' D' L'
B' F2 R' B' F' D2 L'
B' F2 R' B2 F' L' B
F' B2 R' D2 L2 F' R
F' B2 R' D2 F' L2 R
F' B2 R' D2 F' R L2
B2 F2 R' D2 F' L' R
B2 F2 R' D2 F' R L'
F2 B2 R' D2 F' L' R
F2 B2 R' D2 F' R L'
B' F2 R2 B' R F' L'
F B2 R' L' D2 F' R
F B2 R' D2 L' F' R
B' F2 D R' F' B' L'
B' F2 D R' B' F' L'
B' F2 D' R' F' B' L'
B' F2 D' R' B' F' L'
U2 B2 F L R F L2
U2 B2 F R L F L2
B' F2 D2 R' F' B' L'
B' F2 D2 R' B' F' L'
B2 F2 D2 R' F' L' R
B2 F2 D2 R' F' R L'
F2 B2 D2 R' F' L' R
F2 B2 D2 R' F' R L'
F B2 D2 L' R' F' R
F B2 D2 R' L' F' R
