B L2 U F
B L2 R U F
B L2 R' U F
B L2 R2 U F
B L2 U D F
B L2 U D' F
B L2 U D2 F
B L2 U F D
B L2 U F D'
B L2 U F D2
B L2 D U F
B L2 D' U F
B L2 D2 U F
U L2 B U L2
B R L2 U F
B R' L2 U F
B R2 L2 U F
U B L2 U L2
L2 B U' B' U2
L2 R' B U' B' U2 R'
D L' D' B L2 U F
B L' D2 L' R U F'
B L' D2 R L' U F'
U L' D2 L' B U L2
L2 R' B' U' B L U2
D2 L' D2 B L2 U F
D L' F2 U F2 B U
D L' F2 U B F2 U
R' L2 U2 L F U' F'
D' L' B L2 U F B
D' L' B L2 U B F
L2 R2 U2 L F' U' F
R2 L2 U2 L F' U' F
L2 R2 U2 L' F' U' F
R2 L2 U2 L' F' U' F
L2 R2 U2 L2 F' U' F
R2 L2 U2 L2 F' U' F
D' L' B U B D2 F2
R' L2 U2 F' U' F R
D' L' B U' B' U2 B2
L2 R2 U2 D F' U' F
R2 L2 U2 D F' U' F
L2 R2 U2 D' F' U' F
R2 L2 U2 D' F' U' F
L2 R2 U2 D2 F' U' F
D2 L' B D2 L2 U F
R2 L2 U2 D2 F' U' F
D L' B U' F2 B' U2
D L' B U' B' F2 U2
L2 R2 U2 F' U' D F
L2 R2 U2 F' U' D' F
L2 R2 U2 F' U' D2 F
L2 R2 U2 F' U' F D
L2 R2 U2 F' U' F D'
L2 R2 U2 F' U' F D2
L2 R2 U2 F' D U' F
L2 R2 U2 F' D' U' F
L2 R2 U2 F' D2 U' F
R2 L2 U2 F' U' D F
R2 L2 U2 F' U' D' F
R2 L2 U2 F' U' D2 F
R2 L2 U2 F' U' F D
R2 L2 U2 F' U' F D'
R2 L2 U2 F' U' F D2
R2 L2 U2 F' D U' F
R2 L2 U2 F' D' U' F
R2 L2 U2 F' D2 U' F
D L' B D' L2 U F
U L' B D L' F U
B L' B' L' B U F
L2 R2 D U2 F' U' F
R2 L2 D U2 F' U' F
B L' B2 L' B2 U F
L2 R2 D' U2 F' U' F
R2 L2 D' U2 F' U' F
B L2 R U R F R'
B L2 R U R2 F R2
B L2 R U D F D
B L2 R U D F D'
B L2 R U D F D2
B L2 R U D' F D
B L2 R U D' F D'
B L2 R U D' F D2
B L2 R U D2 F D
B L2 R U D2 F D'
B L2 R U D2 F D2
B L2 R U F2 D F'
B L2 R U F2 D' F'
B L2 R U F2 D2 F'
B L2 R U' B U2 F
B L2 R U' B' U2 F
B L2 R U' B2 U2 F
B L2 R D R U F
B L2 R D R' U F
B L2 R D R2 U F
B L2 R D U F D
B L2 R D U F D'
B L2 R D U F D2
B L2 R D' R U F
B L2 R D' R' U F
B L2 R D' R2 U F
B L2 R D' U F D
B L2 R D' U F D'
B L2 R D' U F D2
B L2 R D2 R U F
B L2 R D2 R' U F
B L2 R D2 R2 U F
B L2 R D2 U F D
B L2 R D2 U F D'
B L2 R D2 U F D2
L2 R2 D2 U2 F' U' F
B' L2 R B2 R U F'
R2 L2 D2 U2 F' U' F
B L2 R' U R F R'
B L2 R' U R2 F R2
B L2 R' U D F D
B L2 R' U D F D'
B L2 R' U D F D2
B L2 R' U D' F D
B L2 R' U D' F D'
B L2 R' U D' F D2
B L2 R' U D2 F D
B L2 R' U D2 F D'
B L2 R' U D2 F D2
B L2 R' U F2 D F'
B L2 R' U F2 D' F'
B L2 R' U F2 D2 F'
B L2 R' U' B U2 F
B L2 R' U' B' U2 F
B L2 R' U' B2 U2 F
B L2 R' D R U F
B L2 R' D R' U F
B L2 R' D R2 U F
B L2 R' D U F D
B L2 R' D U F D'
B L2 R' D U F D2
B L2 R' D' R U F
B L2 R' D' R' U F
B L2 R' D' R2 U F
B L2 R' D' U F D
B L2 R' D' U F D'
B L2 R' D' U F D2
B L2 R' D2 R U F
B L2 R' D2 R' U F
B L2 R' D2 R2 U F
B L2 R' D2 U F D
B L2 R' D2 U F D'
B L2 R' D2 U F D2
B' L2 R' B2 R' U F'
B' L2 R2 U D' F' R2
B' L2 R2 U F' D' R2
B' L2 R2 D' U F' R2
B L2 R2 U R F R'
B L2 R2 U R2 F R2
B L2 R2 U D F D
B L2 R2 U D F D'
B L2 R2 U D F D2
B L2 R2 U D' F D
B L2 R2 U D' F D'
B L2 R2 U D' F D2
B L2 R2 U D2 F D
B L2 R2 U D2 F D'
B L2 R2 U D2 F D2
B L2 R2 U F2 D F'
B L2 R2 U F2 D' F'
B L2 R2 U F2 D2 F'
B L2 R2 U' B U2 F
B L2 R2 U' B' U2 F
B L2 R2 U' B2 U2 F
B L2 R2 D R U F
B L2 R2 D R' U F
B L2 R2 D R2 U F
B L2 R2 D U F D
B L2 R2 D U F D'
B L2 R2 D U F D2
B L2 R2 D' R U F
B L2 R2 D' R' U F
B L2 R2 D' R2 U F
B L2 R2 D' U F D
B L2 R2 D' U F D'
B L2 R2 D' U F D2
B L2 R2 D2 R U F
B L2 R2 D2 R' U F
B L2 R2 D2 R2 U F
B L2 R2 D2 U F D
B L2 R2 D2 U F D'
B L2 R2 D2 U F D2
B' L2 R2 B2 U D F'
B' L2 R2 B2 U D' F'
B' L2 R2 B2 U D2 F'
B' L2 R2 B2 U F' D
B' L2 R2 B2 U F' D'
B' L2 R2 B2 U F' D2
B' L2 R2 B2 D U F'
B' L2 R2 B2 D' U F'
B' L2 R2 B2 D2 U F'
B' L2 U R2 D' F' R2
B' L2 U R2 F' D' R2
B L2 U L' D L F
B L2 U L' D' L F
B L2 U L' D2 L F
B L2 U L' F L F
B L2 U L' F' L F
B L2 U L' F2 L F
B' L2 U D' R2 D F'
B' L2 U D' R2 D' F'
B' L2 U D' R2 D2 F'
B' L2 U D' R2 F' D
B' L2 U D' R2 F' D'
B' L2 U D' R2 F' D2
B' L2 U D' F R2 F'
B' L2 U D' F' R2 F'
B' L2 U D' F2 R2 F'
B L2 U L2 F L2 F
B L2 U L2 F' L2 F
B L2 U L2 F2 L2 F
B L2 U R D R' F
B L2 U R D F R'
B L2 U R D' R' F
B L2 U R D' F R'
B L2 U R D2 R' F
B L2 U R D2 F R'
B L2 U R F R' D
B L2 U R F R' D'
B L2 U R F R' D2
B L2 U R F D R'
B L2 U R F D' R'
B L2 U R F D2 R'
B L2 U R F' R' F2
B' L2 U F D' R2 F'
B L2 U R' D R F
B L2 U R' D' R F
B L2 U R' D2 R F
B' L2 U F' D' R2 F'
U L2 U L2 U' B U
B L2 U R2 F R2 D
B L2 U R2 F R2 D'
B L2 U R2 F R2 D2
B L2 U R2 F' R2 F2
B' L2 U F2 D' R2 F'
B L2 U D R F R'
B L2 U D R2 F R2
B L2 U D F2 D F'
B L2 U D F2 D' F'
B L2 U D F2 D2 F'
B L2 U D' R F R'
B L2 U D' R2 F R2
B L2 U D' F2 D F'
B L2 U D' F2 D' F'
B L2 U D' F2 D2 F'
B L2 U D2 R F R'
B L2 U D2 R2 F R2
F2 L2 U F2 B U B'
B L2 U D2 F2 D F'
B L2 U D2 F2 D' F'
B L2 U D2 F2 D2 F'
B L2 U F L D L'
B L2 U F L D' L'
B L2 U F L D2 L'
B L2 U F L' D L
B L2 U F L' D' L
B L2 U F L' D2 L
B L2 U F R D R'
B L2 U F R D' R'
B L2 U F R D2 R'
B L2 U F R' D R
B L2 U F R' D' R
B L2 U F R' D2 R
F2 L2 U B F2 U B'
B L2 U F B D B'
B L2 U F B D' B'
B L2 U F B D2 B'
B L2 U F B' D B
B L2 U F B' D' B
B L2 U F B' D2 B
B L2 U F' L' F2 L
B L2 U F' L2 F2 L2
B L2 U F' R F2 R'
B L2 U F' R2 F2 R2
B L2 U F2 L' F' L
B L2 U F2 L2 F' L2
B L2 U F2 D F' D
B L2 U F2 D F' D'
B L2 U F2 D F' D2
B L2 U F2 D' F' D
B L2 U F2 D' F' D'
B L2 U F2 D' F' D2
B L2 U F2 D2 F' D
B L2 U F2 D2 F' D'
B L2 U F2 D2 F' D2
F L2 U F' B U B'
B L2 U B D F B'
B L2 U B D B' F
B L2 U B D' F B'
B L2 U B D' B' F
B L2 U B D2 F B'
B L2 U B D2 B' F
B L2 U B F D B'
B L2 U B F D' B'
B L2 U B F D2 B'
B L2 U B' D F B
B L2 U B' D B F
B L2 U B' D' F B
B L2 U B' D' B F
B L2 U B' D2 F B
B L2 U B' D2 B F
B L2 U B' F D B
B L2 U B' F D' B
B L2 U B' F D2 B
F L2 U B F' U B'
B' L2 U' D L2 B U2
B' L2 U' D B L2 U2
B' L2 U' D' B U2 R2
B L2 U' L2 B' L2 U2
B' L2 U' B U B U
B L2 U' D B U2 F
B L2 U' D B' U2 F
B L2 U' D B2 U2 F
R' L2 B U' B' U2 R'
B L2 U' D' B U2 F
B L2 U' D' B' U2 F
B L2 U' D' B2 U2 F
B L2 U' D2 B U2 F
B L2 U' D2 B' U2 F
B L2 U' D2 B2 U2 F
B2 L2 U' B2 U' F U'
B L2 U' B U2 D F
B L2 U' B U2 D' F
B L2 U' B U2 D2 F
B L2 U' B U2 F D
B L2 U' B U2 F D'
B L2 U' B U2 F D2
B L2 U' B D U2 F
B L2 U' B D' U2 F
B L2 U' B D2 U2 F
B L2 U' B' U2 D F
B L2 U' B' U2 D' F
B L2 U' B' U2 D2 F
B L2 U' B' U2 F D
B L2 U' B' U2 F D'
B L2 U' B' U2 F D2
B L2 U' B' D U2 F
B L2 U' B' D' U2 F
B L2 U' B' D2 U2 F
D2 L2 U2 R2 F' U' F
B L2 U' B2 U2 D F
B L2 U' B2 U2 D' F
B L2 U' B2 U2 D2 F
B L2 U' B2 U2 F D
B L2 U' B2 U2 F D'
B L2 U' B2 U2 F D2
B L2 U' B2 D U2 F
B L2 U' B2 D' U2 F
B L2 U' B2 D2 U2 F
B L2 U2 L2 U B' U2
B2 L2 U2 D F L2 U'
B2 L2 U2 D2 F U' F
B2 L2 U2 F U B2 U2
B2 L2 U2 F U' D2 F2
B2 L2 U2 F D L2 U'
B2 L2 U2 F D2 U' F2
R' L2 B' U' B L U2
L2 R2 B' R2 B U F'
R2 L2 B' R2 B U F'
B' L2 D U' L2 B U2
B' L2 D U' B L2 U2
B L2 D R U D F
B L2 D R U D' F
B L2 D R U D2 F
B L2 D R U F D
B L2 D R U F D'
B L2 D R U F D2
B L2 D R D U F
B L2 D R D' U F
B L2 D R D2 U F
B L2 D R' U D F
B L2 D R' U D' F
B L2 D R' U D2 F
B L2 D R' U F D
B L2 D R' U F D'
B L2 D R' U F D2
B L2 D R' D U F
B L2 D R' D' U F
B L2 D R' D2 U F
B L2 D R2 U D F
B L2 D R2 U D' F
B L2 D R2 U D2 F
B L2 D R2 U F D
B L2 D R2 U F D'
B L2 D R2 U F D2
B L2 D R2 D U F
B2 L2 D U2 F L2 U'
B L2 D R2 D' U F
B L2 D R2 D2 U F
D' L2 D B L2 U F
B L2 D U R F R'
B L2 D U R2 F R2
B L2 D U F2 D F'
B L2 D U F2 D' F'
B L2 D U F2 D2 F'
B L2 D U' B U2 F
B L2 D U' B' U2 F
B L2 D U' B2 U2 F
B' L2 D' R U R F'
U L2 D F2 D B U
U L2 D F2 D' B U
B' L2 D' U R2 D F'
B' L2 D' U R2 D' F'
B' L2 D' U R2 D2 F'
B' L2 D' U R2 F' D
B' L2 D' U R2 F' D'
B' L2 D' U R2 F' D2
U L2 D F2 D2 B U
B' L2 D' U F R2 F'
U L2 D F2 B U D
U L2 D F2 B U D'
U L2 D F2 B U D2
U L2 D F2 B D U
U L2 D F2 B D' U
U L2 D F2 B D2 U
B' L2 D' U F' R2 F'
B' L2 D' U F2 R2 F'
L2 R2 B2 D' R2 B U
U L2 D B U D' L2
U L2 D B D' U L2
B' L2 D' U' B U2 R2
U L2 D B F2 U D
U L2 D B F2 U D'
U L2 D B F2 U D2
U L2 D B F2 D U
U L2 D B F2 D' U
U L2 D B F2 D2 U
R2 L2 B2 D' R2 B U
B2 L2 D' R2 U2 F U'
B L2 D' R U D F
B L2 D' R U D' F
B L2 D' R U D2 F
B L2 D' R U F D
B L2 D' R U F D'
B L2 D' R U F D2
B L2 D' R D U F
B L2 D' R D' U F
B L2 D' R D2 U F
B L2 D' R' U D F
B L2 D' R' U D' F
B L2 D' R' U D2 F
B L2 D' R' U F D
B L2 D' R' U F D'
B L2 D' R' U F D2
B L2 D' R' D U F
B L2 D' R' D' U F
B L2 D' R' D2 U F
B L2 D' R2 U D F
B L2 D' R2 U D' F
B L2 D' R2 U D2 F
B L2 D' R2 U F D
B L2 D' R2 U F D'
B L2 D' R2 U F D2
B L2 D' R2 D U F
B L2 D' R2 D' U F
B L2 D' R2 D2 U F
B L2 D' U R F R'
B L2 D' U R2 F R2
B L2 D' U F2 D F'
B L2 D' U F2 D' F'
B L2 D' U F2 D2 F'
B L2 D' U' B U2 F
B L2 D' U' B' U2 F
B L2 D' U' B2 U2 F
F2 L2 D' B U L2 F
D L2 D' B L2 U F
L' U L B L2 U L
L U L D B U L'
L U L D' B U L'
U L2 D' B U2 B U'
L U L D2 B U L'
L2 U L B U B' L'
B L2 D2 R U D F
B L2 D2 R U D' F
B L2 D2 R U D2 F
B L2 D2 R U F D
B L2 D2 R U F D'
B L2 D2 R U F D2
B L2 D2 R D U F
B L2 D2 R D' U F
B L2 D2 R D2 U F
B L2 D2 R' U D F
B L2 D2 R' U D' F
B L2 D2 R' U D2 F
B L2 D2 R' U F D
B L2 D2 R' U F D'
B L2 D2 R' U F D2
B L2 D2 R' D U F
B L2 D2 R' D' U F
D2 L2 D2 B L2 U F
B L2 D2 R' D2 U F
B2 L2 D2 U2 F U' F
L U L B U L' D
L U L B U L' D'
L U L B U L' D2
L U L B U D L'
L U L B U D' L'
L U L B U D2 L'
B L2 D2 R2 U D F
B L2 D2 R2 U D' F
B L2 D2 R2 U D2 F
B L2 D2 R2 U F D
B L2 D2 R2 U F D'
B L2 D2 R2 U F D2
L U L B D U L'
B L2 D2 R2 D U F
L U L B D' U L'
B L2 D2 R2 D' U F
L U L B D2 U L'
B L2 D2 R2 D2 U F
B L2 D2 U R F R'
B L2 D2 U R2 F R2
B L2 D2 U F2 D F'
B L2 D2 U F2 D' F'
B L2 D2 U F2 D2 F'
B L2 D2 U' B U2 F
B L2 D2 U' B' U2 F
B L2 D2 U' B2 U2 F
U L2 D2 B U D2 L2
U L2 D2 B U' R2 U2
U L2 D2 B D' F2 U
U L2 D2 B D2 U L2
L2 U L' B U B' L
R' U L2 F U L2 R
R' U L2 F U R L2
B L2 F D F' U F
B L2 F D' F' U F
B L2 F D2 F' U F
R2 U L2 U2 F' U' L2
U L2 F D F2 B U
U L2 F D B F2 U
U L2 F B U L2 D
U L2 F B U L2 D'
U L2 F B U L2 D2
U L2 F B D F2 U
L2 U L2 B U B' L2
B L2 F' R F U F
B L2 F' R' F U F
B L2 F' R2 F U F
L U L2 B L' U L'
L2 U R U' R' B U
B L2 F' D R2 F U
B L2 F' D F R2 U
F L2 F' B U' B' U2
U L2 F' D F2 B U
U L2 F' D B F2 U
U L2 F' B U L2 D
U L2 F' B U L2 D'
U L2 F' B U L2 D2
U L2 F' B D F2 U
D L2 F2 U F2 B U
D L2 F2 U B F2 U
B L2 F2 U D' L2 F'
B L2 F2 U D' F' L2
F2 L2 F2 B U' B' U2
D' L2 B L2 U F B
D' L2 B L2 U B F
B L2 F2 D' U L2 F'
B L2 F2 D' U F' L2
U L2 F2 D F2 B U
U L2 F2 D B F2 U
F' L2 B U D L2 F
D' L2 B U B D2 F2
D' L2 B U' B' U2 B2
U L2 F2 B U L2 D
U L2 F2 B U L2 D'
U L2 F2 B U L2 D2
U' L2 B U2 L2 U' L2
U L2 F2 B D F2 U
F' L2 B D U L2 F
F2 L2 B U D' L2 F
B L2 B R B' U F
D2 L2 B D2 L2 U F
B L2 B R' B' U F
B L2 B R2 B' U F
D L2 B U' F2 B' U2
D L2 B U' B' F2 U2
F2 L2 B D' U L2 F
L2 U R2 U' R2 B U
D L2 B D' L2 U F
B L2 B D B' U F
U L2 B U L D L
U L2 B U L D' L
U L2 B U L D2 L
U L2 B U L' D L'
U L2 B U L' D' L'
U L2 B U L' D2 L'
B L2 B D' B' U F
U L2 B U F L2 F'
U L2 B U F2 L2 F2
U L2 B U B' L2 B
U L2 B U B2 L2 B2
F2 L2 B F2 U' B' U2
U L2 B U' R U2 L2
U L2 B U' R' U2 L2
B L2 B D2 B' U F
U L2 B U' R2 U2 L2
U L2 B U' D2 R2 U2
U L2 B U2 D' B2 U'
U L2 B U2 B U' L2
U L2 B U2 B' U' L2
U L2 B U2 B2 U' L2
U L2 B D F2 U D
U L2 B D F2 U D'
U L2 B D F2 U D2
U L2 B D F2 D U
U L2 B D F2 D' U
U L2 B D F2 D2 U
F L2 B F' U' B' U2
U L2 B D' U2 B2 U'
U L2 B D2 U' R2 U2
U L2 B F U L2 D
U L2 B F U L2 D'
U L2 B F U L2 D2
U L2 B F D F2 U
U L2 B F' U L2 D
U L2 B F' U L2 D'
U L2 B F' U L2 D2
U L2 B F' D F2 U
B L2 B' R' U F R
U L2 B F2 U L2 D
U L2 B F2 U L2 D'
U L2 B F2 U L2 D2
B' L2 B' D' R2 B' U
U L2 B F2 D F2 U
B' L2 B' D' B' R2 U
B' L2 B' D2 B' U F2
L' U D B L' U L
B L2 B' D B U F
L U D L B U L'
B L2 B' D' B U F
U L2 B' U L2 D' R2
B L2 B' D2 B U F
B' L2 B2 R U' B' U2
B' L2 B2 R' U' B' U2
B' L2 B2 R2 U' B' U2
B' L2 B2 U L2 F L2
B' L2 B2 U' D B' U2
B' L2 B2 U' D' B' U2
B' L2 B2 U' D2 B' U2
B' L2 B2 U' B' U2 D
B' L2 B2 U' B' U2 D'
B' L2 B2 U' B' U2 D2
B' L2 B2 U' B' D U2
B' L2 B2 U' B' D' U2
B' L2 B2 U' B' D2 U2
B' L2 B2 U2 L2 U' F
B' L2 B2 D U' B' U2
B L2 B2 R B2 U F
B' L2 B2 D' U' B' U2
B L2 B2 R' B2 U F
B2 L2 B2 U2 F U' F'
B' L2 B2 D2 U' B' U2
B L2 B2 R2 B2 U F
B L2 B2 U D' R2 F
B L2 B2 U D' F R2
B L2 B2 U F D' R2
L' U D' B L' U L
L U D' L B U L'
B L2 B2 D' U R2 F
B L2 B2 D' U F R2
U L2 B2 D F2 B' U
U L2 B2 D B' F2 U
B R L D L U F
L' U D2 B L' U L
B R L D' L U F
B R L D2 L U F
L U D2 L B U L'
R' U F L2 U L2 R
R' U F L2 U R L2
L U F L B U L'
B R L2 U R F R'
B R L2 U R2 F R2
B R L2 U D F D
B R L2 U D F D'
B R L2 U D F D2
B R L2 U D' F D
B R L2 U D' F D'
B R L2 U D' F D2
B R L2 U D2 F D
B R L2 U D2 F D'
B R L2 U D2 F D2
B R L2 U F2 D F'
B R L2 U F2 D' F'
B R L2 U F2 D2 F'
B R L2 U' B U2 F
B R L2 U' B' U2 F
B R L2 U' B2 U2 F
B R L2 D R U F
B R L2 D R' U F
B R L2 D R2 U F
B R L2 D U F D
B R L2 D U F D'
B R L2 D U F D2
B R L2 D' R U F
B R L2 D' R' U F
B R L2 D' R2 U F
B R L2 D' U F D
B R L2 D' U F D'
B R L2 D' U F D2
B' R L2 B2 R U F'
B R L2 D2 R U F
B R L2 D2 R' U F
B R L2 D2 R2 U F
B R L2 D2 U F D
B R L2 D2 U F D'
B R L2 D2 U F D2
L U F' L B U L'
R2 U F2 L2 B' U L2
L U F2 L B U L'
L' U B L' U L D
L' U B L' U L D'
L' U B L' U L D2
L' U B L' U D L
L' U B L' U D' L
L' U B L' U D2 L
L' U B L' D U L
L' U B L' D' U L
L' U B L' D2 U L
L' U B L' F U L
L' U B L' F' U L
L' U B L' F2 U L
B R U' D F2 B' U2
U R U' L2 R' B U
L2 U B L' U L B'
B R U' D B' F2 U2
B R U' D' B' U2 B'
L2 U B L2 U L2 B'
U R U' R' L2 B U
U R U' R' B L2 U
L' U B D L' U L
D2 R U2 R F' U' F
L' U B D' L' U L
L' U B D2 L' U L
B R U' B' U L2 U
B R U' B' U2 D' B2
B R U' B' D F2 U2
B R U' B' D' U2 B2
B R D U' F2 B' U2
B R D U' B' F2 U2
B2 R D' R2 B' U B'
B R D' L2 U F B2
B R D' L2 U B2 F
B R D' U' B' U2 B'
B2 R D' B' R2 U B'
B R F L2 F' U F2
B R F2 L2 F2 U F'
B2 R B' L2 R U F
B2 R B' L2 R' U F
B2 R B' L2 R2 U F
B2 R B' L2 U D F
B2 R B' L2 U D' F
