F L R D' F2 B
F L R D' B F2
F L R B D' F2
F R L D' F2 B
F R L D' B F2
F R L B D' F2
F R D' L F2 B
F R D' L B F2
F R D' F2 L B
F R' U L R2 B
F R' U R2 L B
L F R D' F2 B
L F R D' B F2
L F R B D' F2
F R L B F' D' F2
F R L B F2 D' F2
F R L B2 D' F2 B'
F R L B2 D' B' F2
F R L' B L2 D' F2
F R L2 D' L' F2 B
F R L2 D' L' B F2
F R L2 D' B L' F2
F R L2 B L' D' F2
F R L2 B D' L' F2
F R D L D2 F2 B
F R D L D2 B F2
F R D' L F2 D B
F R D' L F2 D' B
F R D' L F2 D2 B
F R D' L F2 B D
F R D' L F2 B D'
F R D' L F2 B D2
F R D' L B F2 D
F R D' L B F2 D'
F R D' L B F2 D2
F' R D' F2 L B R
F R D' L' F2 L2 B
F R D' L' F2 B L2
F R D' L' B L2 F2
F R D' L' B F2 L2
F R D' L2 B L' F2
F R D' F' L F' B
F R D' F' L B F'
F R D' F2 L D B
F R D' F2 L D' B
F R D' F2 L D2 B
F R D' F2 L B D
F R D' F2 L B D'
F R D' F2 L B D2
F R D' F2 L' B L2
F R D' F2 L2 B L'
F R D' F2 D L B
F R D' F2 D' L B
F R D' F2 D2 L B
F R F L D' F2 B
F R F L D' B F2
F R F L B D' F2
F R F D' L F2 B
F R F D' L B F2
F R F D' F2 L B
F R F' L D' F2 B
F R F' L D' B F2
F R F' L B D' F2
F R F' D' L F2 B
F R F' D' L B F2
F R F' D' F2 L B
F R F2 L D' F2 B
F R F2 L D' B F2
F R F2 L B D' F2
L U' R B L R2 U
L U' R B R2 L U
F R F2 D' L F2 B
F R F2 D' L B F2
F R F2 D' F2 L B
F R' L' U L2 R2 B
F R' L' U R2 L2 B
F R' L' U R2 B L2
F R' L2 U L' R2 B
F R' L2 U R2 L' B
F R' L2 U R2 B L'
F' R' U L D2 R2 B
F R' U L R2 D B
F R' U L R2 D' B
F R' U L R2 D2 B
F R' U L R2 B D
F R' U L R2 B D'
F R' U L R2 B D2
F R' U L B R2 B
F R' U L B' R2 B
F R' U L B2 R2 B
F R' U L' R2 B L2
F R' U L2 R2 B L'
U R' U L' B' L2 R'
U R' U L' B' R' L2
F' R' U' L' F' U2 L2
F R' U R2 L D B
F R' U R2 L D' B
F R' U R2 L D2 B
F R' U R2 L B D
F R' U R2 L B D'
F R' U R2 L B D2
F R' U R2 L' B L2
F R' U R2 L2 B L'
F R' U R2 D L B
F R' U R2 D' L B
F R' U R2 D2 L B
F R' U B' R2 B L
F2 R' U' F' U2 L R
F2 R' U' F' U2 R L
F R' U' F' U2 L R2
F R' U' F' U2 R2 L
B2 R' F' L' U' L2 U'
B2 R' F' L' U2 D F2
B2 R' F' L' D U2 F2
B2 R' F' L' D' B2 U2
U R' F' L' B' U L2
L D F R D' F2 B
L D F R D' B F2
L D F R B D' F2
R D B2 R' U2 B' R'
R D' L F B R F
R D' L F2 D2 B R'
R D' L B F R F
L D' F R D' F2 B
L D' F R D' B F2
L D' F R B D' F2
R D' F2 L D2 B R'
R D' F2 D2 L B R'
L D2 F R D' F2 B
L D2 F R D' B F2
L D2 F R B D' F2
D' F L R D' F2 B
D' F L R D' B F2
D' F L R B D' F2
D2 F L R D' F2 B
D2 F L R D' B F2
D2 F L R B D' F2
D F L R D' F2 B
D F L R D' B F2
D F L R B D' F2
L' F L2 R D' F2 B
L' F L2 R D' B F2
L' F L2 R B D' F2
R F L D' B R F2
R F L B D' R F2
D' F R L D' F2 B
D' F R L D' B F2
D' F R L B D' F2
D2 F R L D' F2 B
D2 F R L D' B F2
D2 F R L B D' F2
L' F R L2 D' F2 B
L' F R L2 D' B F2
L' F R L2 B D' F2
D' F R D' L F2 B
D' F R D' L B F2
D' F R D' F2 L B
D2 F R D' L F2 B
D2 F R D' L B F2
D2 F R D' F2 L B
L' F R B L2 D' F2
D' F R' U L R2 B
D' F R' U R2 L B
D2 F R' U L R2 B
D2 F R' U R2 L B
D F R L D' F2 B
D F R L D' B F2
D F R L B D' F2
L' F R' U L2 R2 B
L' F R' U R2 L2 B
L' F R' U R2 B L2
D F R D' L F2 B
D F R D' L B F2
D F R D' F2 L B
L F R D' F2 D B
L F R D' F2 D' B
L F R D' F2 D2 B
L F R D' F2 B D
L F R D' F2 B D'
L F R D' F2 B D2
L F R D' B F2 D
L F R D' B F2 D'
L F R D' B F2 D2
L F R D2 B D F2
L F R F D' F2 B
L F R F D' B F2
D F R' U L R2 B
L F R F B D' F2
D F R' U R2 L B
L F R F' D' F2 B
L F R F' D' B F2
L F R F' B D' F2
L F R F2 D' F2 B
L F R F2 D' B F2
L F R F2 B D' F2
L F R B U' R2 U
L F R B D' F2 D
L F R B D' F2 D'
L F R B D' F2 D2
L F R B F D' F2
L F R B F' D' F2
L F R B F2 D' F2
L F R B2 D' F2 B'
L F R B2 D' B' F2
R' F U L R D2 B2
R' F U L D2 R B2
R' F U L D2 B2 R
R' F U R L D2 B2
R' F U R D2 L B2
R' F U D2 L R B2
R' F U D2 L B2 R
R' F U D2 R L B2
R' F U' F2 L' U2 L2
B' D L' F R B L
F D L R D' F2 B
F D L R D' B F2
F D L R B D' F2
R' F D' L2 U L' R
R' F D' L2 U R L'
L F D R D' F2 B
L F D R D' B F2
L F D R B D' F2
R' F D2 U L R B2
R' F D2 U L B2 R
R' F D2 U R L B2
R F D' L B R F2
L F D' R D' F2 B
L F D' R D' B F2
L F D' R B D' F2
F D R L D' F2 B
F D R L D' B F2
F D R L B D' F2
F D R D' L F2 B
F D R D' L B F2
F D R D' F2 L B
L F D2 R D' F2 B
L F D2 R D' B F2
L F D2 R B D' F2
F D R' U L R2 B
F D R' U R2 L B
L F B' D' R F' B
L F B' D' R B F'
R' F' L' U2 L2 D F2
U F' L' R' B' U L2
L F' R D' F2 B R
L F' R D' B F2 R
L F' R B D' F2 R
U F' R' L' B' U L2
F D' L R D' F2 B
F D' L R D' B F2
F D' L R B D' F2
F D' R L D' F2 B
F D' R L D' B F2
F D' R L B D' F2
F D' R D' L F2 B
F D' R D' L B F2
F D' R D' F2 L B
R F' D' F2 L B R
F D' R' U L R2 B
F D' R' U R2 L B
B' D' F R F' B L
B' D' F R B L F'
B' D' F R B F' L
R' F2 U' F L' U2 L2
F D2 L R D' F2 B
F D2 L R D' B F2
F D2 L R B D' F2
F D2 R L D' F2 B
F D2 R L D' B F2
F D2 R L B D' F2
F D2 R D' L F2 B
F D2 R D' L B F2
F D2 R D' F2 L B
F D2 R' U L R2 B
F D2 R' U R2 L B
B' F D' R F' B L
B' F D' R B L F'
B' F D' R B F' L
L2 B' D L' F R B
L B' D' F R F' B
L B' D' F R B F'
L B' F D' R F' B
L B' F D' R B F'
F B' D' R F' B L
F B' D' R B L F'
F B' D' R B F' L
L B2 U L F R U'
