D' R' F' L' B R'
D' R' F' B L' R'
D' R' F' B R' L'
D' R' B F' L' R'
D' R' B F' R' L'
D' B R' F' L' B
D' B R' F' B L'
D' B R' B F' L'
D R' F' R L B' L2
D' R' F2 B R' F L'
D' R' B L F' L' R'
D' R' B L F' R' L'
D' R' B L' F' L' R'
D' R' B L' F' R' L'
D' R' B L2 F' L' R'
D' R' B L2 F' R' L'
D' R' B D F' L' R'
D' R' B D F' R' L'
D' R' B D' F' L' R'
D' R' B D' F' R' L'
D' R' B D2 F' L' R'
D' R' B D2 F' R' L'
D' R' B F' L' R' D
D' R' B F' L' R' D'
D' R' B F' L' R' D2
D' R' B F' L' D R'
D' R' B F' L' D' R'
D' R' B F' L' D2 R'
D' R' B F' R' L' D
D' R' B F' R' L' D'
D' R' B F' R' L' D2
D' R' B F' R' D L'
D' R' B F' R' D' L'
D' R' B F' R' D2 L'
D' R' B F' D L' R'
D' R' B F' D R' L'
D' R' B F' D' L' R'
D' R' B F' D' R' L'
D' R' B F' D2 L' R'
D' R' B F' D2 R' L'
D' R' B F2 R' F L'
R' D L F' R B' L'
R' D L F' B' L' R
R' D L F' B' R L'
R' D L B' F' L' R
R' D L B' F' R L'
R' D L2 F' L' R B'
R' D L2 F' L' B' R
R' D L2 F' R L' B'
B' U L F R B' U
B' U L F B' R U
B' U L B' F R U
R' D F' L R B' L2
R' D F' L B' L2 R
R' D F' L B' R L2
R' D F' R L B' L2
R D' R' B R' F' L'
B' U' L B' R' F' U
R' D' F' L' R' B R'
R' D' F' L' B R' B
R' D' F' R' L' B R'
R' D' F' R' B L' R'
R' D' F' R' B R' L'
R' D' F' B L' R' B
R' D' F' B R' L' B
R' D' F' B R' B L'
U2 D' R' B L R' F
U2 D' R' B L F R'
U2 D' R' B R' L F
R' D' B F' L' R' B
R' D' B F' R' L' B
R' D' B F' R' B L'
R D' B U2 R' B L
U2 D' B L R' F B
U2 D' B L R' B F
U2 D' B L F R' B
U2 D' B R' L F B
U2 D' B R' L B F
D' U2 R' B L R' F
D' U2 R' B L F R'
D' U2 R' B R' L F
D' U2 B L R' F B
D' U2 B L R' B F
D' U2 B L F R' B
D' U2 B R' L F B
D' U2 B R' L B F
D F L' R F B U2
D F L' R B F U2
D' F R F' B U2 R'
D' F R B F' U2 R'
D F R L' F B U2
D F R L' B F U2
D F R B L' F U2
D' F' L' R' F' B R'
D' F' L' R' B F' R'
D' F' L' B R' F' B
D' F' L' B R' B F'
D' F' R' L' F' B R'
D' F' R' L' B F' R'
D' F' R' B L' F' R'
F' D' L' R' F' B R'
F' D' L' R' B F' R'
F' D' L' B R' F' B
F' D' L' B R' B F'
R' F' D' L' R' B R'
R' F' D' L' B R' B
R' F' D' R' L' B R'
R' F' D' R' B L' R'
R' F' D' R' B R' L'
R' F' D' B L' R' B
R' F' D' B R' L' B
R' F' D' B R' B L'
F' D' R' L' F' B R'
F' D' R' L' B F' R'
D' F' B L' R' F' B
D' F' B L' R' B F'
D' F' B R' L' F' B
D' F' B R' L' B F'
D' F' B R' B L' F'
F' D' R' B L' F' R'
F D' R F' B U2 R'
F D' R B F' U2 R'
F' D' B L' R' F' B
F' D' B L' R' B F'
F' D' B R' L' F' B
F' D' B R' L' B F'
F' D' B R' B L' F'
D' B L R' F' L' B
D' B L R' F' B L'
D' B L R' B F' L'
D' B L' R' F' L' B
D' B L' R' F' B L'
D' B L' R' B F' L'
D' B L2 R' F' L' B
D' B L2 R' F' B L'
D' B L2 R' B F' L'
D' B R' L F' L' B
D' B R' L F' B L'
D' B R' L B F' L'
D' B R' L' F' L' B
D' B R' L' F' B L'
D' B R' L' B F' L'
D' B R' L2 F' L' B
D' B R' L2 F' B L'
D' B R' L2 B F' L'
D' B R' D F' L' B
D' B R' D F' B L'
D' B R' D B F' L'
D' B R' D' F' L' B
D' B R' D' F' B L'
D' B R' D' B F' L'
D' B R' D2 F' L' B
D' B R' D2 F' B L'
D' B R' D2 B F' L'
D' B R' F' L B L2
D' B R' F' L' D B
D' B R' F' L' D' B
D' B R' F' L' D2 B
D' B R' F' L' B D
D' B R' F' L' B D'
D' B R' F' L' B D2
D' B R' F' D L' B
D' B R' F' D B L'
D' B R' F' D' L' B
D' B R' F' D' B L'
D' B R' F' D2 L' B
D' B R' F' D2 B L'
D' B R' F' B L' D
D' B R' F' B L' D'
D' B R' F' B L' D2
D' B R' F' B D L'
D' B R' F' B D' L'
D' B R' F' B D2 L'
D' B R' F' B' L' B2
L' B R' F U' F2 L'
D' B R' B L F' L'
D' B R' B L' F' L'
D' B R' B L2 F' L'
D' B R' B D F' L'
D' B R' B D' F' L'
D' B R' B D2 F' L'
D' B R' B F' L' D
D' B R' B F' L' D'
D' B R' B F' L' D2
D' B R' B F' D L'
D' B R' B F' D' L'
D' B R' B F' D2 L'
D' B R' B' F' L' B2
D' B U2 R' B L F
D' B F' L' R' F' B
D' B F' L' R' B F'
D' B F' R' L' F' B
D' B F' R' L' B F'
D' B F' R' B L' F'
U' B' L R' F' B' U
U' B' L R' B' F' U
U B' L F R B' U
U B' L F B' R U
U B' L B' F R U
U' B' R' L F' B' U
U' B' R' L B' F' U
U' B' R' F' L B' U
