U L R2 F L' B2
U L R2 F B2 L'
U L R2 B2 F L'
U L F L' R2 B2
U L F L' B2 R2
U L F R2 L' B2
U L F R2 B2 L'
U L F B2 L' R2
U L F B2 R2 L'
U L B2 R2 F L'
U L B2 F L' R2
U L B2 F R2 L'
F' L' U' R2 B2 L
F R U L' R B2
F R U L' B2 R
F R U L' B2 R
F R U R L' B2
F R U R B2 L'
F R U B2 L' R
F R U B2 R L'
U R2 L F L' B2
U R2 L F B2 L'
U R2 L B2 F L'
F' R2 B2 L D F2
U R2 B2 L F L'
F R2 B2 L' D F2
U F L' B2 R2 F'
U F' R2 B2 L F
U B2 L R2 F L'
U B2 L F L' R2
U B2 L F R2 L'
U B2 R2 L F L'
R' U L R' F B2 L'
R' U L R' B2 F L'
L' U L R2 F L' B2
L' U L R2 F B2 L'
L' U L R2 B2 F L'
R' U L F L' R' B2
L2 U L R2 F L' B2
R' U L F R' L' B2
L2 U L R2 F B2 L'
R' U L F R' B2 L'
L2 U L R2 B2 F L'
L' U L F L' R2 B2
L' U L F L' B2 R2
L' U L F R2 L' B2
L' U L F R2 B2 L'
L' U L F B2 L' R2
L' U L F B2 R2 L'
L U L R2 F L' B2
L U L R2 F B2 L'
L U L R2 B2 F L'
R U L R F L' B2
R U L R F B2 L'
R2 U L U' F L' B2
R U L R B2 F L'
R2 U L U' F B2 L'
R2 U L U' B2 F L'
L' U L B2 R2 F L'
L2 U L F L' R2 B2
L2 U L F L' B2 R2
L2 U L F R2 L' B2
L2 U L F R2 B2 L'
L' U L B2 F L' R2
L' U L B2 F R2 L'
L2 U L F B2 L' R2
L2 U L F B2 R2 L'
L U L F L' R2 B2
L U L F L' B2 R2
L U L F R2 L' B2
L U L F R2 B2 L'
L U L F B2 L' R2
L U L F B2 R2 L'
L2 U L B2 R2 F L'
L2 U L B2 F L' R2
L2 U L B2 F R2 L'
L U L B2 R2 F L'
L U L B2 F L' R2
L U L B2 F R2 L'
R U L B2 R F L'
D L2 F R F' B2 U
D L2 F R B2 F' U
U L2 F L' R2 F B2
U L2 F L' R2 B2 F
U L2 F L' F R2 B2
U L2 F L' F B2 R2
U L2 F L' B2 R2 F
U L2 F L' B2 F R2
U L2 F R2 L' F B2
U L2 F R2 L' B2 F
U L2 F R2 B2 L' F
D L2 F B2 R F' U
U L2 F B2 L' R2 F
U L2 F B2 L' F R2
U L2 F B2 R2 L' F
R U R L F L' B2
R U R L F B2 L'
R U R L B2 F L'
R' U R' L F L' B2
R' U R' L F B2 L'
R' U R' L B2 F L'
R U R B2 L F L'
R' U R' B2 L F L'
L' U R2 L F L' B2
L' U R2 L F B2 L'
L' U R2 L B2 F L'
L2 U R2 L F L' B2
L2 U R2 L F B2 L'
L2 U R2 L B2 F L'
L U R2 L F L' B2
L U R2 L F B2 L'
L U R2 L B2 F L'
L' U R2 B2 L F L'
L2 U R2 B2 L F L'
L U R2 B2 L F L'
U L2 B2 L' R2 F L'
U L2 B2 L' F L' R2
U L2 B2 L' F R2 L'
U L2 B2 R2 L' F L'
U L2 B2 R2 F L' F
D L2 B2 F R F' U
F R L U L2 R B2
F R L U L2 B2 R
F R L U R L2 B2
U L2 B2 F L' R2 F
U L2 B2 F L' F R2
F R L U R B2 L2
U L2 B2 F R2 L' F
F R L U B2 L2 R
F R L U B2 R L2
L' U F L' B2 R2 F'
L2 U F L' B2 R2 F'
U R L B2 R F L'
L U F L' B2 R2 F'
F R L2 U L R B2
F R L2 U L B2 R
F R L2 U R L B2
L' U F' R2 B2 L F
L2 U F' R2 B2 L F
L U F' R2 B2 L F
F R U L R B2 L2
F R U L B2 L2 R
F R U L B2 R L2
F R U L' R B2 D
F R U L' R B2 D'
F R U L' R B2 D2
F R U L' R' B2 R2
F R U L' B' R B'
F R U L' B2 R D
F R U L' B2 R D'
F R U L' B2 R D2
F R U L' B2 D R
F R U L' B2 D' R
F R U L' B2 D2 R
F R U R L B2 L2
F R U R L' B2 D
F R U R L' B2 D'
F R U R L' B2 D2
F R U R B L' B
F R U R B2 L' D
F R U R B2 L' D'
F R U R B2 L' D2
F R U R B2 D L'
F R U R B2 D' L'
F R U R B2 D2 L'
F R U R' L' B2 R2
F R U R' B2 L' R2
F R U R' B2 R2 L'
F' R U' L' U' R B2
F' R U' L' U' B2 R
F R U B L' B R
F R U B' R B' L'
F R U B2 L' R D
F R U B2 L' R D'
F R U B2 L' R D2
F R U B2 L' D R
F R U B2 L' D' R
F R U B2 L' D2 R
F R U B2 R L' D
F R U B2 R L' D'
F R U B2 R L' D2
F R U B2 R D L'
F R U B2 R D' L'
F R U B2 R D2 L'
F R U B2 D L' R
F R U B2 D R L'
F R U B2 D' L' R
F R U B2 D' R L'
F R U B2 D2 L' R
F R U B2 D2 R L'
L' U B2 L R2 F L'
L' U B2 L F L' R2
L' U B2 L F R2 L'
F R D L2 U L R
F R D L2 U R L
L' U B2 R2 L F L'
L2 U B2 L R2 F L'
L2 U B2 L F L' R2
L2 U B2 L F R2 L'
L U B2 L R2 F L'
L2 U B2 R2 L F L'
L U B2 L F L' R2
L U B2 L F R2 L'
R U B2 L R F L'
R U B2 R L F L'
L U B2 R2 L F L'
D R F' L2 B2 R' U
R' U' R' F L' F2 B2
R' U' R' F L' B2 F2
R' U' R' F B2 L' F2
R U' R B2 L2 F L'
R' U' R' B2 F L' F2
R U' R' F' R2 B2 L
F R B U L' B R
F R B U B L' R
F R B U B R L'
U' R B2 L2 R F L'
F R B' U R B' L'
F R B' U B' L' R
F R B' U B' R L'
U' R B2 R L2 F L'
U R B2 L R F L'
F2 R B2 D R F' L'
U R B2 R L F L'
R' U' F L' R' F' B2
R' U' F L' R' B2 F'
F' R' L' U' R' B2 L
R' U' F R' L' F' B2
R' U' F R' L' B2 F'
R' U' F R' B2 L' F'
U R' L F L' R' B2
U R' L F R' L' B2
U R' L F R' B2 L'
R' U' F2 R' F' L' B2
R' U' F2 R' F' B2 L'
R' U' F2 R' B2 F' L'
U' R' F L' R' F2 B2
U' R' F L' R' B2 F2
U' R' F L' F2 R' B2
U' R' F R' L' F2 B2
U' R' F R' L' B2 F2
B2 R' F L' R' D' F2
U' R' F R' B2 L' F2
B2 R' F R' L' D' F2
B2 R' F R' D' L' F2
U' R' F' R' B2 D2 L2
U' R' F' R2 B2 L R
U' R' F' R2 B2 R L
D R' B2 L2 F R U
F' R2 L B2 D L F2
F' R2 L B2 D F2 L
U R2 L F L B2 L2
U R2 L F L' B2 D
U R2 L F L' B2 D'
U R2 L F L' B2 D2
U R2 L F B L' B
U R2 L F B2 L' D
U R2 L F B2 L' D'
U R2 L F B2 L' D2
U R2 L F B2 D L'
U R2 L F B2 D' L'
U R2 L F B2 D2 L'
U R2 L B F L' B
F R2 L' U' R' U B2
U R2 L B2 F L' D
U R2 L B2 F L' D'
U R2 L B2 F L' D2
U R2 L B2 F D L'
U R2 L B2 F D' L'
U R2 L B2 F D2 L'
F R2 L' B2 U L U'
F' R2 U L' U' B2 L
B2 R2 U L U' F L'
U R2 L2 F L' F B2
U R2 L2 F L' B2 F
U R2 L2 F B2 L' F
U R2 L2 B2 L' F L'
U R2 L2 B2 F L' F
F R2 U' R' U L' B2
F R2 U' R' U B2 L'
B2 R2 F L' U' R U
B2 R2 F U' R U L'
U' R2 F B2 D2 L' F
U R2 F L F L2 B2
U R2 F L F B2 L2
U R2 F L B2 F L2
B2 R2 F' L D F2 L'
U2 R2 F B2 D L' F
U R2 F B2 L F L2
B2 R2 F2 D' F' L' F
U R2 B L F L' B
U R2 B L F B L'
U R2 B L B F L'
F' R2 B2 L U L2 U'
F' R2 B2 L D F2 D
F' R2 B2 L D F2 D'
F' R2 B2 L D F2 D2
F' R2 B2 L F D F2
F' R2 B2 L F' D F2
F' R2 B2 L F2 D F2
U R2 B' L F L' B'
F' R2 B2 U L' U' L2
F' R2 B2 D L D F2
F' R2 B2 D' L D F2
F' R2 B2 D2 L D F2
F R2 B' D B' L' F
U' R2 B2 F D2 L' F
F2 R2 B2 D' F' L' F
U R2 B' D2 B' L F
B' U L R2 F L' B'
F R2 B2 L' U L2 U'
F R2 B2 L' D F2 D
F R2 B2 L' D F2 D'
F R2 B2 L' D F2 D2
F R2 B2 L' F D F2
F R2 B2 L' F' D F2
F R2 B2 L' F2 D F2
U R2 B2 L F L' D
U R2 B2 L F L' D'
U R2 B2 L F L' D2
U R2 B2 L F D L'
U R2 B2 L F D' L'
U R2 B2 L F D2 L'
U2 R2 B2 F D L' F
U R2 B2 L2 F L' F
F R2 B2 U L U' L2
B2 U L U' R2 F L'
B2 U L U' F L' R2
B2 U L U' F R2 L'
B' U L F L' R2 B'
B' U L F L' B' R2
B' U L F R2 L' B'
F R2 B2 D L' D F2
F R2 B2 D' L' D F2
F R2 B2 D2 L' D F2
U R2 B2 F L F L2
F' U L' U' R2 B2 L
B U L F L' B R2
B U L F B L' R2
B U L F B R2 L'
B U L B R2 F L'
B U L B F L' R2
B U L B F R2 L'
F U R U L' R B2
F U R U L' B2 R
F U R U R L' B2
F U R U R B2 L'
F U R U B2 L' R
F U R U B2 R L'
B' U R2 L F L' B'
B' U R2 D2 B' L F
B' U R2 B' L F L'
F' U R2 B2 L D F2
F U R2 B2 L' D F2
B U B L R2 F L'
B' U B' L R2 F L'
B U B L F L' R2
B U B L F R2 L'
B' U B' L F L' R2
B' U B' L F R2 L'
B U B R2 L F L'
B' U B' R2 L F L'
F' U' L' U' R2 B2 L
F U' R U L' R B2
F U' R U L' B2 R
F U' R U R L' B2
F U' R U R B2 L'
F U' R U B2 L' R
F U' R U B2 R L'
F' U' R2 B2 L D F2
F U' R2 B2 L' D F2
F' U2 L' U' R2 B2 L
F U2 R U L' R B2
F U2 R U L' B2 R
F U2 R U R L' B2
F U2 R U R B2 L'
F U2 R U B2 L' R
F U2 R U B2 R L'
F' U2 R2 B2 L D F2
F U2 R2 B2 L' D F2
U' F L' R' F' R' B2
R' F L' R' B2 D' F2
U' F L' B2 R' F' R'
U F L R2 F L2 B2
U F L R2 F B2 L2
U F L R2 B2 F L2
R2 F L' U' R U B2
U F L F L2 R2 B2
U F L F L2 B2 R2
U F L F R2 L2 B2
U F L F R2 B2 L2
U F L F B2 L2 R2
U F L F B2 R2 L2
U F L B2 R2 F L2
U F L B2 F L2 R2
U F L B2 F R2 L2
R2 F L' B2 U' R U
R' F R U L' R2 B2
R' F R U L' B2 R2
R' F R U R2 L' B2
R' F R U R2 B2 L'
R' F R U B2 L' R2
R' F R U B2 R2 L'
D F L2 R F' B2 U
D F L2 R B2 F' U
U F L' F B2 R2 F'
L' F R U L' R B2
L' F R U L' B2 R
L' F R U R L' B2
L' F R U R B2 L'
U F L' F' B2 R2 F'
L' F R U B2 L' R
L' F R U B2 R L'
U F L' F2 B2 R2 F'
U F L' B2 R2 D F'
U F L' B2 R2 D' F'
U F L' B2 R2 D2 F'
U F L' B2 R2 F' D
U F L' B2 R2 F' D'
U F L' B2 R2 F' D2
U F L' B2 F R2 F'
U F L' B2 F' R2 F'
U F L' B2 F2 R2 F'
L2 F R U L' R B2
L2 F R U L' B2 R
L2 F R U R L' B2
L2 F R U R B2 L'
U' F R' L' F' R' B2
L2 F R U B2 L' R
L2 F R U B2 R L'
R' F R' L' B2 D' F2
R2 F R U L' R' B2
D F L2 B2 R F' U
R2 F R U R' L' B2
R2 F R U R' B2 L'
D F R L2 F' B2 U
D F R L2 B2 F' U
R' F R' B2 L' D' F2
R' F R' B2 D' L' F2
D F R F' L2 B2 U
L F R U L' R B2
L F R U L' B2 R
L F R U R L' B2
L F R U R B2 L'
D F R F' B2 L2 U
L F R U B2 L' R
L F R U B2 R L'
D F R B2 L2 F' U
D F R B2 F' L2 U
U' F R2 B2 D2 L' F
L' F R2 B2 L' D F2
L2 F R2 B2 L' D F2
U2 F R2 B2 D L' F
U F R2 L F L2 B2
U F R2 L F B2 L2
U F R2 L B2 F L2
U F R2 B2 L F L2
L F R2 B2 L' D F2
U2 F U' L' B2 R2 F'
U' F U2 L' B2 R2 F'
R2 F U' R U L' B2
R2 F U' R U B2 L'
F D R B2 L2 U L
U' F B2 L' R' F' R'
U' F B2 R' L' F' R'
U' F B2 R2 D2 L' F
U2 F B2 R2 D L' F
R2 F B2 L' U' R U
D F B2 L2 R F' U
D F B2 R L2 F' U
R2 F B2 U' R U L'
D F B2 R F' L2 U
U F B2 L R2 F L2
U F B2 L F L2 R2
U F B2 L F R2 L2
U F B2 R2 L F L2
L' F' L' U' R2 B2 L
U F' L R2 F B2 L
U F' L R2 B2 F L
L2 F' L' U' R2 B2 L
R2 F' L B2 D F2 L'
L F' L' U' R2 B2 L
U' F' R B U2 B R
U' F' R' F' R' B2 L
L' F' R2 B2 L D F2
L2 F' R2 B2 L D F2
U F' R2 L F B2 L
U F' R2 L B2 F L
U F' R2 F B2 L F
U F' R2 F' B2 L F
U F' R2 F2 B2 L F
U F' R2 B2 L D F
U F' R2 B2 L D' F
U F' R2 B2 L D2 F
U F' R2 B2 L F D
U F' R2 B2 L F D'
U F' R2 B2 L F D2
U F' R2 B2 D L F
U F' R2 B2 D' L F
U F' R2 B2 D2 L F
U F' R2 B2 F L F
U F' R2 B2 F' L F
U F' R2 B2 F2 L F
L F' R2 B2 L D F2
U' F' U2 R2 B2 L F
U2 F' U' R2 B2 L F
F D B2 L2 R U L
F D B2 R L2 U L
F' D' L' F2 R2 U' L'
R2 F' B2 L D F2 L'
U F2 L F R2 B2 L
U F2 L' B2 R2 F' L'
U' F2 R' F' L' R' B2
U' F2 R' F' R' L' B2
U' F2 R' F' R' B2 L'
U' F2 B2 R' F' L' R'
U' F2 B2 R' F' R' L'
R2 F2 B2 D' F' L' F
U B L F L' B R2
U B L F B L' R2
U B L F B R2 L'
U B L B R2 F L'
U B L B F L' R2
U B L B F R2 L'
B2 F L' R' D' R' F2
B2 F L' R' D' F2 R'
B2 F L' R2 U' R' U
B2 F L' U' R U R
B' F R U R B' L'
B' F R U B' L' R
B' F R U B' R L'
B2 F R' L' D' R' F2
B2 F R' L' D' F2 R'
B2 F R' D' L' R' F2
B2 F R' D' L' F2 R'
B2 F R' D' R' L' F2
B2 F R2 L' U' R' U
B2 F R2 U' R' U L'
B' F R2 B' D L' F
B2 F U' R U L' R
B2 F U' R U R L'
U B' L R2 F L' B'
U B' L F L' R2 B'
U B' L F L' B' R2
U B' L F R2 L' B'
U B' R2 L F L' B'
U B' R2 D2 B' L F
U B' R2 B' L F L'
F B' R U R B' L'
F B' R U B' L' R
F B' R U B' R L'
F B' R2 B' D L' F
U B2 L R' F L' R'
U B2 L R' F R' L'
U B2 L R2 F L' D
U B2 L R2 F L' D'
U B2 L R2 F L' D2
U B2 L R2 F D L'
U B2 L R2 F D' L'
U B2 L R2 F D2 L'
U B2 L F L' R2 D
U B2 L F L' R2 D'
U B2 L F L' R2 D2
U B2 L F R2 L' D
U B2 L F R2 L' D'
U B2 L F R2 L' D2
U B2 L F R2 D L'
U B2 L F R2 D' L'
U B2 L F R2 D2 L'
U' B2 R' F L' R' F2
D B2 L2 F R F' U
U' B2 R' F L' F2 R'
U' B2 R' F R' L' F2
U' B2 R' F' R' D2 L2
U B2 L2 R2 F L' F
U B2 L2 F L' R2 F
U B2 L2 F L' F R2
U B2 L2 F R2 L' F
U' B2 R2 F D2 L' F
F B2 L' R' D' R' F2
F B2 L' R' D' F2 R'
F B2 L' R2 U' R' U
F B2 L' U' R U R
U B2 R' L F L' R'
U B2 R' L F R' L'
B2 F2 R D R F' L'
U2 B2 R2 F D L' F
F2 B2 R D R F' L'
U B2 R2 L F L' D
U B2 R2 L F L' D'
U B2 R2 L F L' D2
U B2 R2 L F D L'
U B2 R2 L F D' L'
U B2 R2 L F D2 L'
R2 B2 U L U' F L'
U B2 R2 L2 F L' F
U B2 R2 F L F L2
B2 F2 R2 D' F' L' F
F2 B2 R2 D' F' L' F
F B2 R' L' D' R' F2
F B2 R' L' D' F2 R'
F B2 R' D' L' R' F2
F B2 R' D' L' F2 R'
F B2 R' D' R' L' F2
F B2 R2 L' U' R' U
F B2 R2 U' R' U L'
U' B2 F L' R' F' R'
F B2 U' R U L' R
F B2 U' R U R L'
U' B2 F R' L' F' R'
U' B2 F R2 D2 L' F
U2 B2 F R2 D L' F
R2 B2 F L' U' R U
U' B2 F2 R' F' L' R'
U' B2 F2 R' F' R' L'
D B2 F L2 R F' U
D B2 F R L2 F' U
D B2 F R F' L2 U
R2 B2 F U' R U L'
R2 B2 F' L D F2 L'
U B2 F L R2 F L2
U B2 F L F L2 R2
U B2 F L F R2 L2
U B2 F R2 L F L2
R2 B2 F2 D' F' L' F
