F' L' R' F2 D B2
F' R U' L' R2 F2
F' R U' L' F2 R2
F' R U' R2 L' F2
F' R' L' F2 D B2
D R' F' L' F2 B
D R' F' L' B F2
D R' F' B L' F2
D R' B F' L' F2
U2 D R' F B L
U2 D R' B F L
U2 D F R' B L
D U2 R' F B L
D U2 R' B F L
D U2 F R' B L
D F R' D2 L2 B
D F R' D2 B L2
D F R' B D2 L2
D F' L' R' F2 B
D F' L' R' B F2
D F' L' F2 R' B
D F' R' L' F2 B
D F' R' L' B F2
D F' R' B L' F2
D R U2 R2 F B L
D R U2 R2 B F L
F' R D' L2 F2 U' L
D' R F R2 B2 L B'
D R F R2 D2 B2 L
D' R F' L' F2 R2 B
D R F' U2 L' R2 F2
D R F' U2 L' F2 R2
D R F' U2 R2 L' F2
F' R F2 R2 D B2 L
F' R B U' L' R2 F2
F' R B U' L' F2 R2
F' R B U' R2 L' F2
F' R B' U' L' R2 F2
F' R B' U' L' F2 R2
F' R B' U' R2 L' F2
F' R B2 U' L' R2 F2
F' R B2 U' L' F2 R2
F' R B2 U' R2 L' F2
D' R' L F' B' L' F
F' R' L F2 L2 D B2
D' R' L B' F' L' F
F' R' L' U R2 U' F2
D R' L F' L' F B
D R' L F' L' B F
D R' L F' B L' F
F R' L D' B2 D' L2
F' R' L' D B2 D' F2
F R' L D2 L2 D B2
D R' L B F' L' F
F' R' L' F D F B2
F' R' L' F D B2 F
F' R' L' F' D F' B2
F' R' L' F' D B2 F'
F' R' L' F2 U R2 U'
F' R' L' F2 D B2 D
F' R' L' F2 D B2 D'
F' R' L' F2 D B2 D2
F' R' L' F2 B D B2
F' R' L' F2 B' D B2
F' R' L' F2 B2 D B2
F' R' L' B F2 D B2
F' R' L' B' F2 D B2
F' R' L' B2 F2 D B2
F R' L' D2 L2 D' B2
F' R' L2 F2 L D B2
F' R' L2 F2 D L B2
F' R' U R2 U' L' F2
R' U' F2 U F' L' B'
F R' U' L' U D2 L2
F R' U' L' U' R2 U2
F R' U' L' D' F2 U
F R' U' L' D2 U L2
F R' U' D' L' F2 U
F R' U' D2 L' U L'
F' R' D L' B2 D' F2
F R' U2 R2 U L' U
F' R' D B2 L' D' F2
F' R' D B2 D' L' F2
D R' D F' L' F2 B
D R' D F' L' B F2
D R' D F' B L' F2
D R' D B F' L' F2
F R' D' L D' L2 B2
F R' D' L D' B2 L2
U2 R' D' F B L B'
U2 R' D' B F L B'
D R' D' F' L' F2 B
D R' D' F' L' B F2
D R' D' F' B L' F2
F R' D' U' L' F2 U
D R' D' B F' L' F2
F R' D2 L D' L B2
F R' D2 L2 U' L U
U' R' F L D' L2 B2
U' R' F L D' B2 L2
D R' D2 F' L' F2 B
D R' D2 F' L' B F2
D R' D2 F' B L' F2
F R' D2 U' L' U L'
D R' D2 B F' L' F2
U' R' F U' L' F2 U
D' R' F' L F2 B' L2
D' R' F' L B' L2 F2
D' R' F' L B' F2 L2
U2 R' F B L D' B2
D R' F B U2 R U2
D R' F' L F2 L2 B
D R' F' L F2 B L2
D R' F' L B L2 F2
D R' F' L B F2 L2
D R' F' L' F2 D B
D R' F' L' F2 D' B
D R' F' L' F2 D2 B
D R' F' L' F2 B D
D R' F' L' F2 B D'
D R' F' L' F2 B D2
D R' F' L' B F2 D
D R' F' L' B F2 D'
D R' F' L' B F2 D2
D R' F' L2 F2 L B
D R' F' B L F2 L2
D R' F' B L' F2 D
D R' F' B L' F2 D'
D R' F' B L' F2 D2
D R' F' B L2 F2 L
D R' F' B' L' F2 B2
D R' F' B' L' B2 F2
F' R' B L' F2 D B2
D R' B L F' L' F
U2 R' B D' F L B'
F' R' B' L' F2 D B2
U2 R' B F L D' B2
D R' B D F' L' F2
D R' B D' F' L' F2
D R' B D2 F' L' F2
D R' B F U2 R U2
D R' B F' L F2 L2
D R' B F' L' F2 D
D R' B F' L' F2 D'
D R' B F' L' F2 D2
D R' B F' L2 F2 L
L' U2 D R' F' B L
L' U2 D R' B L F'
L' U2 D R' B F' L
F' R' B2 L' F2 D B2
D R' B' F' L' F2 B2
D R' B' F' L' B2 F2
F R2 L D' B2 L R
F R2 L D' B2 R L
F R2 B2 L R D' B2
F R2 B2 L D' R B2
F R2 B2 L D' B2 R
F R2 B2 R L D' B2
L' D U2 R' F' B L
L' D U2 R' B L F'
L' D U2 R' B F' L
F' U L' R' F2 D B2
R' D F U2 R F' U2
U2 D L' R' B L F
F' U R U' L' R2 F2
F' U R U' L' F2 R2
F' U R U' R2 L' F2
F' U R' L' F2 D B2
U2 D R' L' B L F
U' D R' F D' L2 B
U' D R' F D' B L2
U' D R' F B D' L2
U' D R' B F D' L2
U2 D R' D F B L
U2 D R' D B F L
U2 D R' D' F B L
U2 D R' D' B F L
U2 D R' D2 F B L
U2 D R' D2 B F L
U2 D R' F L B L
U2 D R' F L' B L
U2 D R' F L2 B L
U2 D R' F D B L
U2 D R' F D' B L
U2 D R' F D2 B L
U2 D R' F B L D
U2 D R' F B L D'
U2 D R' F B L D2
U2 D R' F B D L
U2 D R' F B D' L
U2 D R' F B D2 L
U2 D R' F' B L F2
U2 D R' F2 B L F'
U2 D R' B D F L
U2 D R' B D' F L
U2 D R' B D2 F L
U2 D R' B F L D
U2 D R' B F L D'
U2 D R' B F L D2
U2 D R' B F D L
U2 D R' B F D' L
U2 D R' B F D2 L
U2 D R' B F' L F2
U2 D R' B F2 L F'
U2 D F L R' B L
U2 D F L' R' B L
U2 D F L2 R' B L
U2 D F R' L B L
U2 D F R' L' B L
U2 D F R' L2 B L
U2 D F R' D B L
U2 D F R' D' B L
U2 D F R' D2 B L
U2 D F R' B L D
U2 D F R' B L D'
U2 D F R' B L D2
U2 D F R' B D L
U2 D F R' B D' L
U2 D F R' B D2 L
R' D' L F' B' L' F
R' D' L B' F' L' F
U2 D F' R' F2 B L
U2 D F' R' B L F2
U2 D F' R' B F2 L
F2 U F L' R' F2 B'
F2 U F L' R' B' F2
F2 U F L' F2 R' B'
F2 U F R' L' F2 B'
F2 U F R' L' B' F2
F U F2 R U' L' R2
F U F2 R U' R2 L'
F' U' L' R' F2 D B2
R' D' F' L F2 B' L2
R' D' F' L B' L2 F2
R' D' F' L B' F2 L2
F U' L' U R' D2 L2
U2 D' R' F B L B'
F U' L' U' R U2 R2
U2 D' R' B F L B'
D U' R' F D' L2 B
D U' R' F D' B L2
D U' R' F B D' L2
F U' L' F2 U L' R'
F U' L' F2 U R' L'
F' U' R U' L' R2 F2
F' U' R U' L' F2 R2
D U' R' B F D' L2
F' U' R U' R2 L' F2
F' U' R' L' F2 D B2
U2 D' F R' B L B'
U2 D' F D2 R' B L
U2 D' F B L B' R'
U2 D' B F L B' R'
D U2 L' R' B L F
D' U2 R' F B L B'
D' U2 R' B F L B'
D U2 R' L' B L F
D U2 R' D F B L
D U2 R' D B F L
D U2 R' D' F B L
D U2 R' D' B F L
D U2 R' D2 F B L
D U2 R' D2 B F L
D U2 R' F L B L
D U2 R' F L' B L
D U2 R' F L2 B L
D U2 R' F D B L
D U2 R' F D' B L
D U2 R' F D2 B L
D U2 R' F B L D
D U2 R' F B L D'
D U2 R' F B L D2
D U2 R' F B D L
D U2 R' F B D' L
D U2 R' F B D2 L
D U2 R' F' B L F2
D U2 R' F2 B L F'
D U2 R' B D F L
D U2 R' B D' F L
D U2 R' B D2 F L
D U2 R' B F L D
D U2 R' B F L D'
D U2 R' B F L D2
D U2 R' B F D L
D U2 R' B F D' L
D U2 R' B F D2 L
D U2 R' B F' L F2
D U2 R' B F2 L F'
D' U2 F R' B L B'
F' U2 L' R' F2 D B2
D' U2 F D2 R' B L
D' U2 F B L B' R'
D2 U2 F D' R' B L
D U2 F L R' B L
D U2 F L' R' B L
D U2 F L2 R' B L
U2 D2 F D' R' B L
D U2 F R' L B L
D U2 F R' L' B L
D U2 F R' L2 B L
D U2 F R' D B L
D U2 F R' D' B L
D U2 F R' D2 B L
D U2 F R' B L D
D U2 F R' B L D'
D U2 F R' B L D2
D U2 F R' B D L
D U2 F R' B D' L
D U2 F R' B D2 L
F' U2 R U' L' R2 F2
F' U2 R U' L' F2 R2
F' U2 R U' R2 L' F2
D U2 F' R' F2 B L
D U2 F' R' B L F2
D U2 F' R' B F2 L
F' U2 R' L' F2 D B2
D' U2 B F L B' R'
F U2 R U L' U R2
D' F L R' D2 B' L2
D' F L R' B' D2 L2
D' F L' R' D2 L2 B'
D F L R' D2 L2 B
D F L R' D2 B L2
D F L R' B D2 L2
R F L R2 D' B2 L
D F L' R' D2 L2 B
D F L' R' D2 B L2
D F L' R' B D2 L2
D F L2 R' D2 L2 B
D F L2 R' D2 B L2
D F L2 R' B D2 L2
D' F R' L D2 B' L2
D' F R' L B' D2 L2
D' F R' L' D2 L2 B'
U' F R' U' L' F' U
D F R F' U2 R2 F
D F R F' U2 F R2
D F R' L D2 L2 B
D F R' L D2 B L2
D F R' L B D2 L2
D F R' L' D2 L2 B
D F R' L' D2 B L2
D F R' L' B D2 L2
D F R' L2 D2 L2 B
D F R' L2 D2 B L2
D F R' L2 B D2 L2
U2 F R' B L D' B2
D F R' U2 R2 F' U2
D F R' D' B D' L2
D F R' D2 L' B L'
D F R' D2 L2 D B
D F R' D2 L2 D' B
D F R' D2 L2 D2 B
D F R' D2 L2 B D
D F R' D2 L2 B D'
D F R' D2 L2 B D2
D F R' D2 B L2 D
D F R' D2 B L2 D'
D F R' D2 B L2 D2
D F R' D2 B' L2 B2
D' F R2 B2 L R B'
D' F R2 B2 L B' R
D' F R2 B2 R L B'
D F R' B L D2 L2
D F R' B L' D2 L2
D F R' B L2 D2 L2
D F R' B U2 R2 U2
D F R' B D2 L2 D
D F R' B D2 L2 D'
D F R' B D2 L2 D2
D F R' B2 D2 B' L2
R' F U' L' U' R U2
R F R2 L D' B2 L
R' F U' L' F2 U L'
D F R2 B R B L
D F R2 B2 L R B
D F R2 B2 R L B
R F R2 B2 L D' B2
R' F U2 R U L' U
D F U2 R U2 R2 B
D F U2 R F' U2 R2
D2 F D' R' D2 L2 B
D2 F D' R' D2 B L2
D2 F D' R' B D2 L2
D' F D2 R' D2 L2 B
D' F D2 R' D2 B L2
D' F D2 R' B D2 L2
D' F' L R' F2 B' L2
D' F' L R' B' L2 F2
D' F' L R' B' F2 L2
D' F' L F2 R' B' L2
D' F' L' R F2 R2 B
R' F' L' U R U' F2
D F' L R' F2 L2 B
D F' L R' F2 B L2
D F' L R' B L2 F2
D F' L R' B F2 L2
R' F' L' F2 U' L' U
D' F' L' F2 R2 B R
D2 F' L' F2 D' R' B
D F' L F2 L2 R' B
D F' L F2 R' L2 B
D F' L F2 R' B L2
D F' L' R' F2 D B
D F' L' R' F2 D' B
D F' L' R' F2 D2 B
D F' L' R' F2 B D
D F' L' R' F2 B D'
D F' L' R' F2 B D2
D F' L' R' B F2 D
D F' L' R' B F2 D'
D F' L' R' B F2 D2
R' F' L2 F2 L D' B2
D F' L' F R' F B
D F' L' F R' B F
L F' L' R' D F B2
L F' L' R' D B2 F
L F' L' R' F D B2
D' F' R L' F2 R2 B
D F' L' F2 R' D B
D F' L' F2 R' D' B
D F' L' F2 R' D2 B
D F' L' F2 R' B D
D F' L' F2 R' B D'
D F' L' F2 R' B D2
R' F' R U' L' R' F2
R' F' R U' L' F2 R'
R' F' R U' R' L' F2
D F' L2 R' F2 L B
L F' L' F D R' B
U' F' R B U' R2 F2
U' F' R B U' F2 R2
D' F' R' L F2 B' L2
D' F' R' L B' L2 F2
D' F' R' L B' F2 L2
D F' L2 F2 L R' B
D F' L2 F2 R' L B
L F' R U' L' R2 F
L F' R U' L' F R2
L F' R U' R2 L' F
R F' R U' L' R F2
R F' R U' R L' F2
D F' R' L F2 L2 B
D F' R' L F2 B L2
D F' R' L B L2 F2
D F' R' L B F2 L2
D F' R' L' F2 D B
D F' R' L' F2 D' B
D F' R' L' F2 D2 B
D F' R' L' F2 B D
D F' R' L' F2 B D'
D F' R' L' F2 B D2
D F' R' L' B F2 D
D F' R' L' B F2 D'
D F' R' L' B F2 D2
D F' R' L2 F2 L B
L F' R' L' D F B2
L F' R' L' D B2 F
L F' R' L' F D B2
R' F' U R U' L' F2
D F' R' B L F2 L2
D F' R' B L' F2 D
D F' R' B L' F2 D'
D F' R' B L' F2 D2
D F' R' B L2 F2 L
D F' R' B' L' F2 B2
D F' R' B' L' B2 F2
D F' U L' R' F2 B
D F' U L' R' B F2
D F' U L' F2 R' B
D F' U R' L' F2 B
D F' U R' L' B F2
D F' U R' B L' F2
D F' U' L' R' F2 B
D F' U' L' R' B F2
D F' U' L' F2 R' B
D F' U' R' L' F2 B
D F' U' R' L' B F2
D F' U' R' B L' F2
D F' U2 L' R' F2 B
D F' U2 L' R' B F2
D F' U2 L' F2 R' B
D F' U2 R' L' F2 B
D F' U2 R' L' B F2
D F' U2 R' B L' F2
F' D' L2 R U' L R2
F' D' L2 R U' R2 L
F' D' R L2 U' L R2
F' D' R L2 U' R2 L
F' D' R' D L' F2 B2
F' D' R' D L' B2 F2
F' D' R' D B2 L' F2
U' F2 U F' L' R' B'
U' F2 U F' R' L' B'
U2 B D' F L B' R'
